application_number,foreign_parent_id,foreign_parent_date,parent_country_code,parent_country
08705921,93830396.3,1993-09-30,EP,EUROPEAN PATENT OFFICE (EPO)
08705923,P 44 38 543.9,1994-10-28,DE,GERMANY
08705939,PO7-221828,1995-08-30,JP,JAPAN
08705941,28391/1995,1995-08-31,KR,REPUBLIC OF KOREA
08705942,95-27352,1995-08-30,KR,REPUBLIC OF KOREA
08705950,7-221958,1995-08-30,JP,JAPAN
08705951,95.10291,1995-09-01,FR,FRANCE
08705966,7-227836,1995-09-05,JP,JAPAN
08705968,95-10232,1995-08-30,FR,FRANCE
08705969,7-229942,1995-09-07,JP,JAPAN
08705970,7-229490,1995-09-06,JP,JAPAN
08705971,223614/1995,1995-08-31,JP,JAPAN
08705972,5-114542,1993-05-17,JP,JAPAN
08705972,5-18122,1993-01-08,JP,JAPAN
08705972,5-18123,1993-01-08,JP,JAPAN
08705972,5-114544,1993-05-17,JP,JAPAN
08705972,4-335556,1992-11-20,JP,JAPAN
08705972,5-70874,1993-03-05,JP,JAPAN
08705972,5-114543,1993-05-17,JP,JAPAN
08705972,5-70873,1993-03-05,JP,JAPAN
08705973,7-223933,1995-08-31,JP,JAPAN
08705973,8-003182,1996-01-11,JP,JAPAN
08705978,P.HEI. 6-25597,1994-02-23,JP,JAPAN
08705980,92-27123,1992-12-31,KR,REPUBLIC OF KOREA
08705988,"7-218,259",1996-08-20,JP,JAPAN
08705988,"7-229,190",1995-09-06,JP,JAPAN
08705989,9503003-7,1995-08-31,SE,SWEDEN
08705991,P 44 02 463.0,1994-01-28,DE,GERMANY
08705993,7-223605,1995-08-31,JP,JAPAN
08705994,7-283467,1995-10-31,JP,JAPAN
08705995,163488/HEI.5(1,1993-07-01,JP,JAPAN
08706013,6-158921,1994-07-11,JP,JAPAN
08706013,6-086848,1994-04-25,JP,JAPAN
08706016,US 96/05660,1996-05-01,WO,WORLD INTELLECTUAL PROPERTY ORGANIZATION (WIPO) (INTERNATIONAL BUREAU OF)
08706018,40872/1995,1995-11-11,KR,REPUBLIC OF KOREA
08706018,27623/1995,1995-08-30,KR,REPUBLIC OF KOREA
08706028,EP 95114591.1,1995-09-15,EP,EUROPEAN PATENT OFFICE (EPO)
08706030,19532267.3-51,1995-09-01,DE,GERMANY
08706031,07-246619(1995,1995-03-31,JP,JAPAN
08706041,9602925.1,1996-02-13,GB,UNITED KINGDOM
08706048,95202367.9,1995-09-01,EP,EUROPEAN PATENT OFFICE (EPO)
08706049,95202348.9,1995-08-31,EP,EUROPEAN PATENT OFFICE (EPO)
08706056,1152172,1995-09-05,IL,ISRAEL
08706063,9517912.3,1995-09-02,GB,UNITED KINGDOM
08706066,9202297,1992-12-31,NL,NETHERLANDS
08706068,95830369.5,1995-08-31,EP,EUROPEAN PATENT OFFICE (EPO)
08706070,JP 7-245465,1995-08-30,JP,JAPAN
08706071,JP 7-245402,1995-08-30,JP,JAPAN
08706072,195 31 876.5,1995-08-30,DE,GERMANY
08706079,19532886.8,1995-09-06,DE,GERMANY
08706087,7-225249,1995-09-01,JP,JAPAN
08706094,HEI. 7-245310,1995-08-30,JP,JAPAN
08706094,HEI. 8-186659,1996-06-27,JP,JAPAN
08706110,A1527/95,1995-09-14,AT,AUSTRIA
08706112,95 202349.7,1995-08-31,EP,EUROPEAN PATENT OFFICE (EPO)
08706113,95202351.3,1995-08-31,EP,EUROPEAN PATENT OFFICE (EPO)
08706114,19532422.6,1995-09-01,DE,GERMANY
08706116,19532524.9,1995-09-02,DE,GERMANY
08706120,151711/1996,1996-05-22,JP,JAPAN
08706120,246732/1995,1995-08-30,JP,JAPAN
08706144,95-31752,1995-09-22,KR,REPUBLIC OF KOREA
08706146,7-244671/1995,1995-09-22,JP,JAPAN
08706148,95-28088,1995-08-31,KR,REPUBLIC OF KOREA
08706154,7-233444,1995-08-31,JP,JAPAN
08706154,7-233442,1995-08-31,JP,JAPAN
08706154,7-233443,1995-08-31,JP,JAPAN
08706160,96-15394,1996-05-10,KR,REPUBLIC OF KOREA
08706163,95-28089,1995-08-31,KR,REPUBLIC OF KOREA
08706164,257266/1995,1995-09-11,JP,JAPAN
08706167,P42 02 717.9,1992-01-31,DE,GERMANY
08706167,P41 40 837.3,1991-12-11,DE,GERMANY
08706179,P.HEI5-239756,1993-09-27,JP,JAPAN
08706181,P-44-20-530.9,1994-06-14,DE,GERMANY
08706195,6-89464,1994-04-27,JP,JAPAN
08706195,5-234989,1993-09-21,JP,JAPAN
08706195,5-272037,1993-10-29,JP,JAPAN
08706196,5-351187,1993-12-29,JP,JAPAN
08706201,7-223417,1995-08-31,JP,JAPAN
08706206,PCT/US/96/0203,1996-02-13,US,UNITED STATES OF AMERICA
08706210,7-248685,1995-08-31,JP,JAPAN
08706223,95-28403,1995-08-31,KR,REPUBLIC OF KOREA
08706224,7-323414,1995-12-13,JP,JAPAN
08706224,7-228421,1995-09-05,JP,JAPAN
08706226,P07-230408,1995-09-07,JP,JAPAN
08706227,HEI. 7-255487,1995-09-06,JP,JAPAN
08706229,7-229215,1995-09-06,JP,JAPAN
08706233,7-229537,1995-09-06,JP,JAPAN
08706233,8-235894,1996-08-19,JP,JAPAN
08706234,146297/92,1992-05-13,JP,JAPAN
08706234,111927/93,1993-05-13,JP,JAPAN
08706234,97704/93,1993-04-23,JP,JAPAN
08706235,111927/93,1993-05-13,JP,JAPAN
08706235,146297/92,1992-05-13,JP,JAPAN
08706235,97704/93,1993-04-23,JP,JAPAN
08706236,7-229398,1995-09-06,JP,JAPAN
08706238,95-54535,1995-12-22,KR,REPUBLIC OF KOREA
08706240,95 113854.4,1995-04-09,EP,EUROPEAN PATENT OFFICE (EPO)
08706241,EP 95202398.4,1995-09-05,EP,EUROPEAN PATENT OFFICE (EPO)
08706248,7-228319,1995-09-05,JP,JAPAN
08706249,HEI. 8-210124,1996-08-08,JP,JAPAN
08706249,HEI. 7-226624,1995-09-04,JP,JAPAN
08706250,7-226427,1995-09-04,JP,JAPAN
08706251,7-229273,1995-09-06,JP,JAPAN
08706252,HEI-7-228294,1995-09-05,JP,JAPAN
08706252,HEI-8-217663,1996-08-19,JP,JAPAN
08706258,MI95A001876,1995-09-06,IT,ITALY
08706262,95.10586,1995-09-06,FR,FRANCE
08706265,7-255671,1995-07-09,JP,JAPAN
08706266,195 37 839.3,1995-10-11,DE,GERMANY
08706267,7-226230,1995-09-04,JP,JAPAN
08706268,95 10 450,1995-09-06,FR,FRANCE
08706271,195 37 173.9,1995-10-06,DE,GERMANY
08706279,1995-229472,1995-09-06,JP,JAPAN
08706279,1995-229471,1995-09-06,JP,JAPAN
08706282,HEI.7-255840,1995-09-08,JP,JAPAN
08706284,30508/95,1995-09-08,AU,AUSTRALIA
08706289,90 08298,1990-06-29,FR,FRANCE
08706290,252069/HEI.7,1995-09-06,JP,JAPAN
08706291,P07-251890,1995-09-05,JP,JAPAN
08706300,03 675/93-0,1993-12-06,CH,SWITZERLAND
08706300,02 602/94-7,1994-08-25,CH,SWITZERLAND
