application_number,foreign_parent_id,foreign_parent_date,parent_country_code,parent_country
PCT/US98/16791,97 11054,1997-09-05,FR,FRANCE
PCT/US98/16827,9708009.5,1997-08-26,GB,UNITED KINGDOM
PCT/US98/16965,97202674.4,1997-09-01,None,None
PCT/US98/17060,9717566.5,1997-08-19,GB,UNITED KINGDOM
PCT/US98/17060,9718332.1,1997-09-01,GB,UNITED KINGDOM
PCT/US98/17086,9-222747,1997-08-19,JP,JAPAN
PCT/US98/17086,9-264287,1997-09-29,JP,JAPAN
PCT/US98/17092,9720329.3,1997-09-27,GB,UNITED KINGDOM
PCT/US98/17093,9720331.9,1997-09-24,GB,UNITED KINGDOM
PCT/US98/17159,9720 2670.2,1997-09-01,None,None
PCT/US98/17260,9717776.0,1997-08-21,GB,UNITED KINGDOM
PCT/US98/17317,9-235208,1997-08-29,JP,JAPAN
PCT/US98/17383,97/7520,1997-08-21,ZA,SOUTH AFRICA
PCT/US98/17393,97114841.6,1998-08-21,None,None
PCT/US98/17421,JP9-241700,1997-08-25,JP,JAPAN
PCT/US98/17467,9800459.1,1998-01-09,GB,UNITED KINGDOM
PCT/US98/17504,9718195.2,1997-08-29,GB,UNITED KINGDOM
PCT/US98/17510,9801003.6,1998-01-16,GB,UNITED KINGDOM
PCT/US98/17532,9800955.8,1998-01-16,GB,UNITED KINGDOM
PCT/US98/17577,PCT/US98/08126,1998-04-27,US,UNITED STATES OF AMERICA
PCT/US98/17613,97114629,1997-08-21,RU,RUSSIAN FEDERATION
PCT/US98/17692,9813579.1,1998-06-24,GB,UNITED KINGDOM
PCT/US98/17697,9724331.5,1997-11-18,GB,UNITED KINGDOM
PCT/US98/17698,9807361.2,1998-04-06,GB,UNITED KINGDOM
PCT/US98/17699,9724299.4,1997-11-18,GB,UNITED KINGDOM
PCT/US98/17712,9718123.4,1997-08-28,GB,UNITED KINGDOM
PCT/US98/17720,97116804.0,1997-08-26,CN,CHINA
