application_number,child_application_number,child_filing_date,continuation_type
60428585,10722695,2003-11-24,PRO
60428585,PCT/US03/37617,2003-11-24,PRO
60428586,10627328,2003-07-25,PRO
60428588,PCT/US03/37579,2003-11-21,PRO
60428588,10718781,2003-11-20,PRO
60428591,10719409,2003-11-22,PRO
60428596,10611494,2003-06-30,PRO
60428599,10657518,2003-09-08,PRO
60428600,11743376,2007-05-02,PRO
60428600,10720844,2003-11-21,PRO
60428600,PCT/US03/37574,2003-11-21,PRO
60428601,10383708,2003-03-06,PRO
60428602,10717746,2003-11-20,PRO
60428602,12353853,2009-01-14,PRO
60428602,PCT/US03/37484,2003-11-21,PRO
60428603,10717872,2003-11-20,PRO
60428604,11933753,2007-11-01,PRO
60428604,PCT/US03/37268,2003-11-21,PRO
60428604,PCT/US03/37397,2003-11-21,PRO
60428604,10719765,2003-11-21,PRO
60428604,10719809,2003-11-21,PRO
60428604,11534323,2006-09-22,PRO
60428604,11552216,2006-10-24,PRO
60428605,10719464,2003-11-21,PRO
60428606,10354905,2003-01-29,PRO
60428607,10386013,2003-03-11,PRO
60428607,PCT/US03/37499,2003-11-20,PRO
60428609,10623074,2003-07-18,PRO
60428609,10409022,2003-04-08,PRO
60428610,PCT/US03/37524,2003-11-24,PRO
60428610,10535796,2006-07-06,PRO
60428614,11053185,2005-02-08,PRO
60428614,PCT/US03/25016,2003-08-08,PRO
60428614,13089969,2011-04-19,PRO
60428615,10646605,2003-08-22,PRO
60428616,10455105,2003-06-05,PRO
60428617,10667643,2003-09-22,PRO
60428618,10715029,2003-11-17,PRO
60428618,PCT/US03/36685,2003-11-17,PRO
60428620,PCT/US03/37368,2003-11-21,PRO
60428620,10715903,2003-11-18,PRO
60428620,PCT/US03/37409,2003-11-21,PRO
60428624,10632934,2003-08-01,PRO
60428624,PCT/US03/24021,2003-08-01,PRO
60428629,10718999,2003-11-21,PRO
60428629,PCT/US03/37577,2003-11-21,PRO
60428630,10698354,2003-10-30,PRO
60428631,12418249,2009-04-03,PRO
60428631,10722689,2003-11-24,PRO
60428631,PCT/US03/37860,2003-11-24,PRO
60428632,10693327,2003-10-24,PRO
60428633,PCT/US03/37656,2003-11-20,PRO
60428633,10630189,2003-07-29,PRO
60428634,10637848,2003-08-07,PRO
60428634,11208470,2005-08-18,PRO
60428634,PCT/US03/37654,2003-11-20,PRO
