application_number,parent_application_number,parent_filing_date,continuation_type
13393899,PCT/SE10/00213,2010-09-02,NST
13393900,PCT/US2010/047690,2010-09-02,NST
13393901,PCT/KR10/09241,2010-12-23,NST
13393902,PCT/CN2010/076529,2010-09-01,NST
13393903,PCT/CA10/01416,2010-09-02,NST
13393904,PCT/JP2010/065010,2010-09-02,NST
13393905,PCT/GB10/51439,2010-09-01,NST
13393906,61239570,2009-09-03,PRO
13393906,PCT/US10/47663,2010-09-02,NST
13393907,61239589,2009-09-03,PRO
13393907,PCT/US10/47673,2010-09-02,NST
13393908,PCT/JP2010/065059,2010-09-02,NST
13393909,PCT/DE10/01043,2010-09-02,NST
13393910,PCT/GB09/01899,2009-07-31,NST
13393911,PCT/KR10/05630,2010-08-24,NST
13393912,PCT/US2010/047712,2010-09-02,NST
13393913,PCT/JP2010/069082,2010-10-27,NST
13393914,PCT/EP2010/005185,2010-08-24,NST
13393915,PCT/JP2010/064976,2010-08-26,NST
13393916,PCT/EP2010/062817,2010-09-01,NST
13393917,PCT/EP10/64565,2010-09-30,NST
13393918,PCT/JP2010/069642,2010-10-28,NST
13393919,61278111,2009-10-02,PRO
13393919,PCT/US10/02634,2010-09-29,NST
13393920,PCT/JP2010/065636,2010-09-10,NST
13393921,PCT/GB10/01689,2010-09-03,NST
13393922,PCT/JP2011/061613,2011-05-20,NST
13393923,PCT/GB2010/001669,2010-09-03,NST
13393924,61239963,2009-09-04,PRO
13393924,PCT/US10/37604,2010-06-07,NST
13393925,PCT/JP09/65396,2009-09-03,NST
13393926,PCT/JP2010/060044,2010-06-14,NST
13393927,PCT/EP10/05383,2010-09-02,NST
13393928,PCT/EP2010/062568,2010-08-27,NST
13393929,PCT/EP10/60565,2010-07-21,NST
13393930,PCT/IB10/54165,2010-09-15,NST
13393931,PCT/JP2010/061765,2010-07-12,NST
13393932,PCT/JP2011/003186,2011-06-07,NST
13393933,PCT/JP2010/065630,2010-09-10,NST
13393934,PCT/EP10/62914,2010-09-02,NST
13393935,PCT/JP2011/065208,2011-07-01,NST
13393936,PCT/EP2009/061456,2009-09-04,NST
13393937,PCT/JP2009/004334,2009-09-02,NST
13393938,PCT/JP2010/061772,2010-07-12,NST
13393939,PCT/CN11/80073,2011-09-23,NST
13393940,PCT/JP2010/058328,2010-05-18,NST
13393941,PCT/US10/47259,2010-08-31,NST
13393942,PCT/US2010/047207,2010-08-31,NST
13393943,PCT/KR2010/005489,2010-08-19,NST
13393944,PCT/JP2009/066009,2009-09-14,NST
13393945,PCT/SE2010/000212,2010-09-01,NST
13393946,PCT/GB10/01623,2010-08-27,NST
13393947,PCT/KR2010/006972,2010-10-12,NST
13393948,PCT/GB2010/001680,2010-09-03,NST
13393949,PCT/US2010/047701,2010-09-02,NST
13393950,PCT/GB10/51467,2010-09-03,NST
13393951,PCT/EP10/05319,2010-08-30,NST
13393952,PCT/SE11/51572,2011-12-22,NST
13393953,PCT/EP2010/060499,2010-07-20,NST
13393954,PCT/JP2011/077740,2011-11-24,NST
13393955,PCT/JP2010/005431,2010-09-03,NST
13393956,61239082,2009-09-02,PRO
13393956,PCT/US10/47749,2010-09-02,NST
13393957,PCT/CN10/74518,2010-06-25,NST
13393958,PCT/AU2010/001133,2010-09-02,NST
13393959,PCT/ES09/70367,2009-09-03,NST
13393960,PCT/EP2010/062963,2010-09-03,NST
13393961,PCT/KR10/06046,2010-09-06,NST
13393962,PCT/JP2010/064270,2010-08-24,NST
13393963,PCT/EP2010/062725,2010-08-31,NST
13393964,PCT/CN10/71575,2010-04-06,NST
13393965,PCT/IT09/00395,2009-09-02,NST
13393966,PCT/EP10/63027,2010-09-06,NST
13393967,PCT/JP2011/003861,2011-07-06,NST
13393968,PCT/EP2010/062143,2010-08-20,NST
13393969,PCT/US2010/048867,2010-09-15,NST
13393970,PCT/JP10/64481,2010-08-26,NST
13393971,PCT/JP2010/005758,2010-09-24,NST
13393972,61239979,2009-09-04,PRO
13393972,PCT/US10/47869,2010-09-03,NST
13393973,PCT/US2010/047767,2010-09-03,NST
13393974,PCT/EP10/62877,2010-09-02,NST
13393975,PCT/IB2010/053961,2010-09-02,NST
13393976,PCT/FR10/51793,2010-08-27,NST
13393977,61239950,2009-09-04,PRO
13393977,PCT/US10/47828,2010-09-03,NST
13393978,PCT/FR2010/051545,2010-07-21,NST
13393979,PCT/EP2010/059609,2010-07-06,NST
13393980,PCT/JP2012/000944,2012-02-13,NST
13393981,PCT/JP2010/064904,2010-09-01,NST
13393982,PCT/JP2010/065421,2010-09-08,NST
13393983,PCT/JP2010/001422,2010-03-02,NST
13393984,PCT/GB11/01590,2011-11-10,NST
13393985,PCT/EP10/67903,2010-11-22,NST
13393986,PCT/NL10/50525,2010-08-23,NST
13393987,PCT/CN2009/075582,2009-12-15,NST
13393988,PCT/JP2010/064683,2010-08-30,NST
13393989,PCT/KR2010/005823,2010-08-30,NST
13393990,PCT/EP2010/063028,2010-09-06,NST
13393991,PCT/IB10/53997,2010-09-06,NST
13393992,PCT/JP2011/003812,2011-07-04,NST
13393993,PCT/KR2010/005931,2010-09-01,NST
13393994,PCT/EP2010/063062,2010-09-06,NST
13393995,PCT/EP2010/062871,2010-09-02,NST
13393996,PCT/CH10/00214,2010-09-01,NST
13393997,PCT/EP10/05362,2010-09-01,NST
13393998,PCT/IB2010/053822,2010-08-25,NST
13393999,PCT/EP2010/062648,2010-08-30,NST
13394000,PCT/US2010/047710,2010-09-02,NST
13394001,PCT/KR2010/005939,2010-09-02,NST
13394002,PCT/FR2010/051817,2010-09-01,NST
13394003,PCT/JP2010/066386,2010-09-22,NST
13394004,PCT/NL10/50556,2010-09-03,NST
13394005,PCT/JP2010/064905,2010-09-01,NST
13394006,PCT/EP10/62784,2010-09-01,NST
13394007,PCT/JP2010/065179,2010-09-03,NST
13394008,PCT/EP2010/062404,2010-08-25,NST
13394009,PCT/JP2010/066187,2010-09-17,NST
13394010,PCT/US2010/047823,2010-09-03,NST
13394011,PCT/EP10/62775,2010-09-01,NST
13394012,PCT/CH2010/000215,2010-09-01,NST
13394013,PCT/EP2010/005080,2010-08-19,NST
13394014,PCT/JP2010/065619,2010-09-10,NST
13394015,PCT/JP10/61979,2010-07-15,NST
13394016,PCT/EP2010/062863,2010-09-02,NST
13394017,PCT/IL2010/000702,2010-08-16,NST
13394018,PCT/EP10/62796,2010-09-01,NST
13394019,PCT/JP2010/005427,2010-09-03,NST
13394020,PCT/JP2010/005738,2010-09-22,NST
13394021,PCT/EP10/05455,2010-09-06,NST
13394022,PCT/FI10/50663,2010-08-25,NST
13394023,PCT/JP2009/065500,2009-09-04,NST
13394024,PCT/EP2010/005454,2010-09-06,NST
13394025,61239371,2009-09-02,PRO
13394025,PCT/US10/47557,2010-09-01,NST
13394026,PCT/EP2010/062574,2010-08-27,NST
13394027,PCT/EP10/62879,2010-09-02,NST
13394028,PCT/GB10/51450,2010-09-02,NST
13394029,PCT/JP2011/063911,2011-06-17,NST
13394030,PCT/EP10/62663,2010-08-31,NST
13394031,PCT/KR10/05731,2010-08-26,NST
13394032,PCT/CN10/76408,2010-08-27,NST
13394033,PCT/NZ2010/000175,2010-09-03,NST
13394034,PCT/IB10/53798,2010-08-24,NST
13394035,PCT/CA10/01373,2010-09-02,NST
13394036,PCT/IB10/02386,2010-09-01,NST
13394037,PCT/KR10/03919,2010-06-17,NST
13394038,PCT/JP2010/065074,2010-09-02,NST
13394039,PCT/AU2010/001132,2010-09-02,NST
13394040,PCT/EP10/62631,2010-08-30,NST
13394041,PCT/EP2010/005228,2010-08-26,NST
13394042,PCT/EP10/62949,2010-09-03,NST
13394043,PCT/FR2010/000595,2010-08-31,NST
13394044,61240100,2009-09-04,PRO
13394044,PCT/US10/47932,2010-09-06,NST
13394045,PCT/JP2012/001103,2012-02-20,NST
13394046,PCT/JP2010/063293,2010-08-05,NST
13394047,61245759,2009-09-25,PRO
13394047,PCT/US10/49896,2010-09-23,NST
13394048,PCT/JP2011/003157,2011-06-03,NST
13394049,PCT/JP2011/055882,2011-03-14,NST
13394050,PCT/IB10/54078,2010-09-09,NST
13394051,PCT/JP2010/005447,2010-09-03,NST
13394052,PCT/JP2010/065352,2010-09-01,NST
13394053,PCT/JP2010/065178,2010-09-03,NST
13394054,PCT/GB2010/001678,2010-09-03,NST
13394055,61240027,2009-09-04,PRO
13394055,61372270,2010-08-10,PRO
13394055,PCT/US10/47909,2010-09-03,NST
13394056,PCT/ZA2010/000052,2010-09-03,NST
13394057,PCT/AT2010/000274,2010-07-27,NST
13394058,PCT/EP10/61443,2010-08-05,NST
13394059,PCT/FR10/51842,2010-09-03,NST
13394060,61276726,2009-09-15,PRO
13394060,PCT/US10/48992,2010-09-15,NST
13394061,PCT/JP2010/005001,2010-08-09,NST
13394062,PCT/EP10/05009,2010-08-14,NST
13394063,PCT/JP2009/005741,2009-10-29,NST
13394064,61441533,2011-02-10,PRO
13394064,61441540,2011-02-10,PRO
13394064,PCT/US12/24320,2012-02-08,NST
13394065,PCT/JP2011/058311,2011-03-31,NST
