application_number,filing_date,invention_subject_matter,application_type,examiner_name_last,examiner_name_first,examiner_name_middle,examiner_id,examiner_art_unit,uspc_class,uspc_subclass,confirm_number,customer_number,atty_docket_number,appl_status_code,appl_status_date,file_location,file_location_date,earliest_pgpub_number,earliest_pgpub_date,wipo_pub_number,wipo_pub_date,patent_number,patent_issue_date,abandon_date,disposal_type,invention_title,small_entity_indicator,aia_first_to_file
PCT/US99/13050,1999-05-21,?,PCT,STARSIAK,JOHN,S,93229,1743,204,451000,,None,9373/2E974-W,256,10nov2001 00:00:00,9200,2006-03-27,,,199961888,1999-12-02,,,,PEND,MICRO-FABRICATED SORTER FOR BIOLOBICAL AND CHEMICAL MATERIALS,0,0
PCT/US99/13051,1999-06-09,?,PCT,None,None,None,,5332,000,000000,,None,B0662/7013WO,218,06jul1999 21:18:24,9200,2006-03-27,,,199964884,1999-12-16,,,,PEND,METHOD AND APPARATUS FOR MONITORING A MAGNETIC RESONANCE IMAGE DURING TRANSCRANIAL MAGNETIC,0,0
PCT/US99/13052,1999-06-09,?,PCT,HACKLEY JR,PERRY,H,93255,5332,000,000000,,None,44050,218,30jun1999 21:18:20,9200,2006-03-27,,,199964368,1999-12-16,,,,PEND,ADDITIVE COMPOSITION FOR WATER-BASED BUILDING MATERIAL MIXTURES,0,0
PCT/US99/13053,1999-06-09,?,PCT,OMGBA,ESSAMA,,69479,3726,029,898010,,None,99115,256,10nov2001 00:00:00,9200,2006-03-27,,,199964203,1999-12-16,,,,PEND,METHOD AND APPARATUS FOR PULLING BUSHINGS AND BEARINGS,0,0
PCT/US99/13054,1999-06-09,?,PCT,PENDER JR,MICHAEL,J,86471,2762,706,020000,,None,64098/335,256,10nov2001 00:00:00,9200,2006-03-27,,,199964962,1999-12-16,,,,PEND,NEURO-PARITY PATTERN RECOGNITION SYSTEM AND METHOD,0,0
PCT/US99/13055,1999-06-09,?,PCT,LISH,PETER,J,77741,1754,071,064010,,None,JOHNSON 1-10,566,28jul1999 00:00:00,9200,2006-03-27,,,199963817,1999-12-16,,,,PEND,PRECOATED CONTROLLED RELEASE FERTILIZERS AND PROCESSES FOR THEIR PREPARATION,0,0
PCT/US99/13056,1999-06-09,?,PCT,HACKLEY JR,PERRY,H,93255,5332,000,000000,,None,29020/96053A,218,25jun1999 21:17:39,9200,2006-03-27,,,199964332,1999-12-16,,,,PEND,HYDRAULIC CONTROL CIRCUIT,0,0
PCT/US99/13057,1999-06-09,?,PCT,None,None,None,,5332,000,000000,,None,1340.1,218,01jul1999 21:17:34,9200,2006-03-27,,,199964948,1999-12-16,,,,PEND,SECURITY MODEL USING RESTRICTED TOKENS,0,0
PCT/US99/13058,1999-06-09,?,PCT,WALKER,MISTY,F,92867,5332,000,000000,,None,29020/96014A,218,25jun1999 21:17:29,9200,2006-03-27,,,199964333,1999-12-16,,,,PEND,RECYCLE CONTROL SYSTEM FOR DOCK LEVELERS,0,0
PCT/US99/13059,1999-06-09,?,PCT,OLTMANS,ANDREW,L,63392,1742,420,447000,,None,990543,256,10nov2001 00:00:00,9200,2006-03-27,,,199967436,1999-12-29,,,,PEND,ADVANCED ULTRA-SUPERCRITICAL BOILER TUBING ALLOY,0,0
