application_number,child_application_number,child_filing_date,continuation_type
06514184,90002412,1991-08-21,REX
06514186,06801792,1985-11-26,CON
06514186,06689034,1985-01-07,CON
06514188,07388010,1989-07-31,CIP
06514188,08871302,1997-06-09,CON
06514188,06752441,1985-07-03,CON
06514188,07320320,1989-03-07,CON
06514188,07159526,1988-02-23,CON
06514188,08092759,1993-07-16,CIP
06514188,07790773,1991-11-12,CIP
06514188,07840579,1992-02-24,CIP
06514188,07635413,1991-01-03,CON
06514188,08291838,1994-08-17,CIP
06514188,08340045,1994-11-14,CON
06514188,08459356,1995-06-02,CIP
06514188,06821830,1986-01-23,CIP
06514188,06691230,1985-01-14,CIP
06514189,06805980,1985-12-05,CIP
06514195,06648012,1984-09-06,CON
06514197,06730043,1985-05-03,DIV
06514197,07257134,1988-10-11,DIV
06514197,06730042,1985-05-03,DIV
06514197,06730045,1985-05-03,DIV
06514197,07051199,1987-05-18,DIV
06514198,06702137,1985-02-15,CIP
06514201,06718184,1985-03-29,CIP
06514202,06743886,1985-06-12,CON
06514206,06676025,1984-11-28,DIV
06514213,06783335,1985-10-03,CON
06514228,06573025,1984-01-23,CIP
06514239,06885388,1986-07-17,CON
06514252,06814158,1985-12-23,CON
06514259,07233973,1988-08-18,CON
06514283,06711887,1985-06-10,DIV
06514287,07565232,1990-08-10,DIV
06514287,07430128,1989-11-01,DIV
06514287,06772139,1985-09-03,DIV
06514294,06720460,1985-04-05,CON
06514295,06718526,1985-04-01,CIP
06514306,06694910,1985-01-25,DIV
06514311,06818496,1986-01-13,CON
06514311,07204372,1988-06-09,DIV
06514313,06729391,1985-05-01,CON
06514334,06794416,1985-11-04,DIV
06514335,06766961,1985-08-19,DIV
06514336,06853371,1986-04-15,CIP
06514336,06680568,1984-12-11,CIP
06514337,06608875,1984-05-14,CIP
06514337,06608874,1984-05-14,CIP
06514358,06593191,1984-03-27,CON
06514373,06769650,1985-08-27,CON
06514375,06631675,1984-07-17,DIV
06514375,06726200,1985-04-22,CON
06514387,06777145,1985-09-18,DIV
06514394,06860723,1986-05-07,DIV
06514403,06643605,1984-08-23,DIV
06514408,06645470,1984-08-29,DIV
06514415,06592772,1984-03-26,DIV
06514415,06597149,1984-04-05,CIP
06514428,07761136,1991-09-17,DIV
06514428,08093253,1993-07-16,DIV
06514430,06754548,1985-07-15,CON
06514439,07318110,1989-03-02,CON
06514439,07131258,1987-12-07,CON
06514459,06623234,1984-06-21,CON
06514473,06819468,1986-01-15,CON
06514474,06778672,1985-10-25,DIV
06514492,06887258,1986-07-21,CIP
06514506,06869851,1986-05-27,CON
06514510,06724534,1985-04-18,DIV
06514522,06920292,1986-10-17,DIV
06514523,06698833,1985-02-06,DIV
06514523,06691587,1985-01-15,DIV
06514523,06617584,1984-06-05,DIV
06514530,06698236,1985-02-05,CIP
06514538,06606061,1984-05-01,CON
06514541,06691105,1985-01-14,DIV
06514557,06693680,1985-01-22,CIP
06514557,07227089,1988-08-01,CIP
06514557,07027723,1987-03-19,CIP
06514557,06662360,1984-10-18,DIV
06514590,06593267,1984-03-26,CIP
06514590,06583964,1984-02-27,CIP
06514590,06543271,1983-10-17,CIP
06514592,06758851,1985-07-26,CON
06514594,07428897,1989-10-30,CON
06514594,07839704,1992-02-24,CON
06514595,08465014,1995-06-05,CON
06514595,07087974,1987-08-17,CON
06514599,07618576,1990-11-27,CON
06514599,06814685,1985-12-30,CON
06514599,07004415,1987-01-20,CON
06514599,07304008,1989-01-30,CON
06514600,90001372,1987-11-06,REX
06514609,06612919,1984-05-22,CIP
06514615,06792737,1985-10-29,CIP
06514618,07818448,1991-12-30,CON
06514618,08013200,1993-01-29,CON
06514618,07306286,1989-02-02,CON
06514618,07204938,1988-06-06,CON
06514618,07816033,1991-12-30,CON
06514618,06904369,1986-09-08,CON
06514618,08476809,1995-06-08,CON
06514618,08481174,1995-06-08,CON
06514618,09427658,1999-10-26,CON
06514618,07065620,1987-06-30,CON
06514618,07239041,1988-08-29,CON
06514618,07402815,1989-08-24,CON
06514618,08021657,1993-02-22,CON
06514618,08239733,1994-05-09,CIP
06514618,06833661,1986-02-21,CON
06514618,07355041,1989-05-15,CON
06514620,06626175,1984-06-29,CIP
06514622,06815677,1986-01-02,CON
06514625,06792176,1985-10-28,CON
06514640,06726911,1985-04-23,CON
06514642,06650178,1984-09-13,CIP
06514666,06682746,1984-12-17,CIP
06514667,06768656,1985-08-23,DIV
06514694,06702572,1985-02-01,CIP
06514700,06742927,1985-06-10,DIV
06514715,07397366,1989-08-21,CON
06514715,07642615,1991-01-17,CON
06514715,07123097,1987-11-20,CON
06514715,06797057,1985-11-12,CON
06514716,06574227,1984-01-26,CIP
06514716,06784421,1985-10-07,CIP
06514716,07081416,1987-08-04,CIP
06514716,07160950,1988-02-26,CIP
06514716,06597854,1984-04-09,CIP
06514728,06703771,1985-02-21,CIP
06514730,06612192,1984-05-21,CIP
06514740,06736414,1985-05-20,CON
06514748,06613982,1984-05-25,CIP
06514752,07440457,1989-11-20,CON
06514762,06790634,1985-10-23,CON
06514762,06712458,1985-03-15,CON
06514771,06839737,1986-03-14,CON
06514775,06824320,1986-01-31,CON
06514777,06771200,1985-08-30,CON
06514777,06922993,1986-10-24,CON
06514783,06702959,1985-02-19,CIP
06514785,06764977,1985-08-13,CON
06514789,06692736,1985-01-18,CIP
06514804,06714614,1985-03-20,CIP
06514810,06764508,1985-08-09,CON
06514821,06864759,1986-05-14,CON
06514842,06667410,1984-11-05,CON
06514842,06863470,1986-05-14,CON
06514850,06680815,1984-12-12,CON
06514865,06785492,1985-10-08,CIP
06514887,06697335,1985-02-01,CON
06514890,06585107,1984-03-01,CIP
06514908,06792945,1985-10-30,DIV
06514935,06877145,1986-06-23,DIV
06514937,07244032,1988-09-14,REI
06514957,06651422,1984-09-17,DIV
