application_number,child_application_number,child_filing_date,continuation_type
07849557,08144909,1993-10-28,DIV
07849557,08847048,1997-05-01,DIV
07849557,08521338,1995-08-29,DIV
07849562,08212331,1994-03-14,CON
07849564,08006993,1993-01-21,DIV
07849564,08006994,1993-01-21,DIV
07849582,08233719,1994-04-26,CON
07849589,08380325,1995-01-30,CIP
07849589,08015057,1993-02-08,CIP
07849590,08109465,1993-08-20,CON
07849606,08045541,1993-04-09,CIP
07849609,08473932,1995-06-07,CIP
07849609,08182561,1994-01-18,CIP
07849610,09727170,2000-11-30,CIP
07849610,08480189,1995-06-07,CIP
07849612,08014960,1993-02-08,DIV
07849616,08264748,1994-06-23,CON
07849630,08313831,1994-09-28,CON
07849635,08292539,1994-08-18,CON
07849635,08002074,1993-01-08,CON
07849637,08123578,1993-09-17,CON
07849638,08654146,1996-05-28,CON
07849638,08096651,1993-07-22,CON
07849638,08230439,1994-04-19,CON
07849638,08531453,1995-09-21,CON
07849638,07974670,1992-11-12,CON
07849641,08356782,1994-12-12,CON
07849650,08139471,1993-10-18,CIP
07849650,07864889,1992-04-02,CIP
07849650,08139630,1993-10-19,CIP
07849650,07862668,1992-04-02,CIP
07849650,07862669,1992-04-02,CIP
07849651,08483111,1995-06-07,CIP
07849651,08112392,1993-08-27,CIP
07849651,08370769,1994-12-23,CIP
07849659,08132453,1993-10-06,CON
07849662,08271053,1994-07-08,DIV
07849664,08090644,1993-07-13,CON
07849665,08121995,1993-09-14,CIP
07849669,08103813,1993-08-06,CON
07849673,08227670,1994-04-14,CON
07849686,08171863,1993-12-22,CON
07849689,08524158,1995-08-16,CON
07849689,08947402,1997-10-08,CON
07849689,08173860,1993-12-23,CON
07849693,29006363,1993-03-23,CON
07849707,08314307,1994-09-30,CON
07849711,08167092,1993-12-16,DIV
07849716,08070913,1993-06-04,DIV
07849716,08284209,1994-08-02,DIV
07849716,08597298,1996-02-06,DIV
07849716,08413729,1995-03-31,DIV
07849725,08200557,1994-02-22,CON
07849733,08275116,1994-07-14,DIV
07849735,08088917,1993-07-08,CON
07849736,08315846,1994-09-30,CON
07849741,08269172,1994-06-30,CIP
07849746,08722527,1996-09-27,CON
07849746,08216091,1994-03-22,CON
07849750,08372052,1995-01-12,DIV
07849750,08408560,1995-03-21,DIV
07849753,08067422,1993-05-24,CIP
07849753,08169154,1993-12-17,DIV
07849754,09056566,1998-04-07,CIP
07849754,08237057,1994-05-03,CIP
07849754,09274613,1999-03-23,CIP
07849754,08268715,1994-06-30,CON
07849754,10039285,2002-01-03,CIP
07849754,10797718,2004-03-10,CIP
07849755,08119427,1993-09-09,CON
07849760,08425772,1995-04-20,CON
07849763,08735317,1996-10-25,CON
07849769,08030893,1993-03-12,CIP
07849769,08011104,1993-01-29,CON
07849771,07889705,1992-05-26,CIP
07849771,08704427,1996-08-19,CIP
07849771,10807519,2004-03-23,CIP
07849771,09170689,1998-10-13,CIP
07849771,08299008,1994-08-30,CIP
07849771,10804587,2004-03-19,CIP
07849771,09961697,2001-09-24,CIP
07849771,11852694,2007-09-10,CIP
07849771,08461605,1995-06-05,CON
07849771,08284883,1994-07-28,CON
07849771,08277132,1994-07-19,CIP
07849771,08703564,1996-08-27,CIP
07849771,10701199,2003-11-04,CIP
07849773,08105282,1993-07-30,CIP
07849781,08012609,1993-02-02,CON
07849794,08406774,1995-03-17,CON
07849794,08130155,1993-09-30,CON
07849796,08056739,1993-04-30,CON
07849802,08059518,1993-05-10,CON
07849808,08090699,1993-07-13,CON
07849808,08281613,1994-07-28,CON
07849812,90004904,1998-01-26,REX
07849812,08477605,1995-06-07,CIP
07849813,08240040,1994-05-09,CON
07849815,07441785,1989-11-27,DIV
07849825,07980429,1992-11-23,CON
07849827,07900195,1992-06-17,CIP
07849828,08112538,1993-08-27,DIV
07849829,07985363,1992-12-02,CON
07849833,08105186,1993-08-12,CON
07849836,08076686,1993-06-15,CON
07849837,07985756,1992-12-04,CON
07849837,08068071,1993-05-28,CON
