application_number,child_application_number,child_filing_date,continuation_type
08261928,08902207,1997-07-29,CON
08261928,09797487,2001-03-01,CON
08261938,PCT/US95/07524,1995-06-02,CON
08261947,08922117,1997-08-28,CIP
08261947,08448721,1995-05-25,CIP
08261955,PCT/US94/10576,1994-09-22,CON
08261960,08623736,1996-03-29,CON
08261972,08554572,1995-11-06,DIV
08261973,08730460,1996-10-15,CON
08261975,08449223,1995-05-24,CON
08261977,08719367,1996-09-25,CIP
08261977,09382816,1999-08-25,CIP
08261977,09759345,2001-01-16,CIP
08261980,08460997,1995-06-05,DIV
08261980,08523448,1995-09-05,CON
08261982,08433095,1995-05-03,CON
08261986,PCT/US95/02206,1995-02-22,CON
08261988,08724136,1996-09-30,CIP
08261989,90010557,2009-06-04,REX
08261989,08976967,1997-11-24,DIV
08261992,08468361,1995-06-06,DIV
08261996,08656987,1996-06-06,CON
08261998,08478863,1995-06-07,CIP
08261998,09560824,2000-04-28,CIP
08261998,10256177,2002-09-26,CIP
08261998,08819999,1997-03-18,CIP
08261998,08599925,1996-02-12,CIP
08262005,PCT/US95/07516,1995-06-13,CON
08262005,08625335,1996-04-01,CON
08262007,09794167,2001-02-27,CON
08262007,09299895,1999-04-27,CON
08262007,08528258,1995-09-13,DIV
08262007,PCT/US95/07783,1995-06-19,CON
08262007,08570103,1995-12-11,CON
08262007,08819821,1997-03-18,CON
08262014,08568240,1995-12-06,CIP
08262015,09149999,1998-09-08,CIP
08262015,08636151,1996-04-22,CIP
08262024,08797925,1997-02-12,CON
08262024,08557681,1995-11-13,CON
08262025,PCT/US95/07644,1995-06-16,CON
08262033,PCT/US95/06727,1995-06-01,CON
08262033,08353724,1994-12-12,CIP
08262039,08598130,1996-02-07,CON
08262039,08426463,1995-04-19,CON
08262043,PCT/US95/07486,1995-06-12,CON
08262044,08275981,1994-07-15,CIP
08262044,PCT/US95/08614,1995-06-16,CON
08262053,09413484,1999-10-06,CON
08262053,09110394,1998-07-07,CON
08262053,09820348,2001-03-29,CON
08262053,08790864,1997-02-03,CON
08262056,09317378,1999-05-24,CON
08262056,08835638,1997-04-10,CON
08262057,08662027,1996-06-12,DIV
08262059,08472461,1995-06-07,DIV
08262059,08467827,1995-06-06,DIV
08262059,08487154,1995-06-07,DIV
08262059,08766875,1996-12-13,CON
08262063,08785835,1997-01-15,DIV
08262066,08318436,1994-10-05,CON
08262067,09577503,2000-05-24,DIV
08262067,09149082,1998-09-08,DIV
08262069,08790226,1997-01-28,CON
08262069,08599114,1996-02-09,CON
08262071,08847533,1997-04-24,CON
08262071,08342068,1994-11-18,CIP
08262074,08380786,1995-01-30,CIP
08262075,08574039,1995-12-18,DIV
08262086,08640944,1996-05-15,CIP
08262087,08452446,1995-05-26,DIV
08262090,08683347,1996-07-18,CON
08262092,08790325,1997-01-28,CON
08262092,08598412,1996-02-08,CON
08262092,08610197,1996-02-28,CON
08262094,08463385,1995-06-05,DIV
08262095,08314756,1994-09-29,CON
08262096,08597719,1996-02-07,CON
08262100,08463008,1995-06-05,CIP
08262108,PCT/US95/07080,1995-06-05,CON
08262111,08691227,1996-08-01,CON
08262116,08468391,1995-06-06,DIV
08262117,PCT/US95/05572,1995-05-04,CON
08262118,PCT/US95/07218,1995-06-07,CON
08262119,08544570,1995-10-18,CON
08262122,08311628,1994-09-23,DIV
08262122,PCT/US95/07083,1995-06-05,CON
08262128,08538170,1995-08-23,CON
08262131,PCT/US95/07711,1995-06-19,CON
08262134,08720288,1996-09-26,DIV
08262135,08435965,1995-05-05,CIP
08262135,PCT/US95/07614,1995-06-16,CON
08262135,08846891,1997-05-01,CIP
08262135,08288328,1994-08-10,CIP
08262135,PCT/US95/07540,1995-06-13,CON
08262135,08435586,1995-05-05,CIP
08262136,08778735,1997-01-02,CON
08262140,08453791,1995-05-30,DIV
08262143,08473350,1995-06-07,CIP
08262144,08512509,1995-08-08,CON
08262147,PCT/US95/07573,1995-06-14,CON
08262157,PCT/US95/07735,1995-06-19,CON
08262157,10064380,2002-07-08,DIV
08262161,09454825,1999-12-06,DIV
08262161,09457199,1999-12-06,DIV
08262165,PCT/US95/07722,1995-06-19,CON
08262165,08469395,1995-06-06,DIV
08262167,08439209,1995-05-11,DIV
08262170,08480376,1995-06-07,CIP
08262174,08435043,1995-05-08,CON
08262174,08650209,1996-05-20,CON
08262175,08541346,1995-10-10,CON
08262177,08603405,1996-02-20,CON
08262178,08656728,1996-06-03,CON
08262180,08345035,1994-11-25,DIV
08262185,09033921,1998-03-03,CON
08262185,08725926,1996-10-04,CON
08262186,08575442,1995-12-20,CON
08262198,08661857,1996-06-13,CON
08262201,08423736,1995-04-18,DIV
08262202,08459679,1995-06-02,CON
08262203,08474340,1995-06-07,CON
08262206,08736560,1996-10-24,DIV
08262209,PCT/US95/06317,1995-05-19,CON
08262214,09084113,1998-05-22,CON
08262214,08709597,1996-09-09,CON
08262214,90005178,1998-12-07,CON
08262214,PCT/IB96/01026,1996-09-09,CON
08262214,08843700,1997-04-16,CON
08262220,PCT/US95/07665,1995-06-19,CON
08262220,08470638,1995-06-06,DIV
08262220,08750494,1997-06-12,CIP
08262220,08468878,1995-06-06,DIV
08262220,08471733,1995-06-06,DIV
08262224,08539542,1995-10-05,CON
08262228,08826300,1997-03-27,CON
08262234,08647221,1996-05-09,DIV
08262235,08452103,1995-05-26,CIP
08262239,PCT/US95/05840,1995-05-10,CON
08262239,08621812,1996-03-22,CIP
08262242,08539215,1995-10-05,CIP
08262245,08591102,1996-01-25,CON
08262245,PCT/US95/07582,1995-06-14,CON
08262250,08565905,1995-12-01,CON
08262254,PCT/US95/07608,1995-06-14,CON
08262254,08432805,1995-05-02,CIP
08262254,08864109,1997-05-28,CIP
08262281,09049541,1998-03-27,DIV
08262281,08467634,1995-06-06,DIV
08262285,08579125,1995-12-27,CIP
08262285,08359297,1994-12-19,CIP
08262289,08338080,1994-11-14,DIV
08262289,08407821,1995-03-21,DIV
08262290,08409462,1995-03-20,DIV
08262291,08534588,1995-09-27,DIV
08262294,08689218,1996-08-07,CON
08262294,PCT/US95/07789,1995-06-19,CON
08262306,PCT/US95/07687,1995-06-19,CON
08262307,PCT/US95/07917,1995-06-07,CON
08262307,11180491,2005-07-13,CIP
08262307,08708555,1996-09-06,CIP
08262310,08769765,1996-12-19,DIV
08262310,08778442,1996-12-26,CON
08262311,08516126,1995-08-17,CON
08262319,08637561,1996-04-25,CON
08262333,08763781,1996-12-11,DIV
08262333,08763780,1996-12-11,DIV
08262335,08614849,1996-03-12,CON
08262338,08759579,1996-12-05,DIV
08262338,08460114,1995-06-02,DIV
08262338,09133966,1998-08-14,DIV
08262339,08865860,1997-05-30,DIV
08262339,08620564,1996-03-22,DIV
08262342,08511952,1995-08-07,CON
08262346,08538179,1995-08-23,CON
08262349,08427488,1995-04-24,CON
08262349,08350505,1994-12-06,CON
08262353,08465740,1995-06-06,DIV
08262353,08827186,1997-03-27,CON
08262353,08303938,1994-09-09,CIP
08262356,08409944,1995-03-23,CON
08262362,08815574,1997-03-12,DIV
08262399,08786697,1997-01-22,DIV
08262401,11953108,2007-12-10,CON
08262401,12508202,2009-07-23,CON
08262401,10115365,2002-04-03,CON
08262401,10115364,2002-04-03,CON
08262401,09697379,2000-10-26,CON
08262401,11926792,2007-10-29,CON
08262401,12894935,2010-09-30,CON
08262401,10108795,2002-03-28,CON
08262401,09133962,1998-08-14,CON
08262401,10116212,2002-04-03,CON
08262403,08653078,1996-03-05,CON
