application_number,child_application_number,child_filing_date,continuation_type
08462967,10646770,2003-08-25,CIP
08462967,10125451,2002-04-19,CIP
08462967,09479729,2000-01-07,CIP
08462967,11561963,2006-11-21,CIP
08462967,PCT/US96/02598,1996-02-23,CON
08462967,09717209,2000-11-22,CIP
08462967,08613822,1996-02-23,CIP
08462967,10263139,2002-10-03,CIP
08462969,09613508,2000-07-10,DIV
08462969,10801669,2004-03-17,DIV
08462969,12197977,2008-08-25,DIV
08462970,08738182,1996-10-28,CON
08462977,10755118,2004-01-09,CON
08462984,08778252,1997-01-08,CON
08462985,PCT/US96/08592,1996-06-04,CON
08462985,08605741,1996-02-22,CIP
08462988,PCT/US96/08326,1996-06-03,CON
08462990,08859741,1997-05-21,DIV
08462990,08859742,1997-05-21,DIV
08463002,11194689,2005-08-02,CON
08463002,10983627,2004-11-09,DIV
08463002,10933519,2004-09-03,DIV
08463002,09457669,1999-12-09,CON
08463002,10326098,2002-12-23,DIV
08463002,09853774,2001-05-14,DIV
08463002,11293364,2005-12-05,DIV
08463002,11293302,2005-12-05,DIV
08463002,10100109,2002-03-19,DIV
08463002,08738461,1996-10-30,DIV
08463002,08738659,1996-10-30,DIV
08463002,08916009,1997-08-21,CON
08463002,12276951,2008-11-24,DIV
08463002,11293367,2005-12-05,DIV
08463002,10736678,2003-12-17,DIV
08463009,PCT/US96/06439,1996-05-08,CON
08463018,08823520,1997-03-24,CON
08463021,08590702,1996-01-29,CON
08463028,10634165,2003-08-05,CON
08463037,08907402,1997-08-07,CON
08463037,09366371,1999-08-03,CON
08463037,PCT/US96/08836,1996-06-04,CON
08463043,08756539,1996-11-26,CON
08463050,08961243,1997-10-30,CON
08463050,08611007,1996-03-05,CIP
08463050,08847222,1997-05-01,CIP
08463053,08716932,1996-10-10,CON
08463055,08794380,1997-02-04,DIV
08463055,09093581,1998-06-08,CON
08463055,PCT/US96/08731,1996-06-04,CON
08463058,08740140,1996-10-22,DIV
08463058,09262853,1999-03-05,DIV
08463058,10728987,2003-12-08,DIV
08463058,09636222,2000-08-10,DIV
08463065,08807658,1997-02-27,CON
08463071,PCT/US96/09485,1996-06-05,CON
08463073,08851336,1997-05-05,CIP
08463073,09002343,1998-01-02,CON
08463074,PCT/US96/09194,1996-06-05,CON
08463077,08829532,1997-03-28,CIP
08463081,PCT/US96/09194,1996-06-05,CON
08463086,PCT/US95/08074,1995-06-26,CON
08463090,09072994,1998-05-05,CIP
08463090,PCT/US96/08807,1996-06-05,CON
08463106,09963090,2001-09-25,CON
08463106,12353907,2009-01-14,CON
08463106,08916464,1997-08-08,CON
08463106,09239659,1999-01-29,CIP
08463106,13465838,2012-05-07,CON
08463106,09461172,1999-12-14,CON
08463106,09241139,1999-02-01,DIV
08463108,08644382,1996-05-10,DIV
08463113,08935976,1997-09-23,CON
08463114,PCT/US96/03143,1996-03-07,CON
08463137,08647073,1996-05-08,CON
08463144,08873631,1997-06-12,CON
08463147,09803707,2001-03-09,CON
08463147,08940358,1997-09-30,CON
08463147,09330228,1999-06-10,CON
08463150,08702824,1996-08-23,CIP
08463150,PCT/US96/07142,1996-05-17,CON
08463151,PCT/US96/06293,1996-05-03,CON
08463151,08630187,1996-04-10,CIP
08463152,08806350,1997-02-26,CON
08463154,08647159,1996-05-21,CIP
08463155,PCT/US96/09059,1996-06-04,CON
08463166,09687610,2000-10-11,CIP
08463166,PCT/US96/07942,1996-05-29,CON
08463166,08968319,1997-11-12,CIP
08463173,PCT/US96/08929,1996-06-05,CON
08463174,08957307,1997-10-23,CON
08463181,09581861,2001-03-05,CIP
08463181,08946298,1997-10-07,CIP
08463181,08582333,1996-01-17,CIP
08463181,09747774,2000-12-21,CIP
08463181,10967087,2004-10-15,CIP
08463181,12106678,2008-04-21,CIP
08463182,09447505,1999-11-23,CON
08463182,09127174,1998-07-31,CON
08463182,09287447,1999-04-07,CON
08463187,08649754,1996-05-29,CIP
08463187,08659497,1996-06-05,CIP
08463187,PCT/US96/08887,1996-06-05,CON
08463187,09192628,1998-11-16,CIP
08463188,09070126,1998-04-29,CIP
08463188,08625737,1996-03-29,CIP
08463188,08537593,1995-10-02,CIP
08463188,08998464,1997-12-26,CIP
08463188,09012064,1998-01-22,CIP
08463191,10917703,2004-08-13,CON
08463194,PCT/US96/09274,1996-06-06,CON
08463194,08585040,1996-01-11,CIP
08463201,09613487,2000-07-11,CIP
08463201,09067511,1998-04-27,CIP
08463201,PCT/US96/06785,1996-05-14,CON
08463205,08671696,1996-06-28,DIV
08463216,08743519,1996-11-04,CON
08463217,PCT/US96/08531,1996-06-04,CON
08463220,PCT/US96/07905,1996-05-28,CON
08463222,10359091,2003-02-06,CON
08463222,10437038,2003-05-14,DIV
08463223,08910515,1997-08-02,CIP
08463227,08754581,1996-11-21,DIV
08463227,08947680,1997-09-19,DIV
08463227,08947682,1997-09-29,CON
08463231,PCT/US95/16096,1995-12-13,CON
08463241,90013449,2015-02-18,REX
08463245,08606858,1996-02-26,CIP
08463254,08917220,1997-08-25,REI
08463261,09901904,2001-07-11,CON
08463261,10116064,2002-04-05,DIV
08463261,09262087,1999-03-04,DIV
08463261,09387525,1999-09-01,CON
08463261,10366445,2003-02-14,CON
08463264,PCT/US96/09582,1996-06-04,CON
08463264,08672664,1996-06-28,CIP
08463272,08889007,1997-07-07,CON
08463274,08748549,1996-11-12,CON
08463274,09843857,2001-04-30,CON
08463276,09671776,2000-09-27,CON
08463292,08801758,1997-02-18,CIP
08463292,09203961,1998-12-02,CIP
08463297,10659838,2003-09-10,DIV
08463297,11741641,2007-04-27,DIV
08463297,08958595,1997-10-29,DIV
08463297,09732235,2000-12-07,DIV
08463301,08741127,1996-10-31,CON
08463301,PCT/US96/09567,1996-06-05,CON
08463308,08744532,1996-11-06,DIV
08463310,09515456,2000-02-29,CIP
08463310,08658818,1996-05-31,CIP
08463313,08692315,1996-08-05,CON
08463318,PCT/US96/08241,1996-05-31,CON
08463323,09054782,1998-04-03,CON
08463323,10377817,2003-03-04,CON
08463323,10886556,2004-07-09,CON
08463326,PCT/US95/09859,1995-08-03,CON
08463334,09139492,1998-08-25,CON
08463342,08689135,1996-07-30,CIP
08463344,09159360,1998-09-23,REI
08463348,08822205,1997-03-20,CON
08463366,PCT/US96/05882,1996-04-26,CON
