application_number,child_application_number,child_filing_date,continuation_type
09568001,13171352,2011-06-28,CON
09568003,11643539,2006-12-21,CON
09568003,10422552,2003-04-24,CON
09568012,13722856,2012-12-20,CON
09568012,13037658,2011-03-01,CON
09568012,14517491,2014-10-17,CON
09568012,10245310,2002-09-18,DIV
09568012,10419105,2003-04-21,CON
09568012,11715966,2007-03-09,CON
09568016,10365399,2003-02-13,CON
09568018,10947211,2004-09-23,CON
09568018,13194194,2011-07-29,CON
09568018,12847401,2010-07-30,CON
09568019,10313104,2002-12-06,CON
09568022,09865474,2001-05-29,CON
09568022,90008717,2007-06-19,CIP
09568022,90008724,2007-06-19,REX
09568023,10302931,2002-11-25,DIV
09568026,10310772,2002-12-06,DIV
09568038,09953152,2001-09-17,CON
09568045,10043153,2002-01-14,CIP
09568047,11228239,2005-09-19,DIV
09568047,11332744,2006-01-17,CON
09568059,10012131,2001-10-22,CIP
09568076,11392201,2006-03-29,CON
09568076,10387212,2003-03-10,CON
09568077,10383291,2003-03-06,CON
09568077,09769562,2001-01-25,CON
09568079,09851612,2001-05-08,CIP
09568082,PCT/US00/27750,2000-10-06,CON
09568084,11120274,2005-05-02,CON
09568089,11497105,2006-08-01,CON
09568089,10868388,2004-06-15,CON
09568089,10133206,2002-04-26,CON
09568090,10824063,2004-04-13,CIP
09568095,11266465,2005-11-03,DIV
09568095,11265834,2005-11-03,DIV
09568095,11265938,2005-11-03,DIV
09568095,11266503,2005-11-03,DIV
09568095,11265899,2005-11-03,DIV
09568095,11266451,2005-11-03,DIV
09568095,11266450,2005-11-03,DIV
09568095,11266529,2005-11-03,DIV
09568095,11266468,2005-11-03,DIV
09568098,09734796,2000-12-11,CIP
09568100,PCT/US01/09919,2001-03-27,CON
09568100,11344932,2006-02-01,CIP
09568100,09759143,2001-01-12,CIP
09568100,10144678,2002-05-09,CIP
09568100,09636215,2000-08-09,CIP
09568100,09570737,2000-05-12,CIP
09568100,10012896,2001-12-10,CIP
09568100,09593793,2000-06-13,CIP
09568100,10294025,2002-11-12,CIP
09568100,11929396,2007-10-30,CIP
09568100,09780669,2001-02-09,CIP
09568100,11928383,2007-10-30,CIP
09568100,13088159,2011-04-15,CIP
09568100,11929390,2007-10-30,CIP
09568100,11928369,2007-10-30,CIP
09568100,11234786,2005-09-23,CON
09568100,09657279,2000-09-06,CIP
09568100,11928375,2007-10-30,CIP
09568106,09932302,2001-08-17,CIP
09568106,09975586,2001-10-11,CON
09568106,11517676,2006-09-08,CON
09568113,10648708,2003-08-26,CIP
09568113,11061047,2005-02-18,DIV
09568113,10385994,2003-03-11,DIV
09568113,10112233,2002-03-28,CIP
09568113,10300518,2002-11-20,DIV
09568121,10712967,2003-11-14,CIP
09568121,12006440,2008-01-02,CIP
09568121,09877957,2001-06-08,CIP
09568121,13076953,2011-03-31,CIP
09568130,10892397,2004-07-16,DIV
09568130,10420921,2003-04-23,DIV
09568131,10192967,2002-07-10,DIV
09568142,11727461,2007-03-27,CON
09568142,10424769,2003-04-29,CON
09568143,10725412,2003-12-03,DIV
09568148,10828037,2004-04-20,CON
09568148,11868598,2007-10-08,CON
09568150,10941052,2004-09-14,CON
09568151,10247030,2002-09-19,CON
09568153,09747232,2000-12-26,DIV
09568153,10384803,2003-03-11,DIV
09568155,11059645,2005-02-17,CON
09568159,10054925,2002-01-25,CON
09568161,10737933,2003-12-18,CON
09568165,10686317,2003-10-15,CON
09568165,12557358,2009-09-10,CON
09568166,10272593,2002-10-16,CIP
09568173,09903354,2001-07-11,DIV
09568174,11201130,2005-08-11,CON
09568189,10803063,2004-03-16,CON
09568190,11317499,2005-12-22,CON
09568190,10218970,2002-08-14,CON
09568190,10669028,2003-09-23,CON
09568191,10698036,2003-10-30,DIV
09568191,10464407,2003-06-18,DIV
09568191,09850312,2001-05-07,DIV
09568199,90008147,2006-09-21,REX
09568205,12405904,2009-03-17,CON
09568207,10980455,2004-11-02,CIP
09568207,10128658,2002-04-22,CIP
09568207,11121630,2005-05-03,CIP
09568214,10314626,2002-12-09,DIV
09568215,14246447,2014-04-07,CON
09568215,10060310,2002-02-01,CIP
09568215,13532246,2012-06-25,CON
09568217,10647067,2003-08-21,REI
09568217,11349498,2006-02-06,REI
09568218,13866501,2013-04-19,CON
09568218,10417719,2003-04-17,CON
09568218,11974478,2007-10-12,CON
09568218,12984939,2011-01-05,CON
09568218,11974465,2007-10-12,CON
09568218,11175714,2005-07-05,CON
09568221,10321718,2002-12-17,CON
09568221,10756213,2004-01-12,CON
09568221,12848034,2010-07-30,CON
09568223,10887108,2004-07-08,CON
09568223,12255517,2008-10-21,CON
09568229,14580007,2014-12-22,CIP
09568229,13341788,2011-12-30,CON
09568229,11198436,2005-08-04,CON
09568229,10372003,2003-02-21,CIP
09568229,12650351,2009-12-30,CON
09568229,11890714,2007-08-06,CON
09568229,12908828,2010-10-20,CON
09568229,14795760,2015-07-09,CON
09568231,PCT/US00/16505,2000-06-15,CON
09568254,10140978,2002-05-08,CON
09568254,13033093,2011-02-23,DIV
09568254,10150789,2002-05-16,CIP
09568254,09853188,2001-05-09,CIP
09568255,10052589,2002-01-18,DIV
09568259,09921186,2001-08-02,CON
09568267,11191517,2005-07-28,CON
09568268,09904416,2001-07-12,DIV
09568276,10642476,2003-08-15,CON
09568288,09785261,2001-02-20,DIV
09568288,10434111,2003-05-09,DIV
09568288,13913885,2013-06-10,DIV
09568288,12172585,2008-07-14,DIV
09568288,11267190,2005-11-07,DIV
09568288,14477074,2014-09-04,DIV
09568288,10193914,2002-07-15,DIV
09568288,10950512,2004-09-28,DIV
09568288,12815952,2010-06-15,DIV
09568288,12239000,2008-09-26,DIV
09568288,11828495,2007-07-26,DIV
09568288,09944407,2001-09-04,DIV
09568292,09852497,2001-05-10,CIP
09568293,11768838,2007-06-26,CON
09568293,10796793,2004-03-09,CON
09568301,09633410,2000-08-07,CIP
09568301,11349542,2006-02-06,CIP
