application_number,child_application_number,child_filing_date,continuation_type
10140527,11644953,2006-12-26,DIV
10140527,11153020,2005-06-14,DIV
10140529,10991622,2004-11-17,CON
10140529,11523153,2006-09-18,CON
10140532,PCT/US02/14566,2002-05-06,CON
10140532,11371210,2006-03-07,DIV
10140535,11546872,2006-10-11,CIP
10140535,11621649,2007-01-10,CON
10140535,11258297,2005-10-24,CIP
10140535,10337427,2003-01-06,CIP
10140535,10462491,2003-06-14,CIP
10140536,10607353,2003-06-26,DIV
10140537,11235610,2005-09-26,DIV
10140537,11249549,2005-10-13,DIV
10140537,11249075,2005-10-12,DIV
10140537,11985625,2007-11-16,DIV
10140538,PCT/US03/12591,2003-04-24,CON
10140540,10975239,2004-10-27,CON
10140540,11188567,2005-07-25,CON
10140540,11188566,2005-07-25,CIP
10140541,10726111,2003-12-02,DIV
10140544,10948948,2004-09-24,CIP
10140545,PCT/US02/34001,2002-10-23,CON
10140545,11013179,2004-12-15,CON
10140545,10278845,2002-10-23,CIP
10140545,11339364,2006-01-25,CIP
10140548,11419058,2006-05-18,DIV
10140548,10740295,2003-12-18,DIV
10140554,PCT/US03/12297,2003-04-22,CON
10140558,10884726,2004-07-02,DIV
10140562,PCT/US03/14271,2003-05-07,CON
10140566,13491150,2012-06-07,REI
10140581,11515334,2006-08-31,CON
10140588,PCT/US03/04529,2003-02-14,CON
10140589,12111140,2008-04-28,DIV
10140589,13276222,2011-10-18,DIV
10140589,11263792,2005-10-31,DIV
10140589,14599326,2015-01-16,DIV
10140589,11153030,2005-06-14,DIV
10140589,11264573,2005-10-31,DIV
10140589,13900296,2013-05-22,DIV
10140602,13011792,2011-01-21,DIV
10140602,PCT/US03/14098,2003-05-07,CON
10140602,12782599,2010-05-18,DIV
10140603,10694142,2003-10-27,CIP
10140607,PCT/US03/13512,2003-04-29,CON
10140608,10778795,2004-02-12,DIV
10140611,PCT/US02/19754,2002-06-21,CON
10140612,PCT/US03/13172,2003-04-30,CON
10140614,10821559,2004-04-09,DIV
10140618,11396124,2006-03-30,DIV
10140618,PCT/US03/13597,2003-05-01,CON
10140620,11291126,2005-11-30,CIP
10140620,11149862,2005-06-10,CIP
10140620,PCT/US03/10146,2003-03-31,CON
10140620,13717124,2012-12-17,CIP
10140622,13085644,2011-04-13,CON
10140622,11833571,2007-08-03,CON
10140622,13724199,2012-12-21,CON
10140625,10785747,2004-02-23,CIP
10140631,PCT/US03/10429,2003-04-02,CON
10140635,PCT/US03/14094,2003-05-06,CON
10140639,PCT/US03/13730,2003-05-01,CON
10140652,10896127,2004-07-21,CIP
10140654,12693069,2010-01-25,DIV
10140654,13488672,2012-06-05,DIV
10140654,11072196,2005-03-04,DIV
10140654,12271346,2008-11-14,DIV
10140658,PCT/US03/13317,2003-04-30,CON
10140658,10914537,2004-08-09,DIV
10140668,12148972,2008-04-24,CON
10140668,11017992,2004-12-21,CON
10140677,PCT/US03/04518,2003-02-14,CON
10140682,11091876,2005-03-28,CON
10140684,11613279,2006-12-20,CON
10140686,PCT/US03/14219,2003-05-05,CON
10140686,10648926,2003-08-27,DIV
10140691,PCT/US03/14213,2003-05-07,CON
10140692,PCT/US03/14048,2003-05-06,CON
10140694,13029202,2011-02-17,CON
10140700,PCT/US03/12996,2003-04-28,CON
10140707,11099147,2005-04-05,CON
10140722,11195442,2005-08-02,CON
10140722,11513799,2006-08-31,DIV
10140722,10793157,2004-03-04,CON
10140729,PCT/US03/14413,2003-05-07,CON
10140731,12076175,2008-03-14,DIV
10140735,10644409,2003-08-19,DIV
10140735,PCT/US03/13927,2003-05-02,CON
10140735,12480017,2009-06-08,CIP
10140735,10644224,2003-08-19,CON
10140737,PCT/US03/14220,2003-05-05,CON
10140738,PCT/US03/13421,2003-04-30,CON
10140738,11095429,2005-03-31,CON
10140746,95000433,2009-01-29,CON
10140746,95000434,2009-01-29,REX
10140746,90009083,2008-04-18,REX
10140746,90009084,2008-04-18,CON
10140746,10661251,2003-09-12,CON
10140747,11202954,2005-08-11,CON
10140748,10899576,2004-07-26,CON
10140751,11745008,2007-05-07,DIV
10140752,11854486,2007-09-12,CON
10140752,13485650,2012-05-31,DIV
10140752,11668322,2007-01-29,DIV
10140755,10774925,2004-02-09,CIP
10140755,12016792,2008-01-18,CIP
10140755,PCT/US02/41442,2002-12-27,CON
10140755,13166247,2011-06-22,CIP
10140755,11248844,2005-10-12,CIP
10140761,10924350,2004-08-23,CON
10140763,11385250,2006-03-20,CON
10140765,PCT/US03/02976,2003-01-31,CON
10140766,10946407,2004-09-21,CIP
10140772,PCT/US03/13189,2003-04-25,CON
10140773,PCT/US03/12953,2003-04-25,CON
10140774,12360776,2009-01-27,DIV
10140774,10146466,2002-05-15,CIP
10140774,11082070,2005-03-16,CIP
10140774,11082378,2005-03-17,DIV
10140775,11317334,2005-12-22,CON
10140775,PCT/US03/13187,2003-04-25,CON
10140779,PCT/US03/14478,2003-05-06,CON
10140780,10975263,2004-10-28,CON
10140786,PCT/US03/14166,2003-05-06,CON
10140791,10658480,2003-09-09,CON
10140794,PCT/US03/14528,2003-05-07,CON
10140796,10899791,2004-07-27,CIP
10140796,10963666,2004-10-13,DIV
10140796,13250715,2011-09-30,CIP
10140796,13535026,2012-06-27,DIV
10140796,14015466,2013-08-30,CIP
10140796,12698658,2010-02-02,CIP
10140796,14015466,2013-08-30,DIV
10140796,PCT/US02/16407,2002-05-23,CON
10140796,13250715,2011-09-30,DIV
10140796,11875353,2007-10-19,DIV
10140801,10797162,2004-03-10,CIP
10140818,PCT/US03/14431,2003-05-09,CON
10140823,10941861,2004-09-16,CON
10140829,11264170,2005-11-02,CON
10140830,PCT/US03/12217,2003-04-21,CON
10140841,10980546,2004-11-03,CON
10140841,10440642,2003-05-19,CON
10140846,10836901,2004-04-30,DIV
10140847,10694973,2003-10-28,DIV
10140848,10731763,2003-12-09,DIV
10140848,11494193,2006-07-27,DIV
10140848,12060686,2008-04-01,DIV
10140848,10668489,2003-09-23,DIV
10140848,10731355,2003-12-09,DIV
10140848,10623244,2003-07-18,DIV
10140848,PCT/US03/13937,2003-05-05,CON
10140848,11555094,2006-10-31,DIV
10140850,11845278,2007-08-27,CON
10140850,PCT/US03/01315,2003-01-15,CON
10140850,12243284,2008-10-01,CON
10140851,PCT/US02/31606,2002-10-31,CON
10140855,10752862,2004-01-06,CIP
10140875,11141509,2005-06-01,CIP
10140875,11448887,2006-06-08,CIP
10140884,PCT/US03/12117,2003-04-30,CON
10140885,PCT/US03/13807,2003-05-02,CON
10140887,11481066,2006-07-06,DIV
10140899,11086847,2005-03-22,CON
10140899,PCT/US03/13955,2003-05-03,CON
10140899,PCT/US03/13254,2003-04-30,CON
10140899,11291136,2005-11-30,CON
10140899,10832886,2004-04-27,CON
10140899,PCT/US03/13942,2003-05-05,CON
10140904,10211651,2002-08-02,CIP
10140911,10650465,2003-08-27,CON
10140913,PCT/US03/14250,2003-05-05,CON
10140915,10926858,2004-08-26,DIV
10140915,10926912,2004-08-26,CON
10140915,10666105,2003-09-18,CIP
10140915,10926857,2004-08-26,DIV
10140915,10926888,2004-08-26,CON
10140917,PCT/US03/13840,2003-05-05,CON
10140929,10372277,2003-02-25,DIV
10140934,PCT/US03/14806,2003-05-08,CON
10140934,11539623,2006-10-06,CON
10140936,10737752,2003-12-18,DIV
10140941,10799881,2004-03-15,DIV
10140941,11395134,2006-04-03,DIV
10140943,10694086,2003-10-28,CON
10140945,10411237,2003-04-11,CON
10140945,13533003,2012-06-26,CON
10140945,12482579,2009-06-11,CON
10140955,14247163,2014-04-07,DIV
10140955,10924514,2004-08-23,DIV
10140956,10430586,2003-05-06,CIP
10140957,11079797,2005-03-14,CON
10140962,10345746,2003-01-16,CON
10140970,10615749,2003-07-08,CON
10140973,10815380,2004-03-30,DIV
10140977,11741334,2007-04-27,CON
10140983,11987025,2007-11-27,CON
10140990,10364667,2003-02-12,CIP
10140990,PCT/US03/14648,2003-05-09,CON
10141008,11356199,2006-02-17,CIP
10141008,11434666,2006-05-16,CIP
10141008,11111334,2005-04-21,CIP
10141008,11589357,2006-10-30,CIP
10141024,PCT/US03/05936,2003-02-27,CON
10141024,10392406,2003-03-19,DIV
10141026,PCT/US03/14110,2003-05-07,CON
10141026,10175487,2002-06-19,CIP
10141031,PCT/US02/29124,2002-09-12,CON
10141034,PCT/US03/14265,2003-05-08,CON
10141036,11042567,2005-01-24,CON
10141036,PCT/US02/14693,2002-05-08,CON
10141038,10839856,2004-05-06,CON
10141045,10771029,2004-02-03,CIP
10141049,13799275,2013-03-13,CON
10141049,12924351,2010-09-24,CON
10141049,11180806,2005-07-12,CON
10141049,11438938,2006-05-22,CON
10141050,11981507,2007-10-31,REI
10141057,10775255,2004-02-11,CON
10141075,11898873,2007-09-17,DIV
10141075,11082777,2005-03-18,DIV
10141078,PCT/US02/15244,2002-05-10,CON
10141084,12818418,2010-06-18,CIP
10141084,11355450,2006-02-16,CIP
10141085,12149432,2008-05-01,DIV
10141085,11050792,2005-02-07,DIV
10141087,PCT/US03/12469,2003-04-23,CON
10141090,11050203,2005-02-03,DIV
10141091,PCT/US03/14227,2003-05-06,CON
10141096,11789315,2007-04-24,CON
10141097,10863011,2004-06-08,CON
10141100,11594144,2006-11-08,DIV
10141114,10609146,2003-06-27,CIP
10141117,11023582,2004-12-29,CON
10141120,10298579,2002-11-19,CON
10141120,10461453,2003-06-16,CON
10141126,10288444,2002-11-06,CIP
10141128,PCT/IB03/01493,,CON
10141135,11330064,2006-01-12,CON
10141136,10780210,2004-02-17,DIV
10141140,12318457,2008-12-30,CON
10141140,11712919,2007-03-02,CON
10141140,10964718,2004-10-15,CON
10141146,14264690,2014-04-29,CON
10141150,10775358,2004-02-10,CIP
10141156,11124459,2005-05-06,CON
10141158,10144201,2002-05-10,CIP
10141158,10736652,2003-12-16,CIP
10141158,11079977,2005-03-11,CIP
10141166,12111430,2008-04-29,CON
10141168,PCT/US03/14254,2003-05-05,CON
10141168,10690770,2003-10-21,CIP
10141177,11648911,2007-01-03,CON
