application_number,child_application_number,child_filing_date,continuation_type
12405366,13555335,2012-07-23,CON
12405370,13162659,2011-06-17,DIV
12405374,13793841,2013-03-11,CON
12405380,13535479,2012-06-28,DIV
12405383,13552093,2012-07-18,CON
12405385,13924165,2013-06-21,CON
12405385,13099022,2011-05-02,CON
12405385,13464526,2012-05-04,CON
12405385,14683987,2015-04-10,CON
12405398,PCT/US10/24211,2010-02-15,CON
12405409,14021800,2013-09-09,CIP
12405409,13013712,2011-01-25,CIP
12405409,14853412,2015-09-14,CIP
12405413,13669920,2012-11-06,CON
12405417,14173127,2014-02-05,DIV
12405432,12894803,2010-09-30,CON
12405457,12985771,2011-01-06,DIV
12405458,13108073,2011-05-16,CON
12405459,13343482,2012-01-04,CON
12405461,PCT/US09/40612,2009-04-15,CON
12405468,14568384,2014-12-12,DIV
12405474,13546074,2012-07-11,DIV
12405475,13441618,2012-04-06,CON
12405475,14220923,2014-03-20,CON
12405475,14789645,2015-07-01,CON
12405481,13232623,2011-09-14,CON
12405486,13442941,2012-04-10,CON
12405486,13729359,2012-12-28,CON
12405489,13689260,2012-11-29,CON
12405489,12841894,2010-07-22,CON
12405491,PCT/US09/49570,2009-07-02,CON
12405498,14799655,2015-07-15,CON
12405502,14537811,2014-11-10,DIV
12405502,13566717,2012-08-03,CIP
12405521,13423635,2012-03-19,CON
12405525,12723128,2010-03-12,CON
12405530,PCT/US10/25861,2010-03-02,CON
12405535,PCT/US10/27416,2010-03-16,CON
12405539,PCT/US10/27626,2010-03-17,CON
12405547,13487519,2012-06-04,DIV
12405551,13615098,2012-09-13,CON
12405557,13204062,2011-08-05,DIV
12405558,14694225,2015-04-23,CON
12405558,12759314,2010-04-13,CON
12405565,13212541,2011-08-18,DIV
12405572,13668859,2012-11-05,CON
12405573,14266349,2014-04-30,CON
12405573,13410988,2012-03-02,CON
12405573,14685159,2015-04-13,CON
12405574,12844045,2010-07-27,CON
12405576,13096056,2011-04-28,CON
12405584,PCT/US10/27413,2010-03-16,CON
12405585,14286550,2014-05-23,CON
12405585,13645128,2012-10-04,CON
12405585,13330471,2011-12-19,CON
12405585,13933883,2013-07-02,CON
12405586,13044743,2011-03-10,DIV
12405586,PCT/US09/38828,2009-03-30,CON
12405594,13448899,2012-04-17,CON
12405594,PCT/US09/37441,2009-03-17,CON
12405594,14255291,2014-04-17,CON
12405599,13654507,2012-10-18,CON
12405599,13666579,2012-11-01,CON
12405604,12562791,2009-09-18,CIP
12405604,12725599,2010-03-17,CIP
12405610,12882832,2010-09-15,CON
12405613,13411003,2012-03-02,CON
12405614,13399347,2012-02-17,CON
12405614,13209645,2011-08-15,CON
12405614,14211256,2014-03-14,CON
12405614,14641812,2015-03-09,CON
12405614,13621382,2012-09-17,CON
12405614,14033963,2013-09-23,CON
12405614,14678145,2015-04-03,CON
12405614,12724895,2010-03-16,CON
12405614,12908481,2010-10-20,CON
12405616,13374221,2011-12-15,CON
12405616,14297110,2014-06-05,CON
12405616,14725734,2015-05-29,CON
12405616,13205097,2011-08-08,CON
12405616,14725694,2015-05-29,CON
12405616,14738606,2015-06-12,CON
12405618,12752611,2010-04-01,CIP
12405621,13539818,2012-07-02,DIV
12405623,PCT/US09/58165,2009-09-24,CON
12405626,13272821,2011-10-13,CON
12405626,14015638,2013-08-30,CON
12405626,14659200,2015-03-16,CON
12405626,14015708,2013-08-30,CON
12405626,14659266,2015-03-16,CON
12405626,13619223,2012-09-14,CON
12405634,PCT/US09/37463,2009-03-18,CON
12405644,13180702,2011-07-12,DIV
12405649,PCT/US09/38146,2009-03-24,CON
12405664,14861328,2015-09-22,CON
12405664,14063645,2013-10-25,CON
12405665,13612221,2012-09-12,CON
12405665,13800128,2013-03-13,CON
12405665,13040914,2011-03-04,CON
12405666,PCT/US10/27152,2010-03-12,CON
12405668,12882643,2010-09-15,DIV
12405671,PCT/US10/27285,2010-03-15,CON
12405677,13150892,2011-06-01,CON
12405684,PCT/US09/37475,2009-03-18,CON
12405686,13241064,2011-09-22,CON
12405686,12762103,2010-04-16,CON
12405686,13925474,2013-06-24,CON
12405686,12762027,2010-04-16,CON
12405694,13857547,2013-04-05,DIV
12405694,12719469,2010-03-08,CIP
12405694,14708675,2015-05-11,CIP
12405694,13786895,2013-03-06,CIP
12405694,14463211,2014-08-19,CIP
12405694,PCT/US09/01730,2009-03-18,CON
12405701,14072654,2013-11-05,CON
12405701,14072661,2013-11-05,CON
12405706,PCT/US10/27581,2010-03-17,CON
12405707,13229219,2011-09-09,CIP
12405707,PCT/US10/27288,2010-03-15,CON
12405708,PCT/US09/37810,2009-03-20,CON
12405711,13154014,2011-06-06,CIP
12405713,12898749,2010-10-06,CON
12405716,14557098,2014-12-01,CON
12405733,12819533,2010-06-21,DIV
12405733,14290099,2014-05-29,DIV
12405733,13735244,2013-01-07,DIV
12405733,13413871,2012-03-07,DIV
12405733,14030526,2013-09-18,DIV
12405733,13287395,2011-11-02,DIV
12405734,14615016,2015-02-05,CON
12405742,PCT/US10/27637,2010-03-17,CON
12405743,12555250,2009-09-08,CIP
12405748,PCT/US10/26807,2010-03-10,CON
12405751,13927560,2013-06-26,CON
12405751,13624257,2012-09-21,CON
12405752,14224016,2014-03-24,CON
12405756,13153261,2011-06-03,CON
12405758,PCT/US10/27603,2010-03-17,CON
12405761,13826630,2013-03-14,CON
12405761,13826400,2013-03-14,CON
12405761,13835691,2013-03-15,CIP
12405761,13826855,2013-03-14,CON
12405761,14467697,2014-08-25,CON
12405761,14462956,2014-08-19,CON
12405761,13826934,2013-03-14,CON
12405761,14702034,2015-05-01,CON
12405764,13523019,2012-06-14,CON
12405765,PCT/US09/37763,2009-03-20,CON
12405769,PCT/US10/27549,2010-03-16,CON
12405773,12410362,2009-03-24,CIP
12405773,PCT/US09/38135,2009-03-24,CON
12405773,PCT/US09/41835,2009-04-27,CON
12405773,12429988,2009-04-24,CIP
12405773,13094105,2011-04-26,DIV
12405773,PCT/US09/37581,2009-03-18,CON
12405776,13409737,2012-03-01,DIV
12405778,13156075,2011-06-08,CON
12405779,14691042,2015-04-20,CON
12405779,PCT/US09/01730,2009-03-18,CON
12405779,13305415,2011-11-28,CON
12405779,14518114,2014-10-20,CON
12405785,14192170,2014-02-27,DIV
12405788,14798997,2015-07-14,DIV
12405788,PCT/US09/58171,2009-09-24,CON
12405797,PCT/US10/27391,2010-03-16,CON
12405805,13149002,2011-05-31,DIV
12405807,PCT/US10/27380,2010-03-16,CON
12405807,13242014,2011-09-23,CIP
12405809,12852059,2010-08-06,CON
12405810,13369274,2012-02-08,CON
12405824,13603793,2012-09-05,DIV
12405834,PCT/US10/27523,2010-03-16,CON
12405842,PCT/US10/25235,2010-02-24,CON
12405842,13396363,2012-02-14,CIP
12405859,13525657,2012-06-18,CON
12405862,PCT/US10/00798,2010-03-17,CON
12405865,PCT/US10/24722,2010-02-19,CON
12405866,PCT/US09/01730,2009-03-18,CON
12405866,14012622,2013-08-28,CON
12405875,12986792,2011-01-07,CON
12405879,13664037,2012-10-30,CON
12405881,PCT/US10/27633,2010-03-17,CON
12405882,13407023,2012-02-28,CON
12405884,13456218,2012-04-26,CON
12405889,14552941,2014-11-25,CON
12405893,13468827,2012-05-10,CON
12405894,13422987,2012-03-16,CON
12405897,13283966,2011-10-28,CON
12405898,13470136,2012-05-11,CIP
12405898,14594061,2015-01-09,CIP
12405900,13189337,2011-07-22,DIV
12405902,PCT/US09/37882,2009-03-20,CON
12405909,13323279,2011-12-12,CON
12405918,12900303,2010-10-07,CON
12405918,PCT/US10/27593,2010-03-17,CON
12405920,13071445,2011-03-24,DIV
12405925,PCT/US09/01730,2009-03-18,CON
12405925,14456321,2014-08-11,CON
12405929,13912718,2013-06-07,CON
12405931,12754551,2010-04-05,CIP
12405934,13545551,2012-07-10,DIV
12405935,PCT/US10/27702,2010-03-17,CON
12405938,29367478,2010-08-09,CIP
12405938,29359241,2010-04-07,CIP
12405938,12543736,2009-08-19,CIP
12405944,13847292,2013-03-19,CIP
12405952,PCT/US10/26478,2010-03-08,CON
12405954,PCT/IL10/00172,2010-03-02,CON
12405955,13301259,2011-11-21,CON
12405955,12776678,2010-05-10,CIP
12405956,14109503,2013-12-17,CIP
12405956,13669417,2012-11-05,CIP
12405956,13041929,2011-03-07,CIP
12405962,13215279,2011-08-23,CIP
12405963,14658972,2015-03-16,DIV
12405965,13408016,2012-02-29,DIV
12405971,13208623,2011-08-12,DIV
12405971,PCT/US10/27488,2010-03-16,CON
12405971,13892959,2013-05-13,DIV
12405971,14273294,2014-05-08,DIV
12405975,PCT/US09/01840,2009-03-24,CON
12405981,PCT/US10/26733,2010-03-09,CON
12405983,14265553,2014-04-30,CON
12405983,PCT/US09/38043,2009-03-24,CON
12405985,PCT/US09/37444,2009-03-17,CON
12405994,13570591,2012-08-09,DIV
12405998,12570996,2009-09-30,CON
12406002,PCT/US09/65003,2009-11-18,CON
12406014,13181750,2011-07-13,DIV
12406015,12986115,2011-01-06,CON
12406016,14473809,2014-08-29,CON
12406018,13557092,2012-07-24,DIV
12406021,13461550,2012-05-01,CON
12406021,12774663,2010-05-05,CON
12406021,14042376,2013-09-30,CON
12406022,13481741,2012-05-25,CON
12406024,14077178,2013-11-11,CON
12406024,13245728,2011-09-26,CON
12406024,14924659,2015-10-27,CON
12406024,14180299,2014-02-13,CON
12406024,14180311,2014-02-13,CON
12406024,14180325,2014-02-13,CON
12406024,14316757,2014-06-26,CON
12406024,14864417,2015-09-24,CON
12406028,PCT/US10/27701,2010-03-17,CON
12406030,PCT/US10/27527,2010-03-16,CON
12406033,12905778,2010-10-15,CON
12406038,13553739,2012-07-19,DIV
12406038,13553711,2012-07-19,CON
12406048,12891485,2010-09-27,DIV
12406049,14224931,2014-03-25,DIV
12406049,12492360,2009-06-26,CIP
12406049,13405094,2012-02-24,DIV
12406049,13446863,2012-04-13,CIP
12406050,PCT/US10/27354,2010-03-15,CON
12406064,PCT/US10/20186,2010-01-06,CON
12406073,PCT/US10/20188,2010-01-06,CON
12406077,PCT/US10/20189,2010-01-06,CON
12406078,12955140,2010-11-29,CON
12406078,14455042,2014-08-08,CON
12406078,12764071,2010-04-20,CON
12406084,13950106,2013-07-24,CON
12406084,PCT/US10/21054,2010-01-14,CON
12406091,13281414,2011-10-25,DIV
12406091,13281415,2011-10-25,DIV
12406093,13400848,2012-02-21,CON
12406108,PCT/US10/27737,2010-03-17,CON
12406109,13029309,2011-02-17,DIV
12406109,PCT/US10/00778,2010-03-15,CON
12406112,13283619,2011-10-28,DIV
12406117,13517619,2012-06-14,DIV
12406130,14527093,2014-10-29,DIV
12406140,12878221,2010-09-09,CON
12406140,13396751,2012-02-15,CON
12406140,13613215,2012-09-13,CON
12406146,13687123,2012-11-28,DIV
12406149,PCT/US10/26484,2010-03-08,CON
12406160,13569358,2012-08-08,DIV
12406164,13279772,2011-10-24,CON
12406166,13048218,2011-03-15,DIV
12406173,PCT/US10/24307,2010-02-16,CON
12406174,14047532,2013-10-07,DIV
12406174,13109718,2011-05-17,DIV
12406181,PCT/US10/26999,2010-03-11,CON
12406187,PCT/US09/06292,2009-11-24,CON
12406200,12648396,2009-12-29,CON
12406202,PCT/US10/26198,2010-03-04,CON
12406212,14271737,2014-05-07,CON
12406212,PCT/US10/24680,2010-02-19,CON
12406217,14067694,2013-10-30,CON
12406219,13423086,2012-03-16,CON
12406223,13277478,2011-10-20,DIV
12406227,13347993,2012-01-11,CON
12406231,13587403,2012-08-16,DIV
12406233,PCT/US09/02002,2009-03-31,CON
12406234,13167146,2011-06-23,CON
12406234,14275323,2014-05-12,CON
12406234,13543103,2012-07-06,CON
12406234,14021660,2013-09-09,CON
12406246,14789504,2015-07-01,CON
12406246,13906692,2013-05-31,CON
12406246,14290567,2014-05-29,CON
12406246,13347983,2012-01-11,CON
12406260,PCT/US10/23914,2010-02-11,CON
12406262,13010996,2011-01-21,CON
12406265,PCT/US10/21234,2010-01-15,CON
12406268,PCT/US09/37596,2009-03-19,CON
12406269,13494435,2012-06-12,CON
12406271,13215416,2011-08-23,DIV
12406271,PCT/US10/24589,2010-02-18,CON
12406273,13291375,2011-11-08,CON
12406273,14485246,2014-09-12,CON
12406278,13915083,2013-06-11,DIV
12406278,PCT/US09/37615,2009-03-19,CON
12406281,PCT/US10/27451,2010-03-16,CON
12406283,12701108,2010-02-05,DIV
12406289,13793896,2013-03-11,CON
12406289,PCT/US09/37608,2009-03-19,CON
12406292,PCT/US10/27435,2010-03-16,CON
12406311,13158714,2011-06-13,DIV
12406311,13158679,2011-06-13,DIV
12406313,PCT/US10/27564,2010-03-17,CON
12406314,12610199,2009-10-30,CIP
12406314,PCT/US09/55450,2009-08-28,CON
12406314,12550232,2009-08-28,CIP
12406319,PCT/US10/27582,2010-03-17,CON
12406327,14803129,2015-07-20,CON
12406327,14280879,2014-05-19,CON
12406327,13607819,2012-09-10,CON
12406327,13106863,2011-05-13,CON
12406329,13950986,2013-07-25,CON
12406334,13430273,2012-03-26,DIV
12406337,14703900,2015-05-05,CIP
12406337,12954682,2010-11-26,CIP
12406337,12542702,2009-08-18,CON
12406337,12897765,2010-10-04,CIP
12406337,12939178,2010-11-04,CIP
12406348,14023717,2013-09-11,DIV
12406348,14792398,2015-07-06,DIV
12406348,13870272,2013-04-25,DIV
12406348,13565128,2012-08-02,DIV
12406348,13043778,2011-03-09,DIV
12406348,13184077,2011-07-15,DIV
12406348,12780410,2010-05-14,DIV
12406349,PCT/US10/27372,2010-03-16,CON
12406350,13673397,2012-11-09,CON
12406355,12836533,2010-07-14,CON
12406356,12946582,2010-11-15,CON
12406360,PCT/US09/37618,2009-03-19,CON
12406361,12572538,2009-10-02,CON
12406361,12608591,2009-10-29,CON
12406363,12835348,2010-07-13,CIP
12406370,PCT/US09/37527,2009-03-18,CON
12406378,PCT/US10/27585,2010-03-17,CON
12406382,13285099,2011-10-31,DIV
12406384,13418689,2012-03-13,DIV
12406384,PCT/US10/27586,2010-03-17,CON
12406388,13465108,2012-05-07,CON
12406389,13569967,2012-08-08,DIV
12406389,14218447,2014-03-18,DIV
12406396,12705048,2010-02-12,CON
12406404,13618968,2012-09-14,CON
12406405,13739410,2013-01-11,DIV
12406405,12957585,2010-12-01,DIV
12406413,13745078,2013-01-18,DIV
12406416,12795717,2010-06-08,CON
12406416,13114591,2011-05-24,CON
12406417,PCT/US09/50493,2009-07-14,CON
12406428,PCT/US10/24013,2010-02-12,CON
12406436,14305861,2014-06-16,CON
12406436,PCT/US10/27817,2010-03-18,CON
12406436,14305748,2014-06-16,CIP
12406436,14305820,2014-06-16,DIV
