application_number,child_application_number,child_filing_date,continuation_type
12685473,14855264,2015-09-15,CON
12685475,13429654,2012-03-26,CON
12685478,13179129,2011-07-08,CON
12685486,14045524,2013-10-03,CON
12685491,13443427,2012-04-10,CON
12685504,14034529,2013-09-23,CON
12685505,13932841,2013-07-01,CON
12685505,13267667,2011-10-06,CON
12685507,13846341,2013-03-18,CON
12685510,13183231,2011-07-14,CIP
12685513,12838203,2010-07-16,CIP
12685515,14864169,2015-09-24,CON
12685515,13910859,2013-06-05,CON
12685519,13732492,2013-01-02,CON
12685528,14171404,2014-02-03,CON
12685529,PCT/US10/20809,2010-01-12,CON
12685531,13672608,2012-11-08,CIP
12685538,13220527,2011-08-29,CON
12685540,12972367,2010-12-17,CIP
12685540,13219484,2011-08-26,CIP
12685541,13165931,2011-06-22,CON
12685541,13591853,2012-08-22,CON
12685543,14082421,2013-11-18,CON
12685546,13346615,2012-01-09,CON
12685546,13099187,2011-05-02,CON
12685549,13735879,2013-01-07,CIP
12685549,PCT/US11/20541,2011-01-07,CON
12685553,13965724,2013-08-13,CON
12685553,PCT/US10/61854,2010-12-22,CON
12685572,13071282,2011-03-24,DIV
12685576,14608033,2015-01-28,CON
12685577,PCT/US10/62644,2010-12-31,CON
12685582,13225280,2011-09-02,DIV
12685582,14181485,2014-02-14,DIV
12685582,14020670,2013-09-06,DIV
12685583,13914322,2013-06-10,CON
12685585,14675563,2015-03-31,CON
12685585,13566904,2012-08-03,CON
12685585,13329867,2011-12-19,CON
12685585,13566961,2012-08-03,CON
12685585,14335587,2014-07-18,CON
12685585,14059213,2013-10-21,CON
12685585,14094712,2013-12-02,CON
12685585,14059263,2013-10-21,CON
12685585,13659851,2012-10-24,CON
12685585,12875043,2010-09-02,CON
12685585,13244866,2011-09-26,CON
12685591,12836508,2010-07-14,CIP
12685593,13276213,2011-10-18,DIV
12685593,13848009,2013-03-20,DIV
12685596,13541580,2012-07-03,CON
12685600,13571928,2012-08-10,DIV
12685602,13018212,2011-01-31,CIP
12685602,PCT/US11/20084,2011-01-04,CON
12685602,12984052,2011-01-04,CON
12685606,14027877,2013-09-16,CON
12685606,13400282,2012-02-20,CON
