application_number,child_application_number,child_filing_date,continuation_type
13244949,14789930,2015-07-01,CIP
13244949,14848775,2015-09-09,CIP
13244949,13769798,2013-02-18,CIP
13244949,14872919,2015-10-01,CIP
13244949,14335780,2014-07-18,CIP
13244949,14860149,2015-09-21,CIP
13244949,13769820,2013-02-18,CIP
13244949,13769779,2013-02-18,CIP
13244949,14859064,2015-09-18,CIP
13244949,14829572,2015-08-18,CIP
13244949,14789920,2015-07-01,CIP
13244950,14789930,2015-07-01,CIP
13244950,14860149,2015-09-21,CIP
13244950,14789920,2015-07-01,CIP
13244950,13769820,2013-02-18,CIP
13244950,14860048,2015-09-21,CIP
13244950,14157343,2014-01-16,CIP
13244950,14335780,2014-07-18,CIP
13244950,14839749,2015-08-28,CIP
13244950,14183503,2014-02-18,CIP
13244950,14872919,2015-10-01,CIP
13244950,13769779,2013-02-18,CIP
13244950,14181486,2014-02-14,CIP
13244950,14829572,2015-08-18,CIP
13244950,14859064,2015-09-18,CIP
13244950,13769798,2013-02-18,CIP
13244950,14848775,2015-09-09,CIP
13244951,14335780,2014-07-18,CIP
13244951,13769798,2013-02-18,CIP
13244952,14839749,2015-08-28,CIP
13244952,14860149,2015-09-21,CIP
13244952,14183503,2014-02-18,CIP
13244952,14335780,2014-07-18,CIP
13244952,14859064,2015-09-18,CIP
13244952,14848775,2015-09-09,CIP
13244952,13769779,2013-02-18,CIP
13244952,14860048,2015-09-21,CIP
13244952,14157343,2014-01-16,CIP
13244952,13769820,2013-02-18,CIP
13244952,14829572,2015-08-18,CIP
13244952,14789930,2015-07-01,CIP
13244952,14872919,2015-10-01,CIP
13244952,13769798,2013-02-18,CIP
13244952,14789920,2015-07-01,CIP
13244952,13933035,2013-07-01,CON
13244953,14829572,2015-08-18,CIP
13244953,14848775,2015-09-09,CIP
13244953,13769820,2013-02-18,CIP
13244953,13769798,2013-02-18,CIP
13244953,14872919,2015-10-01,CIP
13244953,14183503,2014-02-18,CIP
13244953,13769779,2013-02-18,CIP
13244953,14789930,2015-07-01,CIP
13244953,14157343,2014-01-16,CIP
13244953,14860048,2015-09-21,CIP
13244953,14789920,2015-07-01,CIP
13244953,14860149,2015-09-21,CIP
13244953,14839749,2015-08-28,CIP
13244953,14859064,2015-09-18,CIP
13244953,14335780,2014-07-18,CIP
13244954,14183503,2014-02-18,CIP
13244954,14860048,2015-09-21,CIP
13244954,14789930,2015-07-01,CIP
13244954,14793625,2015-07-07,DIV
13244954,14829572,2015-08-18,CIP
13244954,14860149,2015-09-21,CIP
13244954,14157343,2014-01-16,CIP
13244954,14839749,2015-08-28,CIP
13244954,14872919,2015-10-01,CIP
13244954,13769779,2013-02-18,CIP
13244954,14789920,2015-07-01,CIP
13244954,14848775,2015-09-09,CIP
13244954,14859064,2015-09-18,CIP
13244954,13769798,2013-02-18,CIP
13244954,13769820,2013-02-18,CIP
13244954,14480960,2014-09-09,DIV
13244954,14335780,2014-07-18,CIP
13244954,14181486,2014-02-14,CIP
13244956,14839749,2015-08-28,CIP
13244956,14789930,2015-07-01,CIP
13244956,14860048,2015-09-21,CIP
13244956,14860149,2015-09-21,CIP
13244956,14789920,2015-07-01,CIP
13244956,14157343,2014-01-16,CIP
13244956,14829572,2015-08-18,CIP
13244956,14859064,2015-09-18,CIP
13244956,14848775,2015-09-09,CIP
13244956,13769820,2013-02-18,CIP
13244956,14872919,2015-10-01,CIP
13244956,14183503,2014-02-18,CIP
13244956,13769779,2013-02-18,CIP
13244956,13769798,2013-02-18,CIP
13244956,14181486,2014-02-14,CIP
13244956,14335780,2014-07-18,CIP
13244960,13865232,2013-04-18,CIP
13244962,PCT/US12/57310,2012-09-26,CON
13244971,PCT/US12/57289,2012-09-26,CON
13244971,14251280,2014-04-11,CON
13244973,14837849,2015-08-27,CIP
13244973,13554366,2012-07-20,CIP
13244976,13852336,2013-03-28,CON
13244978,14346308,2015-10-13,CIP
13244978,PCT/US12/30017,2012-03-21,CON
13244981,13548148,2012-07-12,CON
13244981,14301122,2014-06-10,CON
13244981,14872947,2015-10-01,CON
13244981,13826258,2013-03-14,CON
13244981,13761917,2013-02-07,CON
13244981,14303331,2014-06-12,CON
13244983,PCT/US12/54976,2012-09-13,CON
13244990,PCT/US12/56841,2012-09-24,CON
13244996,PCT/US12/49346,2012-08-02,CON
13244999,14159933,2014-01-21,CON
13245001,PCT/US12/33314,2012-04-12,CON
13245001,13736590,2013-01-08,CON
13245003,PCT/US11/53573,2011-09-28,CON
13245012,14150916,2014-01-09,CON
13245016,14816218,2015-08-03,CON
13245021,14472352,2014-08-28,CON
13245021,14471895,2014-08-28,CON
13245021,14472084,2014-08-28,CON
13245021,14827455,2015-08-17,CON
13245021,14209273,2014-03-13,CON
13245023,13627543,2012-09-26,CIP
13245023,PCT/US12/57229,2012-09-26,CON
13245033,13488773,2012-06-05,CON
13245038,13420293,2012-03-14,CON
13245044,13350368,2012-01-13,CON
13245060,14181812,2014-02-17,CON
13245061,13768902,2013-02-15,CON
13245061,14816271,2015-08-03,CON
13245064,14079278,2013-11-13,CON
13245064,13325932,2011-12-14,CIP
13245078,14322973,2014-07-03,CON
13245081,PCT/US12/56996,2012-09-25,CON
13245089,14465886,2014-08-22,CON
13245090,14311730,2014-06-23,CON
13245094,14221686,2014-03-21,CIP
13245094,13870719,2013-04-25,CON
13245094,PCT/US12/55921,2012-09-18,CON
13245099,14143891,2013-12-30,CON
13245104,14306986,2014-06-17,CON
13245104,PCT/US11/58957,2011-11-02,CON
13245104,13715885,2012-12-14,CON
13245105,PCT/US12/55421,2012-09-14,CON
13245109,14474406,2014-09-02,CON
13245111,PCT/US12/55421,2012-09-14,CON
13245116,14315577,2014-06-26,CON
13245118,14456293,2014-08-11,CON
13245118,13719784,2012-12-19,CON
13245122,14053903,2013-10-15,CON
13245123,14870566,2015-09-30,DIV
13245125,14019716,2013-09-06,CON
13245126,PCT/US12/57159,2012-09-25,CON
13245129,14487290,2014-09-16,CON
13245130,13738368,2013-01-10,CON
13245130,13933912,2013-07-02,CON
13245130,14454418,2014-08-07,CIP
13245130,13934003,2013-07-02,CIP
13245130,13416889,2012-03-09,CIP
13245130,PCT/US12/28110,2012-03-07,CON
13245130,14470820,2014-08-27,CON
13245132,14828252,2015-08-17,CON
13245132,14828238,2015-08-17,CON
13245132,14281303,2014-05-19,CON
13245135,13803297,2013-03-14,CON
13245142,13958935,2013-08-05,CON
13245150,14097301,2013-12-05,CON
13245156,13531678,2012-06-25,DIV
13245157,14138772,2013-12-23,DIV
13245160,PCT/US12/54755,2012-09-12,CON
13245160,13601236,2012-08-31,CIP
13245160,PCT/US12/54813,2012-09-12,CON
13245160,PCT/US12/55012,2012-09-13,CON
13245160,13731738,2012-12-31,CIP
13245163,PCT/US12/46839,2012-07-16,CON
13245177,PCT/US12/56213,2012-09-20,CON
13245182,PCT/US12/56873,2012-09-24,CON
13245183,14728541,2015-06-02,DIV
13245192,14088532,2013-11-25,DIV
13245194,14804576,2015-07-21,DIV
13245196,13921478,2013-06-19,DIV
13245197,13760996,2013-02-06,CON
13245197,14094055,2013-12-02,CON
13245202,14151422,2014-01-09,CON
13245209,14061285,2013-10-23,DIV
13245213,14075184,2013-11-08,CON
13245225,PCT/US11/53431,2011-09-27,CON
13245225,14554214,2014-11-26,CON
13245229,PCT/US12/56262,2012-09-20,CON
13245234,13920368,2013-06-18,CON
13245235,14225844,2014-03-26,CON
13245239,13788605,2013-03-07,CON
13245241,14627165,2015-02-20,DIV
13245244,14074806,2013-11-08,CON
13245249,13722250,2012-12-20,CON
13245254,14029354,2013-09-17,CON
13245258,PCT/US12/55713,2012-09-17,CON
13245264,13678467,2012-11-15,CON
13245264,14575551,2014-12-18,CON
13245264,14134716,2013-12-19,CON
13245268,14861299,2015-09-22,CON
13245268,14861348,2015-09-22,DIV
13245269,14101687,2013-12-10,CON
13245269,13681885,2012-11-20,CON
13245269,13447486,2012-04-16,CON
13245271,PCT/US12/57292,2012-09-26,CON
13245272,PCT/US12/55775,2012-09-17,CON
13245279,13867326,2013-04-22,DIV
13245280,13352643,2012-01-18,CIP
13245281,13600344,2012-08-31,CON
13245282,14226879,2014-03-27,CIP
13245286,14464917,2014-08-21,CON
13245299,13760663,2013-02-06,DIV
13245305,14657655,2015-03-13,CON
13245306,PCT/US12/42388,2012-06-14,CON
13245309,14269892,2014-05-05,CIP
13245309,13759768,2013-02-05,CIP
13245309,14176932,2014-02-10,CON
13245311,14499524,2014-09-29,DIV
13245312,13608733,2012-09-10,CON
13245312,14146905,2014-01-03,CON
13245316,PCT/US12/40944,2012-06-05,CON
13245317,PCT/US12/56834,2012-09-24,CON
13245318,13617496,2012-09-14,CON
13245319,14641160,2015-03-06,DIV
13245319,14641191,2015-03-06,DIV
13245319,14641173,2015-03-06,DIV
13245319,14641144,2015-03-06,DIV
13245319,14641206,2015-03-06,DIV
13245319,PCT/US12/57298,2012-09-26,CON
13245319,14559086,2014-12-03,DIV
13245319,14856724,2015-09-17,DIV
13245320,14737573,2015-06-12,CON
13245324,13543045,2012-07-06,CON
13245325,13776564,2013-02-25,CON
13245326,14226938,2014-03-27,DIV
13245328,14604790,2015-01-26,DIV
13245330,13476157,2012-05-21,DIV
13245330,13967845,2013-08-15,DIV
13245333,13889618,2013-05-08,CON
13245333,14255092,2014-04-17,CON
