application_number,child_application_number,child_filing_date,continuation_type
29244076,29250896,2006-12-04,CIP
29244076,29250579,2006-11-21,CIP
29244077,29246553,2006-04-21,CIP
29244077,29318388,2008-05-19,CIP
29244099,29293819,2007-12-13,CON
29244100,29293821,2007-12-13,CON
29244141,11364658,2006-02-28,CIP
29244156,29249269,2006-09-29,CON
29244156,29248857,2006-09-08,DIV
29244157,11895336,2007-08-24,CIP
29244188,29296597,2007-10-24,DIV
29244207,29268552,2006-11-08,CIP
29244207,29268533,2006-11-08,CIP
29244210,29255137,2006-03-06,CIP
29244235,29262393,2006-06-30,DIV
29244258,11999680,2007-12-05,CIP
29244308,29265574,2006-09-01,DIV
29244318,29257441,2006-04-03,CON
29244318,29257379,2006-04-03,CON
29244318,29257458,2006-04-03,CON
29244329,29248781,2006-09-01,CIP
29244329,29276418,2007-01-25,CIP
29244329,29247114,2006-05-31,CON
29244329,29275145,2006-12-14,CON
29244329,29281093,2007-06-14,CIP
29244330,29264258,2006-08-07,CON
29244330,29264259,2006-08-07,CON
29244330,29264253,2006-08-07,CON
29244331,29264202,2006-08-04,CON
29244331,29264201,2006-08-04,CON
29244331,29264153,2006-08-04,CON
29244344,29258359,2006-04-20,CON
29244443,29321083,2008-07-10,CIP
29244443,29359063,2010-04-05,CIP
29244478,29293603,2007-12-03,DIV
29244504,29322832,2008-08-13,DIV
29244504,29322838,2008-08-13,DIV
29244504,29322835,2008-08-13,DIV
29244530,29253479,2006-02-07,CIP
29244530,29253480,2006-02-07,CIP
29244530,29253481,2006-02-07,CIP
29244571,11325645,2006-01-04,CIP
29244592,29293091,2007-11-07,CON
29244612,11565483,2006-11-30,CIP
29244636,29274652,2007-05-14,CON
29244654,29272675,2007-02-15,DIV
29244662,11460534,2006-07-27,CIP
29244662,12683560,2010-01-07,CIP
29244662,PCT/US06/29393,2006-07-27,CON
29244665,29260463,2006-05-24,DIV
29244673,29264582,2006-08-14,CON
29244693,29301255,2008-02-19,CON
29244698,29291980,2007-09-24,DIV
29244705,29261167,2006-06-08,CIP
29244743,29338035,2009-06-03,CON
29244743,29250971,2006-12-07,CON
29244745,29312157,2008-10-01,DIV
29244748,29302549,2008-01-18,DIV
29244748,29302551,2008-01-18,DIV
29244748,29302550,2008-01-18,DIV
29244765,29277893,2007-03-13,DIV
29244794,29271890,2007-01-29,DIV
29244834,29287668,2007-09-06,DIV
29244837,29302555,2008-01-18,DIV
29244838,29302558,2008-01-18,DIV
29244838,29302556,2008-01-18,DIV
29244841,29287545,2007-08-20,DIV
29244841,29333118,2009-03-03,DIV
29244841,29265890,2006-09-12,DIV
29244841,29270840,2007-01-05,DIV
29244841,29258944,2006-05-01,DIV
29244844,29268402,2006-11-06,DIV
29244859,29249270,2006-09-29,CON
29244864,29275880,2007-01-09,CON
29244864,29283142,2007-08-07,CON
29244866,29280043,2007-05-15,CON
29244883,29268775,2006-11-13,CON
29244885,29339833,2009-07-08,CON
29244885,29339831,2009-07-08,CON
29244906,29285661,2007-04-05,CIP
29244908,29283144,2007-08-07,CON
29244908,29275879,2007-01-09,CON
29244911,29275112,2006-12-13,DIV
29244911,29278407,2007-03-28,DIV
29244931,90008959,2007-12-11,REX
29244955,11838801,2007-08-14,CIP
29244955,11514071,2006-08-31,CIP
29244956,11514071,2006-08-31,CIP
29244956,11838801,2007-08-14,CIP
29244957,11838801,2007-08-14,CIP
29244957,11514071,2006-08-31,CIP
29244959,29292283,2007-10-05,DIV
29244999,29276773,2007-02-05,CON
29245007,29279083,2007-04-19,DIV
29245008,29295297,2007-09-25,DIV
29245089,11377263,2006-03-15,CON
29245089,11824313,2007-06-29,CON
29245127,29267838,2006-10-23,DIV
29245149,29286110,2007-04-24,DIV
29245149,29286112,2007-04-24,DIV
29245150,29289212,2007-07-11,DIV
29245150,29289213,2007-07-11,DIV
29245155,90008434,2007-01-16,REX
29245190,29282271,2007-07-16,DIV
29245219,29261167,2006-06-08,CIP
29245250,29285603,2007-04-03,CON
29245251,29285603,2007-04-03,CON
29245253,29302573,2008-01-18,DIV
29245273,29305789,2008-03-27,DIV
29245273,29281037,2007-06-13,DIV
29245275,29286332,2007-05-01,DIV
29245276,29291427,2007-08-29,DIV
29245276,29291433,2007-08-29,DIV
29245284,29269916,2006-12-12,CIP
29245286,29269869,2006-12-11,CON
29245286,29300560,2008-04-09,CON
29245286,29269871,2006-12-11,CON
29245286,29269870,2006-12-11,CON
29245286,29269868,2006-12-11,CON
29245291,29325136,2008-09-25,DIV
29245292,29280166,2007-05-18,DIV
29245300,29274041,2007-03-21,DIV
29245311,29276851,2007-02-07,DIV
29245311,29276852,2007-02-07,DIV
29245346,29266788,2006-09-27,DIV
29245346,29266790,2006-09-27,DIV
29245347,11895345,2007-08-24,CIP
29245347,29271601,2007-01-23,DIV
29245347,29271598,2007-01-23,DIV
29245347,PCT/US06/17205,2006-05-05,CON
29245347,29271596,2007-01-23,DIV
29245347,11403482,2006-04-13,CIP
29245355,29288610,2007-06-14,DIV
29245355,29288608,2007-06-14,DIV
29245355,29288611,2007-06-14,DIV
29245355,29288609,2007-06-14,DIV
29245360,29265053,2006-08-24,DIV
29245363,29265054,2006-08-24,DIV
29245364,29249380,2006-10-04,DIV
29245373,29318782,2008-05-28,DIV
29245373,29376356,2010-10-06,DIV
29245373,29415690,2012-03-13,DIV
29245373,29352150,2009-12-17,DIV
29245375,29269231,2006-11-24,DIV
29245377,29270847,2007-01-05,DIV
29245378,29287993,2007-10-10,CON
29245378,29274248,2007-04-09,CON
29245378,29287992,2007-10-10,CON
29245378,29287994,2007-10-10,CON
29245378,29274247,2007-04-09,CON
29245378,29274464,2007-04-26,CON
29245378,29274244,2007-04-09,CON
29245378,29274246,2007-04-09,CON
29245378,29274245,2007-04-09,CON
29245385,29290242,2007-11-08,DIV
