application_number,parent_application_number,parent_filing_date,continuation_type
06852078,06512319,1983-07-11,CON
06852081,06527149,1983-08-26,CON
06852082,06536153,1983-08-26,CIP
06852083,06521617,1983-08-08,CIP
06852083,06707421,1985-03-01,CON
06852084,06606309,1984-05-02,CON
06852086,06480832,1983-03-31,CIP
06852086,06764111,1985-08-08,CIP
06852087,06548159,1983-11-02,CON
06852090,06623818,1984-06-22,CON
06852091,06441579,1982-11-15,CON
06852091,06600198,1984-04-13,CON
06852092,06653164,1984-09-24,CON
06852093,06223646,1981-01-09,DIV
06852093,06469493,1983-02-24,CON
06852093,06692323,1985-01-16,CON
06852094,06576639,1984-02-03,CON
06852096,06608480,1984-05-09,CIP
06852096,06721869,1985-04-10,CON
06852097,06794685,1985-11-04,CON
06852098,06375747,1982-05-06,CON
06852099,06653219,1984-09-18,CIP
06852126,06805982,1985-12-05,CIP
06852128,06495765,1983-05-18,CON
06852128,06740230,1985-06-03,DIV
06852147,06725486,1985-04-22,CON
06852147,06815310,1986-01-02,CIP
06852152,06704611,1985-02-22,CIP
06852167,06734907,1985-05-16,CIP
06852167,06797851,1985-11-14,CIP
06852171,06628744,1984-07-09,CIP
06852174,06599830,1984-04-13,CIP
06852175,06599971,1984-04-13,CIP
06852177,06746954,1985-06-20,CIP
06852198,06711989,1985-03-14,CON
06852199,06519001,1983-08-01,CON
06852199,06736095,1985-05-20,CON
06852211,06703908,1985-02-21,DIV
06852223,06666964,1984-10-31,DIV
06852226,06564839,1983-12-28,DIV
06852234,06455013,1983-01-03,DIV
06852234,06682610,1984-12-17,CIP
06852236,06251798,1981-04-07,CIP
06852236,06518831,1983-08-01,DIV
06852264,06756213,1985-07-18,DIV
06852269,06418771,1982-09-16,DIV
06852272,06662931,1984-10-16,CIP
06852274,06418771,1982-09-16,DIV
06852275,06607539,1984-05-07,CON
06852275,06775284,1985-09-12,CON
06852281,06650293,1984-09-12,CIP
06852283,06713520,1985-03-19,CIP
06852299,06670485,1984-11-13,CIP
06852299,06672581,1984-11-16,CIP
06852324,05294837,,CIP
06852324,05660800,,CON
06852324,05919412,1978-06-26,CON
06852324,06507777,1983-06-27,CON
06852335,06765858,1985-08-14,CIP
06852342,06825247,1986-02-03,CIP
06852343,06774330,1985-09-10,CIP
06852349,06754829,1985-07-12,CIP
06852352,06773777,1985-09-09,CON
06852371,06386943,1982-06-10,CON
06852372,06439402,1982-11-05,CON
06852374,06529028,1983-09-02,CON
06852375,06736559,1985-05-21,CON
06852376,06687360,1984-12-28,CON
06852377,06693860,1985-01-23,CON
06852380,06533011,1983-09-16,DIV
06852380,06687039,1984-12-28,DIV
06852383,06368956,1982-04-16,CON
06852384,06733442,1985-05-13,CON
06852385,06170225,1980-07-18,CON
06852388,06504111,1983-06-14,CON
06852390,06600595,1984-04-16,CON
06852390,06656442,1984-10-01,CON
06852390,06759936,1985-07-29,CON
06852391,06595036,1984-03-29,CON
06852392,06505013,1983-06-10,CON
06852398,06657765,1984-10-04,CON
06852403,06191332,1980-02-16,CON
06852404,06718683,1985-04-03,DIV
06852414,06451717,1982-12-20,CON
