application_number,parent_application_number,parent_filing_date,continuation_type
08501025,PCT/JP94/02143,1994-12-20,NST
08501026,PCT/EP94/03900,1994-11-25,NST
08501029,PCT/JP94/00228,1994-02-16,NST
08501030,PCT/FR95/00042,1995-01-13,NST
08501031,PCT/US94/02101,1994-02-14,NST
08501032,PCT/JP94/02156,1994-12-20,NST
08501033,PCT/FI94/00053,1994-02-10,NST
08501035,PCT/FI94/00590,1994-12-30,NST
08501037,PCT/JP94/02275,1994-12-27,NST
08501038,PCT/DK94/00080,1994-02-25,NST
08501039,PCT/GB94/00320,1994-02-17,NST
08501040,PCT/EP94/00318,1994-02-03,NST
08501041,PCT/JP94/02066,1994-12-08,NST
08501042,PCT/SE93/00508,1993-06-09,NST
08501043,PCT/KR94/00135,1994-10-08,NST
08501044,PCT/DE94/00157,1994-02-15,NST
08501045,PCT/DE94/00156,1994-02-15,NST
08501048,PCT/JP94/02168,1994-12-21,NST
08501049,PCT/FR94/00150,1994-02-09,NST
08501050,PCT/JP94/02270,1994-12-27,NST
08501052,PCT/NZ94/00013,1994-02-23,NST
08501053,PCT/JP93/01802,1993-12-13,NST
08501054,PCT/CZ94/00005,1994-02-07,NST
08501055,PCT/GB94/00278,1994-02-11,NST
08501057,PCT/DK94/00072,1994-02-21,NST
08501058,PCT/EP94/04098,1994-12-09,NST
08501059,PCT/EP94/04099,1994-12-09,NST
08501061,PCT/CZ94/00006,1994-02-07,NST
08501062,PCT/JP94/02087,1994-12-13,NST
08501063,PCT/JP94/02081,1994-12-12,NST
08501065,PCT/FR94/01458,1994-12-13,NST
08501066,PCT/JP94/02094,1994-12-12,NST
08501067,PCT/EP94/00369,1994-02-09,NST
08501068,PCT/GB94/00300,1994-02-14,NST
08501070,PCT/SE94/00020,1994-01-14,NST
08501071,PCT/FR94/00127,1994-02-03,NST
08501072,PCT/IT94/00031,1994-03-23,NST
08501073,PCT/IT93/00029,1993-03-31,NST
08501074,PCT/FR94/01467,1994-12-14,NST
08501075,PCT/EP94/00382,1994-02-10,NST
08501076,PCT/CN94/00009,1994-02-05,NST
08501077,PCT/JP94/02040,1994-12-05,NST
08501078,PCT/JP94/00298,1994-02-24,NST
08501079,PCT/FR94/00066,1994-01-20,NST
08501080,PCT/EP94/00637,1994-03-04,NST
08501081,PCT/GB94/00217,1994-02-04,NST
08501082,PCT/EP94/03885,1994-11-24,NST
08501083,PCT/FI94/00050,1994-02-03,NST
08501084,PCT/EP94/04028,1994-12-03,NST
08501085,PCT/JP94/02047,1994-12-06,NST
08501086,PCT/DE94/00110,1994-02-02,NST
08501087,PCT/US95/06473,1995-05-23,NST
08501088,PCT/US94/01679,1994-02-14,NST
08501089,PCT/JP94/00364,1994-03-07,NST
08501090,PCT/JP94/02124,1994-12-16,NST
08501091,PCT/GB94/00291,1994-02-14,NST
08501092,PCT/NL94/00034,1994-02-11,NST
08501093,PCT/NL94/00264,1994-10-27,NST
08501094,PCT/EP94/00482,1994-02-19,NST
08501095,PCT/DK94/00060,1994-02-11,NST
08501097,PCT/DE93/01259,1993-12-29,NST
08501099,PCT/JP95/00003,1995-01-05,NST
08501100,PCT/US94/01333,1994-02-01,NST
08501101,PCT/JP94/02006,1994-11-30,NST
08501103,PCT/GB94/00298,1994-02-15,NST
08501104,PCT/US93/02872,1993-03-29,NST
08501105,PCT/AU94/00076,1994-02-18,NST
08501106,PCT/US94/01331,1994-02-07,NST
08501109,PCT/EP94/00353,1994-02-08,NST
08501110,PCT/JP94/02077,1994-12-09,NST
08501111,PCT/US94/01134,1994-02-01,NST
08501112,PCT/DK94/00062,1994-02-14,NST
08501113,PCT/US95/06734,1995-05-26,NST
08501114,PCT/EP94/00291,1994-02-02,NST
08501115,PCT/NO94/00033,1994-02-09,NST
08501116,08014550,1993-02-08,CIP
08501116,PCT/US94/01575,1994-02-08,NST
08501117,PCT/IT94/00203,1994-12-05,NST
08501119,PCT/EP93/00677,1993-03-20,NST
08501120,PCT/KR94/00069,1994-06-14,NST
08501121,PCT/EP93/03644,1993-12-21,NST
08501122,PCT/EP94/00450,1994-02-17,NST
08501123,PCT/US94/01135,1994-02-01,NST
08501125,PCT/EP94/00264,1994-01-31,NST
08501126,PCT/EP94/04312,1994-12-23,NST
08501127,08191579,1994-02-03,CIP
08501127,08311768,1994-09-23,CIP
08501127,PCT/US95/01380,1995-02-02,NST
08501128,PCT/SE93/00103,1993-02-11,NST
08501130,PCT/GB94/00268,1994-02-10,NST
08501131,PCT/JP94/02076,1994-12-09,NST
08501132,PCT/GB94/00314,1994-02-15,NST
08501133,PCT/SE95/00313,1995-03-24,NST
08501134,PCT/EP94/00444,1994-02-16,NST
08501136,PCT/AU94/00033,1994-01-27,NST
08501137,PCT/CN94/00013,1994-02-16,NST
08501138,PCT/CN94/00014,1994-02-16,NST
08501140,PCT/FR94/00171,1994-02-16,NST
08501151,08263235,1994-06-21,CON
08501152,08162251,1993-12-07,CON
08501153,08104450,1993-08-10,CON
08501154,08249946,1994-05-27,CON
08501157,08278902,1994-07-22,CIP
08501161,08253046,1994-06-02,CON
08501162,08156784,1993-11-24,CON
08501163,08001463,1993-01-06,CON
08501178,07846158,1992-03-05,CON
08501178,08235654,1994-04-29,CON
08501189,07954001,1992-09-29,CIP
08501189,07892758,1992-06-03,CIP
08501189,08121790,1993-09-15,CON
08501198,08273537,1994-07-11,CIP
08501206,07647487,1991-01-25,CIP
08501206,07983257,1992-11-30,CIP
08501206,08433677,1995-05-04,CIP
08501213,08331882,1994-10-31,CIP
08501215,08068916,1993-05-28,CON
08501219,07694185,1991-05-01,CIP
08501219,07982813,1992-11-30,CON
08501243,08146382,1993-10-29,CON
08501244,08085602,1993-06-30,CON
08501248,07473864,1990-02-05,CON
08501248,07848387,1992-03-09,CON
08501248,08119798,1993-09-10,CON
08501252,08335677,1994-11-08,CIP
08501268,08167796,1993-12-17,CON
08501269,08318556,1994-10-05,CON
08501270,08235361,1994-04-29,CON
08501271,08257281,1994-06-09,CON
08501273,08068917,1993-05-28,CON
08501273,08267324,1994-06-28,CON
08501274,07321255,1989-03-09,CIP
08501274,07355755,1989-05-22,DIV
08501274,07555319,1990-07-19,CIP
08501274,07898970,1992-06-15,CON
08501274,08201042,1994-02-24,CON
08501274,08350715,1994-12-07,CON
08501275,08214965,1994-03-16,CON
08501276,08112130,1993-08-26,CON
08501278,08208755,1994-03-09,CON
08501279,07968686,1992-10-30,CON
08501287,08243777,1994-05-17,CON
08501290,08082610,1993-06-24,CIP
08501290,08257281,1994-06-09,CIP
08501290,08291843,1994-08-17,CON
08501293,07914904,1992-07-16,CON
08501298,08239973,1994-05-09,DIV
08501299,08035582,1993-03-23,DIV
08501304,07463279,1990-01-10,CIP
08501304,07723250,1991-06-28,DIV
08501304,07909077,1992-07-02,DIV
08501304,08239724,1994-05-09,DIV
08501313,08234544,1994-04-28,CIP
08501328,08375098,1995-01-19,CIP
08501328,08180576,1994-01-12,CON
08501336,08320072,1994-10-07,CIP
08501343,08003707,1993-01-13,CON
08501343,08300111,1994-09-02,DIV
08501351,08100936,1993-08-03,CON
08501356,08378860,1995-01-26,DIV
08501356,08098942,1993-07-27,CIP
08501360,07823235,1992-01-21,CON
08501360,08308108,1994-04-19,CON
08501371,08250388,1994-05-27,DIV
08501375,08401234,1995-03-09,DIV
08501376,08107193,1993-08-17,CON
08501388,08079515,1993-06-18,CON
08501390,07990865,1992-12-15,DIV
08501390,08247940,1994-05-24,CON
08501397,08287191,1994-08-08,CIP
08501428,08236368,1994-04-29,CON
08501430,07985836,1992-12-03,CON
08501430,08384625,1995-02-06,CON
08501431,08179339,1994-01-10,CON
08501432,08406628,1995-03-20,CIP
08501433,07771735,1991-10-04,CON
08501433,08247511,1994-05-23,CON
08501437,08218719,1994-03-25,CON
08501437,08435277,1995-05-05,CON
08501440,08212610,1994-03-11,DIV
08501452,08178847,1994-01-07,DIV
08501456,08139303,1993-10-19,CON
08501485,08315419,1994-09-30,CIP
08501487,07953644,1992-09-29,CON
