application_number,parent_application_number,parent_filing_date,continuation_type
08770689,08508272,1995-09-15,CON
08770690,08668343,1996-06-26,CIP
08770690,08744109,1996-11-05,CIP
08770692,08508865,1995-07-28,DIV
08770696,07583509,1990-09-17,CIP
08770696,08115232,1993-09-01,CON
08770702,08275409,1994-07-15,CON
08770708,60008970,1995-12-20,PRO
08770724,08229232,1994-04-18,DIV
08770728,08309157,1994-09-20,CON
08770734,07859034,1992-03-27,CIP
08770734,08146592,1993-11-01,REI
08770740,60008934,1995-12-20,PRO
08770741,08499969,1995-07-10,CIP
08770745,08568850,1995-12-07,DIV
08770747,08748085,1996-11-12,DIV
08770755,60009198,1995-12-22,PRO
08770755,60018619,1996-05-02,PRO
08770760,60009198,1995-12-22,PRO
08770760,60016729,1996-05-02,PRO
08770761,60009629,1996-01-05,PRO
08770762,60012645,1996-03-01,PRO
08770764,60012646,1996-03-01,PRO
08770767,60019064,1996-05-09,PRO
08770788,60009298,1995-12-21,PRO
08770799,08376773,1995-03-01,DIV
08770799,07979786,1992-11-20,DIV
08770800,07873117,1992-04-24,CON
08770800,08236012,1994-05-02,CIP
08770800,08533354,1995-09-25,CON
08770806,08410349,1995-03-24,CIP
08770806,08410349,1995-03-24,DIV
08770816,08265768,1994-06-27,CON
08770816,08618201,1996-03-19,DIV
08770825,07625078,1990-12-10,CIP
08770825,08426625,1995-04-20,CON
08770826,07620909,1990-12-03,CIP
08770826,07827722,1992-01-29,CON
08770826,08171184,1993-12-21,CON
08770826,08288969,1994-08-10,CON
08770826,08402772,1995-03-09,CON
08770828,08107118,1993-08-17,CON
08770828,08500093,1995-07-10,CON
08770837,08756176,1996-11-25,CIP
08770838,08370515,1995-01-09,DIV
08770840,08349770,1994-12-06,CON
08770848,08307795,1994-12-08,CON
08770848,PCT/JP94/00133,1994-01-31,NST
08770849,08504779,1995-07-20,CIP
08770853,60023233,1996-03-29,PRO
08770853,60025752,1996-09-19,PRO
08770855,08500439,1995-07-10,CON
08770859,08455936,1995-05-31,CON
08770864,08243981,1994-05-17,CIP
08770864,08325696,1994-10-19,DIV
08770870,60009293,1995-12-21,PRO
08770878,60033016,1996-12-16,PRO
08770884,60009035,1995-12-21,PRO
08770887,08187255,1994-01-25,CON
08770887,08466944,1995-06-06,CON
08770888,08565591,1995-11-30,CON
08770891,08454709,1995-05-31,CON
08770895,08303983,1994-09-09,CIP
08770895,08479882,1995-06-07,CIP
08770895,PCT/US95/11484,1995-09-11,CIP
08770897,60026347,1996-09-19,PRO
08770900,08404571,1995-03-15,CON
08770910,08193695,1994-02-08,CON
08770911,08149983,1993-11-10,CON
08770912,08482620,1995-06-07,CON
08770913,08275968,1994-07-15,CON
08770915,07692839,1991-04-29,CIP
08770915,08084683,1993-06-29,DIV
08770915,08354704,1994-12-13,CON
08770916,08346609,1994-11-30,CON
08770920,08641902,1996-05-02,CIP
08770921,08004122,1993-01-13,CIP
08770921,08062464,1993-05-14,CON
08770921,08443381,1995-05-17,DIV
08770923,60009159,1995-12-22,PRO
08770924,08598857,1996-02-09,CIP
08770926,08451898,1995-05-26,DIV
08770926,PCT/EP93/03627,1993-12-16,CON
08770927,60015119,1996-04-10,PRO
08770933,07647399,1991-01-29,CIP
08770933,07708266,1991-05-28,CIP
08770933,07746751,1991-08-21,DIV
08770933,07977350,1992-11-17,CIP
08770933,08129610,1993-09-30,DIV
08770933,08455313,1995-05-31,DIV
08770939,08473102,1995-06-07,CIP
08770952,60009130,1995-12-22,PRO
08770953,08443905,1995-05-17,CIP
08770954,07175332,1988-03-30,DIV
08770954,07366263,1989-06-12,CIP
08770954,07596157,1990-10-11,CIP
08770954,07767457,1991-09-30,DIV
08770954,08096808,1993-07-26,CIP
08770954,08395251,1995-02-28,DIV
08770966,60020282,1996-06-19,PRO
08770970,60020281,1996-06-19,PRO
08770974,07969703,1992-10-23,CIP
08770974,08249189,1994-05-24,CIP
08770974,08477733,1995-06-07,DIV
08770975,08180492,1993-12-30,CON
08770978,08314041,1994-09-27,CON
08770981,07969703,1992-10-23,CIP
08770981,08249189,1994-05-24,CIP
08770981,08477733,1995-06-07,DIV
08770982,08579931,1995-12-28,CIP
08770986,07507490,1990-04-11,CON
08770986,08040995,1993-03-31,CON
08770986,08247408,1994-05-23,CON
08770986,08369700,1995-01-06,CON
08770986,08616783,1996-03-15,CON
08770993,08259019,1994-06-13,CON
