application_number,parent_application_number,parent_filing_date,continuation_type
09492791,08997274,1997-12-23,CON
09492795,09244996,1999-02-04,CON
09492811,08681996,1996-07-30,DIV
09492811,09074670,1998-05-08,CON
09492822,08842113,1997-04-28,CON
09492823,09102272,1998-06-22,CON
09492824,09211514,1998-12-14,DIV
09492830,09031486,1998-02-26,DIV
09492844,60110952,1998-12-04,PRO
09492844,09372253,1999-08-11,CIP
09492846,60110952,1998-12-04,PRO
09492846,09372253,1999-08-11,CIP
09492849,60127148,1999-03-31,PRO
09492850,60085522,1998-05-14,PRO
09492850,09311742,1999-05-14,CON
09492852,60018110,1996-05-22,PRO
09492852,09125562,1998-08-20,CON
09492852,PCT/US97/09188,1997-05-22,NST
09492855,09060261,1998-04-15,DIV
09492869,60117832,1999-01-29,PRO
09492879,08736792,1996-10-25,CON
09492879,09135199,1998-08-17,CON
09492882,08647199,1996-03-11,CON
09492888,09095257,1998-06-10,CON
09492893,60044034,1997-04-22,PRO
09492893,08943719,1997-10-03,DIV
09492894,60044034,1997-04-22,PRO
09492894,08943719,1997-10-03,DIV
09492895,60117607,1999-01-28,PRO
09492905,08418416,1995-04-07,DIV
09492905,09044297,1998-03-19,CON
09492911,09075278,1998-05-08,CON
09492912,09032731,1998-02-27,CON
09492919,09265688,1999-03-10,DIV
09492921,PCT/EP98/04770,1998-07-30,CIP
09492925,60128488,1999-04-09,PRO
09492930,08760895,1996-12-06,DIV
09492932,07200673,1988-05-31,CON
09492932,07529679,1990-05-28,CIP
09492932,07703235,1991-05-20,CON
09492932,07970528,1992-11-02,CON
09492932,08100631,1993-07-29,CON
09492932,08341320,1994-11-17,CON
09492932,08655286,1996-05-15,CON
09492932,08916184,1997-08-21,CON
09492933,08760895,1996-12-06,DIV
09492939,60114472,1998-12-30,PRO
09492939,09475776,1999-12-30,CIP
09492939,PCT/US99/31290,1999-12-30,CIP
09492940,09069803,1998-04-30,DIV
09492941,08206300,1994-03-04,CIP
09492941,08430648,1995-04-28,CIP
09492941,08826206,1997-03-27,DIV
09492941,09229027,1999-01-12,DIV
09492944,60117819,1999-01-29,PRO
09492944,09394216,1999-09-13,CON
09492946,60117398,1999-01-27,PRO
09492947,09295635,1999-04-20,DIV
09492950,09123781,1998-07-27,CIP
09492952,60083766,1998-05-01,PRO
09492952,09302844,1999-04-30,CIP
09492955,09091997,1998-11-02,CON
09492955,PCT/JP96/03858,1996-12-27,NST
09492963,60118015,1999-01-29,PRO
09492963,60134635,1999-05-18,PRO
09492968,09167095,1998-10-05,CON
09492969,60117806,1999-01-29,PRO
09492971,07291951,1988-12-29,CIP
09492971,07345952,1989-04-28,CIP
09492971,07526397,1990-05-21,DIV
09492971,08058241,1993-05-04,CON
09492971,08409750,1995-03-24,DIV
09492971,08909140,1997-08-11,CON
09492974,60155218,1999-01-27,PRO
09492976,60155229,1999-01-27,PRO
09492977,60160085,1999-01-27,PRO
09492980,60155250,1999-01-27,PRO
09492982,07510898,1990-04-18,CON
09492982,07954945,1992-09-30,CON
09492982,08222646,1994-03-31,DIV
09492982,08448657,1995-05-24,DIV
09492982,08798520,1997-02-10,CON
09492982,09196199,1998-11-20,CON
09492982,09252997,1999-02-19,CON
09492983,60121808,1999-02-25,PRO
09492985,60117576,1999-01-27,PRO
09492991,09014436,1998-01-27,CIP
09492991,PCT/KR98/001091,1998-07-02,CIP
09492994,60117566,1999-01-27,PRO
09492999,60117845,1999-01-29,PRO
09493001,08530725,1995-09-19,REI
09493004,09103683,1998-06-15,CON
09493008,08985081,1997-12-04,CON
09493024,60117482,1999-01-27,PRO
09493025,60117593,1999-01-27,PRO
09493025,60117594,1999-01-27,PRO
09493031,60118114,1999-02-01,PRO
09493031,60143642,1999-07-14,PRO
09493036,PCT/EP98/04109,1998-07-03,CON
09493037,60121691,1999-02-25,PRO
09493042,08747592,1996-11-12,CIP
09493042,09083010,1998-05-21,DIV
09493044,60117378,1999-01-27,PRO
09493045,09102344,1998-06-22,CIP
09493084,09344368,1999-06-25,DIV
09493099,60168682,1999-12-03,PRO
09493129,60118069,1999-01-29,PRO
09493138,07652878,1991-02-08,CON
09493138,08071816,1993-06-04,DIV
09493138,08410200,1995-02-27,DIV
09493138,08911731,1997-08-15,DIV
09493138,09195201,1998-11-18,DIV
09493139,08410200,1995-02-27,CIP
09493139,08975919,1997-11-21,DIV
09493139,09411315,1999-10-04,DIV
09493140,07652878,1991-02-08,CON
09493140,08071816,1993-06-04,DIV
09493140,08410200,1995-02-27,DIV
09493140,08911731,1997-08-15,DIV
09493140,09195201,1998-11-18,DIV
09493143,60118381,1999-01-29,PRO
09493148,09092907,1998-06-08,DIV
09493153,09028671,1998-02-24,DIV
09493158,09115231,1998-07-14,DIV
09493162,60118993,1999-02-08,PRO
09493163,60118944,1999-02-05,PRO
09493182,60117676,1999-01-28,PRO
09493201,09350816,1999-07-09,CIP
09493208,08857674,1997-05-16,DIV
09493210,08857674,1997-05-16,DIV
09493211,PCT/NL97/00449,1997-07-31,CIP
09493214,60118111,1999-02-01,PRO
09493228,60025507,1996-09-05,PRO
09493228,60033765,1997-01-15,PRO
09493228,08924505,1997-09-05,DIV
09493237,09197763,1998-11-23,CON
09493238,09219708,1998-12-23,CIP
09493244,08996399,1997-12-22,CON
09493253,09348673,1999-07-06,DIV
09493253,PCT/EP96/04560,1996-10-21,CON
09493257,60169310,1999-12-07,PRO
09493258,60169309,1999-12-07,PRO
09493263,08699940,1996-08-20,CON
09493263,08914876,1997-08-20,DIV
09493265,09084387,1998-05-27,DIV
09493265,09084503,1998-05-27,DIV
09493265,09289065,1999-04-12,CIP
09493269,60007287,1995-11-09,PRO
09493269,08746397,1996-11-08,DIV
09493283,60122802,1999-03-03,PRO
09493290,60117868,1999-01-29,PRO
09493301,60117635,1999-01-28,PRO
09493301,60175440,2000-01-11,PRO
09493303,60117791,1999-01-29,PRO
09493312,08760103,1996-12-03,CON
09493314,08279424,1994-07-25,CIP
09493314,08644838,1996-05-10,CIP
09493314,08939368,1997-09-29,CON
09493318,60117684,1999-01-29,PRO
09493321,60117646,1999-01-28,PRO
09493324,60117877,1999-01-29,PRO
09493338,60118227,1999-02-02,PRO
09493339,09051563,1998-04-13,CON
09493339,PCT/EP96/04357,1996-10-08,NST
09493341,60118821,1999-02-05,PRO
09493347,08410445,1995-03-24,CIP
09493347,08537206,1995-09-29,CIP
09493347,08589182,1996-01-19,CIP
09493347,08682174,1996-07-16,CIP
09493351,60118495,1999-02-03,PRO
09493352,60118496,1999-02-03,PRO
09493353,60118497,1999-02-03,PRO
09493356,60117921,1999-01-29,PRO
09493359,60118499,1999-02-03,PRO
09493361,09321676,1999-05-28,CIP
09493366,08970720,1997-11-14,DIV
09493370,60117818,1999-01-29,PRO
09493371,09310509,1999-05-12,CIP
09493376,60154797,1999-09-20,PRO
09493382,60117817,1999-01-29,PRO
09493392,60117779,1999-01-29,PRO
09493394,09337292,1999-06-21,CIP
09493401,60117844,1999-01-29,PRO
09493401,60118206,1999-02-01,PRO
09493401,60126593,1999-03-26,PRO
09493401,60134092,1999-05-14,PRO
09493401,60134093,1999-05-14,PRO
09493407,08962045,1997-10-31,CON
09493409,08415617,1995-04-03,CIP
09493409,08580759,1995-12-29,CIP
09493409,08767535,1996-12-16,CIP
09493409,60054575,1997-08-01,PRO
09493409,09111958,1998-07-08,CIP
09493409,09127273,1998-07-31,CON
09493410,60034558,1996-12-30,PRO
