application_number,parent_application_number,parent_filing_date,continuation_type
09863359,09383022,1999-08-25,CIP
09863359,09504007,2000-02-14,DIV
09863362,09298998,1999-04-26,DIV
09863368,08740289,1996-10-25,CON
09863368,09387278,1999-08-31,CON
09863368,09721409,2000-11-21,CON
09863385,08875098,1997-09-25,DIV
09863385,09289715,1999-04-12,DIV
09863385,PCT/AU96/00015,1996-01-15,NST
09863391,60206957,2000-05-25,PRO
09863393,60075526,1998-02-23,PRO
09863393,09209544,1998-12-11,CON
09863393,09664050,2000-09-18,CON
09863394,60138255,1999-06-08,PRO
09863394,60138256,1999-06-08,PRO
09863394,60138257,1999-06-08,PRO
09863394,60138258,1999-06-08,PRO
09863394,60143482,1999-07-12,PRO
09863394,60150122,1999-08-20,PRO
09863394,60150123,1999-08-20,PRO
09863394,60206747,2000-05-24,PRO
09863394,09591546,2000-06-08,CIP
09863403,09384237,1999-08-27,DIV
09863403,PCT/FR98/00376,1998-02-26,CON
09863404,07768412,1991-10-07,CON
09863404,08076946,1993-06-16,CIP
09863404,08437983,1995-05-10,DIV
09863404,08714957,1996-09-17,DIV
09863404,09389623,1999-09-03,DIV
09863404,PCT/JP91/00132,1991-02-05,NST
09863406,PCT/SE99/02187,1999-11-24,CON
09863412,09385450,1999-08-30,DIV
09863413,60244878,2000-11-02,PRO
09863414,09478494,2000-01-06,DIV
09863418,60258911,2000-12-29,PRO
09863423,60206776,2000-05-24,PRO
09863425,60206543,2000-05-23,PRO
09863428,08516218,1995-08-17,CON
09863428,08903199,1997-07-15,CON
09863428,09364255,1999-07-30,CON
09863428,09626788,2000-07-26,DIV
09863430,PCT/GB99/03964,1999-11-26,CON
09863436,60206790,2000-05-24,PRO
09863450,07209739,1988-06-22,CON
09863450,07607411,1990-10-31,CON
09863450,07796873,1991-11-25,DIV
09863450,07890423,1992-05-29,CON
09863450,08323709,1994-10-18,CON
09863450,08763469,1996-12-10,CON
09863450,08984330,1997-12-03,CON
09863450,09292999,1999-04-16,CON
09863456,60206564,2000-05-22,PRO
09863457,09376363,1999-08-18,DIV
09863462,09123365,1998-07-28,DIV
09863467,08747883,1996-11-13,REI
09863475,07479858,1990-02-14,CIP
09863475,07627621,1990-12-12,CIP
09863475,07715900,1991-06-19,CIP
09863475,07914281,1992-07-20,DIV
09863475,08220433,1994-03-30,CON
09863475,08393246,1995-02-23,DIV
09863475,08696731,1996-08-14,DIV
09863475,08823489,1997-03-25,CON
09863478,09165511,1998-10-02,DIV
09863481,60206629,2000-05-24,PRO
09863482,60220670,2000-07-25,PRO
09863485,09004344,1998-01-08,DIV
09863489,09323517,1999-06-01,DIV
09863491,60206703,2000-05-24,PRO
09863492,60207629,2000-05-26,PRO
09863502,PCT/EP99/08300,1999-10-30,CON
09863506,09389290,1999-09-02,DIV
09863507,09389290,1999-09-02,DIV
09863510,09303008,1999-04-30,CON
09863511,09439133,1999-11-12,CIP
09863515,PCT/JP00/07022,2000-10-10,CIP
