application_number,parent_application_number,parent_filing_date,continuation_type
10460270,09638549,2000-08-14,DIV
10460270,PCT/US96/12547,1996-07-31,NST
10460272,60467429,2003-05-02,PRO
10460273,60389784,2002-06-19,PRO
10460274,08215289,1994-03-17,CON
10460274,08614521,1996-03-15,CON
10460274,08649419,1996-05-16,CIP
10460274,08967693,1997-11-12,CIP
10460274,60082228,1998-04-16,PRO
10460274,09127502,1998-07-31,CON
10460274,09939298,2001-08-24,CON
10460276,10222653,2002-08-15,CIP
10460277,07637562,1991-01-07,CON
10460277,07862508,1992-04-02,CON
10460277,08133982,1993-10-08,CON
10460277,08630590,1996-04-10,DIV
10460277,09120452,1998-07-23,CON
10460277,09651115,2000-08-30,CON
10460277,10279664,2002-10-23,CON
10460280,60193118,2000-03-30,PRO
10460280,60198529,2000-04-20,PRO
10460280,09818468,2001-03-27,DIV
10460287,10348725,2003-01-22,CIP
10460291,60388644,2002-06-14,PRO
10460294,09950788,2001-09-13,DIV
10460296,60103526,1998-10-08,PRO
10460296,60116131,1999-01-15,PRO
10460296,09414834,1999-10-08,DIV
10460298,60078415,1998-03-18,PRO
10460298,09271545,1999-03-18,CON
10460300,60252811,2000-11-22,PRO
10460300,09990045,2001-11-21,CON
10460302,09942881,2001-08-31,CIP
10460302,10286968,2002-11-04,CIP
10460308,09188185,1998-11-10,CIP
10460308,10376620,2003-03-03,CIP
10460310,60392057,2002-06-28,PRO
10460312,60387894,2002-06-13,PRO
10460315,10109135,2002-03-28,CON
10460316,60438520,2003-01-08,PRO
10460322,60388583,2002-06-12,PRO
10460331,09794553,2001-02-27,CIP
10460331,10252808,2002-09-23,CIP
10460332,60387959,2002-06-12,PRO
10460334,09415984,1999-10-12,CON
10460334,09993973,2001-11-16,CIP
10460339,09874517,2001-06-04,DIV
10460342,09825766,2001-04-03,CIP
10460343,08821475,1997-03-21,CIP
10460343,09414697,1999-10-07,DIV
10460346,08610575,1996-03-08,CIP
10460346,08813747,1997-03-07,DIV
10460346,09247802,1999-02-08,CON
10460346,09650396,2000-08-29,CIP
10460346,09928136,2001-08-10,CON
10460347,60387730,2002-06-11,PRO
10460349,09967540,2001-10-01,CIP
10460349,10266160,2002-10-08,DIV
10460350,09834449,2001-04-13,DIV
10460355,60436364,2002-12-24,PRO
10460360,60201418,2000-05-03,PRO
10460360,09845721,2001-05-02,CON
10460361,60200327,2000-04-28,PRO
10460361,60215314,2000-06-30,PRO
10460361,60225497,2000-08-15,PRO
10460361,60255818,2000-12-15,PRO
10460361,09845680,2001-04-30,CON
10460364,10350064,2003-01-24,CIP
10460365,60388365,2002-06-14,PRO
10460369,09188185,1998-11-10,CIP
10460369,10376620,2003-03-03,CIP
