application_number,parent_application_number,parent_filing_date,continuation_type
10822561,60462159,2003-04-10,PRO
10822563,60337364,2001-12-05,PRO
10822563,10144185,2002-05-10,CON
10822563,60462594,2003-04-11,PRO
10822563,10765578,2004-01-26,CIP
10822564,60463210,2003-04-16,PRO
10822565,08126940,1993-09-24,DIV
10822565,08855139,1997-05-13,CON
10822565,09080884,1998-05-18,CON
10822565,09371151,1999-08-09,CON
10822565,09588812,2000-06-06,CON
10822565,09931605,2001-08-16,CON
10822565,10464592,2003-06-18,CON
10822567,09656258,2000-09-06,DIV
10822568,60461861,2003-04-10,PRO
10822574,10151737,2002-05-20,CIP
10822575,60461921,2003-04-10,PRO
10822579,10299870,2002-11-19,CIP
10822583,09024944,1998-02-17,CON
10822583,09526770,2000-03-16,CON
10822583,10012788,2001-11-05,CON
10822583,10262354,2002-09-30,CON
10822585,10441448,2003-05-20,DIV
10822586,60465386,2003-04-25,PRO
10822588,10084096,2002-02-27,DIV
10822590,60109899,1998-11-25,PRO
10822590,09438225,1999-11-12,CON
10822591,60214572,2000-06-28,PRO
10822591,09894734,2001-06-28,CON
10822594,08803392,1997-02-20,CON
10822594,10626025,2003-07-24,CON
10822595,09169552,1998-10-09,CIP
10822595,60509658,2003-10-08,PRO
10822600,60163698,1999-11-05,PRO
10822600,09706584,2000-11-03,DIV
10822607,60161713,1999-10-27,PRO
10822607,09698874,2000-10-27,CON
10822607,10357619,2003-02-03,DIV
10822611,60462092,2003-04-10,PRO
10822611,60463134,2003-04-15,PRO
10822611,60512869,2003-10-21,PRO
10822611,60523758,2003-11-20,PRO
10822611,60523744,2003-11-20,PRO
10822613,60462496,2003-04-11,PRO
10822614,PCT/JP01/09868,2001-11-12,CON
10822615,60463113,2003-04-15,PRO
10822617,60357907,2002-02-19,PRO
10822617,10192404,2002-07-10,CON
10822619,09102163,1998-06-22,CIP
10822619,09438864,1999-11-12,CIP
10822619,09557135,2000-04-25,CIP
10822619,60219843,2000-07-21,PRO
10822619,09661062,2000-09-13,CIP
10822619,09834775,2001-04-13,CON
10822619,10090855,2002-03-04,CIP
10822619,10342649,2003-01-15,CIP
10822619,10409037,2003-04-08,CIP
10822619,10457935,2003-06-10,CIP
10822621,10286353,2002-11-01,CIP
10822622,10680513,2003-10-07,CIP
10822622,10680632,2003-10-07,CIP
10822622,60509360,2003-10-07,PRO
10822625,PCT/EP02/11044,2002-10-02,CON
10822626,60466685,2003-04-30,PRO
10822626,60469160,2003-05-09,PRO
10822629,08552833,1995-11-03,CIP
10822629,08921103,1997-08-29,CON
10822630,08071643,1993-06-03,CON
10822630,08454921,1995-05-31,CON
10822630,09108022,1998-06-30,CON
10822630,09153094,1998-09-14,CON
10822630,09954522,2001-09-11,CON
10822632,60462052,2003-04-11,PRO
10822635,09945037,2001-08-31,CIP
10822635,10330695,2002-12-27,CIP
10822636,10756120,2004-01-12,CIP
10822638,09999209,2001-11-30,CON
10822639,10751353,2004-01-05,CIP
10822642,60315438,2001-08-28,PRO
10822642,10229937,2002-08-28,DIV
10822644,60461914,2003-04-10,PRO
10822644,60488062,2003-07-17,PRO
10822644,60510283,2003-10-10,PRO
10822644,60510598,2003-10-10,PRO
10822644,60510455,2003-10-10,PRO
10822651,09848301,2001-05-04,DIV
10822656,09327191,1999-06-07,CON
10822656,09734164,2000-12-12,CON
10822656,10166089,2002-06-11,CON
10822656,10419186,2003-04-21,CON
10822661,09807980,2001-07-02,CON
10822661,PCT/JP99/06016,1999-10-29,NST
10822664,10151872,2002-05-22,DIV
10822671,09666062,2000-09-19,CON
10822672,08498055,1995-07-05,CON
10822672,08956113,1997-10-24,CON
10822672,09482642,2000-01-13,CON
10822672,10054862,2002-01-25,CON
10822673,10115977,2002-04-05,DIV
10822673,10342248,2003-01-15,CON
10822674,09219890,1998-12-24,DIV
10822674,10127760,2002-04-23,CON
10822677,09897412,2001-07-03,DIV
10822682,09979668,2002-03-08,DIV
10822682,PCT/NL00/00265,2000-04-25,NST
10822688,PCT/JP01/09578,2001-11-01,CON
10822689,PCT/JP01/10446,2001-11-29,CIP
10822690,10405361,2003-04-03,CIP
10822697,08242168,1994-05-13,CON
10822697,08648356,1996-05-14,CON
10822697,08842210,1997-04-23,CON
10822697,09154834,1998-09-17,CON
10822697,09356685,1999-07-20,CON
10822697,09541931,2000-04-03,CON
10822697,10219347,2002-08-16,CON
10822702,08774447,1996-12-30,CON
10822702,09256472,1999-02-23,CON
10822702,09315819,1999-05-21,CON
10822702,09467211,1999-12-20,CON
10822702,09873359,2001-06-05,CON
10822702,10379571,2003-03-06,CON
10822703,10257980,2002-10-29,DIV
10822703,PCT/JP02/01654,2002-02-25,NST
10822704,09953298,2001-09-17,DIV
10822705,10178019,2002-06-24,DIV
10822709,08344760,1994-11-23,CON
10822709,08967084,1997-11-10,DIV
10822709,09777845,2001-02-07,CIP
10822710,09478341,2000-01-06,CON
10822710,10407456,2003-04-07,CON
10822711,08256568,1994-07-18,DIV
10822711,09044665,1998-03-19,DIV
10822711,09378900,1999-08-23,DIV
10822711,09899082,2001-07-06,DIV
10822711,PCT/EP93/03325,1993-11-26,NST
10822717,09839401,2001-04-23,CIP
10822717,10077833,2002-02-20,DIV
10822718,60462324,2003-04-14,PRO
10822728,60466736,2003-05-01,PRO
10822729,60430061,2002-12-02,PRO
10822729,10353939,2003-01-30,CON
10822732,60543392,2004-02-11,PRO
10822735,10079826,2002-02-22,CON
10822737,08165502,1993-12-13,DIV
