application_number,parent_application_number,parent_filing_date,continuation_type
11665234,PCT/US2005/037248,2005-10-14,NST
11665235,PCT/EP05/10836,2005-10-07,NST
11665236,PCT/GB05/03909,2005-10-11,NST
11665237,PCT/US2005/037213,2005-10-14,NST
11665238,10963688,2004-10-13,CIP
11665238,PCT/US05/35655,2005-10-04,NST
11665239,PCT/SE05/01515,2005-10-12,NST
11665240,PCT/EP05/53760,2005-08-02,NST
11665241,PCT/EP2005/054480,2005-09-09,NST
11665242,60619752,2004-10-18,PRO
11665242,PCT/US05/36940,2005-10-14,NST
11665243,PCT/GB05/03852,2005-10-06,NST
11665244,60619120,2004-10-15,PRO
11665244,PCT/US05/36550,2005-10-12,NST
11665245,60618548,2004-10-13,PRO
11665245,PCT/US05/36452,2005-10-12,NST
11665246,60618549,2004-10-13,PRO
11665246,PCT/US05/36453,2005-10-12,NST
11665247,PCT/GB2005/003882,2005-10-11,NST
11665248,PCT/IL2005/001074,2005-10-11,NST
11665249,PCT/JP05/19814,2005-10-27,NST
11665250,PCT/JP05/23995,2005-12-21,NST
11665251,60619686,2004-10-19,PRO
11665251,PCT/US05/37384,2005-10-19,NST
11665252,PCT/EP05/55043,2005-10-06,NST
11665253,PCT/KR05/03240,2005-09-30,NST
11665255,PCT/AU05/01316,2005-08-30,NST
11665256,PCT/IB05/53343,2005-10-11,NST
11665257,PCT/JP2005/018554,2005-10-06,NST
11665258,PCT/JP2006/310730,2006-05-30,NST
11665259,PCT/GB05/03815,2005-10-04,NST
11665260,PCT/JP05/20254,2005-10-28,NST
11665261,PCT/GB05/04152,2005-10-27,NST
11665262,PCT/JP06/05073,2006-03-08,NST
11665263,PCT/JP05/18464,2005-10-05,NST
11665264,PCT/JP05/08505,2005-05-10,NST
11665265,PCT/JP2006/307673,2006-04-11,NST
11665266,PCT/IT05/00016,2005-01-14,NST
11665267,PCT/FR05/50842,2005-10-12,NST
11665268,PCT/JP2006/305313,2006-03-10,NST
11665269,PCT/JP05/18986,2005-10-11,NST
11665270,PCT/JP2005/018953,2005-10-14,NST
11665271,PCT/EP04/11674,2004-10-15,NST
11665272,PCT/JP05/19403,2005-10-21,NST
11665273,PCT/JP05/18803,2005-10-12,NST
11665274,PCT/FR05/02536,2005-10-13,NST
11665275,PCT/EP2005/011845,2005-11-04,NST
11665276,PCT/EP05/55183,2005-10-12,NST
11665277,PCT/CN06/00562,2006-03-30,NST
11665278,PCT/EP2005/008936,2005-08-18,NST
11665279,PCT/DK05/00669,2005-10-18,NST
11665280,PCT/IB05/03508,2005-10-12,NST
11665281,PCT/GB2005/050153,2005-09-12,NST
11665282,PCT/EP05/10579,2005-09-28,NST
11665283,PCT/GB05/03986,2005-10-17,NST
11665284,PCT/FI04/00615,2004-10-15,NST
11665285,PCT/JP05/18617,2005-10-07,NST
11665286,PCT/JP05/22350,2005-12-06,NST
11665287,PCT/EP2005/011093,2005-10-14,NST
11665288,PCT/EP05/11092,2005-10-14,NST
11665289,PCT/JP04/15280,2004-10-15,NST
11665290,PCT/RU04/00531,2004-12-29,NST
11665291,PCT/US05/37619,2005-10-18,NST
11665292,PCT/NL2005/050015,2005-10-14,NST
11665293,PCT/DE05/01794,2005-10-07,NST
11665294,PCT/FR05/02558,2005-10-14,NST
11665295,PCT/EP05/10866,2005-10-08,NST
11665296,PCT/JP2006/311774,2006-06-12,NST
11665297,PCT/EP05/55269,2005-10-14,NST
11665298,PCT/EP05/10896,2005-10-10,NST
11665299,PCT/IB05/01177,2005-04-25,NST
11665300,PCT/JP2005/019163,2005-10-12,NST
11665301,PCT/IB05/03052,2005-10-13,NST
11665302,60618254,2004-10-13,PRO
11665302,PCT/US05/36511,2005-10-12,NST
11665303,PCT/JP06/18500,2006-09-19,NST
11665304,PCT/EP2005/010564,2005-09-30,NST
11665305,PCT/JP2005/019433,2005-10-17,NST
11665306,PCT/GB05/03973,2005-10-13,NST
11665307,PCT/EP05/55084,2005-10-07,NST
11665308,PCT/GB05/03899,2005-10-10,NST
11665309,60617891,2004-10-12,PRO
11665309,PCT/US05/36636,2005-10-12,NST
11665310,PCT/CA05/01588,2005-10-17,NST
11665311,PCT/CA05/01560,2005-10-13,NST
11665312,PCT/FR05/50868,2005-10-19,NST
11665313,60619066,2004-10-15,PRO
11665313,PCT/US05/36791,2005-10-14,NST
11665314,PCT/EP05/54683,2005-09-20,NST
11665315,PCT/EP05/10915,2005-10-11,NST
11665316,PCT/EP05/10951,2005-10-12,NST
11665317,PCT/US05/37215,2005-10-14,NST
11665318,PCT/EP05/11046,2005-10-13,NST
11665319,60624977,2004-11-04,PRO
11665319,PCT/US05/39238,2005-10-31,NST
11665320,PCT/FR05/50770,2005-09-23,NST
11665321,60618944,2004-10-14,PRO
11665321,PCT/US05/37020,2005-10-14,NST
11665322,PCT/JP2005/018459,2005-10-05,NST
11665323,PCT/EP05/10986,2005-10-13,NST
11665324,PCT/GB2005/003982,2005-10-14,NST
11665325,PCT/US06/43962,2006-11-13,NST
11665326,60618127,2004-10-13,PRO
11665326,PCT/US05/36675,2005-10-13,NST
11665327,PCT/FI05/50356,2005-10-12,NST
11665328,PCT/FR05/02552,2005-10-14,NST
11665329,PCT/DE05/02032,2005-11-11,NST
11665330,PCT/JP05/19455,2005-10-18,NST
11665331,PCT/EP2005/011156,2005-10-17,NST
11665332,PCT/JP2005/016636,2005-09-09,NST
11665333,PCT/JP04/15248,2004-10-15,NST
11665334,PCT/AU05/01588,2005-10-13,NST
11665335,PCT/JP05/19438,2005-10-17,NST
11665336,PCT/JP05/15150,2005-08-19,NST
11665337,PCT/JP05/23729,2005-12-26,NST
11665338,PCT/JP05/08340,2005-05-06,NST
11665339,60618179,2004-10-14,PRO
11665339,60643576,2005-01-14,PRO
11665339,60654447,2005-02-22,PRO
11665339,60658141,2005-03-04,PRO
11665339,PCT/US05/36957,2005-10-14,NST
11665340,PCT/NL2005/050011,2005-10-10,NST
11665341,PCT/NL05/50007,2005-10-06,NST
11665342,PCT/JP2006/306382,2006-03-22,NST
11665343,60618179,2004-10-14,PRO
11665343,60643576,2005-01-14,PRO
11665343,PCT/US05/36956,2005-10-14,NST
11665344,PCT/IL2005/001075,2005-10-11,NST
11665345,PCT/EP2005/011105,2005-10-14,NST
11665346,PCT/JP05/18527,2005-10-06,NST
11665347,PCT/JP05/20784,2005-11-08,NST
11665348,PCT/EP05/10450,2005-09-28,NST
11665349,PCT/JP05/19245,2005-10-13,NST
11665350,PCT/JP04/15072,2004-10-13,NST
11665351,PCT/CH05/00577,2005-10-05,NST
11665352,PCT/IB05/53402,2005-10-17,NST
11665353,PCT/IB05/03054,2005-10-13,NST
11665354,PCT/EP05/10995,2005-10-13,NST
11665355,PCT/GB05/03739,2005-09-29,NST
11665356,PCT/EP05/11018,2005-10-13,NST
11665357,PCT/EP05/09965,2005-09-16,NST
11665358,PCT/EP05/53194,2005-07-05,NST
11665359,60617683,2004-10-13,PRO
11665359,PCT/US05/36876,2005-10-12,NST
