application_number,parent_application_number,parent_filing_date,continuation_type
12160051,PCT/JP2006/326047,2006-12-27,NST
12160052,PCT/JP2007/050075,2007-01-09,NST
12160053,60756290,2006-01-05,PRO
12160053,PCT/US07/60169,2007-01-05,NST
12160054,PCT/CA06/01960,2006-12-04,NST
12160055,PCT/JP2007/050034,2007-01-05,NST
12160056,60763913,2006-02-01,PRO
12160056,60829042,2006-10-11,PRO
12160056,PCT/US07/61225,2007-01-29,NST
12160057,PCT/US06/00901,2006-01-11,NST
12160058,PCT/CA07/00015,2007-01-08,NST
12160059,PCT/EP2006/012262,2006-12-19,NST
12160060,PCT/EP07/50048,2007-01-03,NST
12160061,60756585,2006-01-05,PRO
12160061,PCT/US07/00159,2007-01-03,NST
12160062,PCT/FR2006/051338,2006-12-13,NST
12160063,PCT/KR06/00038,2006-01-05,NST
12160064,60756502,2006-01-05,PRO
12160064,PCT/US07/00024,2007-01-03,NST
12160065,PCT/US2007/000180,2007-01-08,NST
12160066,60756444,2006-01-04,PRO
12160066,PCT/US07/00222,2007-01-03,NST
12160067,PCT/JP2006/316713,2006-08-25,NST
12160068,PCT/GB2007/050003,2007-01-03,NST
12160069,PCT/JP2006/316714,2006-08-25,NST
12160070,PCT/GB2007/000016,2007-01-04,NST
12160071,PCT/JP2006/326254,2006-12-28,NST
12160072,PCT/JP2007/073875,2007-12-11,NST
12160073,60166663,1999-11-19,PRO
12160073,09715876,2000-11-18,CIP
12160073,10245802,2002-09-13,CIP
12160073,11123873,2005-05-05,CIP
12160073,11327197,2006-01-06,CON
12160073,PCT/US07/00433,2007-01-05,NST
12160074,PCT/JP2007/050090,2007-01-09,NST
12160075,PCT/EP2006/011951,2006-12-12,NST
12160076,PCT/NO2007/000005,2007-01-05,NST
12160077,PCT/GB2007/000073,2007-01-11,NST
12160078,PCT/US2006/001195,2006-01-11,NST
12160079,PCT/JP2006/323315,2006-11-22,NST
12160080,PCT/US07/60057,2007-01-03,NST
12160081,PCT/KR07/00036,2007-01-03,NST
12160082,PCT/NL2007/000006,2007-01-05,NST
12160083,PCT/US06/47990,2006-12-15,NST
12160084,60756889,2006-01-05,PRO
12160084,60760892,2006-01-20,PRO
12160084,PCT/US07/60115,2007-01-04,NST
12160085,60756656,2006-01-05,PRO
12160085,60774502,2006-02-16,PRO
12160085,60774720,2006-02-16,PRO
12160085,60790240,2006-04-06,PRO
12160085,60791689,2006-04-12,PRO
12160085,PCT/US07/00044,2007-01-04,NST
12160086,60756987,2006-01-06,PRO
12160086,PCT/US07/00219,2007-01-04,NST
12160087,60756894,2006-01-06,PRO
12160087,PCT/US07/00241,2007-01-05,NST
12160088,PCT/EP2007/000073,2007-01-05,NST
12160089,PCT/KR2006/000329,2006-01-31,NST
12160090,PCT/KR07/00115,2007-01-08,NST
12160091,60756048,2006-01-03,PRO
12160091,PCT/US07/00083,2007-01-03,NST
12160092,PCT/KR2007/000066,2007-01-04,NST
12160093,PCT/JP2007/050367,2007-01-05,NST
12160094,PCT/AU06/01953,2006-12-27,NST
12160095,PCT/KR07/00079,2007-01-05,NST
12160096,PCT/US2007/000396,2007-01-05,NST
12160097,PCT/KR2007/000026,2007-01-03,NST
12160098,PCT/AU06/01907,2006-12-18,NST
12160099,PCT/KR07/00080,2007-01-05,NST
12160100,PCT/KR2007/000067,2007-01-04,NST
12160101,PCT/US07/60067,2007-01-03,NST
12160102,PCT/SG2006/000001,2006-01-04,NST
12160103,PCT/FR2007/050615,2007-01-05,NST
12160104,PCT/GB2007/000099,2007-01-15,NST
12160105,PCT/KR2007/000084,2007-01-05,NST
12160106,PCT/NL2007/050003,2007-01-08,NST
12160107,PCT/SE2006/000045,2006-01-12,NST
12160108,PCT/SE07/00008,2007-01-05,NST
12160109,PCT/SE2006/001432,2006-12-18,NST
12160110,PCT/EP2007/000514,2007-01-22,NST
12160111,PCT/JP2006/326012,2006-12-27,NST
12160112,60757073,2006-01-06,PRO
12160112,PCT/US07/60163,2007-01-05,NST
12160113,PCT/JP2006/326347,2006-12-26,NST
12160114,PCT/JP2006/325328,2006-12-20,NST
12160115,PCT/EP07/51087,2007-02-05,NST
12160116,PCT/JP2006/325400,2006-12-20,NST
12160117,PCT/FR07/50824,2007-02-20,NST
12160118,PCT/US06/01181,2006-01-13,NST
12160119,PCT/EP06/06409,2006-07-01,NST
12160120,PCT/EP07/50370,2007-01-16,NST
12160121,PCT/JP2007/050019,2007-01-05,NST
12160122,PCT/JP2007/056284,2007-03-27,NST
12160123,PCT/IB2007/000108,2007-01-16,NST
12160124,PCT/EP2007/050371,2007-01-16,NST
12160125,PCT/JP2007/065276,2007-08-03,NST
12160126,PCT/KR07/03200,2007-07-02,NST
12160127,PCT/JP2007/051327,2007-01-23,NST
12160128,60756574,2006-01-06,PRO
12160128,PCT/US07/00474,2007-01-08,NST
12160129,60910202,2007-04-04,PRO
12160129,PCT/US08/59494,2008-04-04,NST
12160130,PCT/JP2007/051532,2007-01-24,NST
12160131,PCT/FR2006/051226,2006-11-24,NST
12160132,PCT/JP2006/325348,2006-12-20,NST
12160133,PCT/EP2007/050374,2007-01-16,NST
12160134,PCT/JP2007/072110,2007-11-14,NST
12160135,PCT/IL07/00021,2007-01-08,NST
12160136,PCT/ES2007/000250,2007-04-26,NST
12160137,PCT/FR2007/050679,2007-01-23,NST
12160138,PCT/KR2007/000106,2007-01-08,NST
12160139,PCT/EP06/00035,2006-01-04,NST
12160140,PCT/EP07/50376,2007-01-16,NST
12160141,PCT/EP07/58013,2007-08-02,NST
12160142,PCT/SE2006/001366,2006-11-29,NST
12160143,PCT/JP2007/070016,2007-10-05,NST
12160144,PCT/JP2007/064353,2007-07-20,NST
12160145,PCT/KR2007/000781,2007-02-14,NST
12160146,PCT/FR2007/050957,2007-03-20,NST
12160147,PCT/EP06/66237,2006-09-11,NST
12160148,60756803,2006-01-05,PRO
12160148,PCT/US07/00170,2007-01-03,NST
12160149,PCT/JP2007/050365,2007-01-05,NST
12160150,PCT/JP2007/050119,2007-01-10,NST
12160151,PCT/JP2007/050041,2007-01-05,NST
12160152,PCT/DK2007/000012,2007-01-09,NST
12160153,PCT/US2007/010833,2007-05-04,NST
12160154,PCT/KR07/00082,2007-01-05,NST
12160155,PCT/SE07/00005,2007-01-04,NST
12160156,PCT/EP2007/050379,2007-01-16,NST
12160157,PCT/SG2007/000007,2007-01-09,NST
12160158,PCT/SE07/00004,2007-01-04,NST
12160159,PCT/EP07/52614,2007-03-20,NST
12160160,PCT/NL2007/000005,2007-01-05,NST
12160161,PCT/FR07/00012,2007-01-05,NST
12160162,PCT/JP2006/326257,2006-12-28,NST
12160163,PCT/EP2007/050277,2007-01-12,NST
12160164,PCT/DE2006/002285,2006-12-20,NST
12160165,PCT/JP2007/051114,2007-01-18,NST
12160166,PCT/KR2007/000058,2007-01-04,NST
12160167,PCT/JP2007/000005,2007-01-09,NST
12160168,PCT/US06/00717,2006-01-11,NST
12160169,PCT/IB07/00044,2007-01-03,NST
12160170,PCT/FR2007/000024,2007-01-08,NST
12160171,PCT/GB2007/001566,2007-04-27,NST
12160172,PCT/EP07/50035,2007-01-03,NST
12160173,PCT/FR2007/051206,2007-05-03,NST
12160174,PCT/EP07/00097,2007-01-08,NST
12160175,PCT/JP2007/051856,2007-01-30,NST
12160176,PCT/JP2006/325261,2006-12-19,NST
12160177,PCT/JP2007/050109,2007-01-10,NST
12160178,PCT/FR2007/000065,2007-01-15,NST
12160179,PCT/FR07/00013,2007-01-05,NST
12160180,60757688,2006-01-06,PRO
12160180,PCT/IB07/01681,2007-01-05,NST
12160181,PCT/FR2007/000090,2007-01-18,NST
12160182,PCT/KR07/00107,2007-01-08,NST
12160183,PCT/US2007/000810,2007-01-11,CON
12160184,PCT/ES07/00696,2007-11-30,NST
12160185,PCT/JP2006/325266,2006-12-19,NST
12160186,PCT/JP2007/066978,2007-08-31,NST
12160187,60756930,2006-01-06,PRO
12160187,60757364,2006-01-09,PRO
12160187,PCT/US07/00320,2007-01-08,NST
12160188,60743097,2006-01-05,PRO
12160188,PCT/US07/00375,2007-01-05,NST
12160189,PCT/KR2007/000023,2007-01-03,NST
12160190,PCT/FR2007/000091,2007-01-18,NST
12160191,PCT/JP2006/300240,2006-01-05,NST
12160192,60743099,2006-01-06,PRO
12160192,PCT/US06/28433,2006-07-21,NST
12160193,PCT/JP2007/050169,2007-01-10,NST
12160194,PCT/JP2007/050339,2007-01-12,NST
12160195,PCT/KR2007/000044,2007-01-04,NST
12160196,60756536,2006-01-05,PRO
12160196,PCT/US07/60190,2007-01-05,NST
12160197,PCT/JP2007/050341,2007-01-12,NST
12160198,PCT/KR06/05744,2006-12-27,NST
12160199,PCT/JP2006/305631,2006-03-15,NST
12160200,PCT/EP2006/069679,2006-12-13,NST
12160201,PCT/JP2006/326009,2006-12-27,NST
12160202,PCT/JP2007/067983,2007-09-14,NST
12160203,PCT/IB2007/000281,2007-02-07,NST
12160204,PCT/JP2007/051207,2007-01-19,NST
12160205,PCT/JP2006/325492,2006-12-21,NST
12160206,PCT/EP2007/000074,2007-01-05,NST
12160207,PCT/JP2007/067337,2007-09-05,NST
12160208,PCT/JP2006/326054,2006-12-27,NST
12160209,PCT/JP2007/052909,2007-02-13,NST
12160210,PCT/IB2007/050022,2007-01-04,NST
12160211,PCT/IB07/50025,2007-01-04,NST
12160212,PCT/FR07/00147,2007-01-26,NST
12160213,PCT/IL2007/000033,2007-01-09,NST
12160214,PCT/EP06/70075,2006-12-21,NST
12160215,60757701,2006-01-10,PRO
12160215,PCT/US07/60321,2007-01-10,NST
12160216,PCT/IB2007/053555,2007-01-11,NST
12160217,PCT/JP2007/050636,2007-01-11,NST
12160218,PCT/JP2007/051109,2007-01-18,NST
12160219,PCT/JP2007/050254,2007-01-11,NST
12160220,PCT/IB2007/050017,2007-01-04,NST
12160221,PCT/EP2007/050381,2007-01-16,NST
12160222,PCT/IB2007/050087,2007-01-11,NST
12160223,PCT/IB2007/050019,2007-01-04,NST
12160224,PCT/EP2007/050552,2007-01-19,NST
12160225,PCT/EP06/68533,2006-11-15,NST
12160226,PCT/US06/09218,2006-03-14,NST
12160227,PCT/JP2007/050758,2007-01-19,NST
12160228,PCT/JP2007/050456,2007-01-16,NST
12160229,PCT/JP2007/050217,2007-01-11,NST
12160230,PCT/FR2007/050640,2007-01-11,NST
12160231,PCT/DK06/00700,2006-12-08,NST
12160232,PCT/IB07/00107,2007-01-16,NST
12160233,PCT/US2006/049073,2006-12-21,NST
12160234,PCT/IL2007/000140,2007-02-04,NST
12160235,PCT/EP2007/000552,2007-01-23,NST
12160236,PCT/GB2007/000052,2007-01-10,NST
12160237,PCT/JP2007/050901,2007-01-22,NST
12160238,PCT/IB2007/000011,2007-01-04,NST
12160239,PCT/EP07/00088,2007-01-08,NST
12160240,PCT/JP2007/051898,2007-02-05,NST
12160241,PCT/KR2007/002345,2007-05-11,NST
12160242,PCT/KR07/00197,2007-01-11,NST
12160243,PCT/JP2007/050106,2007-01-09,NST
12160244,PCT/EP07/09462,2007-10-31,NST
12160245,PCT/US06/03950,2006-02-07,NST
12160246,PCT/KR07/00165,2007-01-09,NST
12160247,60717973,2005-09-16,PRO
12160247,PCT/US06/31844,2006-08-16,NST
12160248,PCT/US2007/001046,2007-01-16,NST
12160249,PCT/SE06/01496,2006-12-27,NST
12160250,PCT/JP2007/055754,2007-03-20,NST
12160251,PCT/JP2006/321257,2006-10-25,NST
12160252,PCT/JP2007/052543,2007-02-07,NST
12160253,PCT/US2007/060490,2007-01-12,NST
12160254,PCT/EP2007/054358,2007-05-04,NST
12160255,PCT/GB2007/000043,2007-01-09,NST
12160256,PCT/EP07/00001,2007-01-02,NST
12160257,PCT/KR2007/000166,2007-01-09,NST
12160258,PCT/EP2007/000101,2007-01-09,NST
12160259,60757863,2006-01-11,PRO
12160259,60795596,2006-04-28,PRO
12160259,PCT/US07/00301,2007-01-09,NST
12160260,PCT/JP2007/051688,2007-02-01,NST
12160261,PCT/KR06/00091,2006-01-10,NST
12160262,PCT/US07/60092,2007-01-04,NST
12160263,PCT/US2007/000774,2007-01-12,NST
12160264,PCT/JP2007/053116,2007-02-20,NST
12160265,60757653,2006-01-10,PRO
12160265,PCT/US07/00621,2007-01-10,NST
12160266,60759099,2006-01-13,PRO
12160266,60779613,2006-03-06,PRO
12160266,PCT/US07/00987,2007-01-12,NST
12160267,PCT/EP2007/058860,2007-08-27,NST
12160268,PCT/JP2007/050944,2007-01-23,NST
12160269,PCT/IB07/01718,2007-01-11,NST
12160270,PCT/GB2007/000083,2007-01-12,NST
12160271,PCT/AU2007/000024,2007-01-12,NST
12160272,PCT/IB2006/003781,2006-12-27,NST
