application_number,parent_application_number,parent_filing_date,continuation_type
12643591,11612007,2006-12-18,CIP
12643592,10140064,2002-05-08,CON
12643592,10992003,2004-11-19,CON
12643592,11976647,2007-10-26,CON
12643594,10640692,2003-08-14,DIV
12643594,12349730,2009-01-07,CON
12643595,61139258,2008-12-19,PRO
12643596,60238056,2000-10-05,PRO
12643596,09749255,2000-12-27,CON
12643599,61139331,2008-12-19,PRO
12643601,11088856,2005-03-25,CON
12643603,09668403,2000-09-22,CON
12643603,10354643,2003-01-29,CON
12643603,11316798,2005-12-22,CON
12643604,11498341,2006-08-03,DIV
12643607,11294306,2005-12-05,CIP
12643609,09211636,1998-12-15,CON
12643609,09784589,2001-02-15,CON
12643609,10641902,2003-08-14,CON
12643610,11618652,2006-12-29,CIP
12643611,60938599,2007-05-17,PRO
12643611,12123056,2008-05-19,CIP
12643611,61139495,2008-12-19,PRO
12643612,61140003,2008-12-22,PRO
12643613,11631844,2007-01-08,DIV
12643613,PCT/JP2006/305935,2006-03-24,CON
12643614,61141100,2008-12-29,PRO
12643616,09697520,2000-10-25,CIP
12643616,60251122,2000-12-05,PRO
12643616,10006970,2001-12-04,CON
12643616,11173572,2005-07-01,CON
12643616,11827926,2007-07-12,CON
12643617,10562694,2006-03-10,CON
12643617,PCT/GB2004/002764,2004-06-28,NST
12643618,60999009,2007-10-15,PRO
12643618,61067949,2008-03-03,PRO
12643618,12285856,2008-10-15,CIP
12643618,12397139,2009-03-03,CIP
12643619,61140503,2008-12-23,PRO
12643621,61140731,2008-12-24,PRO
12643622,61203595,2008-12-26,PRO
12643623,11769580,2007-06-27,CIP
12643623,PCT/US2008/068679,2008-06-27,CON
12643624,61140916,2008-12-26,PRO
12643626,61204059,2008-12-31,PRO
12643628,60410264,2002-09-13,PRO
12643628,60430934,2002-12-05,PRO
12643628,10661402,2003-09-12,CIP
12643628,10969812,2004-10-19,CON
12643628,PCT/IB03/04573,2003-09-11,CIP
12643629,10672891,2003-09-26,CON
12643630,PCT/JP2007/063017,2007-06-28,CON
12643632,61184649,2009-06-05,PRO
12643633,PCT/US2008/068787,2008-06-30,CIP
12643634,11385623,2006-03-21,CON
12643636,11267591,2005-11-04,CON
12643639,61139389,2008-12-19,PRO
12643639,61266876,2009-12-04,PRO
12643641,60480182,2003-06-20,PRO
12643641,PCT/US04/19552,2004-06-18,NST
12643641,10561153,2006-04-05,DIV
12643644,11574442,2008-10-01,DIV
12643644,PCT/US2005/030930,2005-08-31,NST
12643646,11159389,2005-06-23,DIV
12643646,12219402,2008-07-22,CON
12643651,61140909,2008-12-26,PRO
12643653,61162140,2009-03-20,PRO
12643658,11299706,2005-12-12,CON
12643662,09629175,2000-07-31,CON
12643663,61139078,2008-12-19,PRO
12643664,61140849,2008-12-24,PRO
12643664,61158397,2009-03-09,PRO
12643665,PCT/EP02/03032,2002-03-19,CON
12643667,61139912,2008-12-22,PRO
12643670,60792859,2006-04-18,PRO
12643670,60793524,2006-04-20,PRO
12643670,60868134,2006-12-01,PRO
12643670,11736761,2007-04-18,CIP
12643670,11948021,2007-11-30,CIP
12643670,61075513,2008-06-25,PRO
12643670,12491654,2009-06-25,CIP
12643675,61223360,2009-07-06,PRO
12643676,61139928,2008-12-22,PRO
12643677,61199584,2008-11-19,PRO
12643677,12621096,2009-11-18,CIP
12643679,11194089,2005-07-29,CON
12643680,61139140,2008-12-19,PRO
12643680,61166365,2009-04-03,PRO
12643680,61258273,2009-11-05,PRO
12643681,61141585,2008-12-30,PRO
12643683,10973926,2004-10-25,CON
12643684,60601402,2004-08-13,PRO
12643684,11202886,2005-08-12,CON
12643685,11093882,2005-03-30,CON
12643687,10575384,2007-02-21,CON
12643687,PCT/KR2004/002590,2004-10-11,NST
12643688,61232913,2009-08-11,PRO
12643689,60473283,2003-05-27,PRO
12643689,60473287,2003-05-27,PRO
12643689,60520222,2003-11-17,PRO
12643689,10852787,2004-05-24,CIP
12643689,10987842,2004-11-12,CON
12643689,11681157,2007-03-01,CIP
