application_number,parent_application_number,parent_filing_date,continuation_type
13080232,61129203,2008-06-11,PRO
13080232,12417122,2009-04-02,CON
13080234,61328000,2010-04-26,PRO
13080234,13073948,2011-03-28,CON
13080235,60771408,2006-02-08,PRO
13080235,60790345,2006-04-07,PRO
13080235,11672553,2007-02-08,CIP
13080235,12876536,2010-09-07,CIP
13080238,PCT/JP2010/069032,2010-10-27,CON
13080242,61323122,2010-04-12,PRO
13080243,61282813,2010-04-06,PRO
13080243,61344237,2010-06-17,PRO
13080243,61410655,2010-11-05,PRO
13080244,12092279,2008-07-31,DIV
13080244,PCT/DE2006/001942,2006-11-06,NST
13080246,61321123,2010-04-05,PRO
13080247,11891281,2007-08-09,CIP
13080247,12022758,2008-01-30,CIP
13080247,12533598,2009-07-31,CIP
13080248,61321066,2010-04-05,PRO
13080248,61324610,2010-04-15,PRO
13080249,11551567,2006-10-20,CON
13080249,12781491,2010-05-17,CON
13080250,61129203,2008-06-11,PRO
13080250,12417122,2009-04-02,CON
13080251,11093632,2005-03-30,CON
13080254,61320854,2010-04-05,PRO
13080255,61321578,2010-04-07,PRO
13080257,61321704,2010-04-07,PRO
13080258,60544605,2004-02-13,PRO
13080258,60545854,2004-02-19,PRO
13080258,60568914,2004-05-07,PRO
13080258,11056156,2005-02-14,CON
13080258,12533100,2009-07-31,CON
13080260,61320954,2010-04-05,PRO
13080262,60156594,1999-09-29,PRO
13080262,09675650,2000-09-29,DIV
13080262,12098577,2008-04-07,CON
13080262,12635917,2009-12-11,CON
13080263,12106077,2008-04-18,DIV
13080265,11153667,2005-06-15,CON
13080269,PCT/JP2009/067277,2009-10-02,CON
13080270,12263443,2008-10-31,DIV
13080274,11850053,2007-09-05,CON
13080274,PCT/JP2006/306929,2006-03-31,CON
13080279,60795810,2006-04-28,PRO
13080279,60837789,2006-08-15,PRO
13080279,11737772,2007-04-20,DIV
13080283,61338596,2010-04-05,PRO
13080285,60580977,2004-06-17,PRO
13080285,60660652,2005-03-11,PRO
13080285,11155966,2005-06-17,CON
13080286,61328000,2010-04-26,PRO
13080286,13073948,2011-03-28,CON
13080287,12898143,2010-10-05,CIP
13080289,12296900,2008-10-10,DIV
13080289,PCT/EP07/53512,2007-04-11,NST
13080290,11710837,2007-02-26,CON
13080291,PCT/EP09/62574,2009-09-29,CON
13080293,61322687,2010-04-09,PRO
13080294,61348950,2010-05-27,PRO
13080295,60407165,2002-08-30,PRO
13080295,60408207,2002-09-04,PRO
13080295,60408617,2002-09-06,PRO
13080295,60410022,2002-09-11,PRO
13080295,60411294,2002-09-17,PRO
13080295,60420901,2002-10-24,PRO
13080295,60425959,2002-11-12,PRO
13080295,60434503,2002-12-18,PRO
13080295,60437887,2003-01-02,PRO
13080295,60439951,2003-01-14,PRO
13080295,60442360,2003-01-24,PRO
13080295,60456260,2003-03-20,PRO
13080295,60456322,2003-03-20,PRO
13080295,60456266,2003-03-20,PRO
13080295,60456265,2003-03-20,PRO
13080295,60477279,2003-06-10,PRO
13080295,60478106,2003-06-11,PRO
13080295,10652330,2003-08-29,DIV
13080295,12480637,2009-06-08,CON
13080299,10769001,2004-01-30,DIV
13080299,11706506,2007-02-15,CON
13080300,10533940,2006-12-29,CON
