application_number,parent_application_number,parent_filing_date,continuation_type
13695609,PCT/EP10/55972,2010-05-03,NST
13695610,PCT/EP11/56124,2011-04-18,NST
13695611,61319947,2010-04-01,PRO
13695611,PCT/US11/30813,2011-03-31,NST
13695612,PCT/JP2011/059399,2011-04-15,NST
13695613,PCT/EP2011/057675,2011-05-12,NST
13695614,PCT/CN2010/002183,2010-12-28,NST
13695615,PCT/EP11/56156,2011-04-18,NST
13695616,PCT/EP2011/056145,2011-04-18,NST
13695617,PCT/EP2011/056462,2011-04-21,NST
13695618,PCT/KR2010/002765,2010-04-30,NST
13695619,PCT/KR2012/008227,2012-10-11,NST
13695620,PCT/EP11/02129,2011-04-28,NST
13695621,PCT/KR2011/003082,2011-04-27,NST
13695622,PCT/CN2012/080938,2012-09-03,NST
13695623,PCT/EP2011/056456,2011-04-21,NST
13695624,PCT/SE11/00079,2011-05-05,NST
13695625,PCT/JP2010/071340,2010-11-30,NST
13695626,PCT/EP2011/057020,2011-05-03,NST
13695627,PCT/KR2011/005306,2011-07-19,NST
13695628,PCT/CN2011/073560,2011-04-29,NST
13695629,PCT/JP2012/002841,2012-04-25,NST
13695630,PCT/EP11/02205,2011-05-03,NST
13695631,61331664,2010-05-05,PRO
13695631,61369128,2010-07-30,PRO
13695631,PCT/US11/35299,2011-05-05,NST
13695632,PCT/US2011/035337,2011-05-05,NST
13695633,PCT/EP2011/002382,2011-05-04,NST
13695634,PCT/EP11/57001,2011-05-03,NST
13695635,PCT/CA11/50269,2011-05-03,NST
13695636,PCT/JP2011/059539,2011-04-18,NST
13695637,PCT/SE2011/000073,2011-04-28,NST
13695638,PCT/EP2011/057204,2011-05-05,NST
13695639,PCT/EP2011/002023,2011-04-20,NST
13695640,PCT/EP11/60173,2011-06-17,NST
13695641,PCT/IB11/51819,2011-04-27,NST
13695642,61343808,2010-05-04,PRO
13695642,PCT/US11/00756,2011-04-30,NST
13695643,PCT/EP2011/002193,2011-05-03,NST
13695644,PCT/CN10/79534,2010-12-07,NST
13695645,PCT/SE2010/050506,2010-05-07,NST
13695646,PCT/IN2011/000308,2011-05-03,NST
13695647,PCT/JP2011/059660,2011-04-19,NST
13695648,61331238,2010-05-04,PRO
13695648,PCT/US11/34176,2011-04-27,NST
13695649,PCT/EP11/56831,2011-04-29,NST
13695650,PCT/EP11/02217,2011-05-04,NST
13695651,PCT/KR10/08206,2010-11-19,NST
13695652,PCT/EP2011/057658,2011-05-12,NST
13695653,PCT/CN2010/075615,2010-07-31,NST
13695654,PCT/EP11/57258,2011-05-05,NST
13695655,PCT/JP2010/062542,2010-07-26,NST
13695656,PCT/EP2011/055401,2011-04-07,NST
13695657,PCT/DE2011/075101,2011-05-06,NST
13695658,PCT/JP11/59904,2011-04-22,NST
13695659,PCT/US2011/034180,2011-04-27,NST
13695660,PCT/IB11/51881,2011-04-28,NST
13695661,PCT/EP11/53528,2011-03-09,NST
13695662,PCT/EP2011/053582,2011-03-10,NST
13695663,PCT/JP2011/072860,2011-10-04,NST
13695664,PCT/NO11/00327,2011-11-21,NST
13695665,PCT/JP2011/061919,2011-05-18,NST
13695666,PCT/JP2011/061036,2011-05-13,NST
13695667,PCT/EP11/53589,2011-03-10,NST
13695668,PCT/EP2011/002252,2011-05-05,NST
13695669,PCT/US2011/035216,2011-05-04,NST
13695670,PCT/IB10/01631,2010-05-18,NST
13695671,PCT/DK11/00039,2011-05-03,NST
13695672,PCT/EP2011/057005,2011-05-03,NST
13695673,PCT/EP2010/056551,2010-05-12,NST
13695674,PCT/US11/33723,2011-04-25,NST
13695675,PCT/US2011/034933,2011-05-03,NST
13695676,PCT/EP2011/061634,2011-07-08,NST
13695677,PCT/US2011/034704,2011-04-30,NST
13695678,PCT/IB2011/051340,2011-03-29,NST
13695679,PCT/CN11/76458,2011-06-28,NST
13695680,PCT/US2011/035122,2011-05-04,NST
13695681,PCT/DK2011/000040,2011-05-03,NST
13695682,PCT/DE2011/000389,2011-04-09,NST
13695683,PCT/EP11/56887,2011-04-29,NST
13695684,PCT/CN12/81357,2012-09-13,NST
