application_number,parent_application_number,parent_filing_date,continuation_type
13906288,60916776,2007-05-08,PRO
13906288,12117698,2008-05-08,CON
13906289,61786624,2013-03-15,PRO
13906293,61808283,2013-04-04,PRO
13906294,60931339,2007-05-23,PRO
13906294,12154341,2008-05-22,CON
13906300,60967715,2007-09-05,PRO
13906300,12205813,2008-09-05,CON
13906309,61654098,2012-06-01,PRO
13906309,61654408,2012-06-01,PRO
13906309,61802496,2013-03-16,PRO
13906316,61653296,2012-05-30,PRO
13906317,61653272,2012-05-30,PRO
13906319,12791368,2010-06-01,CON
13906320,61653064,2012-05-30,PRO
13906321,61652893,2012-05-30,PRO
13906322,61654098,2012-06-01,PRO
13906322,61654408,2012-06-01,PRO
13906322,61802496,2013-03-16,PRO
13906323,61689405,2012-06-05,PRO
13906324,61654098,2012-06-01,PRO
13906324,61654408,2012-06-01,PRO
13906324,61802496,2013-03-16,PRO
13906325,12991749,2010-11-09,CIP
13906325,13389200,2012-06-13,CIP
13906325,PCT/IL2009/000473,2009-05-10,NST
13906325,PCT/IL2011/050045,2011-12-07,NST
13906325,PCT/IL2013/050283,2013-03-24,CIP
13906327,61807453,2013-04-02,PRO
13906330,61654098,2012-06-01,PRO
13906330,61654408,2012-06-01,PRO
13906330,61802496,2013-03-16,PRO
13906334,13355894,2012-01-23,CIP
13906335,61478436,2011-04-22,PRO
13906335,13452882,2012-04-22,CIP
13906335,61745729,2012-12-24,PRO
13906335,13842158,2013-03-15,CIP
13906336,61654729,2012-06-01,PRO
13906337,61653404,2012-05-30,PRO
13906340,13224297,2011-09-01,DIV
13906343,61681851,2012-08-10,PRO
13906344,61655818,2012-06-05,PRO
13906345,61480322,2011-04-28,PRO
13906345,13250051,2011-09-30,CIP
13906345,61653771,2012-05-31,PRO
13906346,61480322,2011-04-28,PRO
13906346,13250051,2011-09-30,CIP
13906346,61653771,2012-05-31,PRO
13906347,61480322,2011-04-28,PRO
13906347,13250051,2011-09-30,CIP
13906347,61653771,2012-05-31,PRO
13906348,61480322,2011-04-28,PRO
13906348,13250051,2011-09-30,CIP
13906348,61653771,2012-05-31,PRO
13906355,13186448,2011-07-19,DIV
13906356,61654963,2012-06-04,PRO
13906360,PCT/JP2011/077733,2011-11-24,CON
13906367,61447176,2011-02-28,PRO
13906367,13404037,2012-02-24,CON
13906369,61447197,2011-02-28,PRO
13906369,13404040,2012-02-24,CON
13906374,13483778,2012-05-30,CON
13906377,PCT/JP2011/079523,2011-12-20,CON
13906380,13217272,2011-08-25,CON
13906382,61654921,2012-06-03,PRO
13906391,09179921,1998-10-27,CIP
13906391,10251715,2002-09-20,CON
13906391,11356725,2006-02-17,DIV
13906399,13678613,2012-11-16,CIP
13906405,12239919,2008-09-29,DIV
13906405,PCT/US2007/008280,2007-03-30,CON
13906408,PCT/KR2011/009578,2011-12-13,CON
13906414,61655426,2012-06-04,PRO
13906416,12664887,2010-05-28,DIV
13906416,PCT/CA2008/001198,2008-06-26,NST
13906417,61655104,2012-06-04,PRO
13906418,61654152,2012-06-01,PRO
13906422,61474374,2011-04-12,PRO
13906422,13438913,2012-04-04,CIP
13906424,12298564,2008-11-26,CON
13906424,PCT/JP2007/059108,2007-04-26,NST
13906430,11678692,2007-02-26,CON
13906434,11604577,2006-11-27,DIV
13906434,13600388,2012-08-31,CON
13906434,13600402,2012-08-31,CON
13906435,61653522,2012-05-31,PRO
13906440,13159606,2011-06-14,CON
13906442,61653625,2012-05-31,PRO
13906446,10427516,2003-05-01,DIV
13906446,12080727,2008-04-04,CON
13906446,13012352,2011-01-24,CON
13906446,13595455,2012-08-27,CON
13906450,11111798,2005-04-22,CIP
13906450,11643788,2006-12-22,DIV
13906450,12805191,2010-07-16,DIV
13906450,13261098,2011-12-21,CON
13906450,13374931,2012-01-24,DIV
13906450,13886287,2013-05-03,CIP
13906450,PCT/IN2003/000137,2003-04-03,CON
13906450,PCT/IN2009/000460,2009-08-20,NST
13906453,10237497,2002-09-09,CON
13906453,12648998,2009-12-29,CON
13906456,61311001,2010-03-05,PRO
13906456,61412153,2010-11-10,PRO
13906456,13040787,2011-03-04,CON
13906456,13178065,2011-07-07,CON
13906461,13026360,2011-02-14,DIV
13906471,PCT/KR2011/008921,2011-11-22,CON
13906474,13354502,2012-01-20,CON
13906475,13375142,2012-04-12,CON
13906475,PCT/JP2010/059160,2010-05-28,NST
13906478,61654448,2012-06-01,PRO
13906479,61653478,2012-05-31,PRO
13906484,12394310,2009-02-27,CON
13906487,61311001,2010-03-05,PRO
13906487,61412153,2010-11-10,PRO
13906487,13040787,2011-03-04,CON
13906489,12771833,2010-04-30,DIV
13906490,61654201,2012-06-01,PRO
13906491,61669281,2012-07-09,PRO
13906492,PCT/EP2011/070974,2011-11-24,CON
13906495,12763316,2010-04-20,CON
13906498,61654357,2012-06-01,PRO
13906498,61705801,2012-09-26,PRO
13906500,61673645,2012-07-19,PRO
13906503,61653741,2012-05-31,PRO
13906508,61658508,2012-06-12,PRO
13906509,12997453,2010-12-10,CON
13906509,PCT/JP2010/069770,2010-11-01,NST
13906513,61787614,2013-03-15,PRO
13906516,61654856,2012-06-02,PRO
13906517,12547792,2009-08-26,CON
13906518,12779092,2010-05-13,DIV
13906518,PCT/KR2008/006727,2008-11-14,CIP
13906520,61806642,2013-03-29,PRO
13906523,60668603,2005-04-06,PRO
13906523,60728292,2005-10-19,PRO
13906523,60751196,2005-12-16,PRO
13906523,60782332,2006-03-14,PRO
13906523,11389358,2006-03-24,DIV
13906523,11391584,2006-03-28,DIV
13906523,60800342,2006-05-15,PRO
13906523,11478021,2006-06-29,DIV
13906523,60864530,2006-11-06,PRO
13906523,11633729,2006-12-05,DIV
13906523,11745692,2007-05-08,CIP
13906523,12396605,2009-03-03,DIV
13906523,12396965,2009-03-03,DIV
13906523,12417917,2009-04-03,DIV
13906523,61168290,2009-04-10,PRO
13906523,12468589,2009-05-19,CIP
13906523,61267877,2009-12-09,PRO
13906523,61302682,2010-02-09,PRO
13906523,12754740,2010-04-06,CIP
13906523,61409740,2010-11-03,PRO
13906523,61414592,2010-11-17,PRO
13906523,12949536,2010-11-18,CIP
13906523,12964021,2010-12-09,CIP
13906523,12968936,2010-12-15,CIP
13906523,13021302,2011-02-04,CIP
13906523,13036820,2011-02-28,CIP
13906523,61487956,2011-05-19,PRO
13906523,13288202,2011-11-03,DIV
13906525,61653900,2012-05-31,PRO
13906526,PCT/JP2011/077616,2011-11-30,CON
13906528,61658700,2012-06-12,PRO
13906529,11719361,2009-02-26,DIV
13906529,13353602,2012-01-19,DIV
13906529,PCT/JP2006/304819,2006-03-06,NST
13906530,61665611,2012-06-28,PRO
13906534,61660462,2012-06-15,PRO
13906535,13540235,2012-07-02,CON
13906540,61708698,2012-10-02,PRO
13906541,12598362,2009-10-30,CIP
13906541,12622474,2009-11-20,CIP
13906541,12622563,2009-11-20,CON
13906541,13214979,2011-08-22,CON
13906541,13420892,2012-03-15,CON
13906541,PCT/EP2008/003679,2008-05-07,NST
13906542,61725128,2012-11-12,PRO
13906543,13480091,2012-05-24,CON
13906545,12917865,2010-11-02,DIV
13906547,61661501,2012-06-19,PRO
13906550,PCT/FR2011/000639,2011-12-06,CON
13906551,61719811,2012-10-29,PRO
13906551,13762591,2013-02-08,CIP
13906552,61653613,2012-05-31,PRO
13906553,61654162,2012-06-01,PRO
13906556,61757809,2013-01-29,PRO
13906557,10850037,2004-05-20,CIP
13906557,10915764,2004-10-15,DIV
13906557,12631942,2009-12-07,DIV
13906557,13481084,2012-05-25,DIV
13906559,61662985,2012-06-22,PRO
13906559,61677903,2012-07-31,PRO
13906560,12253516,2008-10-17,DIV
13906566,12792096,2010-06-02,CON
13906568,61654175,2012-06-01,PRO
13906571,61653666,2012-05-31,PRO
13906572,61657247,2012-06-08,PRO
13906572,61665203,2012-06-27,PRO
13906572,61684079,2012-08-16,PRO
13906572,13797404,2013-03-12,CIP
13906573,60809618,2006-05-31,PRO
13906573,11755153,2007-05-30,CON
13906577,10465877,2003-06-20,DIV
13906577,12726429,2010-03-18,CON
13906577,13188513,2011-07-22,DIV
