application_number,parent_application_number,parent_filing_date,continuation_type
14205148,61775773,2013-03-11,PRO
14205150,61777900,2013-03-12,PRO
14205151,61780892,2013-03-13,PRO
14205152,61799323,2013-03-15,PRO
14205152,61805099,2013-03-25,PRO
14205153,61780411,2013-03-13,PRO
14205156,61372941,2010-08-12,PRO
14205156,13205870,2011-08-09,CIP
14205157,13309284,2011-12-01,CON
14205159,13624880,2012-09-21,CON
14205161,61789717,2013-03-15,PRO
14205162,61785290,2013-03-14,PRO
14205162,61836474,2013-06-18,PRO
14205163,13583195,2012-11-15,DIV
14205163,PCT/JP2011/001407,2011-03-10,NST
14205164,61799953,2013-03-15,PRO
14205167,61802181,2013-03-15,PRO
14205167,61923590,2014-01-03,PRO
14205168,61484660,2011-05-10,PRO
14205168,13468012,2012-05-09,CON
14205169,61777807,2013-03-12,PRO
14205176,61778127,2013-03-12,PRO
14205176,61809225,2013-04-05,PRO
14205177,61804178,2013-03-21,PRO
14205178,61776562,2013-03-11,PRO
14205179,61776585,2013-03-11,PRO
14205181,61776632,2013-03-11,PRO
14205182,61777801,2013-03-12,PRO
14205183,61777574,2013-03-12,PRO
14205184,61280178,2009-10-29,PRO
14205184,12592256,2009-11-19,CON
14205185,61776339,2013-03-11,PRO
14205187,61775914,2013-03-11,PRO
14205187,61786700,2013-03-15,PRO
14205188,61782928,2013-03-14,PRO
14205191,61781745,2013-03-14,PRO
14205193,61851666,2013-03-12,PRO
14205194,61792392,2013-03-15,PRO
14205195,61785872,2013-03-14,PRO
14205200,61793589,2013-03-15,PRO
14205201,61799011,2013-03-15,PRO
14205201,61878540,2013-09-16,PRO
14205203,12853160,2010-08-09,CON
14205203,13950116,2013-07-24,CIP
14205204,60290439,2001-05-11,PRO
14205204,10143111,2002-05-10,DIV
14205204,11901232,2007-09-14,CON
14205204,13494431,2012-06-12,CON
14205204,13777537,2013-02-26,CON
14205205,61869011,2013-08-22,PRO
14205206,61484150,2011-05-09,PRO
14205206,13236549,2011-09-19,CIP
14205206,13467792,2012-05-09,CON
14205207,61862280,2013-08-05,PRO
14205208,61777648,2013-03-12,PRO
14205210,12835079,2010-07-13,DIV
14205211,13084509,2011-04-11,CON
14205215,61802344,2013-03-15,PRO
14205216,61831990,2013-06-06,PRO
14205217,61812511,2013-04-16,PRO
14205217,61860140,2013-07-30,PRO
14205217,61897769,2013-10-30,PRO
14205220,61603134,2012-02-24,PRO
14205220,13740036,2013-01-11,CON
14205221,61786247,2013-03-14,PRO
14205222,61782871,2013-03-14,PRO
14205224,61802136,2013-03-15,PRO
14205225,61777648,2013-03-12,PRO
14205227,61752348,2013-01-14,PRO
14205227,61764954,2013-02-14,PRO
14205227,61780310,2013-03-13,PRO
14205227,14155248,2014-01-14,CON
14205229,61779416,2013-03-13,PRO
14205229,PCT/US2013/067604,2013-10-30,CIP
14205233,61556905,2011-11-08,PRO
14205233,13672084,2012-11-08,CIP
14205235,61778926,2013-03-13,PRO
14205238,61777501,2013-03-12,PRO
14205238,61908976,2013-11-26,PRO
14205239,61777648,2013-03-12,PRO
14205240,11967609,2007-12-31,DIV
14205242,61793955,2013-03-15,PRO
14205243,61794490,2013-03-15,PRO
14205244,61474582,2011-04-12,PRO
14205244,13444743,2012-04-11,CON
14205245,61776463,2013-03-11,PRO
14205245,14047310,2013-10-07,CIP
14205246,61803350,2013-03-19,PRO
14205247,13751996,2013-01-28,CIP
14205248,61752348,2013-01-14,PRO
14205248,61764954,2013-02-14,PRO
14205248,61778157,2013-03-12,PRO
14205248,61780334,2013-03-13,PRO
14205248,61818153,2013-05-01,PRO
14205248,61818410,2013-05-01,PRO
14205248,61913832,2013-12-09,PRO
14205248,61913870,2013-12-09,PRO
14205248,14155334,2014-01-14,CON
14205251,61785268,2013-03-14,PRO
14205252,11864472,2007-09-28,DIV
14205254,61777648,2013-03-12,PRO
14205255,12825852,2010-06-29,CIP
14205255,13406519,2012-02-27,CON
14205257,61783913,2013-03-14,PRO
14205259,61776757,2013-03-11,PRO
14205260,09414614,1999-10-08,DIV
14205260,60316137,2001-08-30,PRO
14205260,09993543,2001-11-14,CIP
14205260,60342608,2001-12-21,PRO
14205260,10202778,2002-07-25,CIP
14205260,10495506,2004-05-12,DIV
14205260,PCT/US2002/036940,2002-11-14,NST
