application_number,parent_application_number,parent_filing_date,continuation_type
14305248,61836368,2013-06-18,PRO
14305252,61837277,2013-06-20,PRO
14305252,61927586,2014-01-15,PRO
14305255,09940110,2001-08-27,CIP
14305255,10118289,2002-04-08,DIV
14305255,10345698,2003-01-16,DIV
14305255,10751751,2004-01-05,CIP
14305255,11479204,2006-06-30,CON
14305255,13032569,2011-02-22,CON
14305256,61499787,2011-06-22,PRO
14305256,61499795,2011-06-22,PRO
14305256,61499885,2011-06-22,PRO
14305256,61500225,2011-06-23,PRO
14305256,61544364,2011-10-07,PRO
14305256,61545665,2011-10-11,PRO
14305256,13529246,2012-06-21,DIV
14305258,61835907,2013-06-17,PRO
14305260,61835251,2013-06-14,PRO
14305262,13135507,2011-07-07,CON
14305262,13754990,2013-01-31,CIP
14305263,13257580,2011-09-19,DIV
14305263,PCT/US2009/037855,2009-03-20,NST
14305266,61836856,2013-06-19,PRO
14305267,PCT/JP2013/050905,2013-01-18,CON
14305270,08860793,1997-07-09,CON
14305270,09053494,1998-04-02,CON
14305270,09287187,1999-04-06,CON
14305270,09583949,2000-05-31,CON
14305270,09817021,2001-03-27,CON
14305270,10020873,2001-12-19,CON
14305270,10223347,2002-08-20,CON
14305270,10810631,2004-03-29,CON
14305270,11088945,2005-03-25,CON
14305270,11600798,2006-11-17,CON
14305270,11892041,2007-08-20,CON
14305270,12434794,2009-05-04,CON
14305270,13453079,2012-04-23,CON
14305270,PCT/JP95/02260,1995-11-07,NST
14305272,61801501,2013-03-15,PRO
14305272,13893904,2013-05-14,CON
14305274,13858171,2013-04-08,CIP
14305274,13874612,2013-05-01,CON
14305274,PCT/US2011/055776,2011-10-11,CON
14305276,61552985,2011-10-28,PRO
14305276,61620302,2012-04-04,PRO
14305276,13648109,2012-10-09,DIV
14305277,61835718,2013-06-17,PRO
14305279,PCT/CN2012/086235,2012-12-08,CON
14305280,13367633,2012-02-07,CON
14305280,13563376,2012-07-31,CON
14305281,61835412,2013-06-14,PRO
14305284,61834901,2013-06-14,PRO
14305287,12532189,2009-09-21,CON
14305287,PCT/US2008/058602,2008-03-28,NST
14305291,61836331,2013-06-18,PRO
14305294,61836524,2013-06-18,PRO
14305295,61835724,2013-06-17,PRO
14305298,61836343,2013-06-18,PRO
14305301,PCT/JP2012/082364,2012-12-13,CON
14305304,PCT/JP2013/057438,2013-03-15,CON
14305305,12773610,2010-05-04,CIP
14305305,13089691,2011-04-19,CIP
14305307,61473297,2011-04-08,PRO
14305307,13438060,2012-04-03,CIP
14305308,61837672,2013-06-21,PRO
14305310,61064027,2008-02-11,PRO
14305310,12368858,2009-02-10,CON
14305311,12531332,2009-09-15,CON
14305311,PCT/IL2008/000347,2008-03-13,NST
14305312,60823191,2006-08-22,PRO
14305312,11841504,2007-08-20,CON
14305314,13751638,2013-01-28,CON
14305315,61837274,2013-06-20,PRO
14305319,PCT/JP2013/007488,2013-12-19,CON
14305321,61591773,2012-01-27,PRO
14305321,61716689,2012-10-22,PRO
14305321,13737555,2013-01-09,CIP
14305321,13833819,2013-03-15,CON
14305323,61938041,2014-02-10,PRO
14305324,61867952,2013-08-20,PRO
14305324,61971329,2014-03-27,PRO
14305324,61974876,2014-04-03,PRO
14305327,PCT/JP2011/079606,2011-12-21,CON
14305328,61577112,2011-12-19,PRO
14305328,13629245,2012-09-27,CIP
14305330,61836873,2013-06-19,PRO
14305331,61835129,2013-06-14,PRO
14305334,12534440,2009-08-03,CON
14305335,61045234,2008-04-15,PRO
14305335,61045237,2008-04-15,PRO
14305335,61045247,2008-04-15,PRO
14305335,61045249,2008-04-15,PRO
14305335,61045252,2008-04-15,PRO
14305335,61045262,2008-04-15,PRO
14305335,61079794,2008-07-10,PRO
14305335,61088666,2008-08-13,PRO
14305335,61104905,2008-10-13,PRO
14305335,61122341,2008-12-12,PRO
14305335,61122342,2008-12-12,PRO
14305335,61122343,2008-12-12,PRO
14305335,61122344,2008-12-12,PRO
14305335,61122345,2008-12-12,PRO
14305335,61122346,2008-12-12,PRO
14305335,61122347,2008-12-12,PRO
14305335,61122348,2008-12-12,PRO
14305335,61122350,2008-12-12,PRO
14305335,61122351,2008-12-12,PRO
14305335,61122352,2008-12-12,PRO
14305335,61122354,2008-12-12,PRO
14305335,61122355,2008-12-12,PRO
14305335,61122357,2008-12-13,PRO
14305335,61122358,2008-12-13,PRO
14305335,61156388,2009-02-27,PRO
14305335,61156394,2009-02-27,PRO
14305335,61164031,2009-03-27,PRO
14305335,12424533,2009-04-15,CON
14305335,13459902,2012-04-30,CON
14305335,14064375,2013-10-28,CON
14305336,61839645,2013-06-26,PRO
14305337,13000514,2011-03-16,DIV
14305337,PCT/SE2009/000319,2009-06-23,NST
14305338,60813075,2006-06-13,PRO
14305338,60813207,2006-06-13,PRO
14305338,60813198,2006-06-13,PRO
14305338,60813173,2006-06-13,PRO
14305338,60813172,2006-06-13,PRO
14305338,60813131,2006-06-13,PRO
14305338,60813129,2006-06-13,PRO
14305338,60813125,2006-06-13,PRO
14305338,60813126,2006-06-13,PRO
14305338,60813328,2006-06-13,PRO
14305338,60813030,2006-06-13,PRO
14305338,60813029,2006-06-13,PRO
14305338,60813028,2006-06-13,PRO
14305338,11762165,2007-06-13,CIP
14305338,12855488,2010-08-12,DIV
14305347,11688639,2007-03-20,DIV
14305350,13718312,2012-12-18,CON
14305352,13594219,2012-08-24,CIP
14305352,13788536,2013-03-07,CIP
14305357,61422770,2010-12-14,PRO
14305357,61440563,2011-02-08,PRO
14305357,61494500,2011-06-08,PRO
14305357,13325953,2011-12-14,CIP
14305358,61835170,2013-06-14,PRO
14305359,13473231,2012-05-16,DIV
14305360,PCT/JP2012/082424,2012-12-13,CON
14305361,11641624,2006-12-18,CON
14305361,13647356,2012-10-08,CON
14305366,61836750,2013-06-19,PRO
14305367,12477338,2009-06-03,CON
14305367,13675077,2012-11-13,CON
