application_number,parent_application_number,parent_filing_date,continuation_type
14403373,PCT/EP2013/059912,2013-05-14,NST
14403374,PCT/CN2012/075988,2012-05-24,NST
14403375,PCT/IB2013/054362,2013-05-27,NST
14403376,PCT/JP2013/051807,2013-01-29,NST
14403377,PCT/KR2013/004618,2013-05-27,NST
14403378,PCT/NL2013/050374,2013-05-23,NST
14403379,PCT/JP2013/003284,2013-05-23,NST
14403380,PCT/EP2013/062036,2013-06-11,NST
14403381,61652553,2012-05-29,PRO
14403381,PCT/US13/42372,2013-05-23,NST
14403382,PCT/US2013/042472,2013-05-23,NST
14403383,PCT/EP2013/058008,2013-04-17,NST
14403384,PCT/KR2013/004851,2013-05-31,NST
14403385,PCT/JP2012/063540,2012-05-25,NST
14403386,PCT/US2012/039694,2012-05-25,NST
14403387,PCT/SE2013/050532,2013-05-14,NST
14403388,PCT/KR2013/004715,2013-05-29,NST
14403389,PCT/US2013/043652,2013-05-31,NST
14403390,PCT/EP2013/063997,2013-07-03,NST
14403391,PCT/IB2013/001043,2013-05-24,NST
14403392,PCT/JP2013/081664,2013-11-25,NST
14403394,PCT/KR2013/004580,2013-05-24,NST
14403395,PCT/EP2013/060674,2013-05-23,NST
14403396,PCT/CA2013/000493,2013-05-16,NST
14403397,PCT/US2013/041358,2013-05-16,NST
14403398,PCT/AU2013/000564,2013-05-30,NST
14403399,PCT/JP2013/068858,2013-07-10,NST
14403400,PCT/FR2013/051087,2013-05-17,NST
14403401,PCT/US2013/031648,2013-03-14,NST
14403402,PCT/CN2014/075661,2014-04-18,NST
14403403,PCT/CN2013/076055,2013-05-22,NST
14403404,PCT/CN2012/077871,2012-06-29,NST
14403405,PCT/CN2013/073437,2013-03-29,NST
14403406,PCT/FR2013/051123,2013-05-23,NST
14403407,PCT/EP2013/060181,2013-05-16,NST
14403408,PCT/US2013/042708,2013-05-24,NST
14403409,PCT/KR2013/004228,2013-05-13,NST
14403410,PCT/EP2013/057910,2013-04-16,NST
14403412,PCT/NL2013/050375,2013-05-23,NST
14403413,61660414,2012-06-15,PRO
14403413,PCT/US13/45602,2013-06-13,NST
14403414,PCT/US2013/043762,2013-05-31,NST
14403415,PCT/EP2013/001403,2013-05-13,NST
14403416,PCT/CA2013/000523,2013-05-29,NST
14403417,PCT/EP2013/001390,2013-05-10,NST
14403418,PCT/IL2013/050456,2013-05-29,NST
14403419,PCT/EP13/60677,2013-05-23,NST
14403420,PCT/KR2013/004446,2013-05-21,NST
14403421,61654326,2012-06-01,PRO
14403421,PCT/US13/43561,2013-05-31,NST
14403422,PCT/JP2013/057746,2013-03-18,NST
14403423,PCT/KR2012/009985,2012-11-23,NST
14403424,PCT/JP2013/062614,2013-04-30,NST
14403425,PCT/US2013/032668,2013-03-15,NST
14403426,PCT/JP2013/066943,2013-06-20,NST
14403427,PCT/SE2013/050594,2013-05-24,NST
14403428,PCT/EP2013/001495,2013-05-21,NST
14403429,PCT/KR2013/004577,2013-05-24,NST
14403430,PCT/JP2012/003606,2012-05-31,NST
14403431,PCT/FR2013/051153,2013-05-24,NST
14403432,PCT/CN2013/076089,2013-05-22,NST
14403433,PCT/EP2013/001525,2013-05-23,NST
14403434,PCT/JP2012/066172,2012-06-25,NST
14403435,PCT/TR2013/000171,2013-05-21,NST
14403436,PCT/JP2013/066938,2013-06-20,NST
14403437,PCT/JP2013/071869,2013-08-13,NST
14403438,PCT/FR2013/051195,2013-05-29,NST
14403439,PCT/EP2013/060283,2013-05-17,NST
14403440,PCT/JP2013/064750,2013-05-28,NST
14403441,61651245,2012-05-24,PRO
14403441,PCT/US13/42600,2013-05-24,NST
14403442,PCT/EP2012/059820,2012-05-25,NST
14403443,PCT/JP2013/064455,2013-05-24,NST
14403444,PCT/EP2013/060535,2013-05-22,NST
14403445,PCT/FR2013/051194,2013-05-29,NST
14403446,PCT/EP2013/001492,2013-05-21,NST
14403447,PCT/JP2013/064482,2013-05-24,NST
14403448,PCT/CN2013/081458,2013-08-14,NST
14403449,PCT/JP2013/054373,2013-02-21,NST
14403450,PCT/US2012/045905,2012-07-09,NST
14403451,PCT/CN2013/076206,2013-05-24,NST
14403453,PCT/EP2012/075041,2012-12-11,NST
14403454,PCT/FR2013/051152,2013-05-24,NST
14403455,PCT/US2012/046722,2012-07-13,NST
14403456,PCT/FR2013/051127,2013-05-23,NST
14403457,PCT/EP2013/060856,2013-05-27,NST
14403458,PCT/EP2013/060747,2013-05-24,NST
14403459,PCT/EP2013/061725,2013-06-06,NST
14403460,PCT/JP2012/003453,2012-05-28,NST
14403461,PCT/FR2013/051205,2013-05-29,NST
14403462,PCT/GB2013/051440,2013-05-30,NST
14403463,PCT/JP2013/067545,2013-06-26,NST
14403464,PCT/GB2013/051439,2013-05-30,NST
14403465,PCT/JP2013/063882,2013-05-20,NST
14403466,PCT/EP2013/060584,2013-05-23,NST
14403468,PCT/JP2013/085084,2013-12-27,NST
14403469,PCT/JP2013/069279,2013-07-16,NST
14403470,PCT/KR2013/006752,2013-07-26,NST
14403471,PCT/JP2012/084047,2012-12-28,NST
14403472,PCT/EP2013/002520,2013-08-21,NST
14403473,PCT/GB2013/051335,2013-05-22,NST
14403474,PCT/JP2013/061580,2013-04-19,NST
14403475,61652086,2012-05-25,PRO
14403475,61716256,2012-10-19,PRO
14403475,61757640,2013-01-28,PRO
14403475,61765576,2013-02-15,PRO
14403475,PCT/US13/32589,2013-03-15,NST
14403476,PCT/US2012/045910,2012-07-09,NST
14403477,PCT/EP2013/001530,2013-05-24,NST
14403478,PCT/GB2013/051472,2013-06-03,NST
14403479,PCT/FR2013/051151,2013-05-24,NST
14403480,PCT/GB2013/051336,2013-05-22,NST
14403481,PCT/EP2013/060889,2013-05-27,NST
14403482,PCT/JP2013/062487,2013-04-26,NST
14403483,PCT/JP2013/065174,2013-05-31,NST
14403484,PCT/FR2013/051101,2013-05-21,NST
14403485,12765564,2010-04-22,CON
14403485,PCT/IB11/01153,2011-04-20,NST
14403486,PCT/GB2013/051178,2013-05-07,NST
14403487,PCT/EP2013/059443,2013-05-07,NST
14403488,PCT/CN2013/074623,2013-04-24,NST
14403489,PCT/KR2013/004611,2013-05-27,NST
14403490,PCT/EP2013/061186,2013-05-30,NST
14403491,61651131,2012-05-24,PRO
14403491,61814888,2013-04-23,PRO
14403491,61814890,2013-04-23,PRO
14403491,61814892,2013-04-23,PRO
14403491,61814899,2013-04-23,PRO
14403491,PCT/IL13/50447,2013-05-23,NST
14403492,PCT/FR2013/051172,2013-05-27,NST
14403493,PCT/JP2013/065769,2013-05-31,NST
14403494,PCT/EP2013/057873,2013-04-16,NST
14403495,PCT/AU2013/000259,2013-03-15,NST
14403496,PCT/EP2013/061331,2013-05-31,NST
14403497,PCT/JP2013/056744,2013-03-12,NST
14403498,PCT/KR2013/004761,2013-05-30,NST
14403499,PCT/GB2013/050631,2013-03-14,NST
14403500,PCT/EP2013/001528,2013-05-24,NST
14403501,PCT/JP2013/064284,2013-05-22,NST
14403502,PCT/KR2012/005329,2012-07-05,NST
14403503,PCT/EP2012/059514,2012-05-22,NST
14403504,PCT/EP2013/060458,2013-05-22,NST
14403505,PCT/CA2013/000504,2013-05-23,NST
14403506,PCT/US2013/043138,2013-05-29,NST
14403507,PCT/AU2013/000265,2013-03-15,NST
14403508,PCT/JP2013/065175,2013-05-31,NST
14403509,PCT/CN2013/076182,2013-05-24,NST
14403510,PCT/EP2012/060268,2012-05-31,NST
14403511,PCT/EP2013/060438,2013-05-22,NST
14403512,PCT/EP2013/055923,2013-03-21,NST
14403513,PCT/PL2013/000066,2013-05-22,NST
14403514,PCT/IB2012/052599,2012-05-24,NST
14403515,61651446,2012-05-24,PRO
14403515,PCT/US13/42705,2013-05-24,NST
14403516,PCT/US2013/042457,2013-05-23,NST
14403517,PCT/CN2012/076056,2012-05-25,NST
14403518,PCT/KR2012/006664,2012-08-22,NST
14403519,PCT/JP2013/073746,2013-09-04,NST
14403520,PCT/NO2013/050094,2013-05-24,NST
14403521,PCT/CN2013/000472,2013-04-25,NST
