application_number,parent_application_number,parent_filing_date,continuation_type
14506142,11098014,2005-04-01,CIP
14506142,11097981,2005-04-01,CIP
14506142,11098042,2005-04-01,CIP
14506142,11098043,2005-04-01,CIP
14506142,11098038,2005-04-01,CIP
14506142,11097961,2005-04-01,CIP
14506142,11110353,2005-04-19,CON
14506142,12729045,2010-03-22,CON
14506143,61145693,2009-01-19,PRO
14506143,12689104,2010-01-18,DIV
14506145,61887703,2013-10-07,PRO
14506146,13450460,2012-04-18,CON
14506148,13679156,2012-11-16,CON
14506149,11317026,2005-12-27,CON
14506149,12929085,2010-12-29,CON
14506150,61975262,2014-04-04,PRO
14506151,61886397,2013-10-03,PRO
14506152,13483933,2012-05-30,CON
14506152,14176757,2014-02-10,CON
14506153,61180941,2009-05-26,PRO
14506153,12785075,2010-05-21,DIV
14506154,60570911,2004-05-12,PRO
14506154,11123854,2005-05-06,CON
14506154,14470458,2014-08-27,CON
14506158,61886527,2013-10-03,PRO
14506160,13792202,2013-03-11,CON
14506162,61535417,2011-09-16,PRO
14506162,13613191,2012-09-13,DIV
14506166,13337425,2011-12-27,CON
14506167,13221629,2011-08-30,CON
14506168,61887070,2013-10-04,PRO
14506169,61889813,2013-10-11,PRO
14506169,62043973,2014-08-29,PRO
14506170,PCT/KR2013/002746,2013-04-03,CON
14506172,13517010,2012-11-01,CON
14506172,PCT/US2010/061054,2010-12-17,NST
14506175,13101840,2011-05-05,CON
14506176,61886134,2013-10-03,PRO
14506177,13060514,2011-07-08,CIP
14506177,PCT/US2009/068518,2009-12-17,NST
14506177,PCT/US2013/030178,2013-03-11,CON
14506178,61897019,2013-10-29,PRO
14506179,61942871,2014-02-21,PRO
14506181,61894165,2013-10-22,PRO
14506181,61949032,2014-03-06,PRO
14506183,61887145,2013-10-04,PRO
14506185,PCT/CN2013/072330,2013-03-08,CON
14506186,60087841,1998-06-03,PRO
14506186,09324759,1999-06-03,CON
14506186,10909435,2004-08-03,CON
14506186,11727575,2007-03-27,CON
14506189,13789798,2013-03-08,CIP
14506190,PCT/EP2013/057186,2013-04-05,CON
14506192,13569918,2012-08-08,CON
14506193,60962027,2007-07-25,PRO
14506193,12179532,2008-07-24,CON
14506193,13331650,2011-12-20,CON
14506194,61943948,2014-02-24,PRO
14506196,60738246,2005-11-18,PRO
14506196,11601489,2006-11-17,CIP
14506197,PCT/EP2013/056936,2013-04-02,CON
14506199,13926335,2013-06-25,CON
14506201,12549048,2009-08-27,DIV
14506201,13679109,2012-11-16,DIV
14506202,13628948,2012-09-27,CON
14506203,12723012,2010-03-12,CON
14506204,61886962,2013-10-04,PRO
