application_number,parent_application_number,parent_filing_date,continuation_type
14724407,14011202,2013-08-27,DIV
14724411,62004583,2014-05-29,PRO
14724412,61691805,2012-08-22,PRO
14724412,61703749,2012-09-20,PRO
14724412,13972673,2013-08-21,CON
14724413,62005513,2014-05-30,PRO
14724414,13442325,2012-04-09,CON
14724416,60824822,2006-09-07,PRO
14724416,11848988,2007-08-31,DIV
14724416,12837893,2010-07-16,CON
14724416,13428356,2012-03-23,DIV
14724416,14027616,2013-09-16,CON
14724418,62003839,2014-05-28,PRO
14724422,PCT/JP2013/080973,2013-11-18,CON
14724423,60870838,2006-12-19,PRO
14724423,11957084,2007-12-14,CON
14724426,12833661,2010-07-09,CIP
14724426,13165590,2011-06-21,DIV
14724426,13245527,2011-09-26,CON
14724426,14028344,2013-09-16,DIV
14724431,13045909,2011-03-11,CON
14724433,62003560,2014-05-28,PRO
14724436,14181094,2014-02-14,CON
14724437,13405092,2012-02-24,DIV
14724439,60824822,2006-09-07,PRO
14724439,11848988,2007-08-31,DIV
14724439,12837893,2010-07-16,CON
14724439,13428356,2012-03-23,DIV
14724439,14027616,2013-09-16,CON
14724440,62003740,2014-05-28,PRO
14724442,62005538,2014-05-30,PRO
14724444,62003609,2014-05-28,PRO
14724446,62006668,2014-06-02,PRO
14724447,61798673,2013-03-15,PRO
14724447,14216968,2014-03-17,CIP
14724447,62003015,2014-05-26,PRO
14724447,14593369,2015-01-09,CIP
14724448,62004022,2014-05-28,PRO
14724450,62004897,2014-05-30,PRO
14724452,62004071,2014-05-28,PRO
14724452,62161250,2015-05-13,PRO
14724454,62012530,2014-06-16,PRO
14724455,14234537,2014-01-23,CON
14724455,PCT/CN2012/078473,2012-07-11,NST
14724456,61030914,2008-02-22,PRO
14724456,12390313,2009-02-20,DIV
14724456,13447074,2012-04-13,CON
14724456,14267660,2014-05-01,CON
14724459,62003751,2014-05-28,PRO
14724460,60824822,2006-09-07,PRO
14724460,11848988,2007-08-31,DIV
14724460,12837893,2010-07-16,CON
14724460,13428356,2012-03-23,DIV
14724460,14027616,2013-09-16,CON
14724462,PCT/JP2013/081447,2013-11-21,CON
14724465,13422775,2012-03-16,CON
14724465,14288128,2014-05-27,CON
14724467,62004511,2014-05-29,PRO
14724468,60824822,2006-09-07,PRO
14724468,11848988,2007-08-31,DIV
14724468,12837893,2010-07-16,CON
14724468,13428356,2012-03-23,DIV
14724468,14027616,2013-09-16,CON
14724471,61228500,2009-07-24,PRO
14724471,12842650,2010-07-23,CON
14724471,13567589,2012-08-06,CON
14724471,14169783,2014-01-31,CON
14724472,62005605,2014-05-30,PRO
14724473,62006668,2014-06-02,PRO
14724476,60824822,2006-09-07,PRO
14724476,11848988,2007-08-31,DIV
14724476,12837893,2010-07-16,CON
14724476,13428356,2012-03-23,DIV
14724476,14027616,2013-09-16,CON
14724478,62004167,2014-05-28,PRO
14724480,62004003,2014-05-28,PRO
14724489,62006668,2014-06-02,PRO
14724490,60824822,2006-09-07,PRO
14724490,11848988,2007-08-31,DIV
14724490,12837893,2010-07-16,CON
14724490,13428356,2012-03-23,DIV
14724490,14027616,2013-09-16,CON
14724491,11818989,2007-06-15,DIV
14724491,12941878,2010-11-08,CON
14724494,13821732,2013-07-22,CON
14724494,PCT/IB2011/002172,2011-09-16,NST
14724499,62005318,2014-05-30,PRO
14724499,62061337,2014-10-08,PRO
14724501,11896941,2007-09-06,CON
14724505,13722741,2012-12-20,CON
14724506,13739920,2013-01-11,CON
14724508,13773882,2013-02-22,CON
14724510,62006668,2014-06-02,PRO
14724514,12373268,2009-01-09,DIV
14724514,PCT/EP2007/006123,2007-07-11,NST
14724518,12833661,2010-07-09,CIP
14724518,13165590,2011-06-21,DIV
14724518,13245527,2011-09-26,CON
14724518,14028344,2013-09-16,DIV
