application_number,parent_application_number,parent_filing_date,continuation_type
14837452,11925646,2007-10-26,CON
14837452,12862607,2010-08-24,CON
14837452,13327690,2011-12-15,CON
14837452,14178117,2014-02-11,CON
14837453,13776120,2013-02-25,CIP
14837458,11210226,2005-08-23,DIV
14837458,12787559,2010-05-26,CON
14837471,61559136,2011-11-13,PRO
14837471,13481341,2012-05-25,CON
14837475,61133300,2008-06-30,PRO
14837475,12490113,2009-06-23,CON
14837475,13554721,2012-07-20,CON
14837475,14019182,2013-09-05,CON
14837477,14085272,2013-11-20,CON
14837477,14538300,2014-11-11,CON
14837478,14299646,2014-06-09,CIP
14837482,PCT/JP2014/054332,2014-02-24,CON
14837485,13354721,2012-01-20,DIV
14837491,13848960,2013-03-22,DIV
14837493,PCT/US2014/028125,2014-03-14,CON
14837494,13122693,2011-08-16,CON
14837494,PCT/SE2010/050834,2010-07-13,NST
14837498,61256430,2009-10-30,PRO
14837498,12913469,2010-10-27,CON
14837501,13375108,2012-02-22,CON
14837501,PCT/GB2010/001144,2010-06-10,NST
14837502,12494957,2009-06-30,CON
14837504,14303938,2014-06-13,DIV
14837508,13786640,2013-03-06,DIV
14837513,14114392,2013-12-23,CON
14837513,PCT/US2012/035005,2012-04-25,NST
14837514,13787341,2013-03-06,CON
14837514,PCT/US2012/026292,2012-02-23,CON
14837516,14659948,2015-03-17,CON
14837521,PCT/JP2013/080649,2013-11-13,CON
14837523,PCT/US2014/021755,2014-03-07,CON
14837525,PCT/JP2014/055645,2014-03-05,CON
14837545,PCT/JP2014/054967,2014-02-27,CON
14837546,61502992,2011-06-30,PRO
14837546,13535527,2012-06-28,CON
14837546,14304274,2014-06-13,DIV
14837547,61816879,2013-04-29,PRO
14837547,14264442,2014-04-29,CON
14837558,10591947,2006-09-08,CON
14837558,12923643,2010-09-30,CON
14837558,13400340,2012-02-20,CON
14837558,13767290,2013-02-14,CON
14837558,PCT/JP2005/004720,2005-03-10,NST
14837561,13778654,2013-02-27,CON
14837562,13678306,2012-11-15,DIV
14837563,61660714,2012-06-16,PRO
14837563,13658568,2012-10-23,CON
14837564,13821331,2013-09-06,CON
14837564,PCT/EP2011/062664,2011-07-22,NST
14837565,13686281,2012-11-27,CON
14837566,61256430,2009-10-30,PRO
14837566,12913469,2010-10-27,DIV
14837570,61987147,2014-05-01,PRO
14837570,14694363,2015-04-23,CIP
14837570,14696907,2015-04-27,CIP
14837571,13455625,2012-04-25,CON
14837571,14631166,2015-02-25,CON
14837575,61635562,2012-04-19,PRO
14837575,61695134,2012-08-30,PRO
14837575,13836495,2013-03-15,CON
14837576,14063119,2013-10-25,CON
14837579,11403632,2006-04-13,DIV
14837579,13931146,2013-06-28,CON
14837580,14270791,2014-05-06,DIV
14837585,12036725,2008-02-25,CON
14837585,13292160,2011-11-09,CON
14837585,13554056,2012-07-20,CON
14837585,13941887,2013-07-15,CON
14837585,14136086,2013-12-20,CON
14837585,14576729,2014-12-19,CON
14837598,13475395,2012-05-18,CON
14837598,13953251,2013-07-29,CON
14837599,12571554,2009-10-01,CON
14837599,13780138,2013-02-28,CON
14837605,13931966,2013-06-30,CON
14837612,14060075,2013-10-22,DIV
14837615,61367903,2010-07-27,PRO
14837615,13163319,2011-06-17,DIV
14837615,13898982,2013-05-21,CON
14837616,13663878,2012-10-30,CIP
14837616,13663887,2012-10-30,CIP
14837616,61730214,2012-11-27,PRO
14837616,13833050,2013-03-15,CON
14837616,13955952,2013-07-31,CON
14837616,14064572,2013-10-28,CON
14837619,10813269,2004-03-31,DIV
14837619,12339744,2008-12-19,CON
14837619,13025408,2011-02-11,DIV
14837619,13611271,2012-09-12,CON
14837619,14100912,2013-12-09,CON
14837624,61480605,2011-04-29,PRO
14837624,13456315,2012-04-26,DIV
14837628,14024418,2013-09-11,CON
14837629,13537928,2012-06-29,CON
14837639,13680048,2012-11-17,CON
14837643,13660439,2012-10-25,CON
14837647,61782320,2013-03-14,PRO
14837647,14210105,2014-03-13,CON
14837657,12674533,2011-09-21,CON
14837657,PCT/DE2008/001374,2008-08-22,NST
14837659,13965759,2013-08-13,CON
14837660,13781964,2013-03-01,CIP
14837660,14185111,2014-02-20,CON
14837660,14806219,2015-07-22,CIP
14837662,61504646,2011-07-05,PRO
14837662,61658217,2012-06-11,PRO
14837662,13542435,2012-07-05,CON
14837663,60879921,2007-01-11,PRO
14837663,12008117,2008-01-08,DIV
14837663,14561664,2014-12-05,DIV
14837664,61846888,2013-07-16,PRO
14837664,14331608,2014-07-15,CIP
14837666,12099918,2008-04-09,CON
14837669,14085272,2013-11-20,CON
14837669,14538300,2014-11-11,CON
14837670,14343299,2014-04-24,CON
14837670,PCT/CA2012/000820,2012-09-06,NST
14837671,61746646,2012-12-28,PRO
14837671,13904142,2013-05-29,CON
14837673,10705552,2003-11-11,DIV
14837673,11677301,2007-02-21,CON
14837673,12537829,2009-08-07,CON
14837673,13348733,2012-01-12,CON
14837673,13855855,2013-04-03,CON
14837673,14309346,2014-06-19,CON
14837674,14220047,2014-03-19,CON
14837676,11137635,2005-05-25,DIV
14837676,11560455,2006-11-16,CON
14837676,11941583,2007-11-16,DIV
14837676,12720196,2010-03-09,DIV
14837676,13911909,2013-06-06,CON
14837676,14523539,2014-10-24,CON
14837700,10551175,2005-09-29,CON
14837700,12968131,2010-12-14,CON
14837700,13541190,2012-07-03,CON
14837700,PCT/JP2004/005588,2004-04-20,NST
14837702,PCT/US2014/019127,2014-02-27,CIP
14837709,PCT/JP2013/080412,2013-11-11,CON
14837719,PCT/JP2014/054353,2014-02-24,CON
14837724,13695703,2012-11-01,CON
14837724,PCT/EP2010/007176,2010-11-26,NST
14837725,61782320,2013-03-14,PRO
14837725,14210182,2014-03-13,CON
14837732,13828792,2013-03-14,CON
14837733,61174824,2009-05-01,PRO
14837733,12771952,2010-04-30,CON
14837738,61702442,2012-09-18,PRO
14837738,14027612,2013-09-16,DIV
14837742,13848960,2013-03-22,DIV
14837743,12977890,2010-12-23,DIV
14837743,14447722,2014-07-31,CON
14837747,61545472,2011-10-10,PRO
14837747,13647843,2012-10-09,DIV
14837750,60556674,2004-03-26,PRO
14837750,11093268,2005-03-28,DIV
14837750,13400007,2012-02-17,CON
14837750,13888158,2013-05-06,CON
14837750,14254510,2014-04-16,CON
14837750,14528283,2014-10-30,CON
14837762,14275179,2014-05-12,CON
14837767,12912715,2010-10-26,CON
14837767,13953610,2013-07-29,CON
14837767,14341837,2014-07-27,CON
14837768,13712308,2012-12-12,CON
14837773,61417801,2010-11-29,PRO
14837773,13306933,2011-11-29,CON
14837779,PCT/JP2013/080647,2013-11-13,CON
14837783,12437103,2009-05-07,CIP
14837783,13749153,2013-01-24,CON
14837783,PCT/IL2011/000600,2011-07-26,CIP
14837786,60580673,2004-06-17,PRO
14837786,11150891,2005-06-13,DIV
14837786,12055676,2008-03-26,DIV
14837786,12712600,2010-02-25,DIV
14837786,13039517,2011-03-03,DIV
14837786,13439454,2012-04-04,DIV
14837786,13782585,2013-03-01,DIV
14837786,14189444,2014-02-25,DIV
14837789,13028050,2011-02-15,CON
14837792,13512398,2012-05-29,DIV
14837792,PCT/EP2010/068359,2010-11-29,NST
14837797,13212036,2011-08-17,CON
14837797,13371366,2012-02-10,CIP
14837797,13536927,2012-06-28,CON
14837797,13898429,2013-05-20,CON
14837797,14336958,2014-07-21,CON
14837797,14632624,2015-02-26,CON
14837802,11223045,2005-09-12,CON
14837802,12481436,2009-06-09,CON
14837802,13926365,2013-06-25,CON
14837809,PCT/JP2014/054181,2014-02-21,CON
14837817,12725916,2010-03-17,CON
14837817,14788034,2015-06-30,CON
14837827,13913823,2013-06-10,DIV
14837837,14016939,2013-09-03,CON
14837839,61621927,2012-04-09,PRO
14837839,13615116,2012-09-13,REI
14837845,61390099,2010-10-05,PRO
14837845,13251728,2011-10-03,CON
14837845,14168487,2014-01-30,CON
14837849,12732246,2010-03-26,CON
14837849,13244973,2011-09-26,CIP
14837849,13554366,2012-07-20,DIV
14837854,14157125,2014-01-16,DIV
14837857,13213806,2011-08-19,CON
14837862,13341693,2011-12-30,CON
14837865,13913823,2013-06-10,DIV
14837871,13848960,2013-03-22,DIV
14837875,60964447,2007-08-13,PRO
14837875,PCT/US08/09667,2008-08-13,NST
14837875,12673254,2011-04-29,DIV
14837875,14285834,2014-05-23,CON
14837876,14230790,2014-03-31,CON
14837877,13791732,2013-03-08,CON
14837880,13452669,2012-04-20,DIV
14837882,14449742,2014-08-01,CON
14837882,PCT/US2014/038785,2014-05-20,CON
14837883,13416317,2012-03-09,CON
14837887,12969223,2010-12-15,DIV
14837892,13942336,2013-07-15,CON
14837899,14376058,2014-07-31,CON
14837899,PCT/US2012/035369,2012-04-27,NST
14837900,60711234,2005-08-24,PRO
14837900,11509915,2006-08-24,CON
14837903,14111860,2013-10-15,DIV
14837903,PCT/US2012/034186,2012-04-19,NST
14837910,13660510,2012-10-25,CON
14837910,13679407,2012-11-16,CON
