application_number,parent_application_number,parent_filing_date,continuation_type
PCT/US06/40799,60728542,2005-10-20,PRO
PCT/US06/40800,60729445,2005-10-21,PRO
PCT/US06/40800,60729388,2005-10-21,PRO
PCT/US06/40800,60780389,2006-03-08,PRO
PCT/US06/40800,60838704,2006-08-18,PRO
PCT/US06/40801,60729445,2005-10-21,PRO
PCT/US06/40801,60729388,2005-10-21,PRO
PCT/US06/40801,60780389,2006-03-08,PRO
PCT/US06/40801,60838704,2006-08-18,PRO
PCT/US06/40803,11256736,2005-10-24,CON
PCT/US06/40804,60728456,2005-10-20,PRO
PCT/US06/40804,60728497,2005-10-20,PRO
PCT/US06/40804,10590981,2008-08-06,CON
PCT/US06/40805,60728320,2005-10-20,PRO
PCT/US06/40806,60728297,2005-10-20,PRO
PCT/US06/40806,60763892,2006-02-01,PRO
PCT/US06/40808,11254269,2005-10-20,CON
PCT/US06/40810,60728541,2005-10-20,PRO
PCT/US06/40810,11546104,2006-10-11,CON
PCT/US06/40811,11254162,2005-10-19,CON
PCT/US06/40812,11254164,2005-10-19,CON
PCT/US06/40813,11254163,2005-10-19,CON
PCT/US06/40816,11255616,2005-10-21,CON
PCT/US06/40817,60728567,2005-10-19,PRO
PCT/US06/40818,11258412,2005-10-25,CON
PCT/US06/40821,60728679,2005-10-20,PRO
PCT/US06/40822,11262193,2005-10-28,CON
PCT/US06/40822,11260899,2005-10-28,CON
PCT/US06/40822,11389610,2006-03-23,CON
PCT/US06/40823,11259635,2005-10-26,CON
PCT/US06/40824,11261948,2005-10-28,CON
PCT/US06/40825,60729120,2005-10-21,PRO
PCT/US06/40826,11311222,2005-12-20,CON
PCT/US06/40827,11257655,2005-10-25,CON
PCT/US06/40828,11305188,2005-12-19,CON
PCT/US06/40829,11265868,2005-11-03,CON
PCT/US06/40830,11261846,2005-10-28,CON
PCT/US06/40831,60729384,2005-10-21,PRO
PCT/US06/40832,60728076,2005-10-19,PRO
PCT/US06/40834,60728629,2005-10-19,PRO
PCT/US06/40835,60728569,2005-10-19,PRO
PCT/US06/40835,60753622,2005-12-22,PRO
PCT/US06/40835,60753618,2005-12-22,PRO
PCT/US06/40835,11582651,2006-10-17,CON
PCT/US06/40836,11365753,2006-02-28,CON
PCT/US06/40837,60727917,2005-10-18,PRO
PCT/US06/40838,11274693,2005-11-14,CON
PCT/US06/40839,11280736,2005-11-16,CON
PCT/US06/40840,60727739,2005-10-18,PRO
PCT/US06/40841,11253506,2005-10-18,CON
PCT/US06/40841,11253505,2005-10-18,CON
PCT/US06/40841,11253302,2005-10-18,CON
PCT/US06/40841,11253820,2005-10-18,CON
PCT/US06/40842,60727720,2005-10-18,PRO
PCT/US06/40843,60727816,2005-10-18,PRO
PCT/US06/40845,60729115,2005-10-19,PRO
PCT/US06/40845,11549289,2006-10-13,CON
PCT/US06/40846,60728111,2005-10-19,PRO
PCT/US06/40849,60727739,2005-10-18,PRO
PCT/US06/40850,60727710,2005-10-18,PRO
PCT/US06/40851,11264685,2005-10-31,CON
PCT/US06/40852,11255336,2005-10-21,CON
PCT/US06/40854,60727700,2005-10-17,PRO
PCT/US06/40855,11262262,2005-10-28,CON
PCT/US06/40855,11271532,2005-11-09,CON
PCT/US06/40856,60727934,2005-10-18,PRO
PCT/US06/40856,60728030,2005-10-18,PRO
PCT/US06/40856,60741665,2005-12-02,PRO
PCT/US06/40856,60741864,2005-12-02,PRO
PCT/US06/40856,60802705,2006-05-23,PRO
PCT/US06/40856,60812166,2006-06-09,PRO
PCT/US06/40856,11582035,2006-10-17,CON
PCT/US06/40857,60727934,2005-10-18,PRO
PCT/US06/40857,60728030,2005-10-18,PRO
PCT/US06/40857,60741665,2005-12-02,PRO
PCT/US06/40857,60741864,2005-12-02,PRO
PCT/US06/40857,60802705,2006-05-23,PRO
PCT/US06/40857,60812166,2006-06-09,PRO
PCT/US06/40857,11582035,2006-10-17,CON
PCT/US06/40857,11582027,2006-10-17,CON
PCT/US06/40859,11255196,2005-10-19,CON
PCT/US06/40861,60727499,2005-10-18,PRO
PCT/US06/40862,60727513,2005-10-18,PRO
PCT/US06/40862,60780847,2006-03-10,PRO
PCT/US06/40862,60800006,2006-05-15,PRO
PCT/US06/40862,60831196,2006-07-17,PRO
PCT/US06/40862,60832116,2006-07-21,PRO
PCT/US06/40862,60845495,2006-09-19,PRO
PCT/US06/40863,11260849,2005-10-26,CON
PCT/US06/40864,60728389,2005-10-18,PRO
PCT/US06/40865,60727795,2005-10-17,PRO
PCT/US06/40866,11292647,2005-12-02,CON
PCT/US06/40867,60735335,2005-11-10,PRO
PCT/US06/40868,60727691,2005-10-18,PRO
PCT/US06/40869,11257802,2005-10-24,CON
PCT/US06/40870,11257887,2005-10-24,CON
PCT/US06/40871,11257822,2005-10-24,CON
PCT/US06/40872,11261978,2005-10-28,CON
PCT/US06/40873,11264068,2005-10-31,CON
PCT/US06/40874,11378608,2006-03-17,CON
PCT/US06/40875,11356406,2006-02-16,CON
PCT/US06/40876,60727978,2005-10-18,PRO
PCT/US06/40876,11582832,2006-10-17,CON
PCT/US06/40877,60727521,2005-10-17,PRO
PCT/US06/40878,11254242,2005-10-18,CON
PCT/US06/40879,11258182,2005-10-26,CON
PCT/US06/40880,11283369,2005-11-18,CON
PCT/US06/40882,60728964,2005-10-21,PRO
PCT/US06/40882,11582673,2006-10-18,CON
PCT/US06/40884,11260598,2005-10-27,CON
PCT/US06/40885,60728851,2005-10-19,PRO
PCT/US06/40885,11549276,2006-10-13,CON
PCT/US06/40887,60728941,2005-10-18,PRO
PCT/US06/40888,60728391,2005-10-18,PRO
PCT/US06/40889,60727783,2005-10-18,PRO
PCT/US06/40889,11550396,2006-10-17,CON
PCT/US06/40890,11254456,2005-10-20,CON
PCT/US06/40893,11259482,2005-10-26,CON
PCT/US06/40894,11258747,2005-10-26,CON
PCT/US06/40896,60728480,2005-10-20,PRO
PCT/US06/40896,60742314,2005-12-05,PRO
PCT/US06/40897,11262527,2005-10-28,CON
PCT/US06/40898,60728089,2005-10-18,PRO
PCT/US06/40898,60772024,2006-02-09,PRO
PCT/US06/40898,60744574,2006-04-10,PRO
PCT/US06/40898,60791179,2006-04-10,PRO
PCT/US06/40898,60746712,2006-05-08,PRO
PCT/US06/40898,60798925,2006-05-08,PRO
PCT/US06/40898,60835061,2006-08-01,PRO
PCT/US06/40899,11255232,2005-10-19,CON
PCT/US06/40900,11257383,2005-10-24,CON
PCT/US06/40901,11284650,2005-11-21,CON
PCT/US06/40902,60728544,2005-10-20,PRO
PCT/US06/40903,11262447,2005-10-28,CON
PCT/US06/40904,60727958,2005-10-18,PRO
PCT/US06/40905,11252735,2005-10-19,CON
PCT/US06/40907,60728052,2005-10-19,PRO
PCT/US06/40907,11324827,2006-01-03,CON
PCT/US06/40907,60747400,2006-05-16,PRO
PCT/US06/40907,60803200,2006-05-25,PRO
PCT/US06/40907,60823730,2006-08-28,PRO
PCT/US06/40908,11255187,2005-10-19,CON
PCT/US06/40909,11254060,2005-10-19,CON
PCT/US06/40910,11254240,2005-10-19,CON
PCT/US06/40911,11460294,2006-07-27,CON
PCT/US06/40914,60727765,2005-10-18,PRO
PCT/US06/40914,11582256,2006-10-16,CON
PCT/US06/40915,11283444,2005-11-18,CON
PCT/US06/40918,11255056,2005-10-19,CON
PCT/US06/40919,60727512,2005-10-18,PRO
PCT/US06/40920,11273055,2005-11-14,CON
PCT/US06/40921,60727765,2005-10-18,PRO
PCT/US06/40921,11518334,2006-09-08,CON
PCT/US06/40922,60728922,2005-10-21,PRO
PCT/US06/40922,11368826,2006-03-06,CON
PCT/US06/40923,60727764,2005-10-18,PRO
PCT/US06/40923,11504788,2006-08-15,CON
PCT/US06/40924,11253423,2005-10-19,CON
PCT/US06/40925,60728657,2005-10-19,PRO
PCT/US06/40927,60728175,2005-10-18,PRO
PCT/US06/40929,11254587,2005-10-20,CON
PCT/US06/40929,11254609,2005-10-20,CON
PCT/US06/40929,11254468,2005-10-20,CON
