application_number,parent_application_number,parent_filing_date,continuation_type
PCT/US10/02987,61395845,2010-05-18,PRO
PCT/US10/02988,12592406,2009-11-24,CON
PCT/US10/02990,61261863,2009-11-17,PRO
PCT/US10/02992,12590877,2009-11-16,CON
PCT/US10/02993,12592276,2009-11-20,CON
PCT/US10/02995,61262130,2009-11-17,PRO
PCT/US10/02995,61298393,2010-01-26,PRO
PCT/US10/02997,61284723,2009-12-23,PRO
PCT/US10/02998,61262760,2009-11-19,PRO
PCT/US10/02999,61262912,2009-12-07,PRO
PCT/US10/03000,12592591,2009-11-30,CON
PCT/US10/03001,61281555,2009-11-18,PRO
PCT/US10/03002,12622640,2009-11-20,CON
PCT/US10/03003,12622306,2009-11-19,CON
PCT/US10/03003,12622359,2009-11-19,CON
PCT/US10/03004,61281683,2009-11-20,PRO
PCT/US10/03004,61267653,2009-12-08,PRO
PCT/US10/03005,61263590,2009-11-23,PRO
PCT/US10/03005,61264435,2009-11-25,PRO
PCT/US10/03005,12831948,2010-07-07,CON
PCT/US10/03006,61263142,2009-11-20,PRO
PCT/US10/03007,12623735,2009-11-23,CON
PCT/US10/03008,12592277,2009-11-21,CON
PCT/US10/03010,61272920,2009-11-19,PRO
PCT/US10/03010,61282543,2010-02-26,PRO
PCT/US10/03013,61265200,2009-11-30,PRO
PCT/US10/03014,12623655,2009-11-23,CON
PCT/US10/03015,61281671,2009-11-20,PRO
PCT/US10/03016,61281637,2009-11-20,PRO
PCT/US10/03017,61281679,2009-11-18,PRO
PCT/US10/03018,61281841,2009-11-23,PRO
PCT/US10/03018,12927514,2010-11-17,CON
PCT/US10/03020,12592615,2009-11-30,CON
PCT/US10/03022,61281998,2009-11-25,PRO
PCT/US10/03022,12951540,2010-11-22,CON
PCT/US10/03024,61263799,2009-11-23,PRO
PCT/US10/03025,61283234,2009-12-01,PRO
PCT/US10/03025,12924613,2010-09-30,CON
PCT/US10/03026,61263809,2009-11-23,PRO
PCT/US10/03027,61281892,2009-11-23,PRO
PCT/US10/03029,61263503,2009-11-23,PRO
PCT/US10/03030,61263469,2009-11-23,PRO
PCT/US10/03031,61281831,2009-11-23,PRO
PCT/US10/03031,61399745,2010-07-16,PRO
PCT/US10/03032,61281831,2009-11-23,PRO
PCT/US10/03032,61399745,2010-07-16,PRO
PCT/US10/03034,12653935,2009-12-21,CON
PCT/US10/03035,61266537,2009-12-04,PRO
PCT/US10/03036,61264173,2009-11-24,PRO
PCT/US10/03037,12624113,2009-11-23,CON
PCT/US10/03038,61264428,2009-11-25,PRO
PCT/US10/03039,61283386,2009-12-03,PRO
PCT/US10/03040,12628540,2009-12-01,CON
PCT/US10/03041,12685855,2010-01-12,CON
PCT/US10/03042,12627095,2009-11-30,CON
PCT/US10/03044,12654269,2009-12-15,CON
PCT/US10/03045,61263882,2009-11-24,PRO
PCT/US10/03045,61373764,2010-08-13,PRO
PCT/US10/03046,61281819,2009-11-23,PRO
PCT/US10/03046,61284611,2009-12-21,PRO
PCT/US10/03046,61336780,2010-01-26,PRO
PCT/US10/03046,61341085,2010-03-25,PRO
PCT/US10/03047,12951464,2010-11-22,CON
PCT/US10/03048,12952074,2010-11-22,CON
PCT/US10/03049,61283097,2009-11-25,PRO
PCT/US10/03050,61336931,2010-01-27,PRO
PCT/US10/03050,61337286,2010-02-01,PRO
PCT/US10/03050,12953348,2010-11-23,CON
PCT/US10/03051,12653825,2009-12-21,CON
PCT/US10/03052,61264633,2009-11-25,PRO
PCT/US10/03052,61362192,2010-07-07,PRO
PCT/US10/03054,61283028,2009-11-25,PRO
PCT/US10/03054,61293488,2010-01-08,PRO
PCT/US10/03055,12591732,2009-11-30,CON
PCT/US10/03056,12592713,2009-12-01,CON
PCT/US10/03057,12861579,2010-08-23,CON
PCT/US10/03058,61283423,2009-12-02,PRO
PCT/US10/03059,61265562,2009-12-01,PRO
PCT/US10/03059,61351465,2010-06-04,PRO
PCT/US10/03060,61265267,2009-11-30,PRO
PCT/US10/03061,12592639,2009-11-30,CON
PCT/US10/03062,61272998,2009-12-01,PRO
PCT/US10/03063,61265247,2009-11-30,PRO
PCT/US10/03063,61358791,2010-06-25,PRO
PCT/US10/03064,12653694,2009-12-17,CON
PCT/US10/03065,12684402,2010-01-08,CON
PCT/US10/03066,61265552,2009-12-01,PRO
PCT/US10/03067,12653494,2009-12-15,CON
PCT/US10/03069,12592763,2009-12-02,CON
PCT/US10/03070,12591887,2009-12-03,CON
PCT/US10/03071,61265304,2009-11-30,PRO
PCT/US10/03071,61359769,2010-06-29,PRO
PCT/US10/03072,61264874,2009-11-30,PRO
PCT/US10/03073,61265555,2009-12-01,PRO
PCT/US10/03073,12787745,2010-05-26,CON
PCT/US10/03074,61265404,2009-12-01,PRO
PCT/US10/03074,61309247,2010-03-01,PRO
PCT/US10/03077,61265960,2009-12-02,PRO
PCT/US10/03078,61266298,2009-12-03,PRO
PCT/US10/03078,61363436,2010-07-12,PRO
PCT/US10/03079,12634453,2009-12-09,CON
PCT/US10/03080,61283815,2009-12-09,PRO
PCT/US10/03082,12592956,2009-12-07,CON
PCT/US10/03084,61266160,2009-12-03,PRO
PCT/US10/03084,12926675,2010-12-02,CON
PCT/US10/03085,61266697,2009-12-04,PRO
PCT/US10/03086,61266623,2009-12-04,PRO
PCT/US10/03087,61266616,2009-12-04,PRO
PCT/US10/03088,12592976,2009-12-03,CON
PCT/US10/03088,12660156,2010-02-19,CON
PCT/US10/03088,12800774,2010-05-21,CON
PCT/US10/03088,12800780,2010-05-21,CON
PCT/US10/03088,12800786,2010-05-21,CON
PCT/US10/03088,12800778,2010-05-21,CON
PCT/US10/03088,12800781,2010-05-21,CON
PCT/US10/03088,12800766,2010-05-21,CON
PCT/US10/03088,12800779,2010-05-21,CON
PCT/US10/03088,12800792,2010-05-21,CON
PCT/US10/03088,12800790,2010-05-21,CON
PCT/US10/03088,12800791,2010-05-21,CON
PCT/US10/03088,12800793,2010-05-21,CON
PCT/US10/03088,12800798,2010-05-21,CON
PCT/US10/03088,12927288,2010-11-10,CON
PCT/US10/03088,12927285,2010-11-10,CON
PCT/US10/03088,12927287,2010-11-10,CON
PCT/US10/03088,12927296,2010-11-10,CON
PCT/US10/03088,12927291,2010-11-10,CON
PCT/US10/03088,12927295,2010-11-10,CON
PCT/US10/03088,12927294,2010-11-10,CON
PCT/US10/03088,12927290,2010-11-10,CON
PCT/US10/03088,12927284,2010-11-10,CON
PCT/US10/03088,12927297,2010-11-10,CON
PCT/US10/03090,12640910,2009-12-17,CON
PCT/US10/03091,12659196,2010-02-26,CON
PCT/US10/03091,12662894,2010-05-10,CON
PCT/US10/03091,12923082,2010-08-31,CON
PCT/US10/03092,61288087,2009-12-18,PRO
PCT/US10/03096,61284239,2009-12-15,PRO
PCT/US10/03097,61283715,2009-12-08,PRO
PCT/US10/03097,12928192,2010-12-06,CON
PCT/US10/03099,12632303,2009-12-07,CON
PCT/US10/03100,12925783,2010-10-29,CON
PCT/US10/03101,61287516,2009-12-17,PRO
PCT/US10/03103,12653022,2009-12-07,CON
PCT/US10/03105,12761792,2010-04-16,CON
PCT/US10/03106,12708946,2010-02-19,CON
PCT/US10/03107,61285538,2009-12-10,PRO
PCT/US10/03107,61308079,2010-02-25,PRO
PCT/US10/03110,61284151,2009-12-14,PRO
PCT/US10/03111,61306184,2010-02-19,PRO
PCT/US10/03112,12653136,2009-12-09,CON
PCT/US10/03113,12633416,2009-12-08,CON
PCT/US10/03114,12653292,2009-12-11,CON
PCT/US10/03115,12653104,2009-12-08,CON
PCT/US10/03116,61284149,2009-12-14,PRO
PCT/US10/03119,61267512,2009-12-08,PRO
PCT/US10/03120,61267509,2009-12-08,PRO
PCT/US10/03123,61283697,2009-12-08,PRO
PCT/US10/03124,12590449,2009-11-06,CON
PCT/US10/03125,12637026,2009-12-14,CON
PCT/US10/03126,61267898,2009-12-09,PRO
PCT/US10/03127,61284023,2009-12-11,PRO
PCT/US10/03127,61398255,2010-06-23,PRO
PCT/US10/03128,12653288,2009-12-11,CON
PCT/US10/03129,61284487,2009-12-18,PRO
PCT/US10/03130,61286504,2009-12-15,PRO
PCT/US10/03130,61295611,2010-01-15,PRO
PCT/US10/03131,61284483,2009-12-18,PRO
PCT/US10/03131,61329862,2010-04-30,PRO
PCT/US10/03132,12653846,2009-12-18,CON
PCT/US10/03134,12653857,2009-12-18,CON
PCT/US10/03135,12653912,2009-12-17,CON
PCT/US10/03136,61284039,2009-12-11,PRO
PCT/US10/03136,12928349,2010-12-08,CON
PCT/US10/03137,61284165,2009-12-14,PRO
PCT/US10/03138,61285951,2009-12-11,PRO
PCT/US10/03139,61284152,2009-12-14,PRO
PCT/US10/03140,61284261,2009-12-16,PRO
PCT/US10/03142,61306204,2010-02-19,PRO
PCT/US10/03144,12636623,2009-12-11,CON
