application_number,parent_application_number,parent_filing_date,continuation_type
PCT/US11/60417,12947375,2010-11-16,CON
PCT/US11/60417,12947383,2010-11-16,CON
PCT/US11/60417,12947385,2010-11-16,CON
PCT/US11/60417,12947393,2010-11-16,CON
PCT/US11/60417,12947418,2010-11-16,CON
PCT/US11/60417,12947436,2010-11-16,CON
PCT/US11/60417,12947438,2010-11-16,CON
PCT/US11/60417,12947513,2010-11-16,CON
PCT/US11/60418,12951502,2010-11-22,CON
PCT/US11/60419,12927377,2010-11-12,CON
PCT/US11/60421,61412885,2010-11-12,PRO
PCT/US11/60422,61412761,2010-11-11,PRO
PCT/US11/60423,12944379,2010-11-11,CON
PCT/US11/60425,61413722,2010-11-15,PRO
PCT/US11/60425,61474015,2011-04-11,PRO
PCT/US11/60425,61525405,2011-08-19,PRO
PCT/US11/60426,61414668,2010-11-17,PRO
PCT/US11/60426,61500029,2011-06-22,PRO
PCT/US11/60426,13274972,2011-10-17,CON
PCT/US11/60427,61412669,2010-11-11,PRO
PCT/US11/60427,13294138,2011-11-10,CON
PCT/US11/60428,61412612,2010-11-11,PRO
PCT/US11/60429,12944722,2010-11-12,CON
PCT/US11/60430,61412775,2010-11-11,PRO
PCT/US11/60431,61413402,2010-11-13,PRO
PCT/US11/60431,61413406,2010-11-13,PRO
PCT/US11/60431,61413407,2010-11-13,PRO
PCT/US11/60431,61431673,2011-01-11,PRO
PCT/US11/60431,61431680,2011-01-11,PRO
PCT/US11/60431,61437195,2011-01-28,PRO
PCT/US11/60431,61452285,2011-03-14,PRO
PCT/US11/60432,61413152,2010-11-12,PRO
PCT/US11/60433,61413323,2010-11-12,PRO
PCT/US11/60435,61413278,2010-11-12,PRO
PCT/US11/60435,13294689,2011-11-11,CON
PCT/US11/60436,61412829,2010-11-12,PRO
PCT/US11/60436,61439225,2011-02-03,PRO
PCT/US11/60436,61499591,2011-06-21,PRO
PCT/US11/60436,61522295,2011-08-11,PRO
PCT/US11/60437,61414629,2010-11-17,PRO
PCT/US11/60437,13294135,2011-11-10,CON
PCT/US11/60438,12946348,2010-11-15,CON
PCT/US11/60439,61412419,2010-11-11,PRO
PCT/US11/60440,61413087,2010-11-12,PRO
PCT/US11/60441,61412423,2010-11-11,PRO
PCT/US11/60442,61412667,2010-11-11,PRO
PCT/US11/60443,12946134,2010-11-15,CON
PCT/US11/60444,61413168,2010-11-12,PRO
PCT/US11/60445,61412426,2010-11-11,PRO
PCT/US11/60446,12944444,2010-11-11,CON
PCT/US11/60446,12944448,2010-11-11,CON
PCT/US11/60447,61413317,2010-11-12,PRO
PCT/US11/60447,13294631,2011-11-11,CON
PCT/US11/60448,12944670,2010-11-11,CON
PCT/US11/60449,61414788,2010-11-17,PRO
PCT/US11/60450,61412573,2010-11-11,PRO
PCT/US11/60450,61508974,2011-07-18,PRO
PCT/US11/60451,61412590,2010-11-11,PRO
PCT/US11/60452,61412699,2010-11-11,PRO
PCT/US11/60453,61413107,2010-11-12,PRO
PCT/US11/60454,61413179,2010-11-12,PRO
PCT/US11/60455,12944444,2010-11-11,CON
PCT/US11/60455,12944448,2010-11-11,CON
PCT/US11/60456,61412776,2010-11-11,PRO
PCT/US11/60456,61449384,2011-03-04,PRO
PCT/US11/60457,61413166,2010-11-12,PRO
PCT/US11/60458,61419672,2010-12-03,PRO
PCT/US11/60459,61413201,2010-11-12,PRO
PCT/US11/60460,61413233,2010-11-12,PRO
PCT/US11/60461,61413270,2010-11-12,PRO
PCT/US11/60462,61412651,2010-11-11,PRO
PCT/US11/60463,12950940,2010-11-19,CON
PCT/US11/60465,61413233,2010-11-12,PRO
PCT/US11/60465,61429676,2011-01-04,PRO
PCT/US11/60466,61413295,2010-11-12,PRO
PCT/US11/60466,61413305,2010-11-12,PRO
PCT/US11/60466,61413333,2010-11-12,PRO
PCT/US11/60466,61413337,2010-11-12,PRO
PCT/US11/60468,61412730,2010-11-11,PRO
PCT/US11/60468,13294923,2011-11-11,CON
PCT/US11/60469,61412940,2010-11-12,PRO
PCT/US11/60470,61413219,2010-11-12,PRO
PCT/US11/60471,61412679,2010-11-11,PRO
PCT/US11/60471,61413266,2010-11-12,PRO
PCT/US11/60471,61436943,2011-01-27,PRO
PCT/US11/60472,12967512,2010-12-14,CON
PCT/US11/60474,61416931,2010-11-24,PRO
PCT/US11/60479,12945735,2010-11-12,CON
PCT/US11/60480,61413372,2010-11-12,PRO
PCT/US11/60481,61413327,2010-11-12,PRO
PCT/US11/60481,13294807,2011-11-11,CON
PCT/US11/60482,61413375,2010-11-12,PRO
PCT/US11/60483,61413378,2010-11-12,PRO
PCT/US11/60484,61413404,2010-11-13,PRO
PCT/US11/60484,13099744,2011-05-03,CON
PCT/US11/60485,12945714,2010-11-12,CON
PCT/US11/60486,61413327,2010-11-12,PRO
PCT/US11/60486,13294952,2011-11-11,CON
PCT/US11/60490,61413327,2010-11-12,PRO
PCT/US11/60490,13294968,2011-11-11,CON
PCT/US11/60491,12945723,2010-11-12,CON
PCT/US11/60492,61423214,2010-12-15,PRO
PCT/US11/60492,13294355,2011-11-11,CON
