application_number,parent_application_number,parent_filing_date,continuation_type
PCT/US13/49661,61673101,2012-07-18,PRO
PCT/US13/49661,13828829,2013-03-14,CON
PCT/US13/49662,61669356,2012-07-09,PRO
PCT/US13/49662,61734264,2012-12-06,PRO
PCT/US13/49663,61670873,2012-07-12,PRO
PCT/US13/49663,13934486,2013-07-03,CON
PCT/US13/49664,13548293,2012-07-13,CON
PCT/US13/49667,61669474,2012-07-09,PRO
PCT/US13/49667,61733865,2012-12-05,PRO
PCT/US13/49667,61733871,2012-12-05,PRO
PCT/US13/49668,13544389,2012-07-09,CON
PCT/US13/49669,13544565,2012-07-09,CON
PCT/US13/49670,13544684,2012-07-09,CON
PCT/US13/49673,61669652,2012-07-09,PRO
PCT/US13/49673,13757849,2013-02-03,CON
PCT/US13/49674,61670212,2012-07-11,PRO
PCT/US13/49674,13937426,2013-07-09,CON
PCT/US13/49675,13547432,2012-07-12,CON
PCT/US13/49676,61670556,2012-07-11,PRO
PCT/US13/49677,61669240,2012-07-09,PRO
PCT/US13/49677,13932066,2013-07-01,CON
PCT/US13/49678,61669754,2012-07-10,PRO
PCT/US13/49679,61703682,2012-09-20,PRO
PCT/US13/49679,13829671,2013-03-14,CON
PCT/US13/49680,13553158,2012-07-19,CON
PCT/US13/49681,61670836,2012-07-12,PRO
PCT/US13/49682,61669334,2012-07-09,PRO
PCT/US13/49682,13777271,2013-02-26,CON
PCT/US13/49683,13559227,2012-07-26,CON
PCT/US13/49684,61669759,2012-07-10,PRO
PCT/US13/49685,61670065,2012-07-10,PRO
PCT/US13/49686,61669611,2012-07-09,PRO
PCT/US13/49686,13790625,2013-03-08,CON
PCT/US13/49687,13553035,2012-07-19,CON
PCT/US13/49688,13548515,2012-07-13,CON
PCT/US13/49689,61669437,2012-07-09,PRO
PCT/US13/49692,13565429,2012-08-02,CON
PCT/US13/49694,61669477,2012-07-09,PRO
PCT/US13/49695,61669925,2012-07-10,PRO
PCT/US13/49696,13598264,2012-08-29,CON
PCT/US13/49698,13544441,2012-07-09,CON
PCT/US13/49699,61669916,2012-07-10,PRO
PCT/US13/49701,13562046,2012-07-30,CON
PCT/US13/49702,13572308,2012-08-10,CON
PCT/US13/49703,61672439,2012-07-17,PRO
PCT/US13/49704,13567249,2012-08-06,CON
PCT/US13/49705,61669715,2012-07-10,PRO
PCT/US13/49705,61681357,2012-08-09,PRO
PCT/US13/49706,61669581,2012-07-09,PRO
PCT/US13/49708,61669825,2012-07-10,PRO
PCT/US13/49710,61669709,2012-07-10,PRO
PCT/US13/49711,61690982,2012-07-10,PRO
PCT/US13/49712,13546553,2012-07-11,CON
PCT/US13/49714,61673761,2012-07-20,PRO
PCT/US13/49714,13927749,2013-06-26,CON
PCT/US13/49715,13548464,2012-07-13,CON
PCT/US13/49716,61669480,2012-07-09,PRO
PCT/US13/49716,61806235,2013-03-28,PRO
PCT/US13/49717,61674019,2012-07-20,PRO
PCT/US13/49718,61669899,2012-07-10,PRO
PCT/US13/49718,13785042,2013-03-05,CON
PCT/US13/49721,61675407,2012-07-25,PRO
PCT/US13/49722,61669428,2012-07-09,PRO
PCT/US13/49724,13544351,2012-07-09,CON
PCT/US13/49725,61669436,2012-07-09,PRO
PCT/US13/49725,13936833,2013-07-08,CON
