application_number,parent_application_number,parent_filing_date,continuation_type
PCT/US99/11036,09088924,1998-06-02,CON
PCT/US99/11037,09100684,1998-06-19,CON
PCT/US99/11038,09088859,1998-06-02,CON
PCT/US99/11038,09228712,1999-01-12,CON
PCT/US99/11040,60086109,1998-05-20,PRO
PCT/US99/11041,60085997,1998-05-19,PRO
PCT/US99/11041,60099066,1998-09-03,PRO
PCT/US99/11042,09095520,1998-06-10,CON
PCT/US99/11043,09081492,1998-05-19,CON
PCT/US99/11045,09100163,1998-06-18,CON
PCT/US99/11047,09097043,1998-06-12,CON
PCT/US99/11048,09240389,1999-01-29,CON
PCT/US99/11049,09111454,1998-07-08,CON
PCT/US99/11052,09086386,1998-05-29,CON
PCT/US99/11054,60086170,1998-05-20,PRO
PCT/US99/11055,09083303,1998-05-22,CON
PCT/US99/11056,09081458,1998-05-19,CON
PCT/US99/11057,09087314,1998-05-29,CON
PCT/US99/11058,09087299,1998-05-29,CON
PCT/US99/11059,09081384,1998-05-19,CON
PCT/US99/11063,09153351,1998-09-15,CON
PCT/US99/11064,09078845,1998-05-14,CON
PCT/US99/11065,09078881,1998-05-14,CON
PCT/US99/11066,60085673,1998-05-15,PRO
PCT/US99/11067,60085950,1998-05-19,PRO
PCT/US99/11068,09081710,1998-05-19,CON
PCT/US99/11069,09080475,1998-05-18,CON
PCT/US99/11070,09084199,1998-05-20,CON
PCT/US99/11073,60086587,1998-05-22,PRO
PCT/US99/11073,09088766,1998-06-02,CON
PCT/US99/11073,09150485,1998-09-09,CON
PCT/US99/11074,60086086,1998-05-20,PRO
PCT/US99/11075,09083147,1998-05-21,CON
PCT/US99/11077,09112911,1998-07-09,CON
PCT/US99/11077,60088399,1998-06-08,PRO
PCT/US99/11079,09083464,1998-05-22,CON
PCT/US99/11080,09103346,1998-06-23,CON
PCT/US99/11082,60086487,1998-05-22,PRO
PCT/US99/11086,09083803,1998-05-22,CON
PCT/US99/11087,09082139,1998-05-20,CON
PCT/US99/11087,09157067,1998-09-18,CON
PCT/US99/11087,09162341,1998-09-28,CON
PCT/US99/11087,09165593,1998-10-02,CON
PCT/US99/11087,09217340,1998-12-21,CON
PCT/US99/11087,09211825,1998-12-15,CON
PCT/US99/11087,09206526,1998-12-07,CON
PCT/US99/11087,09271041,1999-03-17,CON
PCT/US99/11088,60085765,1998-05-16,PRO
PCT/US99/11088,60092784,1998-07-14,PRO
PCT/US99/11089,09079541,1998-05-15,CON
PCT/US99/11090,09162700,1998-09-29,CON
PCT/US99/11093,09080437,1998-05-18,CON
PCT/US99/11094,09082031,1998-05-20,CON
PCT/US99/11095,09106066,1998-06-29,CON
PCT/US99/11096,09081319,1998-05-19,CON
PCT/US99/11097,60086102,1998-05-20,PRO
PCT/US99/11098,09082715,1998-05-21,CON
PCT/US99/11098,09141459,1998-08-27,CON
PCT/US99/11099,09081836,1998-05-19,CON
PCT/US99/11100,09082339,1998-05-20,CON
PCT/US99/11103,09084298,1998-05-26,CON
PCT/US99/11106,09092632,1998-06-05,CON
PCT/US99/11108,09082085,1998-05-20,CON
PCT/US99/11112,60086257,1998-05-21,PRO
PCT/US99/11114,60086256,1998-05-21,PRO
PCT/US99/11116,09086317,1998-05-28,CON
PCT/US99/11117,09082311,1998-05-20,CON
PCT/US99/11118,09090291,1998-06-04,CON
PCT/US99/11119,09094083,1998-06-09,CON
PCT/US99/11120,09092545,1998-06-05,CON
PCT/US99/11121,60086459,1998-05-22,PRO
PCT/US99/11121,09158778,1998-09-23,CON
PCT/US99/11122,60086459,1998-05-22,PRO
PCT/US99/11122,09158764,1998-09-23,CON
PCT/US99/11123,60086459,1998-05-22,PRO
PCT/US99/11123,09218253,1998-12-21,CON
PCT/US99/11124,60086459,1998-05-22,PRO
PCT/US99/11124,09159265,1998-09-23,CON
PCT/US99/11125,60086459,1998-05-22,PRO
PCT/US99/11125,09159267,1998-09-23,CON
PCT/US99/11126,60086163,1998-05-20,PRO
PCT/US99/11126,60095096,1998-08-03,PRO
PCT/US99/11127,09084662,1998-05-26,CON
PCT/US99/11127,09223609,1998-12-30,CON
PCT/US99/11128,09082436,1998-05-20,CON
PCT/US99/11128,09234281,1999-01-19,CON
PCT/US99/11131,09124583,1998-07-29,CON
PCT/US99/11132,09124442,1998-07-29,CON
PCT/US99/11133,09122010,1998-07-24,CON
PCT/US99/11135,09086877,1998-05-29,CON
PCT/US99/11137,60086459,1998-05-22,PRO
PCT/US99/11137,09177751,1998-10-23,CON
PCT/US99/11138,09215960,1998-12-18,CON
PCT/US99/11139,09083510,1998-05-22,CON
PCT/US99/11141,09083586,1998-05-21,CON
PCT/US99/11142,09082336,1998-05-21,CON
PCT/US99/11144,09085745,1998-05-27,CON
PCT/US99/11145,09084686,1998-05-26,CON
PCT/US99/11146,09081728,1998-05-20,CON
PCT/US99/11147,60086072,1998-05-20,PRO
PCT/US99/11149,60086601,1998-05-22,PRO
PCT/US99/11150,09158590,1998-09-22,CON
PCT/US99/11151,09083488,1998-05-22,CON
PCT/US99/11152,09082694,1998-05-21,CON
PCT/US99/11153,09120594,1998-07-22,CON
PCT/US99/11155,60086149,1998-05-20,PRO
PCT/US99/11156,09083742,1998-05-22,CON
PCT/US99/11157,09083363,1998-05-22,CON
PCT/US99/11161,09088550,1998-06-01,CON
PCT/US99/11162,08865522,1997-05-29,CON
PCT/US99/11163,09082064,1998-05-20,CON
PCT/US99/11163,09096100,1998-06-11,CON
PCT/US99/11164,09082047,1998-05-20,CON
PCT/US99/11165,09099631,1998-06-18,CON
PCT/US99/11166,09140284,1998-08-25,CON
PCT/US99/11167,60086329,1998-05-21,PRO
PCT/US99/11167,60125745,1999-03-23,PRO
PCT/US99/11168,60086736,1998-05-26,PRO
PCT/US99/11168,09130831,1998-08-07,CON
PCT/US99/11169,60086385,1998-05-22,PRO
PCT/US99/11170,09087785,1998-05-29,CON
PCT/US99/11171,60087206,1998-05-28,PRO
PCT/US99/11172,09081883,1998-05-19,CON
PCT/US99/11173,09093629,1998-05-22,CON
PCT/US99/11174,09081706,1998-05-19,CON
PCT/US99/11175,09158346,1998-09-21,CON
PCT/US99/11176,09081520,1998-05-19,CON
PCT/US99/11178,60087203,1998-05-28,PRO
PCT/US99/11178,09112623,1998-07-09,CON
PCT/US99/11178,60102605,1998-10-01,PRO
PCT/US99/11178,09288245,1999-04-08,CON
PCT/US99/11180,60087929,1998-06-04,PRO
PCT/US99/11181,09082416,1998-05-20,CON
PCT/US99/11182,09081260,1998-05-19,CON
PCT/US99/11183,08485498,1995-06-07,CON
PCT/US99/11183,09083078,1998-05-21,CON
PCT/US99/11184,60086132,1998-05-20,PRO
PCT/US99/11186,09083294,1998-05-22,CON
PCT/US99/11187,09082124,1998-05-19,CON
PCT/US99/11188,09083833,1998-05-22,CON
PCT/US99/11189,09083431,1998-05-21,CON
PCT/US99/11190,60086132,1998-05-20,PRO
PCT/US99/11191,60086132,1998-05-20,PRO
PCT/US99/11196,60086258,1998-05-21,PRO
PCT/US99/11197,60086166,1998-05-20,PRO
PCT/US99/11197,09276625,1999-03-25,CON
PCT/US99/11198,09084840,1998-05-26,CON
PCT/US99/11199,09083652,1998-05-22,CON
PCT/US99/11199,60086429,1998-05-22,PRO
PCT/US99/11200,60086198,1998-05-21,PRO
PCT/US99/11202,60086275,1998-05-21,PRO
PCT/US99/11203,60086577,1998-05-22,PRO
PCT/US99/11204,60086253,1998-05-21,PRO
PCT/US99/11205,60086617,1998-05-22,PRO
PCT/US99/11206,60086516,1998-05-22,PRO
PCT/US99/11206,60086588,1998-05-22,PRO
PCT/US99/11206,09085755,1998-05-27,CON
PCT/US99/11206,60086948,1998-05-27,PRO
PCT/US99/11206,60087587,1998-06-01,PRO
PCT/US99/11206,60088459,1998-06-08,PRO
PCT/US99/11206,09213875,1998-12-17,CON
PCT/US99/11206,60134552,1999-05-17,PRO
PCT/US99/11207,09108526,1998-07-01,CON
PCT/US99/11208,60086346,1998-05-20,PRO
PCT/US99/11212,09144003,1998-08-31,CON
PCT/US99/11213,09083152,1998-05-22,CON
PCT/US99/11215,09081930,1998-05-20,CON
PCT/US99/11216,09083861,1998-05-21,CON
PCT/US99/11217,09105748,1998-06-26,CON
PCT/US99/11219,09082279,1998-05-20,CON
PCT/US99/11220,09082719,1998-05-21,CON
PCT/US99/11220,09208074,1998-12-09,CON
PCT/US99/11221,09084200,1998-05-21,CON
PCT/US99/11222,60086531,1998-05-22,PRO
PCT/US99/11222,09128137,1998-08-03,CON
PCT/US99/11222,09275176,1999-03-24,CON
PCT/US99/11223,09082217,1998-05-20,CON
PCT/US99/11224,09083062,1998-05-21,CON
PCT/US99/11225,60086284,1998-05-21,PRO
PCT/US99/11226,09083281,1998-05-22,CON
PCT/US99/11227,09084031,1998-05-22,CON
PCT/US99/11228,09083282,1998-05-22,CON
PCT/US99/11230,60086372,1998-05-22,PRO
PCT/US99/11230,60086405,1998-05-22,PRO
PCT/US99/11230,60097180,1998-08-20,PRO
PCT/US99/11231,60086446,1998-05-22,PRO
PCT/US99/11232,60086372,1998-05-22,PRO
PCT/US99/11232,60086405,1998-05-22,PRO
PCT/US99/11232,60097180,1998-08-20,PRO
PCT/US99/11233,60086372,1998-05-22,PRO
PCT/US99/11233,60086405,1998-05-22,PRO
PCT/US99/11233,60097180,1998-08-20,PRO
PCT/US99/11235,09090658,1998-06-04,CON
PCT/US99/11236,09097721,1998-06-16,CON
PCT/US99/11237,60086168,1998-05-20,PRO
PCT/US99/11238,09249175,1999-02-12,CON
PCT/US99/11239,09112095,1998-07-09,CON
PCT/US99/11240,09108274,1998-06-30,CON
PCT/US99/11241,09103109,1998-06-23,CON
