application_number,foreign_parent_id,foreign_parent_date,parent_country_code,parent_country
08470025,92-10638,1992-09-07,FR,FRANCE
08470027,PCT/US88/03824,1988-10-27,US,UNITED STATES OF AMERICA
08470028,220609,1994-09-14,JP,JAPAN
08470031,8918543.3,1989-08-15,GB,UNITED KINGDOM
08470031,8911047.2,1989-05-15,GB,UNITED KINGDOM
08470031,8912652.8,1989-06-02,GB,UNITED KINGDOM
08470031,8909217.5,1989-04-22,GB,UNITED KINGDOM
08470031,PCT/G89/01344,1989-11-13,US,UNITED STATES OF AMERICA
08470031,8826444.5,1988-11-11,GB,UNITED KINGDOM
08470031,8913900.0,1989-06-16,GB,UNITED KINGDOM
08470031,8906034.7,1989-03-16,GB,UNITED KINGDOM
08470038,5-208075,1993-08-23,JP,JAPAN
08470038,6-062536,1994-03-31,JP,JAPAN
08470038,6-059205,1994-03-29,JP,JAPAN
08470038,6-059206,1994-03-29,JP,JAPAN
08470038,6-059203,1994-03-29,JP,JAPAN
08470038,6-059204,1994-03-29,JP,JAPAN
08470038,6-060587,1994-03-30,JP,JAPAN
08470038,6-059202,1994-03-29,JP,JAPAN
08470041,92-18175,1992-10-05,KR,REPUBLIC OF KOREA
08470041,93-9795,1993-06-01,KR,REPUBLIC OF KOREA
08470041,93-9800,1993-06-01,KR,REPUBLIC OF KOREA
08470041,93-9798,1993-06-01,KR,REPUBLIC OF KOREA
08470042,9419203.6,1994-09-23,GB,UNITED KINGDOM
08470043,9419206.9,1994-09-23,GB,UNITED KINGDOM
08470046,MI 93 A 000327,1993-02-19,IT,ITALY
08470048,P 44 20 751.4,1994-06-15,DE,GERMANY
08470049,1-101066,1989-04-20,JP,JAPAN
08470049,1-248632,1989-09-25,JP,JAPAN
08470049,1-101067,1989-04-20,JP,JAPAN
08470049,1-200807,1989-08-01,JP,JAPAN
08470049,1-77293,1989-03-29,JP,JAPAN
08470056,6-182988,1994-07-11,JP,JAPAN
08470056,6-152850,1994-06-10,JP,JAPAN
08470056,6-228850,1994-08-29,JP,JAPAN
08470057,HEI-4-348260,1992-12-28,JP,JAPAN
08470061,04-249956,1992-09-18,JP,JAPAN
08470061,04-103137,1992-04-22,JP,JAPAN
08470061,03-327722,1991-12-11,JP,JAPAN
08470061,03-327723,1991-12-11,JP,JAPAN
08470061,04-133744,1992-05-26,JP,JAPAN
08470069,P 44 20 806.5,1994-06-16,DE,GERMANY
08470070,P 4423798.7-32,1994-07-01,DE,GERMANY
08470072,3974/90,1990-06-25,HU,HUNGARY
08470099,8916761,1989-07-21,GB,UNITED KINGDOM
08470099,8828364,1988-12-05,GB,UNITED KINGDOM
08470099,8916115,1989-07-13,GB,UNITED KINGDOM
08470099,9111199,1991-05-23,GB,UNITED KINGDOM
08470106,PCT/USA3/03615,1993-04-13,,UNITED STATES OF AMERICA
08470117,PJ2034/88,1988-12-20,AU,AUSTRALIA
08470118,HEI. 6-148725,1994-06-08,JP,JAPAN
08470118,HEI. 6-332198,1994-12-13,JP,JAPAN
08470119,6-213772,1994-09-07,JP,JAPAN
08470119,7-113328,1995-05-11,JP,JAPAN
08470119,6-213763,1994-09-07,JP,JAPAN
08470120,94-14392,1994-06-23,KR,REPUBLIC OF KOREA
08470121,HEI 6-133218,1994-06-15,JP,JAPAN
08470122,HEI. 6-239070,1994-10-03,JP,JAPAN
08470128,PCT/GB90/00303,1990-02-22,US,UNITED STATES OF AMERICA
08470128,89 04 541.3,1989-02-28,GB,UNITED KINGDOM
08470131,PM8855,1994-10-14,AU,AUSTRALIA
08470136,95-1586,1995-01-27,KR,REPUBLIC OF KOREA
08470139,9412230.6,1994-06-17,GB,UNITED KINGDOM
