application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
09580942,5,2000-05-30,M844,0,,0,
09580942,2,2000-06-20,SCAN,0,,0,
09580942,3,2000-08-07,C.AD,0,,0,
09580942,4,2000-09-08,DOCK,0,,0,
09580942,7,2001-04-18,N/=.,0,,0,
09580942,8,2001-04-18,MN/=.,0,,0,
09580942,9,2001-05-23,DRWR,48,APPL,0,
09580942,10,2001-05-23,DRWI,0,,0,
09580942,11,2001-05-23,DRWM,0,,0,
09580942,14,2001-05-23,N084,0,,0,
09580942,12,2001-05-23,DRWF,0,,0,
09580942,13,2001-06-13,DRWS,0,,0,
09580942,15,2001-06-17,PILS,0,,0,
09580942,16,2001-07-10,PTAC,0,,0,
09627022,1,2000-07-27,IEXX,0,,0,
09627022,6,2000-07-27,RQPR,0,,0,
09627022,16,2000-07-27,DRWI,0,,0,
09627022,18,2000-07-27,DRWF,0,,0,
09627022,17,2000-07-27,DRWM,0,,0,
09627022,2,2000-08-24,SCAN,0,,0,
09627022,3,2000-09-19,C.AD,0,,0,
09627022,4,2000-09-25,OIPE,0,,0,
09627022,5,2000-10-03,DOCK,0,,0,
09627022,7,2000-10-16,M844,0,,0,
09627022,8,2000-12-18,CTNF,0,,0,
09627022,9,2000-12-20,MCTNF,0,,0,
09641837,1,2000-08-18,IEXX,0,,0,
09641837,2,2000-09-01,SCAN,0,,0,
09641837,3,2000-10-02,C.AD,0,,0,
09641837,4,2000-10-02,C.AD,0,,0,
09641837,5,2000-10-23,OIPE,0,,0,
09641837,6,2001-01-25,DOCK,0,,0,
09641837,8,2001-02-28,N/=.,0,,0,
09641837,9,2001-02-28,MN/=.,0,,0,
09641837,10,2001-03-14,DRWR,118,APPL,0,
09641837,12,2001-03-14,DRWM,0,,0,
09641837,13,2001-03-14,DRWF,0,,0,
09641837,11,2001-03-14,DRWI,0,,0,
09641837,15,2001-05-21,N084,0,,0,
09641837,14,2001-06-04,DRWS,0,,0,
09641837,16,2001-06-07,PILS,0,,0,
09641837,17,2001-07-10,PTAC,0,,0,
09580942,1,2000-05-30,IEXX,0,,0,
09011169,34,2000-12-08,FIDS,0,,0,
09011169,37,2001-02-13,FWDX,0,,0,
09011169,40,2001-02-20,N/=.,0,,0,
09011169,41,2001-02-20,MN/=.,0,,0,
09011169,42,2001-04-04,CSRI,0,,0,
09011169,44,2001-04-04,CSRF,0,,0,
09011169,43,2001-04-04,EXIN,0,,0,
09011169,46,2001-05-15,N084,0,,0,
09011169,45,2001-05-17,PILS,0,,0,
09011169,47,2001-07-10,PTAC,0,,0,
09232888,22,2000-07-17,MPTGR,0,,0,
09232888,31,2000-07-17,ACPA,0,,0,
09232888,28,2000-08-29,M844,0,,0,
09232888,29,2000-08-30,W/N=,0,,0,
09232888,32,2000-08-30,FWDX,0,,0,
09232888,30,2000-08-30,MW/N=,0,,0,
09232888,34,2000-09-07,N/=.,0,,0,
09232888,35,2000-09-07,MN/=.,0,,0,
09232888,36,2000-09-26,B312,0,,0,
09232888,41,2000-09-26,A.NA,0,,0,
09232888,39,2000-09-26,F312,0,,0,
09232888,67,2000-11-14,N084,0,,0,
09232888,46,2000-11-14,N084,0,,0,
09232888,40,2000-12-06,B312,0,,0,
09232888,45,2000-12-06,F312,0,,0,
09232888,42,2000-12-14,FWDX,0,,0,
09232888,43,2000-12-18,N271,0,,0,
09232888,44,2000-12-18,MN271,0,,0,
09232888,50,2001-01-30,BRCE,0,,0,
09232888,51,2001-01-30,ABN3,0,,0,
09232888,52,2001-01-30,MABN3,0,,0,
09232888,53,2001-01-30,FRCE,0,,0,
09232888,47,2001-02-15,PET.,0,,0,
09232888,48,2001-02-15,FPET,0,,0,
09232888,60,2001-02-15,SA..,0,,0,
09232888,56,2001-02-15,M844,0,,0,
09232888,49,2001-03-19,MPTGR,0,,0,
09232888,54,2001-03-19,RCEX,0,,0,
09232888,55,2001-03-21,FWDX,0,,0,
09232888,58,2001-03-22,W/N=,0,,0,
09232888,59,2001-03-22,MW/N=,0,,0,
09232888,61,2001-04-09,FWDX,0,,0,
09232888,63,2001-04-10,N/=.,0,,0,
09232888,64,2001-04-10,MN/=.,0,,0,
09232888,65,2001-04-24,CSRI,0,,0,
09232888,66,2001-04-24,CSRF,0,,0,
09232888,68,2001-07-10,PTAC,0,,0,
09011169,33,2000-12-08,BIDS,0,,0,
09627022,10,2001-02-26,A...,0,,0,
09627022,11,2001-03-05,FWDX,0,,0,
09627022,14,2001-03-12,MN/=.,0,,0,
09627022,13,2001-03-12,N/=.,0,,0,
09627022,19,2001-05-11,N084,0,,0,
09627022,15,2001-06-04,DRWS,0,,0,
09627022,20,2001-06-06,PILS,0,,0,
09627022,21,2001-07-10,PTAC,0,,0,
09588239,1,2000-06-06,IEXX,0,,0,
09588239,6,2000-06-06,RQPR,0,,0,
09588239,11,2000-06-06,DRWI,0,,0,
09588239,12,2000-06-06,DRWM,0,,0,
09588239,13,2000-06-06,DRWF,0,,0,
09588239,2,2000-06-27,SCAN,0,,0,
09588239,3,2000-08-17,C.AD,0,,0,
09588239,4,2000-08-17,OIPE,0,,0,
09588239,7,2000-08-28,M844,0,,0,
09588239,5,2000-09-09,DOCK,0,,0,
09588239,9,2001-03-19,N/=.,0,,0,
09588239,10,2001-03-19,MN/=.,0,,0,
09588239,15,2001-05-24,N084,0,,0,
09588239,14,2001-06-09,DRWS,0,,0,
09588239,16,2001-06-13,PILS,0,,0,
09588239,17,2001-07-10,PTAC,0,,0,
09631431,3,2000-09-12,C.AD,0,,0,
09631431,4,2000-10-12,OIPE,0,,0,
09631431,5,2000-12-09,DOCK,0,,0,
09631431,7,2001-03-13,DOCK,0,,0,
09631431,9,2001-04-19,N/=.,0,,0,
09631431,10,2001-04-19,MN/=.,0,,0,
09631431,11,2001-05-16,DRWR,55,APPL,0,
09631431,12,2001-05-16,DRWI,0,,0,
09631431,14,2001-05-16,DRWF,0,,0,
09631431,16,2001-05-16,N084,0,,0,
09631431,13,2001-05-16,DRWM,0,,0,
09631431,15,2001-06-07,DRWS,0,,0,
09631431,17,2001-06-12,PILS,0,,0,
09631431,18,2001-07-10,PTAC,0,,0,
09631431,1,2000-08-03,IEXX,0,,0,
09631431,6,2000-08-03,M844,0,,0,
09159339,27,2000-11-27,CTNF,0,,0,
09159339,28,2000-11-27,MCTNF,0,,0,
09159339,29,2001-02-05,C614,0,,0,
09159339,30,2001-02-05,A...,0,,0,
09159339,31,2001-02-09,FWDX,0,,0,
09159339,33,2001-02-28,N/=.,0,,0,
09159339,34,2001-02-28,MN/=.,0,,0,
09159339,35,2001-05-07,DRWR,64,APPL,0,
09159339,36,2001-05-07,DRWI,0,,0,
09159339,37,2001-05-07,DRWM,0,,0,
09159339,40,2001-05-07,N084,0,,0,
09159339,38,2001-05-07,DRWF,0,,0,
09159339,39,2001-06-04,DRWS,0,,0,
09159339,42,2001-06-10,PILS,0,,0,
09159339,43,2001-07-10,PTAC,0,,0,
09159339,26,2000-11-08,FWDX,0,,0,
09706851,1,2000-11-07,IEXX,0,,0,
09706851,13,2000-11-07,DRWI,0,,0,
09706851,15,2000-11-07,DRWF,0,,0,
09706851,14,2000-11-07,DRWM,0,,0,
09706851,2,2000-12-07,SCAN,0,,0,
09706851,3,2001-02-11,C.AD,0,,0,
09706851,4,2001-02-11,OIPE,0,,0,
09706851,9,2001-02-14,RQPR,0,,0,
09706851,5,2001-02-16,DOCK,0,,0,
09706851,7,2001-02-20,N/=.,0,,0,
09706851,8,2001-02-20,MN/=.,0,,0,
09706851,10,2001-03-06,M327,0,,0,
09581825,1,2000-06-16,IEXX,0,,0,
09581825,3,2000-06-16,R371,0,,0,
09581825,13,2000-06-16,A.PE,0,,0,
09581825,24,2000-06-16,DRWF,0,,0,
09581825,23,2000-06-16,DRWM,0,,0,
09581825,22,2000-06-16,DRWI,0,,0,
09581825,2,2000-06-27,C.AD,0,,0,
09581825,4,2000-06-27,DKTD,0,,0,
09581825,5,2000-07-07,DKTD,0,,0,
09581825,6,2000-07-07,DKTD,0,,0,
09581825,7,2000-07-10,M903,0,,0,
09581825,8,2000-07-10,RTAD,0,,0,
09581825,9,2000-07-12,C.AD,0,,0,
09581825,10,2000-07-31,SCAN,0,,0,
09581825,11,2000-08-03,OIPE,0,,0,
09581825,12,2000-10-23,DOCK,0,,0,
09581825,14,2000-11-04,CTNF,0,,0,
09581825,15,2000-11-07,MCTNF,0,,0,
09581825,16,2001-02-09,A...,2,APPL,15,
09581825,17,2001-02-21,FWDX,0,,0,
09581825,19,2001-02-27,N/=.,0,,0,
09581825,20,2001-02-27,MN/=.,0,,0,
09581825,25,2001-05-21,N084,0,,0,
09581825,21,2001-06-04,DRWS,0,,0,
09581825,26,2001-06-06,PILS,0,,0,
09581825,27,2001-07-10,PTAC,0,,0,
09631431,2,2000-08-25,SCAN,0,,0,
09688313,7,2001-03-16,DOCK,0,,0,
09688313,9,2001-03-19,N/=.,0,,0,
09688313,10,2001-03-19,MN/=.,0,,0,
09688313,12,2001-05-10,N084,0,,0,
09688313,11,2001-05-31,PILS,0,,0,
09688313,13,2001-07-10,PTAC,0,,0,
09688313,6,2001-03-08,OIPE,0,,0,
09583137,1,2000-05-30,IEXX,0,,0,
09583137,5,2000-05-30,A.PE,0,,0,
09583137,2,2000-06-16,SCAN,0,,0,
09583137,3,2000-08-09,C.AD,0,,0,
09583137,4,2000-08-09,OIPE,0,,0,
09583137,6,2000-08-21,DOCK,0,,0,
09583137,7,2000-09-08,EXIN,0,,0,
09583137,9,2000-09-13,EX.A,0,,0,
09583137,10,2000-09-13,MEX.A,0,,0,
09583137,11,2000-09-13,N/=.,0,,0,
09583137,12,2000-09-13,MN/=.,0,,0,
09583137,13,2000-12-04,DRWR,0,APPL,0,
09583137,19,2000-12-04,C614,0,APPL,0,
09583137,22,2000-12-04,DRWM,0,,0,
09583137,24,2000-12-04,N084,0,,0,
09583137,23,2000-12-04,DRWF,0,,0,
09583137,21,2000-12-04,DRWI,0,,0,
09583137,18,2000-12-04,RU45,0,,0,
09583137,14,2000-12-04,BPET,0,,0,
09583137,15,2000-12-04,FPET,0,,0,
09583137,16,2000-12-04,A.NA,120,APPL,0,
09583137,17,2001-04-11,FWDX,0,,0,
09583137,20,2001-04-19,DRWS,0,,0,
09583137,29,2001-07-10,PTAC,97,PTO,24,
