application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
09919847,1,2001-08-02,IEXX,0,,0,
09919847,6,2001-08-02,A.PE,0,,0,
09919847,2,2001-08-09,SCAN,0,,0,
09919847,3,2001-09-20,C.AD,0,,0,
09919847,4,2001-09-21,OIPE,0,,0,
09919847,5,2001-11-15,DOCK,0,,0,
09919847,7,2002-01-09,M844,0,,0,
09919847,8,2002-07-17,DOCK,0,,0,
09919847,10,2002-09-09,N/=.,0,,0,
09919847,11,2002-09-10,MN/=.,0,,0,
10006830,8,2002-09-09,N/=.,0,,0,
10006830,9,2002-09-09,MN/=.,0,,0,
09753716,1,2001-01-04,IEXX,0,,0,
09753716,2,2001-01-19,SCAN,0,,0,
09753716,3,2001-02-12,C.AD,0,,0,
09753716,4,2001-02-12,INCD,0,,0,
09753716,5,2001-02-12,COMP,0,,0,
09753716,7,2001-04-04,C614,0,,0,
09753716,11,2001-04-04,M844,0,,0,
09753716,8,2001-04-04,M844,0,,0,
09753716,10,2001-04-04,C614,0,,0,
09753716,6,2001-05-21,OIPE,0,,0,
09753716,9,2001-08-31,DOCK,0,,0,
09753716,12,2001-12-14,CTNF,0,,0,
09753716,13,2001-12-19,MCTNF,0,,0,
09753716,14,2002-03-18,A...,0,,0,
09753716,15,2002-03-27,FWDX,0,,0,
09753716,16,2002-04-01,CTFR,0,,0,
09753716,17,2002-04-02,MCTFR,0,,0,
09753716,18,2002-07-02,A.NE,0,,0,
09753716,19,2002-07-09,FWDX,0,,0,
09753716,20,2002-07-15,CTAV,0,,0,
09753716,21,2002-07-16,MCTAV,0,,0,
09753716,22,2002-08-28,BRCE,0,,0,
09753716,25,2002-08-28,RCEX,0,,0,
09753716,23,2002-08-28,XT/G,0,,0,
09753716,24,2002-09-03,ABN9,0,,0,
09753716,28,2002-09-03,FWDX,0,,0,
09753716,26,2002-09-03,FWDX,0,,0,
09753716,30,2002-09-09,N/=.,0,,0,
09753716,31,2002-09-10,MN/=.,0,,0,
09877163,1,2001-06-08,IEXX,0,,0,
09877163,2,2001-06-16,SCAN,0,,0,
09877163,3,2001-08-09,C.AD,0,,0,
09877163,4,2001-08-09,OIPE,0,,0,
09877163,5,2001-09-14,DOCK,0,,0,
09877163,6,2002-04-22,CTNF,0,,0,
10108817,1,2002-03-27,IEXX,0,,0,
10108817,8,2002-03-27,A.PE,0,,0,
10108817,2,2002-04-16,SCAN,0,,0,
10108817,5,2002-05-16,COMP,0,,0,
10108817,6,2002-05-20,OIPE,0,,0,
10108817,7,2002-06-05,DOCK,0,,0,
10108817,9,2002-06-14,CTRS,0,,0,
10108817,10,2002-06-14,MCTRS,0,,0,
10108817,11,2002-07-05,ELC.,0,,0,
10108817,12,2002-08-08,FWDX,0,,0,
10108817,14,2002-09-09,EX.A,0,,0,
10108817,15,2002-09-09,N/=.,0,,0,
10108817,16,2002-09-09,MEX.A,0,,0,
10108817,17,2002-09-09,MN/=.,0,,0,
09359911,37,2002-01-10,D1220,0,,0,
09359911,39,2002-01-15,R1021,0,,0,
09359911,41,2002-01-24,B312,0,,0,
09359911,43,2002-03-18,BRCE,0,,0,
09359911,45,2002-03-18,RCEX,0,,0,
09359911,44,2002-03-28,ABN9,0,,0,
09359911,46,2002-03-28,FWDX,0,,0,
09359911,47,2002-04-08,CTNF,0,,0,
09359911,48,2002-04-10,MCTNF,0,,0,
09359911,49,2002-08-12,XT/G,0,,0,
09359911,50,2002-08-12,A...,33,APPL,48,
09359911,51,2002-09-03,FWDX,0,,0,
09359911,53,2002-09-09,N/=.,0,,0,
09359911,54,2002-09-09,MN/=.,0,,0,
09600676,1,2000-07-20,IEXX,0,PTO,0,Y
09600676,3,2000-07-20,R371,0,PTO,0,Y
09600676,2,2000-08-01,C.AD,0,PTO,0,Y
09600676,4,2000-08-01,DKTD,0,PTO,0,Y
09893482,1,2001-06-29,IEXX,0,,0,
09893482,6,2001-06-29,M844,0,,0,
09893482,7,2001-06-29,C614,0,,0,
09893482,2,2001-07-10,SCAN,0,,0,
09893482,3,2001-08-16,C.AD,0,,0,
09893482,4,2001-08-20,OIPE,0,,0,
09893482,5,2001-08-31,DOCK,0,,0,
09893482,8,2002-03-26,DOCK,0,,0,
09893482,9,2002-03-26,DOCK,0,,0,
09893482,10,2002-07-01,DOCK,0,,0,
09893482,12,2002-09-04,N/=.,0,,0,
09893482,13,2002-09-09,MN/=.,11,PTO,-1,
09808532,1,2001-03-14,IEXX,0,,0,
09808532,2,2001-04-09,SCAN,0,,0,
09808532,3,2001-04-20,C.AD,0,,0,
09808532,5,2001-04-23,COMP,0,,0,
09808532,4,2001-04-23,INCD,0,,0,
09808532,7,2001-06-27,AF/D,0,,0,
09808532,6,2001-07-19,OIPE,0,,0,
09808532,8,2001-08-21,DOCK,0,,0,
09808532,9,2002-02-25,CTNF,0,,0,
09808532,10,2002-02-26,MCTNF,0,,0,
09808532,12,2002-08-20,XT/G,0,,0,
09808532,13,2002-08-20,A...,86,APPL,10,
09808532,11,2002-08-27,C.AD,0,,0,
09808532,14,2002-08-27,FWDX,0,,0,
09808532,16,2002-09-09,N/=.,0,,0,
09808532,17,2002-09-09,MN/=.,0,,0,
09877163,7,2002-04-23,MCTNF,0,,0,
09877163,8,2002-07-30,A...,7,APPL,7,
09877163,9,2002-08-17,FWDX,0,,0,
09877163,11,2002-09-09,N/=.,0,,0,
09877163,12,2002-09-09,MN/=.,0,,0,
09698887,1,2000-10-27,IEXX,0,,0,
09698887,9,2000-11-27,A.PE,0,,0,
09698887,2,2000-12-04,SCAN,0,,0,
09698887,3,2001-01-03,C.AD,0,,0,
09698887,4,2001-01-04,INCD,0,,0,
09698887,17,2001-02-26,FLFEE,0,,0,
09698887,5,2001-04-24,C.AD,0,,0,
09698887,6,2001-04-24,COMP,20,APPL,4,
09698887,7,2001-04-24,OIPE,0,,0,
09698887,8,2001-07-14,DOCK,0,,0,
09698887,10,2001-09-27,DOCK,0,,0,
09698887,11,2001-12-28,CTRS,0,,0,
09698887,12,2001-12-28,MCTRS,1,PTO,-1,
09698887,13,2002-02-13,ELC.,0,,0,
09698887,14,2002-03-05,FWDX,0,,0,
09698887,15,2002-05-15,CTNF,0,,0,
09698887,16,2002-05-16,MCTNF,0,,0,
09698887,18,2002-08-19,A...,3,APPL,16,
09698887,20,2002-08-19,DIST,0,,0,
09698887,19,2002-09-03,FWDX,0,,0,
09698887,21,2002-09-04,N574,0,,0,
09698887,23,2002-09-09,DOCK,0,,0,
09698887,24,2002-09-09,N/=.,0,,0,
09698887,25,2002-09-10,MN574,0,,0,
09698887,26,2002-09-10,MN/=.,0,,0,
09043694,2,1998-03-26,R371,0,PTO,0,Y
09043694,13,1998-03-26,RQPR,0,PTO,0,Y
09043694,15,1998-03-26,A.PE,0,PTO,0,Y
09043694,25,1998-03-26,IEXX,0,PTO,0,Y
09043694,14,1998-03-26,M844,0,PTO,0,Y
09043694,1,1998-04-13,IBPM,0,PTO,0,Y
09043694,3,1998-04-14,DKTD,0,PTO,0,Y
09043694,4,1998-04-21,RQIB,0,PTO,0,Y
09043694,5,1998-04-30,IBPM,0,PTO,0,Y
09043694,6,1998-04-30,DKTD,0,PTO,0,Y
09043694,7,1998-09-01,M903,0,PTO,0,Y
09043694,8,1998-09-01,RTAD,0,PTO,0,Y
09043694,9,1998-10-08,SCAN,0,PTO,0,Y
09043694,10,1998-10-09,OIPE,0,PTO,0,Y
09043694,11,1999-01-04,TR.Q,0,PTO,0,Y
09043694,12,1999-03-05,DOCK,0,PTO,0,Y
09043694,16,1999-09-02,DOCK,0,PTO,0,Y
09043694,17,1999-09-29,CTRS,0,PTO,0,Y
09043694,18,1999-09-30,MCTRS,0,PTO,0,Y
09043694,19,1999-10-27,ELC.,0,PTO,0,Y
09043694,20,1999-11-01,FWDX,0,PTO,0,Y
09043694,21,2000-01-03,CTNF,0,PTO,0,Y
09043694,22,2000-01-04,MCTNF,0,PTO,0,Y
09043694,23,2000-01-21,NRES,0,PTO,0,Y
09043694,24,2000-01-21,MNRES,0,PTO,0,Y
09043694,26,2000-07-21,XT/G,0,PTO,0,Y
09043694,28,2000-07-21,C604,0,PTO,0,Y
09043694,29,2000-07-21,A...,0,PTO,0,Y
09043694,27,2000-07-21,LTDR,0,PTO,0,Y
09043694,30,2000-07-28,FWDX,0,PTO,0,Y
09043694,31,2000-10-05,CTRS,0,PTO,0,Y
09043694,32,2000-10-06,MCTRS,0,PTO,0,Y
09043694,33,2000-11-02,ELC.,0,PTO,0,Y
09043694,34,2000-11-08,FWDX,0,PTO,0,Y
09043694,35,2001-01-16,CTNF,0,PTO,0,Y
09043694,36,2001-01-17,MCTNF,0,PTO,0,Y
09043694,37,2001-07-17,XT/G,0,PTO,0,Y
09043694,38,2001-07-17,A...,0,PTO,0,Y
09600676,5,2000-08-04,DKTD,0,PTO,0,Y
09600676,6,2000-08-04,DKTD,0,PTO,0,Y
09600676,7,2000-08-08,M903,0,PTO,0,Y
09600676,8,2000-08-08,RTAD,0,PTO,0,Y
09600676,9,2000-09-22,SCAN,0,PTO,0,Y
09600676,10,2000-09-28,OIPE,0,PTO,0,Y
09600676,11,2000-10-05,DOCK,0,PTO,0,Y
09600676,12,2001-04-05,DOCK,0,PTO,0,Y
09600676,13,2001-08-30,CTNF,0,PTO,0,Y
09600676,14,2001-09-04,MCTNF,0,PTO,0,Y
09600676,15,2002-02-07,DOCK,0,PTO,0,Y
09600676,16,2002-04-05,ABN2,0,PTO,0,Y
09600676,17,2002-04-08,MABN2,0,PTO,0,Y
09600676,18,2002-04-11,PET.,0,PTO,0,Y
09600676,24,2002-04-11,A...,0,PTO,0,Y
09600676,24.1,2002-04-11,A.I.,0,PTO,0,Y
09600676,23,2002-04-11,XT/G,0,PTO,0,Y
09600676,19,2002-06-06,MPREV,0,PTO,0,Y
09600676,20,2002-07-24,DOCK,0,PTO,0,Y
09600676,21,2002-07-24,NRAB,0,PTO,0,Y
09600676,25,2002-07-24,FWDX,0,PTO,0,Y
09600676,22,2002-07-25,MNRAB,0,PTO,0,Y
09600676,26,2002-07-25,NINA,0,PTO,0,Y
09600676,27,2002-08-12,A...,0,PTO,0,Y
09600676,28,2002-09-04,FWDX,0,PTO,0,Y
09600676,30,2002-09-06,N/=.,0,PTO,0,Y
09600676,31,2002-09-06,N/DR,0,PTO,0,Y
09600676,32,2002-09-09,MN/DR,0,PTO,0,Y
09600676,33,2002-09-09,MN/=.,0,PTO,0,Y
09543072,1,2000-04-05,IEXX,0,PTO,0,Y
09543072,2,2000-04-21,SCAN,0,PTO,0,Y
09543072,3,2000-06-09,C.AD,0,PTO,0,Y
09543072,4,2000-06-09,OIPE,0,PTO,0,Y
09543072,5,2000-06-28,DOCK,0,PTO,0,Y
09543072,6,2001-10-09,CTRS,0,PTO,0,Y
09543072,7,2001-10-10,MCTRS,0,PTO,0,Y
09543072,8,2002-01-07,ELC.,0,PTO,0,Y
09543072,9,2002-01-11,FWDX,0,PTO,0,Y
09543072,10,2002-01-22,DOCK,0,PTO,0,Y
09543072,11,2002-02-25,CTNF,0,PTO,0,Y
09543072,12,2002-02-28,MCTNF,0,PTO,0,Y
09543072,13,2002-07-05,XT/G,0,PTO,0,Y
09543072,14,2002-07-05,A...,0,PTO,0,Y
09543072,15,2002-07-25,FWDX,0,PTO,0,Y
09543072,16,2002-09-06,EXIN,0,PTO,0,Y
09543072,18,2002-09-09,N/=.,0,PTO,0,Y
09448861,1,1999-12-01,IEXX,0,PTO,0,Y
09448861,3,1999-12-11,SCAN,0,PTO,0,Y
09448861,4,1999-12-17,INCD,0,PTO,0,Y
09448861,2,2000-01-28,G022,0,PTO,0,Y
09448861,5,2000-02-01,COMP,0,PTO,0,Y
09448861,6,2000-04-05,DOCK,0,PTO,0,Y
09448861,7,2000-04-05,C.AD,0,PTO,0,Y
09448861,8,2000-04-24,M844,0,PTO,0,Y
09448861,9,2001-06-22,CTNF,0,PTO,0,Y
09448861,10,2001-06-25,MCTNF,0,PTO,0,Y
09448861,11,2001-09-28,M844,0,PTO,0,Y
09448861,12,2001-09-28,A...,0,PTO,0,Y
09448861,13,2001-10-04,FWDX,0,PTO,0,Y
09448861,14,2001-10-30,CTFR,0,PTO,0,Y
09448861,15,2001-10-30,MCTFR,0,PTO,0,Y
09448861,16,2002-04-03,XT/G,0,PTO,0,Y
09448861,17,2002-04-03,N/AP,0,PTO,0,Y
09448861,18,2002-07-02,XT/G,0,PTO,0,Y
09448861,19,2002-07-02,AP.B,0,PTO,0,Y
09448861,20,2002-07-16,FWDX,0,PTO,0,Y
09448861,21,2002-07-31,C.AD,0,PTO,0,Y
09448861,23,2002-09-09,DOCK,0,PTO,0,Y
09448861,24,2002-09-09,N/=.,0,PTO,0,Y
09448861,25,2002-09-09,N/DR,0,PTO,0,Y
09448861,26,2002-09-09,MN/DR,0,PTO,0,Y
09448861,27,2002-09-09,MN/=.,0,PTO,0,Y
09914873,3,2001-09-05,R371,0,PTO,0,Y
09914873,1,2001-09-05,IEXX,0,PTO,0,Y
09914873,2,2001-09-14,C.AD,0,PTO,0,Y
09539498,1,2000-03-30,IEXX,0,PTO,0,Y
09539498,2,2000-04-20,SCAN,0,PTO,0,Y
09539498,3,2000-06-15,C.AD,0,PTO,0,Y
09539498,4,2000-06-30,OIPE,0,PTO,0,Y
09539498,5,2000-07-06,DOCK,0,PTO,0,Y
09539498,6,2000-10-06,DOCK,0,PTO,0,Y
09539498,7,2002-01-23,M844,0,PTO,0,Y
09539498,8,2002-02-25,CTNF,0,PTO,0,Y
09539498,9,2002-03-04,MCTNF,0,PTO,0,Y
09539498,10,2002-06-11,XT/G,0,PTO,0,Y
09539498,11,2002-06-11,A...,0,PTO,0,Y
09539498,12,2002-06-25,FWDX,0,PTO,0,Y
09539498,14,2002-09-09,N/=.,0,PTO,0,Y
09539498,15,2002-09-09,MN/=.,0,PTO,0,Y
09213523,1,1998-12-22,IEXX,0,PTO,0,Y
09213523,2,1998-12-30,SCAN,0,PTO,0,Y
09213523,3,1999-01-12,OIPE,0,PTO,0,Y
09213523,5,1999-03-29,C614,0,PTO,0,Y
09213523,4,1999-04-14,DOCK,0,PTO,0,Y
09213523,6,2000-10-06,DOCK,0,PTO,0,Y
09213523,7,2001-08-06,M844,0,PTO,0,Y
09213523,8,2002-02-05,DOCK,0,PTO,0,Y
09213523,9,2002-03-11,CTNF,0,PTO,0,Y
09213523,10,2002-03-18,MCTNF,0,PTO,0,Y
09213523,11,2002-06-07,LTDR,0,PTO,0,Y
09213523,12,2002-06-07,A...,0,PTO,0,Y
09213523,13,2002-06-26,FWDX,0,PTO,0,Y
09213523,14,2002-08-26,DOCK,0,PTO,0,Y
09213523,16,2002-09-09,DOCK,0,PTO,0,Y
09213523,17,2002-09-09,N/=.,0,PTO,0,Y
09213523,18,2002-09-09,N/DR,0,PTO,0,Y
09213523,19,2002-09-09,MN/DR,0,PTO,0,Y
09213523,20,2002-09-09,MN/=.,0,PTO,0,Y
09043694,39,2001-07-25,FWDX,0,PTO,0,Y
09043694,40,2001-11-05,CTFR,0,PTO,0,Y
09043694,41,2002-03-18,MCTFR,0,PTO,0,Y
09043694,43,2002-07-02,EXIN,0,PTO,0,Y
09043694,44,2002-08-19,XT/G,0,PTO,0,Y
09043694,45,2002-08-19,A.NE,0,PTO,0,Y
09043694,46,2002-08-26,FWDX,0,PTO,0,Y
09043694,48,2002-09-09,N/=.,0,PTO,0,Y
09043694,49,2002-09-09,N/DR,0,PTO,0,Y
09043694,50,2002-09-09,MN/DR,0,PTO,0,Y
09043694,51,2002-09-09,MN/=.,0,PTO,0,Y
08934093,1,1997-10-06,IEXX,0,PTO,0,Y
08934093,2,1997-12-24,SCAN,0,PTO,0,Y
08934093,3,1998-01-24,OIPE,0,PTO,0,Y
08934093,4,1998-01-26,OIPE,0,PTO,0,Y
08934093,5,1998-03-26,DOCK,0,PTO,0,Y
08934093,10,1998-12-21,C614,0,PTO,0,Y
08934093,6,1999-02-01,CTNF,0,PTO,0,Y
08934093,7,1999-02-04,MCTNF,0,PTO,0,Y
08934093,8,1999-05-03,PA..,0,PTO,0,Y
08934093,9,1999-05-03,C.AD,0,PTO,0,Y
08934093,11,1999-05-06,A...,0,PTO,0,Y
08934093,12,1999-05-12,FWDX,0,PTO,0,Y
08934093,13,1999-07-19,CTNF,0,PTO,0,Y
08934093,14,1999-07-19,MCTNF,0,PTO,0,Y
09858966,1,2001-05-16,IEXX,0,,0,
09858966,2,2001-05-24,SCAN,0,,0,
09858966,4,2001-07-12,OIPE,0,,0,
09858966,3,2001-07-12,C.AD,0,,0,
09858966,5,2002-05-02,DOCK,0,,0,
09858966,7,2002-09-05,N/=.,0,,0,
09858966,8,2002-09-09,MN/=.,55,PTO,-1,
09543072,19,2002-09-09,MN/=.,0,PTO,0,Y
09638951,1,2000-08-16,IEXX,0,,0,
09638951,8,2000-08-16,RQPR,0,,0,
09638951,9,2000-08-16,M844,0,,0,
09638951,10,2000-08-16,A.PE,0,,0,
09638951,2,2000-09-08,SCAN,0,,0,
09638951,3,2000-10-03,C.AD,0,,0,
09638951,4,2000-10-03,INCD,0,,0,
09638951,5,2000-10-19,COMP,0,,0,
09638951,6,2000-10-19,OIPE,0,,0,
09638951,7,2001-03-18,DOCK,0,,0,
09638951,11,2002-03-09,DOCK,0,,0,
09638951,12,2002-06-10,CTNF,0,,0,
09638951,13,2002-06-12,MCTNF,239,PTO,-1,
09638951,14,2002-08-28,A...,0,,0,
09638951,15,2002-09-03,FWDX,0,,0,
09638951,17,2002-09-09,N/=.,0,,0,
09638951,18,2002-09-09,MN/=.,0,,0,
09914873,4,2001-09-14,DKTD,0,PTO,0,Y
09914873,5,2001-11-06,C.AD,0,PTO,0,Y
09914873,6,2001-11-06,OIPE,0,PTO,0,Y
09914873,7,2001-11-08,SCAN,0,PTO,0,Y
09914873,8,2001-12-03,DOCK,0,PTO,0,Y
09914873,9,2002-03-25,CTNF,0,PTO,0,Y
09914873,10,2002-03-27,MCTNF,0,PTO,0,Y
09914873,11,2002-06-24,A...,0,PTO,0,Y
09914873,12,2002-07-12,FWDX,0,PTO,0,Y
09914873,14,2002-09-09,N/=.,0,PTO,0,Y
09914873,15,2002-09-09,MN/=.,0,PTO,0,Y
10077071,1,2002-02-14,IEXX,0,,0,
10077071,2,2002-03-05,SCAN,0,,0,
10077071,3,2002-03-14,COMP,0,,0,
10077071,4,2002-03-20,OIPE,0,,0,
10077071,5,2002-04-16,DOCK,0,,0,
10077071,6,2002-04-16,DOCK,0,,0,
10077071,7,2002-05-17,CTNF,0,,0,
10077071,8,2002-05-17,MCTNF,0,,0,
10077071,9,2002-08-19,A...,2,APPL,8,
10077071,10,2002-09-05,FWDX,0,,0,
10077071,12,2002-09-09,N/=.,0,,0,
10077071,13,2002-09-10,MN/=.,0,,0,
09041211,1,1998-03-16,IEXX,0,PTO,0,Y
09041211,2,1998-04-18,SCAN,0,PTO,0,Y
09041211,3,1998-05-06,OIPE,0,PTO,0,Y
09041211,4,1998-05-13,DOCK,0,PTO,0,Y
09041211,5,1998-05-27,SCAN,0,PTO,0,Y
09041211,6,1998-06-26,G022,0,PTO,0,Y
09041211,7,1999-01-04,C.AD,0,PTO,0,Y
09041211,8,1999-09-23,CTNF,0,PTO,0,Y
09041211,9,1999-09-24,MCTNF,0,PTO,0,Y
09041211,10,2000-03-31,XT/G,0,PTO,0,Y
09041211,11,2000-03-31,A...,0,PTO,0,Y
09041211,13,2000-04-03,M844,0,PTO,0,Y
09041211,12,2000-04-06,FWDX,0,PTO,0,Y
09041211,14,2000-06-19,DOCK,0,PTO,0,Y
09041211,15,2000-06-19,CTNF,0,PTO,0,Y
09041211,16,2000-06-21,MCTNF,0,PTO,0,Y
09041211,17,2000-10-27,A...,0,PTO,0,Y
09041211,18,2000-11-02,FWDX,0,PTO,0,Y
09041211,19,2000-11-27,C.AD,0,PTO,0,Y
08934093,15,1999-10-22,A...,0,PTO,0,Y
08934093,16,1999-10-27,FWDX,0,PTO,0,Y
08934093,17,1999-12-28,CTFR,0,PTO,0,Y
08934093,18,2000-01-04,MCTFR,0,PTO,0,Y
08934093,19,2000-03-03,A.NE,0,PTO,0,Y
08934093,20,2000-03-13,FWDX,0,PTO,0,Y
08934093,21,2000-03-16,CTAV,0,PTO,0,Y
08934093,22,2000-03-20,MCTAV,0,PTO,0,Y
08934093,23,2000-03-31,ABN3,0,PTO,0,Y
08934093,24,2000-03-31,MABN3,0,PTO,0,Y
08934093,25,2000-03-31,ACPA,0,PTO,0,Y
08934093,26,2000-04-11,FWDX,0,PTO,0,Y
08934093,27,2000-06-05,CTNF,0,PTO,0,Y
08934093,28,2000-06-06,MCTNF,0,PTO,0,Y
08934093,29,2000-09-11,C614,0,PTO,0,Y
08934093,30,2000-09-11,A...,0,PTO,0,Y
08934093,31,2000-09-20,FWDX,0,PTO,0,Y
08934093,32,2000-10-06,DOCK,0,PTO,0,Y
08934093,33,2000-10-13,C.AD,0,PTO,0,Y
08934093,34,2000-11-17,CTNF,0,PTO,0,Y
08934093,35,2000-11-20,MCTNF,0,PTO,0,Y
08934093,36,2001-02-21,A...,0,PTO,0,Y
08934093,37,2001-03-10,FWDX,0,PTO,0,Y
08934093,38,2001-03-19,CTFR,0,PTO,0,Y
08934093,39,2001-03-20,MCTFR,0,PTO,0,Y
08934093,40,2001-05-24,A.NE,0,PTO,0,Y
08934093,41,2001-05-31,FWDX,0,PTO,0,Y
08934093,42,2001-06-14,CTAV,0,PTO,0,Y
08934093,43,2001-06-15,MCTAV,0,PTO,0,Y
08934093,44,2001-07-18,BRCE,0,PTO,0,Y
08934093,45,2001-07-18,XT/G,0,PTO,0,Y
08934093,46,2001-07-18,ABN3,0,PTO,0,Y
08934093,47,2001-07-18,MABN3,0,PTO,0,Y
08934093,51,2001-07-18,SA..,0,PTO,0,Y
08934093,48,2001-07-18,FRCE,0,PTO,0,Y
08934093,49,2001-07-18,RCEX,0,PTO,0,Y
08934093,50,2001-07-23,FWDX,0,PTO,0,Y
