application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
09410852,20,2002-12-02,N/=.,0,PTO,0,Y
09410852,21,2002-12-03,MN/=.,0,PTO,0,Y
10066628,1,2002-02-06,IEXX,0,,0,
10066628,7,2002-02-06,RQPR,0,,0,
10066628,2,2002-02-15,SCAN,0,,0,
10066628,5,2002-03-01,COMP,0,,0,
10066628,6,2002-03-05,OIPE,0,,0,
10066628,8,2002-03-08,DOCK,0,,0,
10066628,10,2002-12-02,N/=.,0,,0,
10066628,11,2002-12-03,MN/=.,0,,0,
09953844,1,2001-09-17,IEXX,0,,0,
09953844,2,2001-09-24,SCAN,0,,0,
09953844,3,2001-10-13,C.AD,0,,0,
09953844,4,2001-10-16,OIPE,0,,0,
09953844,5,2001-11-15,DOCK,0,,0,
09953844,6,2001-12-27,C614,0,,0,
09953844,7,2002-04-16,CTNF,0,,0,
09953844,8,2002-04-18,MCTNF,0,,0,
09953844,9,2002-07-22,A...,4,APPL,8,
09953844,10,2002-07-27,FWDX,0,,0,
09953844,11,2002-09-05,CTFR,0,,0,
09953844,12,2002-09-06,MCTFR,0,,0,
09953844,15,2002-10-04,EXIN,0,,0,
09953844,13,2002-10-29,A.NE,0,,0,
09953844,14,2002-11-21,FWDX,0,,0,
09953844,17,2002-12-02,N/=.,0,,0,
09953844,18,2002-12-03,MEXIN,0,,0,
09953844,19,2002-12-03,MN/=.,0,,0,
09639924,1,2000-08-16,IEXX,0,,0,
09343454,1,1999-07-08,IEXX,0,PTO,0,Y
09343454,2,1999-07-16,SCAN,0,PTO,0,Y
09343454,3,1999-07-23,OIPE,0,PTO,0,Y
09343454,4,2000-02-16,DOCK,0,PTO,0,Y
09343454,5,2000-09-09,PA..,0,PTO,0,Y
09343454,6,2000-09-09,C.AD,0,PTO,0,Y
09620876,1,2000-07-21,IEXX,0,,0,
09620876,2,2000-08-18,SCAN,0,,0,
09620876,3,2000-09-08,C.AD,0,,0,
09620876,4,2000-09-08,INCD,0,,0,
09620876,5,2001-01-11,C.AD,0,,0,
09620876,6,2001-01-11,COMP,34,APPL,4,
09620876,7,2001-01-11,OIPE,0,,0,
09620876,8,2001-02-04,DOCK,0,,0,
09620876,9,2001-04-06,C.AD,0,,0,
09620876,10,2002-03-23,C.AD,0,,0,
09620876,11,2002-11-14,DOCK,0,,0,
09620876,13,2002-12-02,DOCK,0,,0,
09620876,14,2002-12-02,N/=.,0,,0,
09620876,15,2002-12-02,N/DR,0,,0,
09620876,16,2002-12-02,N/OD,0,,0,
09620876,17,2002-12-02,N/BD,0,,0,
09620876,18,2002-12-03,MN/BD,0,,0,
09620876,19,2002-12-03,MN/OD,0,,0,
09620876,20,2002-12-03,MN/DR,0,,0,
09620876,21,2002-12-03,MN/=.,438,PTO,-1,
09602173,1,2000-06-22,IEXX,0,,0,
09602173,6,2000-06-22,M844,0,,0,
09602173,2,2000-07-17,SCAN,0,,0,
09602173,7,2000-08-01,A.PE,0,,0,
09602173,3,2000-08-17,C.AD,0,,0,
09602173,4,2000-08-17,OIPE,0,,0,
09602173,5,2000-10-12,DOCK,0,,0,
09602173,8,2001-05-03,CTNF,0,,0,
09602173,9,2001-05-04,MCTNF,0,,0,
09602173,10,2001-07-05,A...,0,,0,
09602173,12,2001-07-05,C604,0,,0,
09602173,11,2001-07-12,FWDX,0,,0,
09602173,13,2001-09-21,CTNF,0,,0,
09602173,14,2001-09-25,MCTNF,0,,0,
09602173,15,2001-10-09,A...,0,,0,
09602173,16,2001-10-17,FWDX,0,,0,
09602173,17,2001-12-31,CTNF,0,,0,
09602173,18,2002-01-03,MCTNF,0,,0,
09602173,19,2002-07-09,XT/G,0,,0,
09602173,20,2002-07-09,A...,97,APPL,18,
09602173,21,2002-07-29,FWDX,0,,0,
09602173,22,2002-10-21,CTEQ,0,,0,
09602173,23,2002-10-22,MCTEQ,0,,0,
09602173,24,2002-11-13,C604,0,,0,
09602173,25,2002-11-13,A.QU,0,,0,
09602173,26,2002-11-19,FWDX,0,,0,
09602173,28,2002-12-02,N/=.,0,,0,
09602173,29,2002-12-03,MN/=.,0,,0,
09292569,41,2002-05-07,FWDX,0,PTO,0,Y
09292569,44,2002-05-20,N/=.,0,PTO,0,Y
09292569,45,2002-05-20,N/DR,0,PTO,0,Y
09292569,46,2002-05-20,MN/DR,0,PTO,0,Y
09292569,47,2002-05-20,MN/=.,0,PTO,0,Y
09292569,48,2002-06-01,R1021,0,PTO,0,Y
09292569,51,2002-08-13,R1021,0,PTO,0,Y
09292569,52,2002-08-26,BRCE,0,PTO,0,Y
09292569,53,2002-08-26,FRCE,0,PTO,0,Y
09292569,56,2002-08-26,RCEX,0,PTO,0,Y
09292569,54,2002-09-25,R1021,0,PTO,0,Y
09292569,55,2002-10-08,ABN9,0,PTO,0,Y
09292569,59,2002-10-08,FWDX,0,PTO,0,Y
09292569,57,2002-10-08,FWDX,0,PTO,0,Y
09292569,61,2002-12-02,N/=.,0,PTO,0,Y
09292569,62,2002-12-02,N/DR,0,PTO,0,Y
09292569,63,2002-12-03,MN/DR,0,PTO,0,Y
09292569,64,2002-12-03,MN/=.,0,PTO,0,Y
09453946,1,2000-05-25,IEXX,0,PTO,0,Y
09374847,18,2002-04-03,BCPA,0,,0,
09374847,22,2002-04-03,XT/G,0,,0,
09374847,24,2002-04-03,ACPA,0,,0,
09374847,23,2002-04-09,ABN9,0,,0,
