application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
10200842,25,2003-05-23,ABN6,0,,0,
10200842,27,2003-06-09,PET.,0,,0,
10200842,29,2003-07-01,WABN,0,,0,
10200842,31,2003-07-01,PILS,0,,0,
10200842,28,2003-07-02,MPREV,0,,0,
10200842,32,2003-07-07,R1021,0,,0,
10200842,33,2003-08-12,PTAC,23,PTO,30,
09938431,24,2002-11-13,DRWM,0,,0,
09938431,25,2002-11-13,DRWF,0,,0,
09938431,18,2003-01-16,D1220,0,,0,
09938431,19,2003-01-17,R1021,0,,0,
09938431,20,2003-01-17,SENT,0,,0,
09938431,21,2003-02-21,R1021,0,,0,
09938431,22,2003-03-20,IFEE,0,,0,
09938431,26,2003-03-20,N084,0,,0,
09938431,23,2003-03-20,SMAL,0,,0,
09938431,27,2003-05-13,PILS,0,,0,
09938431,28,2003-05-15,R1021,0,,0,
09938431,29,2003-05-19,M327,0,,0,
09938431,30,2003-05-20,MM327,0,,0,
09938431,31,2003-06-17,A.NA,23,APPL,33,
09938431,32,2003-07-09,N271,0,,0,
09938431,33,2003-07-09,MN271,0,,0,
09938431,34,2003-07-14,R1021,0,,0,
09938431,35,2003-08-12,PTAC,23,PTO,26,
09684592,24,2003-01-10,D1220,0,,0,
09684592,25,2003-01-13,R1021,0,,0,
09684592,26,2003-01-13,SENT,0,,0,
09684592,27,2003-02-11,R1021,0,,0,
09684592,28,2003-02-21,CSRI,0,,0,
09684592,29,2003-02-21,CSRF,0,,0,
09684592,30,2003-02-26,R1021,0,,0,
09684592,43,2003-02-26,PET.,0,,0,
09684592,31,2003-03-03,CSRI,0,,0,
09684592,32,2003-03-03,CSRI,0,,0,
09684592,33,2003-03-03,CSRF,0,,0,
09684592,34,2003-03-03,CSRF,0,,0,
09335494,51,2003-01-28,D1220,0,,0,
09335494,52,2003-01-29,R1021,0,,0,
09335494,53,2003-01-29,R1021,0,,0,
09335494,54,2003-01-30,SENT,0,,0,
09335494,55,2003-03-13,R1021,0,,0,
09335494,56,2003-03-20,R1021,0,,0,
09335494,57,2003-04-25,IFEE,0,,0,
09335494,58,2003-04-25,DRWR,64,APPL,58,
09335494,66,2003-04-25,DRWM,0,,0,
09335494,68,2003-04-25,N084,0,,0,
09335494,67,2003-04-25,DRWF,0,,0,
09335494,59,2003-04-25,B312,0,,0,
09335494,60,2003-04-25,F312,0,,0,
09335494,61,2003-04-25,A.NA,46,APPL,64,
09335494,62,2003-04-25,DRWI,0,,0,
09335494,63,2003-06-06,N271,0,,0,
09335494,64,2003-06-09,MN271,0,,0,
09335494,65,2003-06-20,R1021,0,,0,
09335494,69,2003-06-20,PILS,0,,0,
09335494,70,2003-06-26,R1021,0,,0,
09335494,71,2003-08-12,PTAC,0,,0,
09820349,36,2002-02-11,DRWM,0,,0,
09820349,37,2002-02-11,DRWF,0,,0,
09820349,27,2003-02-19,D1220,0,,0,
09820349,28,2003-02-20,R1021,0,,0,
09820349,29,2003-02-21,SENT,0,,0,
09820349,30,2003-03-27,R1021,0,,0,
09820349,31,2003-04-30,IFEE,0,,0,
09820349,38,2003-04-30,N084,0,,0,
09820349,33,2003-06-19,R1021,0,,0,
09820349,35,2003-06-30,R1021,0,,0,
09820349,39,2003-07-02,PILS,0,,0,
09820349,40,2003-07-09,R1021,0,,0,
09820349,41,2003-08-12,PTAC,0,,0,
09707563,24,2003-03-20,D1220,0,,0,
09707563,25,2003-03-24,R1021,0,,0,
09707563,26,2003-03-26,SENT,0,,0,
09707563,27,2003-04-25,R1021,0,,0,
09707563,28,2003-06-11,IFEE,0,,0,
09707563,31,2003-06-11,DRWM,0,,0,
09707563,33,2003-06-11,N084,0,,0,
09707563,32,2003-06-11,DRWF,0,,0,
09707563,30,2003-06-11,DRWI,0,,0,
09707563,29,2003-06-11,DRWR,63,APPL,29,
09707563,34,2003-07-11,PILS,0,,0,
09707563,35,2003-07-15,R1021,0,,0,
09707563,36,2003-08-12,PTAC,0,,0,
10043306,31,2002-04-22,DRWM,0,,0,
10043306,32,2002-04-22,DRWF,0,,0,
10043306,24,2003-03-04,DIST,0,,0,
10043306,23,2003-03-18,N574,0,,0,
10043306,25,2003-03-27,D1220,0,,0,
10043306,26,2003-03-27,D1220,0,,0,
10043306,27,2003-03-28,R1021,0,,0,
10043306,28,2003-04-01,SENT,0,,0,
10043306,29,2003-05-29,R1021,0,,0,
10043306,30,2003-06-10,IFEE,0,,0,
10043306,33,2003-06-11,N084,4,APPL,22,
10043306,34,2003-06-18,PILS,0,,0,
10043306,35,2003-06-20,R1021,0,,0,
10043306,36,2003-08-12,PTAC,0,,0,
10162135,22,2002-06-03,DRWM,0,,0,
10162135,23,2002-06-03,DRWF,0,,0,
10162135,16,2003-03-18,D1220,0,,0,
10162135,17,2003-03-19,R1021,0,,0,
10162135,18,2003-03-24,SENT,0,,0,
10162135,19,2003-05-08,R1021,0,,0,
10162135,20,2003-06-18,IFEE,0,,0,
10162135,21,2003-06-18,LET.,56,APPL,21,
10162135,24,2003-06-18,N084,0,,0,
10162135,25,2003-07-10,PILS,0,,0,
10162135,26,2003-07-15,R1021,0,,0,
10162135,27,2003-08-12,PTAC,0,,0,
10016756,23,2003-03-04,DRWM,0,,0,
10016756,24,2003-03-04,DRWF,0,,0,
10016756,18,2003-03-27,D1220,0,,0,
10016756,19,2003-03-28,R1021,0,,0,
10016756,20,2003-04-02,SENT,0,,0,
10016756,21,2003-05-19,R1021,0,,0,
10016756,22,2003-06-18,IFEE,0,,0,
10016756,25,2003-06-18,N084,0,,0,
10016756,26,2003-07-02,PILS,0,,0,
10016756,27,2003-07-08,R1021,0,,0,
10016756,28,2003-07-16,R1021,0,,0,
10016756,29,2003-08-12,PTAC,0,,0,
10265328,15,2003-06-21,FWDX,0,,0,
10265328,16,2003-06-26,AF/D,0,,0,
10265328,18,2003-07-22,N/=.,0,,0,
10265328,19,2003-07-23,MN/=.,0,,0,
09858856,16,2003-03-11,D1220,0,,0,
09858856,17,2003-03-13,R1021,0,,0,
09858856,18,2003-03-17,SENT,0,,0,
09858856,19,2003-05-29,R1021,0,,0,
09858856,20,2003-06-13,IFEE,0,,0,
09858856,23,2003-06-13,DRWM,0,,0,
09858856,25,2003-06-13,N084,2,APPL,15,
09858856,24,2003-06-13,DRWF,0,,0,
09858856,22,2003-06-13,DRWI,0,,0,
09858856,21,2003-06-13,DRWR,61,APPL,21,
09858856,26,2003-07-11,PILS,0,,0,
09858856,27,2003-07-16,R1021,0,,0,
