application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
09897385,24,2003-04-09,D1220,0,,0,
09942276,37,2001-08-28,DRWM,0,,0,
09942276,38,2001-08-28,DRWF,0,,0,
09942276,32,2003-04-29,D1220,0,,0,
09942276,33,2003-04-29,R1021,0,,0,
09942276,34,2003-05-06,SENT,0,,0,
09942276,35,2003-06-19,R1021,0,,0,
09942276,36,2003-07-07,IFEE,0,,0,
09942276,39,2003-07-07,N084,0,,0,
09942276,40,2003-08-07,PILS,0,,0,
09942276,41,2003-08-12,R1021,0,,0,
09942276,42,2003-09-09,PTAC,0,,0,
09828831,28,2003-04-15,R1021,0,,0,
09828831,29,2003-04-15,SENT,0,,0,
09828831,35,2003-05-19,DRWR,0,APPL,35,
09828831,36,2003-05-19,DRWR,2,APPL,36,
09828831,37,2003-05-19,DRWI,0,,0,
09828831,38,2003-05-19,DRWF,0,,0,
09828831,30,2003-05-21,DRWR,112,APPL,30,
09828831,32,2003-05-21,DRWI,0,,0,
09828831,31,2003-05-29,R1021,0,,0,
09828831,33,2003-07-08,IFEE,0,,0,
09828831,34,2003-07-08,N084,0,,0,
09828831,39,2003-08-08,PILS,0,,0,
09828831,40,2003-08-11,R1021,0,,0,
09828831,41,2003-09-09,PTAC,0,,0,
09602672,40,2002-06-13,DRWM,0,,0,
09602672,41,2002-06-13,DRWF,0,,0,
09602672,32,2003-04-08,D1220,0,,0,
09602672,33,2003-04-15,R1021,0,,0,
09602672,35,2003-05-16,LET.,116,APPL,35,
09602672,34,2003-06-16,R1021,0,,0,
09602672,36,2003-07-02,M327,0,,0,
09602672,37,2003-07-02,MM327,0,,0,
09602672,38,2003-07-07,R1021,0,,0,
09602672,39,2003-07-08,IFEE,0,,0,
09602672,42,2003-07-08,N084,1,APPL,31,
09602672,43,2003-08-10,PILS,0,,0,
09602672,44,2003-08-12,R1021,0,,0,
09602672,45,2003-09-09,PTAC,0,,0,
09160151,63,2003-04-22,D1220,0,,0,
09160151,64,2003-04-28,R1021,0,,0,
09160151,65,2003-05-05,SENT,0,,0,
09160151,66,2003-06-16,R1021,0,,0,
09160151,67,2003-07-08,IFEE,0,,0,
09160151,68,2003-07-08,N084,0,,0,
09160151,69,2003-07-30,PILS,0,,0,
09160151,70,2003-08-01,R1021,0,,0,
09160151,71,2003-09-09,PTAC,0,,0,
10078672,20,2002-02-21,DRWM,0,,0,
10078672,21,2002-02-21,DRWF,0,,0,
10078672,13,2003-06-19,D1220,0,,0,
10078672,14,2003-06-20,R1021,0,,0,
10078672,15,2003-06-23,SENT,0,,0,
10078672,16,2003-06-23,SENT,0,,0,
10078672,17,2003-06-24,SENT,0,,0,
10078672,18,2003-07-08,IFEE,0,,0,
10078672,22,2003-07-08,N084,0,,0,
10078672,19,2003-07-28,R1021,0,,0,
10078672,23,2003-08-09,PILS,0,,0,
10078672,24,2003-08-11,R1021,0,,0,
10078672,25,2003-09-09,PTAC,0,,0,
10084053,31,2003-07-09,IFEE,0,,0,
10084053,32,2003-07-09,N084,0,,0,
10084053,33,2003-08-09,PILS,0,,0,
10084053,34,2003-08-11,R1021,0,,0,
10084053,35,2003-09-09,PTAC,0,,0,
09897335,23,2003-04-02,DRWM,0,,0,
09897335,24,2003-04-02,DRWF,0,,0,
09897335,19,2003-04-22,D1220,0,,0,
09897335,20,2003-04-29,SENT,0,,0,
09897335,21,2003-05-30,R1021,0,,0,
09897335,22,2003-07-09,IFEE,0,,0,
09897335,25,2003-07-09,N084,0,,0,
09897335,26,2003-07-28,PILS,0,,0,
09897335,27,2003-07-30,R1021,0,,0,
09897335,28,2003-09-09,PTAC,0,,0,
09661328,22,2003-04-08,D1220,0,,0,
09661328,23,2003-04-23,R1021,0,,0,
09661328,24,2003-04-29,SENT,0,,0,
09661328,25,2003-06-03,R1021,0,,0,
09661328,26,2003-07-09,IFEE,0,,0,
09661328,27,2003-07-09,DRWM,0,,0,
09661328,28,2003-07-09,DRWF,0,,0,
09661328,29,2003-07-09,N084,5,APPL,21,
09661328,30,2003-08-07,PILS,0,,0,
09661328,31,2003-08-08,R1021,0,,0,
09943557,21,2001-08-30,DRWM,0,,0,
