application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
09991307,20,2003-03-11,XT/G,0,,0,
09991307,21,2003-03-18,ABN9,0,,0,
09991307,23,2003-03-18,FWDX,0,,0,
09991307,25,2003-03-18,FWDX,0,,0,
09991307,26,2003-05-01,CTNF,0,,0,
09991307,27,2003-05-02,MCTNF,0,,0,
09991307,28,2003-08-27,EXIN,0,,0,
09991307,29,2003-09-03,MEXIN,0,,0,
09991307,30,2003-09-05,XT/G,0,,0,
09991307,31,2003-09-05,A...,34,APPL,27,
09991307,32,2003-09-15,FWDX,0,,0,
09991307,34,2003-09-22,N/=.,0,,0,
09991307,35,2003-09-25,MN/=.,0,,0,
09646117,35,2003-05-17,D1220,0,PTO,0,Y
09646117,36,2003-05-19,R1021,0,PTO,0,Y
09646117,37,2003-05-23,SENT,0,PTO,0,Y
09646117,38,2003-07-03,IFEE,0,PTO,0,Y
09646117,39,2003-08-18,R1021,0,PTO,0,Y
09646117,46,2003-08-20,M844,0,PTO,0,Y
09646117,40,2003-08-20,PET.,0,PTO,0,Y
09646117,42,2003-08-20,BRCE,0,PTO,0,Y
09646117,44,2003-08-20,RCEX,0,PTO,0,Y
09646117,41,2003-08-21,MP006,0,PTO,0,Y
09646117,43,2003-09-15,ABN9,0,PTO,0,Y
09646117,45,2003-09-15,FWDX,0,PTO,0,Y
09646117,48,2003-09-17,DOCK,0,PTO,0,Y
09646117,49,2003-09-17,N/=.,0,PTO,0,Y
09646117,50,2003-09-24,MN/=.,0,PTO,0,Y
10118398,1,2002-04-08,IEXX,0,,0,
10118398,2,2002-04-23,SCAN,0,,0,
10118398,3,2002-05-17,COMP,0,,0,
10118398,4,2002-05-17,OIPE,0,,0,
10118398,5,2002-05-29,DOCK,0,,0,
10118398,6,2002-08-05,CTNF,0,,0,
10118398,7,2002-08-12,MCTNF,0,,0,
10118398,8,2002-09-24,M844,0,,0,
10118398,9,2002-10-09,M327,0,,0,
10118398,10,2002-10-10,MM327,0,,0,
10118398,11,2002-12-02,XT/G,0,,0,
10118398,12,2002-12-02,A...,20,APPL,7,
10118398,13,2002-12-06,FWDX,0,,0,
10118398,14,2002-12-06,CTMS,0,,0,
10118398,15,2002-12-09,MCTMS,0,,0,
10118398,16,2002-12-18,A...,0,,0,
10118398,16.1,2002-12-18,A.I.,0,,0,
10118398,17,2002-12-23,FWDX,0,,0,
10118398,18,2003-01-06,NINA,0,,0,
10118398,19,2003-01-31,A...,44,APPL,16,
10118398,20,2003-02-06,FWDX,0,,0,
09946533,1,2001-09-06,IEXX,0,,0,
09946533,2,2001-09-12,SCAN,0,,0,
09946533,3,2001-10-05,C.AD,0,,0,
09946533,4,2001-10-09,INCD,0,,0,
09946533,8,2001-11-02,A.PE,0,,0,
09946533,9,2001-11-02,C604,0,,0,
09946533,10,2001-12-20,A.PE,0,,0,
09946533,5,2001-12-31,COMP,0,,0,
09946533,6,2002-01-09,OIPE,0,,0,
09946533,7,2002-05-09,DOCK,0,,0,
09946533,11,2002-07-03,DOCK,0,,0,
09946533,12,2002-08-26,DOCK,0,,0,
09946533,13,2002-11-04,CTNF,0,,0,
09946533,14,2002-11-06,MCTNF,0,,0,
09946533,15,2003-02-05,A...,0,,0,
09946533,16,2003-02-12,FWDX,0,,0,
09946533,17,2003-05-05,CTNF,0,,0,
09946533,18,2003-05-08,MCTNF,0,,0,
09946533,19,2003-09-08,XT/G,0,,0,
09946533,20,2003-09-08,A...,31,APPL,18,
09946533,21,2003-09-16,FWDX,0,,0,
09946533,23,2003-09-22,N/=.,0,,0,
09946533,24,2003-09-22,N/DR,0,,0,
09946533,26,2003-09-25,MN/=.,0,,0,
09946533,25,2003-09-25,MN/DR,0,,0,
10050297,6,2002-03-29,DOCK,0,,0,
10050297,7,2003-05-20,CTNF,0,,0,
10050297,8,2003-05-23,MCTNF,68,PTO,-1,
10050297,9,2003-08-01,A...,0,,0,
10050297,10,2003-08-09,FWDX,0,,0,
10050297,12,2003-09-24,N/=.,0,,0,
10050297,13,2003-09-25,MN/=.,0,,0,
09635199,1,2000-08-09,IEXX,0,,0,
09635199,7,2000-08-09,M844,0,,0,
09635199,8,2000-08-09,LTDR,0,,0,
09635199,9,2000-08-09,A.PE,0,,0,
09635199,2,2000-09-07,SCAN,0,,0,
09635199,6,2000-09-08,RQPR,0,,0,
09635199,3,2000-10-02,C.AD,0,,0,
09635199,4,2000-10-02,OIPE,0,,0,
09635199,5,2000-10-18,DOCK,0,,0,
09635199,10,2000-11-15,DOCK,0,,0,
09635199,11,2002-03-09,C.AD,0,,0,
10103826,16,2003-08-25,DOCK,0,,0,
10103826,18,2003-09-24,N/=.,0,,0,
10103826,19,2003-09-25,MN/=.,0,,0,
09919341,1,2001-07-30,IEXX,0,,0,
09919341,2,2001-08-07,SCAN,0,,0,
09919341,3,2001-09-07,C.AD,0,,0,
09919341,4,2001-09-10,INCD,0,,0,
09919341,9,2001-11-08,RQPR,0,,0,
09919341,10,2001-11-08,M844,0,,0,
09919341,7,2001-12-13,COMP,3,APPL,4,
09919341,8,2001-12-14,OIPE,0,,0,
09919341,11,2002-04-02,DOCK,0,,0,
09919341,12,2002-04-18,DOCK,0,,0,
09919341,13,2002-08-29,CTRS,0,,0,
09919341,14,2002-08-30,MCTRS,0,,0,
09919341,15,2002-10-03,ELC.,0,,0,
09919341,16,2002-10-10,FWDX,0,,0,
09919341,17,2002-10-21,CTNF,0,,0,
09919341,18,2002-10-24,MCTNF,0,,0,
09919341,19,2003-01-24,A...,0,,0,
