application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
10137832,27,2003-05-22,F312,0,,0,
10137832,28,2003-05-22,A.NA,120,APPL,30,
10137832,34,2003-07-07,N084,0,,0,
10137832,23,2003-07-07,IFEE,0,,0,
10137832,24,2003-07-11,R1021,0,,0,
10137832,26,2003-07-18,R1021,0,,0,
10137832,29,2003-08-26,N271,0,,0,
10137832,30,2003-09-29,MN271,0,,0,
10137832,31,2003-09-30,R1021,0,,0,
10137832,35,2003-10-09,PILS,0,,0,
10137832,36,2003-10-13,R1021,0,,0,
10137832,37,2003-11-18,PTAC,11,PTO,34,
09959211,34,2002-01-17,DRWF,0,,0,
09959211,33,2002-01-17,DRWM,0,,0,
09959211,40,2002-01-17,DRWF,0,,0,
09959211,39,2002-01-17,DRWM,0,,0,
09959211,36,2003-04-08,X/OD,0,,0,
09959211,17,2003-04-09,D1220,0,,0,
09959211,18,2003-04-16,R1021,0,,0,
09959211,19,2003-04-16,SENT,0,,0,
09959211,20,2003-04-16,SENT,0,,0,
09959211,26,2003-04-18,FIDS,0,,0,
09959211,21,2003-04-18,BIDS,0,,0,
09959211,27,2003-04-18,M844,0,,0,
09959211,35,2003-07-07,N084,0,,0,
09959211,41,2003-07-07,N084,0,,0,
09959211,22,2003-07-07,IFEE,0,,0,
09959211,28,2003-07-19,M844,0,,0,
09959211,23,2003-07-22,R1021,0,,0,
09959211,25,2003-08-26,R1021,0,,0,
09959211,31,2003-09-08,M844,0,,0,
09959211,29,2003-09-17,M327,0,,0,
09959211,30,2003-09-22,MM327,0,,0,
09959211,32,2003-09-25,R1021,0,,0,
09959211,37,2003-10-02,PILS,0,,0,
09959211,38,2003-10-03,R1021,0,,0,
09959211,42,2003-10-09,R1021,0,,0,
09959211,43,2003-11-18,PTAC,11,PTO,35,
10117294,17,2003-04-23,D1220,0,,0,
10117294,18,2003-04-24,R1021,0,,0,
10117294,19,2003-04-29,SENT,0,,0,
10117294,20,2003-07-10,R1021,0,,0,
10117294,24,2003-07-23,A.NA,20,APPL,0,
10117294,21,2003-07-23,IFEE,0,,0,
