application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
10689031,7,2004-01-22,ROIPE,0,,0,
10689031,10,2004-01-22,COMP,0,,0,
10689031,8,2004-01-22,WROIPE,0,,0,
10154082,1,2002-05-22,IEXX,0,,0,
10154082,7,2002-05-22,M844,0,,0,
10154082,2,2002-06-07,SCAN,0,,0,
10154082,4,2002-07-03,COMP,0,,0,
10154082,5,2002-07-10,OIPE,0,,0,
10154082,6,2002-09-12,DOCK,0,,0,
10154082,8,2002-09-30,M844,0,,0,
10154082,9,2003-01-28,DOCK,0,,0,
10154082,11,2003-01-28,DOCK,0,,0,
10154082,10,2003-01-28,DOCK,0,,0,
10154082,12,2003-02-25,M844,0,,0,
10154082,13,2003-02-27,A.PE,0,,0,
10154082,14,2003-05-06,RU47,0,,0,
10100031,9,2003-11-03,CTNF,0,,0,
10100031,10,2003-11-05,MCTNF,170,PTO,-1,
10100031,12,2004-01-28,A...,0,,0,
10100031,11,2004-01-28,LET.,0,,0,
10100031,13,2004-02-11,FWDX,0,,0,
10100031,14,2004-02-11,TSSA,0,,0,
10100031,16,2004-03-22,N/=.,0,,0,
10100031,18,2004-03-25,MN/=.,0,,0,
09957548,1,2001-09-20,IEXX,0,,0,
09957548,7,2001-09-20,M844,0,,0,
09957548,2,2001-09-28,SCAN,0,,0,
09957548,3,2001-10-18,C.AD,0,,0,
09957548,4,2001-10-19,C.AD,0,,0,
09957548,5,2001-10-24,OIPE,0,,0,
09957548,6,2002-03-05,DOCK,0,,0,
09957548,8,2003-04-28,CTNF,0,,0,
09957548,9,2003-04-30,MCTNF,161,PTO,-1,
09957548,10,2003-07-31,A...,1,APPL,9,
09957548,11,2003-08-12,FWDX,0,,0,
10358565,1,2003-02-04,IEXX,0,,0,
10358565,2,2003-02-28,SCAN,0,,0,
10358565,3,2003-04-06,SCAN,0,,0,
10358565,4,2003-04-14,L128,0,,0,
10358565,5,2003-04-22,INCD,0,,0,
10358565,6,2003-05-12,OATHDECL,0,,0,
10358565,7,2003-05-12,ADDFLFEE,0,,0,
10358565,11,2003-05-12,A.PE,0,,0,
10358565,12,2003-05-12,M844,0,,0,
10358565,8,2003-05-23,COMP,0,,0,
10358565,9,2003-05-27,OIPE,0,,0,
10358565,10,2003-07-31,DOCK,0,,0,
10358565,13,2003-08-29,DOCK,0,,0,
10358565,14,2003-09-08,CTRS,0,,0,
10358565,15,2003-09-09,MCTRS,0,,0,
10358565,16,2003-10-14,ELC.,0,,0,
10358565,17,2003-10-21,FWDX,0,,0,
10358565,18,2003-12-29,CTRS,0,,0,
10358565,19,2003-12-30,MCTRS,0,,0,
10358565,20,2004-02-02,ELC.,0,,0,
10358565,21,2004-02-26,FWDX,0,,0,
10358565,24,2004-03-19,N/=.,0,,0,
10358565,23,2004-03-19,DOCK,0,,0,
10358565,26,2004-03-25,MN/=.,0,,0,
09796378,1,2001-02-28,IEXX,0,,0,
09796378,6,2001-02-28,LET.,0,,0,
10193683,24,2004-02-03,N/=.,0,,0,
10193683,23,2004-02-03,DOCK,0,,0,
10193683,27,2004-02-18,N574,0,,0,
10193683,29,2004-03-26,MN/=.,20,PTO,18,
10193683,28,2004-03-26,MN574,0,,0,
10370962,1,2003-02-19,IEXX,0,,0,
10370962,2,2003-03-06,SCAN,0,,0,
10370962,3,2003-03-26,COMP,0,,0,
10370962,4,2003-03-27,OIPE,0,,0,
10370962,5,2003-04-04,DOCK,0,,0,
10370962,6,2003-04-22,M844,0,,0,
10370962,7,2003-07-14,TSSCOMP,0,,0,
10370962,8,2003-07-23,CTNF,0,,0,
10370962,9,2003-07-24,MCTNF,0,,0,
10370962,10,2003-10-27,A...,3,APPL,9,
10370962,11,2003-11-06,FWDX,0,,0,
10370962,12,2003-12-15,CTFR,0,,0,
10370962,13,2003-12-23,MCTFR,0,,0,
10370962,14,2004-02-20,A.NE,0,,0,
10370962,16,2004-02-20,TDP,0,,0,
10370962,17,2004-02-20,DIST,0,APPL,14,
10370962,15,2004-03-01,FWDX,0,,0,
10370962,18,2004-03-05,N575,0,,0,
10370962,19,2004-03-18,PA..,0,,0,
10370962,20,2004-03-18,C.AD,0,,0,
10370962,21,2004-03-18,N574,0,,0,
10370962,23,2004-03-23,CPTO,0,,0,
10370962,24,2004-03-23,N/=.,0,,0,
10370962,25,2004-03-23,N/DR,0,,0,
10370962,27,2004-03-25,MN574,0,,0,
10370962,28,2004-03-25,MN575,0,,0,
10370962,29,2004-03-25,MN/DR,0,,0,
10370962,30,2004-03-25,MN/=.,0,,0,
10332029,7,2003-09-02,OATHDECL,0,,0,
10332029,9,2003-09-02,ADDFLFEE,0,,0,
10332029,11,2003-09-02,OATHDECL,0,,0,
10332029,17,2003-09-02,371COMP,0,,0,
10332029,4,2003-09-02,PREAMND,0,,0,
10332029,10,2003-09-16,M916,0,,0,
10332029,21,2003-10-14,RCAP,0,,0,
10332029,13,2003-10-14,INFODSCL,0,,0,
10332029,14,2003-11-06,ADDFLFEE,0,,0,
10332029,15,2003-11-17,M903,0,,0,
10332029,16,2003-11-17,OIPE,0,,0,
10610700,1,2003-07-02,IEXX,0,,0,
10610700,11,2003-07-20,A.PE,0,,0,
10610700,12,2003-07-20,M844,0,,0,
10610700,2,2003-08-23,SCAN,0,,0,
10610700,3,2003-09-09,L194,0,,0,
10610700,6,2003-09-24,OIPE,0,,0,
10610700,7,2003-09-24,ROIPE,0,,0,
10610700,5,2003-09-25,COMP,0,,0,
10610700,8,2003-09-25,W/OA,0,,0,
10610700,10,2003-10-24,WROIPE,0,,0,
10610700,9,2003-10-27,COMP,0,,0,
10610700,13,2003-12-13,CPTO,0,,0,
10610700,14,2003-12-13,DOCK,0,,0,
10610700,17,2004-03-23,N/=.,0,,0,
10610700,16,2004-03-23,DOCK,0,,0,
10610700,19,2004-03-25,MN/=.,0,,0,
10060224,1,2002-02-01,IEXX,0,,0,
10060224,2,2002-02-13,SCAN,0,,0,
10060224,3,2002-03-08,SCAN,0,,0,
10060224,5,2002-03-20,INCD,0,,0,
10060224,6,2002-04-09,OATHDECL,0,,0,
10060224,7,2002-04-09,ADDFLFEE,0,,0,
10060224,8,2002-05-03,COMP,0,,0,
10060224,9,2002-05-06,OIPE,0,,0,
10060224,10,2002-05-10,DOCK,0,,0,
10060224,11,2002-06-05,M844,0,,0,
10060224,12,2003-06-17,M844,0,,0,
10060224,13,2003-11-03,LET.,0,,0,
10060224,14,2003-12-29,CTRS,0,,0,
10060224,15,2003-12-30,MCTRS,273,PTO,-1,
10060224,16,2004-01-27,ELC.,0,,0,
10060224,17,2004-02-06,FWDX,0,,0,
10060224,18,2004-02-06,TSSA,0,,0,
10029395,1,2001-12-28,IEXX,0,,0,
10029395,2,2002-01-14,SCAN,0,,0,
10029395,5,2002-01-29,INCD,0,,0,
10029395,6,2002-03-28,OATHDECL,0,,0,
10029395,7,2002-03-28,FLFEE,0,,0,
10029395,11,2002-03-28,M844,0,,0,
10029395,10,2002-03-28,M844,0,,0,
10029395,8,2002-04-23,COMP,0,,0,
10029395,9,2002-04-24,OIPE,0,,0,
10029395,12,2002-06-05,DOCK,0,,0,
10029395,13,2003-02-19,CTRS,0,,0,
10029395,14,2003-02-20,MCTRS,0,,0,
10029395,15,2003-03-21,ELC.,0,,0,
10029395,16,2003-03-27,FWDX,0,,0,
10029395,17,2003-05-27,CTNF,0,,0,
10029395,18,2003-06-25,MCTNF,0,,0,
10029395,19,2003-09-10,A...,0,,0,
10029395,20,2003-10-17,FWDX,0,,0,
10029395,21,2003-12-29,CTFR,0,,0,
10029395,22,2004-01-12,MCTFR,2,PTO,19,
10029395,23,2004-03-04,A.NE,0,,0,
10029395,24,2004-03-17,FWDX,0,,0,
10029395,26,2004-03-20,N/=.,0,,0,
10029395,28,2004-03-25,MN/=.,0,,0,
10254975,7,2002-09-26,RQPR,0,,0,
10254975,1,2002-09-26,IEXX,0,,0,
10254975,2,2002-10-03,SCAN,0,,0,
10250100,9,2003-12-01,CTNF,0,,0,
10250100,10,2003-12-03,MCTNF,0,,0,
10250100,11,2004-03-02,A...,0,,0,
10250100,12,2004-03-15,FWDX,0,,0,
10250100,13,2004-03-15,TSSA,0,,0,
10250100,15,2004-03-23,N/=.,0,,0,
10250100,17,2004-03-25,MN/=.,0,,0,
09997972,1,2001-11-29,IEXX,0,,0,
09997972,2,2001-12-06,SCAN,0,,0,
09997972,3,2001-12-17,C.AD,0,,0,
09997972,4,2001-12-18,OIPE,0,,0,
09997972,5,2002-01-16,DOCK,0,,0,
09997972,6,2003-05-15,CTRS,0,,0,
09997972,7,2003-05-15,MCTRS,106,PTO,-1,
09997972,8,2003-06-10,ELC.,0,,0,
09997972,9,2003-06-12,FWDX,0,,0,
09997972,10,2003-06-16,CTNF,0,,0,
09997972,11,2003-06-20,MCTNF,0,,0,
09997972,12,2003-09-22,A...,2,APPL,11,
09997972,13,2003-10-02,FWDX,0,,0,
09997972,14,2003-10-02,TSSCOMP,0,,0,
09997972,15,2003-12-10,CTFR,0,,0,
09997972,16,2003-12-12,MCTFR,0,,0,
09997972,17,2004-02-09,A.NE,0,,0,
09997972,18,2004-02-11,FWDX,0,,0,
09997972,19,2004-02-18,CTAV,0,,0,
09997972,20,2004-02-20,MCTAV,0,,0,
09997972,21,2004-02-26,BRCE,0,,0,
09997972,23,2004-02-26,RCEX,0,,0,
09997972,22,2004-03-03,ABN9,0,,0,
09997972,24,2004-03-03,FWDX,0,,0,
09997972,26,2004-03-19,DOCK,0,,0,
09997972,27,2004-03-19,N/=.,0,,0,
09997972,28,2004-03-25,MN/=.,0,,0,
09051975,50,2002-05-21,APAS,0,PTO,0,Y
09051975,51,2003-01-28,APPR,0,PTO,0,Y
09051975,52,2003-02-24,M327,0,PTO,0,Y
09051975,53,2003-02-25,MM327,0,PTO,0,Y
09051975,55,2003-03-06,FWDX,0,PTO,0,Y
09051975,58,2003-03-10,APRT,0,PTO,0,Y
09051975,59,2003-04-08,APPR,0,PTO,0,Y
09051975,60,2003-08-14,DOCK,0,PTO,0,Y
09051975,61,2003-08-20,APEA,0,PTO,0,Y
09051975,62,2003-08-28,MAPEA,0,PTO,0,Y
09051975,63,2003-10-08,APRT,0,PTO,0,Y
09051975,65,2003-10-08,MAPDA,0,PTO,0,Y
09051975,64,2003-10-08,APDA,0,PTO,0,Y
09051975,66,2003-12-05,BD.A,0,PTO,0,Y
09051975,68,2004-03-24,N/=.,0,PTO,0,Y
09051975,69,2004-03-25,MN/=.,0,PTO,0,Y
10352530,1,2003-01-28,IEXX,0,,0,
10352530,2,2003-02-06,SCAN,0,,0,
10352530,3,2003-03-11,INCD,0,,0,
10352530,4,2003-05-12,OATHDECL,0,,0,
10352530,5,2003-05-12,ADDFLFEE,0,,0,
10352530,6,2003-06-06,COMP,0,,0,
10352530,7,2003-06-09,OIPE,0,,0,
10352530,8,2003-06-20,DOCK,0,,0,
10352530,9,2003-08-15,M844,0,,0,
10352530,10,2003-11-10,TSSCOMP,0,,0,
10352530,12,2004-03-22,DOCK,0,,0,
10352530,13,2004-03-22,N/=.,0,,0,
10352530,15,2004-03-26,MN/=.,0,,0,
10410017,6,2003-04-09,M844,0,,0,
10410017,2,2003-04-25,SCAN,0,,0,
10410017,3,2003-06-04,COMP,0,,0,
10410017,4,2003-06-05,OIPE,0,,0,
10410017,5,2003-06-11,DOCK,0,,0,
10410017,7,2003-10-24,CTNF,0,,0,
10410017,8,2003-10-29,MCTNF,0,,0,
10410017,9,2004-01-20,A...,0,,0,
10410017,11,2004-03-18,TSSA,0,,0,
10410017,10,2004-03-18,FWDX,0,,0,
10410017,13,2004-03-22,DOCK,0,,0,
10410017,14,2004-03-22,N/=.,0,,0,
10410017,16,2004-03-25,MN/=.,0,,0,
10190156,10,2004-01-08,A...,0,,0,
10190156,11,2004-01-20,FWDX,0,,0,
10190156,14,2004-03-22,N/=.,0,,0,
10190156,13,2004-03-22,DOCK,0,,0,
10190156,16,2004-03-26,MN/=.,0,,0,
10443341,9,2003-05-22,M844,0,,0,
10443341,10,2003-05-22,RCAP,0,,0,
10443341,1,2003-05-22,IEXX,0,,0,
10443341,2,2003-06-05,SCAN,0,,0,
10443341,3,2003-06-06,SCAN,0,,0,
10443341,4,2003-07-28,INCD,0,,0,
10443341,5,2003-10-22,OATHDECL,0,,0,
10443341,6,2003-10-22,ADDFLFEE,0,,0,
10443341,7,2003-11-18,COMP,21,APPL,4,
10443341,8,2003-11-18,OIPE,0,,0,
10443341,11,2003-12-05,DOCK,0,,0,
10443341,12,2003-12-11,CTNF,0,,0,
10443341,13,2003-12-16,MCTNF,0,,0,
10443341,14,2004-02-26,A...,0,,0,
10443341,15,2004-03-05,FWDX,0,,0,
10443341,16,2004-03-05,TSSA,0,,0,
10443341,18,2004-03-22,DOCK,0,,0,
10443341,19,2004-03-22,N/=.,0,,0,
10151988,3,2002-06-03,SCAN,0,,0,
10151988,4,2002-06-07,L196,0,,0,
10151988,7,2002-06-26,INCD,0,,0,
10151988,9,2002-08-23,OATHDECL,0,,0,
10151988,10,2002-08-23,ADDFLFEE,0,,0,
10151988,14,2002-08-23,RQPR,0,,0,
10151988,8,2002-08-25,L130,0,,0,
10151988,11,2002-09-12,COMP,0,,0,
10151988,12,2002-09-13,OIPE,0,,0,
10151988,13,2002-09-23,DOCK,0,,0,
10151988,16,2002-10-03,DOCK,0,,0,
10151988,17,2003-07-18,CTRS,0,,0,
10151988,18,2003-07-18,MCTRS,0,,0,
10151988,19,2003-08-01,ELC.,0,,0,
10151988,20,2003-08-19,FWDX,0,,0,
10151988,21,2003-10-01,CTNF,0,,0,
10151988,22,2003-10-08,MCTNF,0,,0,
10151988,23,2003-12-29,A...,0,,0,
10151988,25,2004-02-03,TSSA,0,,0,
10151988,24,2004-02-03,FWDX,0,,0,
10151988,26,2004-03-17,C.ADB,0,,0,
10151988,29,2004-03-23,N/=.,0,,0,
10151988,28,2004-03-23,DOCK,0,,0,
10151988,31,2004-03-26,MN/=.,0,,0,
10053098,1,2002-01-15,IEXX,0,,0,
10053098,8,2002-01-15,M844,0,,0,
10053098,2,2002-02-01,SCAN,0,,0,
10053098,3,2002-03-08,SCAN,0,,0,
10053098,6,2002-03-20,COMP,0,,0,
10053098,7,2002-03-26,OIPE,0,,0,
10053098,9,2002-08-27,DOCK,0,,0,
10053098,10,2003-04-02,CTRS,0,,0,
10053098,11,2003-04-03,MCTRS,19,PTO,-1,
10053098,13.1,2003-09-02,A.I.,0,,0,
10053098,13,2003-09-02,ELC.,0,,0,
10053098,12,2003-09-02,XT/G,0,,0,
10053098,14,2003-09-27,FWDX,0,,0,
10053098,15,2003-10-14,NINA,0,,0,
10053098,16,2003-11-17,A.PE,0,,0,
10053098,17,2003-11-25,TSSA,0,,0,
10053098,20,2004-03-25,N/DR,0,,0,
10053098,19,2004-03-25,N/=.,0,,0,
09635782,25,2003-03-05,MCTAV,0,,0,
09635782,27,2003-03-31,N/AP,0,,0,
09635782,28,2003-05-12,EXIN,0,,0,
09635782,29,2003-05-13,AP/A,0,,0,
09635782,30,2003-06-10,FWDX,0,,0,
09635782,31,2003-06-11,CTAV,0,,0,
09635782,32,2003-06-11,MCTAV,0,,0,
09635782,38,2003-08-29,RCEX,211,APPL,20,
09635782,35,2003-08-29,BRCE,0,,0,
09635782,36,2003-08-29,XT/G,0,,0,
09635782,34,2003-08-29,FRCE,0,,0,
09635782,33,2003-08-29,BRCE,0,,0,
09635782,37,2003-09-12,ABN9,0,,0,
09635782,39,2003-09-12,FWDX,0,,0,
09635782,41,2003-09-12,FWDX,0,,0,
09635782,42,2003-09-22,CTNF,0,,0,
09635782,43,2003-09-30,MCTNF,0,,0,
09635782,44,2003-12-18,EXIN,0,,0,
09635782,45,2003-12-22,A...,0,,0,
09635782,46,2004-01-16,FWDX,0,,0,
09635782,47,2004-01-16,TSSA,0,,0,
09635782,49,2004-03-23,N/=.,0,,0,
