application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
10231294,32,2004-04-14,CPTO,0,,0,
10231294,28,2004-04-19,FWDX,0,,0,
10231294,29,2004-04-19,TSSCOMP,0,,0,
10231294,31,2004-04-22,N/=.,0,,0,
10231294,34,2004-04-27,MN/=.,0,,0,
10010708,7,2003-07-09,CTNF,0,,0,
10010708,8,2003-07-11,MCTNF,183,PTO,-1,
10010708,10.1,2003-11-07,A.I.,0,,0,
10010708,9,2003-11-07,XT/G,0,,0,
10010708,10,2003-11-07,A...,0,,0,
10010708,12,2003-11-21,TSSA,0,,0,
10010708,11,2003-11-21,FWDX,0,,0,
10010708,17,2004-01-12,A...,0,,0,
10010708,16,2004-03-05,NINA,146,APPL,8,
10010708,18,2004-03-10,FWDX,0,,0,
10010708,20,2004-04-19,DOCK,0,,0,
10010708,21,2004-04-19,N/=.,0,,0,
10010708,23,2004-04-22,MN/=.,0,,0,
10629827,11,2003-07-30,RQPR,0,,0,
10629827,1,2003-07-30,IEXX,0,,0,
10629827,2,2003-09-02,SCAN,0,,0,
10629827,3,2003-10-15,L194,0,,0,
09757655,39,2003-01-13,MCTNF,0,,0,
09757655,40,2003-07-14,XT/G,0,,0,
09757655,41,2003-07-14,A...,92,APPL,39,
09757655,43,2003-07-14,C614,0,,0,
09757655,42,2003-07-18,FWDX,0,,0,
09757655,44,2003-09-23,CTNF,0,,0,
09757655,45,2003-09-24,MCTNF,0,,0,
09757655,46,2003-10-27,A...,0,,0,
09757655,47,2003-10-31,FWDX,0,,0,
09757655,48,2003-12-15,CTFR,0,,0,
09757655,49,2003-12-16,MCTFR,0,,0,
09757655,50,2004-03-16,A.NE,0,,0,
09757655,51,2004-03-26,FWDX,0,,0,
09757655,53,2004-04-21,DOCK,0,,0,
09757655,54,2004-04-21,N/=.,0,,0,
09757655,55,2004-04-21,N/DR,0,,0,
09757655,56,2004-04-22,MN/DR,0,,0,
09757655,57,2004-04-22,MN/=.,0,,0,
09887124,1,2001-06-25,IEXX,0,,0,
09887124,6,2001-06-25,RQPR,0,,0,
09887124,2,2001-07-02,SCAN,0,,0,
09887124,3,2001-08-15,C.AD,0,,0,
09887124,4,2001-08-16,OIPE,0,,0,
09887124,5,2001-08-24,DOCK,0,,0,
