application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
10221886,21,2004-03-25,R1021,0,,0,
10221886,22,2004-04-26,R1021,0,,0,
10221886,27,2004-06-22,N084,0,,0,
10221886,23,2004-06-22,R1021,0,,0,
10221886,24,2004-06-22,IFEE,0,,0,
10221886,28,2004-06-29,PILS,0,,0,
10221886,29,2004-06-29,D1935,0,,0,
10221886,30,2004-07-01,R1021,0,,0,
10221886,31,2004-08-03,PTAC,0,,0,
09845387,44,2001-04-30,DRWM,0,,0,
09845387,45,2001-04-30,DRWF,0,,0,
09845387,39,2004-06-02,D1220,0,,0,
09845387,40,2004-06-03,R1021,0,,0,
09845387,41,2004-06-03,SENT,0,,0,
09845387,46,2004-06-22,N084,0,,0,
09845387,42,2004-06-22,IFEE,0,,0,
09845387,43,2004-07-01,R1021,0,,0,
09845387,47,2004-07-06,PILS,0,,0,
09845387,48,2004-07-06,D1935,0,,0,
09845387,49,2004-07-07,R1021,0,,0,
09845387,50,2004-08-03,PTAC,0,,0,
10390236,22,2003-03-14,DRWM,0,,0,
10390236,23,2003-03-14,DRWF,0,,0,
10390236,15,2004-04-14,D1220,0,,0,
10390236,16,2004-04-16,R1021,0,,0,
10390236,17,2004-04-16,SENT,0,,0,
10390236,18,2004-04-19,R1021,0,,0,
10390236,19,2004-06-21,R1021,0,,0,
10390236,20,2004-06-22,R1021,0,,0,
10390236,21,2004-06-23,IFEE,0,,0,
10390236,24,2004-06-23,N084,0,,0,
10390236,25,2004-07-06,PILS,0,,0,
10390236,26,2004-07-06,D1935,0,,0,
10390236,27,2004-07-08,R1021,0,,0,
10390236,28,2004-08-03,PTAC,0,,0,
10087374,40,2004-03-31,D1220,0,,0,
10087374,41,2004-04-01,R1021,0,,0,
10087374,42,2004-04-01,SENT,0,,0,
10087374,43,2004-04-02,R1021,0,,0,
10087374,44,2004-04-22,R1021,0,,0,
10087374,45,2004-06-22,R1021,0,,0,
10087374,46,2004-06-24,IFEE,0,,0,
10087374,47,2004-06-24,DRWM,0,,0,
10087374,48,2004-06-24,DRWF,41,APPL,48,
10087374,49,2004-06-24,N084,0,,0,
10087374,50,2004-07-07,PILS,0,,0,
