application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
10175294,15,2004-06-22,WAMD,0,,0,
10175294,17,2004-07-13,FWDX,0,,0,
10175294,19,2004-08-10,N/=.,0,,0,
10175294,21,2004-08-12,MN/=.,0,,0,
10296029,1,2002-11-19,IEXX,0,,0,
10296029,7,2002-11-19,A.PE,0,,0,
10296029,8,2002-11-19,M844,0,,0,
10296029,2,2003-04-03,M903,0,,0,
10296029,3,2003-04-15,SCAN,0,,0,
10296029,4,2003-04-22,OIPE,0,,0,
10296029,11,2003-04-25,LET.,0,,0,
10296029,5,2003-05-13,TI1050,0,,0,
10296029,6,2003-05-30,DOCK,0,,0,
10296029,9,2003-11-24,RCAP,0,,0,
10296029,10,2003-11-24,TSSCOMP,0,,0,
10296029,12,2003-11-26,TSSA,0,,0,
10296029,13,2004-03-18,CTNF,0,,0,
10380322,9,2004-06-17,ROIPE,0,,0,
10380322,13,2004-06-17,WROIPE,0,,0,
10380322,15,2004-08-11,EX.A,0,,0,
10380322,17,2004-08-11,N/=.,0,,0,
10380322,16,2004-08-11,DOCK,0,,0,
10380322,19,2004-08-13,MEX.A,0,,0,
10380322,20,2004-08-13,MN/=.,92,PTO,-1,
10682165,13,2004-01-05,WROIPE,0,,0,
10682165,11,2004-01-05,WROIPE,0,,0,
10682165,9,2004-01-05,W/OA,0,,0,
10682165,14,2004-02-18,DOCK,0,,0,
10682165,15,2004-02-23,TSSCOMP,0,,0,
10682165,18,2004-04-02,RCAP,0,,0,
10682165,17,2004-04-02,M844,0,,0,
10682165,16,2004-04-20,C.ADB,0,,0,
10682165,19,2004-07-12,DOCK,0,,0,
10682165,20,2004-07-15,DOCK,0,,0,
10682165,23,2004-08-11,N/=.,0,,0,
10682165,22,2004-08-11,DOCK,0,,0,
10682165,25,2004-08-12,MN/=.,0,,0,
10292582,1,2002-11-13,IEXX,0,,0,
