application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
09435868,9,2002-10-28,XT/G,0,PTO,0,Y
09435868,10,2002-10-28,A...,0,PTO,0,Y
09435868,11,2002-10-30,FWDX,0,PTO,0,Y
09435868,13,2002-11-26,N/=.,0,PTO,0,Y
09435868,15,2002-11-26,MN/DR,0,PTO,0,Y
09435868,16,2002-11-26,MN/=.,0,PTO,0,Y
09435868,14,2002-11-26,N/DR,0,PTO,0,Y
09435868,17,2002-11-27,D1220,0,PTO,0,Y
09435868,18,2002-12-02,R1021,0,PTO,0,Y
09435868,19,2002-12-02,SENT,0,PTO,0,Y
09435868,21,2003-09-12,R1021,0,PTO,0,Y
09435868,22,2003-09-22,R1021,0,PTO,0,Y
09435868,23,2004-04-07,R1021,0,PTO,0,Y
09435868,24,2004-04-13,C.ADB,0,PTO,0,Y
09435868,27,2004-04-23,LET.,0,PTO,0,Y
10336796,10,2003-01-06,M844,0,,0,
10336796,11,2003-01-06,A.PE,0,,0,
10336796,25,2003-01-06,RCAP,0,,0,
10336796,1,2003-01-06,IEXX,0,,0,
10336796,2,2003-01-15,SCAN,0,,0,
10336796,3,2003-01-27,SCAN,0,,0,
10336796,12,2003-01-27,A.PE,0,,0,
10336796,4,2003-04-02,L128,0,,0,
10336796,6,2003-04-04,COMP,0,,0,
09763916,20,2002-12-12,MCTRS,0,PTO,0,Y
09763916,21,2003-01-10,ELC.,0,PTO,0,Y
09763916,21.1,2003-01-10,A.I.,0,PTO,0,Y
09763916,22,2003-01-21,FWDX,0,PTO,0,Y
09763916,23,2003-01-22,NINA,0,PTO,0,Y
09763916,24,2003-01-28,ELC.,0,PTO,0,Y
09763916,25,2003-02-19,FWDX,0,PTO,0,Y
09763916,26,2003-04-15,CTNF,0,PTO,0,Y
09763916,27,2003-04-24,MCTNF,0,PTO,0,Y
09763916,28,2003-07-24,A...,0,PTO,0,Y
09763916,30,2003-07-24,M844,0,PTO,0,Y
09763916,29,2003-07-31,FWDX,0,PTO,0,Y
09763916,31,2003-10-20,CTNF,0,PTO,0,Y
09763916,32,2003-11-04,MCTNF,0,PTO,0,Y
09763916,34,2004-02-26,A...,0,PTO,0,Y
09763916,33,2004-02-26,XT/G,0,PTO,0,Y
09763916,35,2004-03-22,FWDX,0,PTO,0,Y
09763916,36,2004-03-25,TSSCOMP,0,PTO,0,Y
09763916,37,2004-05-27,CTFR,0,PTO,0,Y
09763916,38,2004-06-03,MCTFR,0,PTO,0,Y
09763916,40,2004-10-04,XT/G,0,PTO,0,Y
09763916,41,2004-10-04,A.NE,0,PTO,0,Y
09763916,42,2004-10-28,FWDX,0,PTO,0,Y
09763916,39,2004-10-28,C.AD,0,PTO,0,Y
09763916,44,2004-11-01,N/=.,0,PTO,0,Y
09763916,45,2004-11-01,N/OD,0,PTO,0,Y
09763916,47,2004-11-03,MN/OD,0,PTO,0,Y
09763916,48,2004-11-03,MN/=.,0,PTO,0,Y
10702457,24,2004-11-03,MN/=.,0,,0,
09878145,1,2001-06-08,IEXX,0,,0,
09878145,2,2001-06-16,SCAN,0,,0,
09878145,3,2001-08-14,C.AD,0,,0,
09878145,4,2001-08-14,INCD,0,,0,
09878145,5,2001-11-05,COMP,0,,0,
09878145,6,2001-11-07,OIPE,0,,0,
09878145,7,2001-11-20,DOCK,0,,0,
09878145,8,2004-03-10,DOCK,0,,0,
09878145,9,2004-04-30,CTNF,0,,0,
09878145,10,2004-05-12,MCTNF,643,PTO,-1,
09878145,11,2004-08-12,WAMD,0,,0,
09878145,12,2004-08-12,A...,0,,0,
09878145,13,2004-08-27,FWDX,0,,0,
09878145,15,2004-11-01,N/=.,0,,0,
09878145,17,2004-11-01,TSSCOMP,0,,0,
09878145,18,2004-11-03,MN/=.,0,,0,
10791436,1,2004-03-02,IEXX,0,,0,
10791436,2,2004-03-23,SCAN,0,,0,
10791436,4,2004-04-01,L194,0,,0,
10791436,5,2004-05-20,COMP,0,,0,
10791436,6,2004-05-20,OIPE,0,,0,
10791436,7,2004-05-20,ROIPE,0,,0,
10791436,8,2004-05-20,WROIPE,0,,0,
10791436,9,2004-06-18,TSSCOMP,0,,0,
10791436,10,2004-06-18,DOCK,0,,0,
10791436,11,2004-06-22,CTNF,0,,0,
10791436,12,2004-06-24,MCTNF,0,,0,
10791436,13,2004-06-24,M844,0,,0,
10791436,14,2004-06-24,RCAP,0,,0,
10791436,15,2004-08-06,EXIN,0,,0,
10791436,16,2004-08-12,WAMD,0,,0,
10791436,17,2004-08-12,A...,0,,0,
10791436,18,2004-08-31,FWDX,0,,0,
10791436,20,2004-11-01,EX.A,0,,0,
10791436,21,2004-11-01,N/=.,0,,0,
10791436,23,2004-11-04,MEX.A,0,,0,
10791436,24,2004-11-04,MN/=.,0,,0,
09630109,35,2003-08-22,NRES,0,,0,
09630109,36,2003-08-25,MNRES,0,,0,
09630109,40,2004-02-16,XT/G,0,,0,
09630109,41,2004-02-16,A...,122,APPL,34,
09630109,43,2004-03-12,TSSA,0,,0,
09630109,42,2004-03-12,FWDX,0,,0,
09630109,44,2004-06-07,CTNF,0,,0,
09630109,45,2004-06-15,MCTNF,0,,0,
09630109,46,2004-07-16,DOCK,0,,0,
09630109,47,2004-09-28,DOCK,0,,0,
09630109,48,2004-10-15,XT/G,0,,0,
09630109,49,2004-10-15,A...,30,APPL,45,
09630109,50,2004-10-20,FWDX,0,,0,
09630109,52,2004-11-01,N/=.,0,,0,
09630109,54,2004-11-04,MN/=.,0,,0,
10260236,1,2002-09-27,IEXX,0,,0,
10260236,2,2002-10-05,SCAN,0,,0,
10260236,3,2002-11-06,L128,0,,0,
10260236,4,2002-11-14,INCD,0,,0,
10260236,11,2002-12-30,A.PE,0,,0,
10260236,5,2003-01-21,OATHDECL,0,,0,
10260236,7,2003-01-21,FLFEE,0,,0,
10260236,8,2003-02-07,COMP,0,,0,
10260236,9,2003-02-10,OIPE,0,,0,
10260236,10,2004-03-04,DOCK,0,,0,
10260236,12,2004-04-29,CTNF,0,,0,
10260236,13,2004-05-03,MCTNF,158,PTO,-1,
10260236,15,2004-09-13,XT/G,0,,0,
10260236,14,2004-09-13,WAMD,0,,0,
10260236,16,2004-09-13,A...,41,APPL,13,
10260236,17,2004-09-29,FWDX,0,,0,
10260236,18,2004-10-06,TSSCOMP,0,,0,
10260236,22,2004-10-08,M844,25,APPL,16,
10260236,20,2004-11-01,N/=.,0,,0,
10260236,23,2004-11-03,MN/=.,0,,0,
10376543,1,2003-02-28,IEXX,0,,0,
10376543,2,2003-03-15,SCAN,0,,0,
10376543,3,2003-04-19,SCAN,0,,0,
10376543,4,2003-04-23,L128,0,,0,
10376543,7,2003-05-30,CORRDRW,0,,0,
10376543,8,2003-05-30,ADDFLFEE,0,,0,
10376543,10,2003-08-14,OIPE,0,,0,
10376543,9,2003-08-15,COMP,0,,0,
10376543,11,2003-11-10,DOCK,0,,0,
10376543,12,2003-11-10,TSSCOMP,0,,0,
10376543,13,2003-12-29,CTNF,0,,0,
10376543,14,2003-12-30,MCTNF,0,,0,
10376543,15,2004-03-25,WAMD,0,,0,
10376543,16,2004-03-25,A...,0,,0,
10376543,17,2004-04-01,FWDX,0,,0,
10376543,19,2004-04-21,RCAP,0,,0,
10376543,18,2004-04-21,M844,27,APPL,16,
