application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
09500473,1,2000-02-15,IEXX,0,PTO,0,Y
09500473,2,2000-02-15,G011,0,PTO,0,Y
09500473,3,2000-03-10,SCAN,0,PTO,0,Y
09500473,4,2000-04-18,C.AD,0,PTO,0,Y
09500473,5,2000-04-18,OIPE,0,PTO,0,Y
09500473,6,2000-08-11,DOCK,0,PTO,0,Y
09500473,7,2001-02-01,M844,0,PTO,0,Y
09500473,8,2001-02-07,C.AD,0,PTO,0,Y
09500473,9,2001-05-14,A.PE,0,PTO,0,Y
09500473,10,2001-07-31,M844,0,PTO,0,Y
09500473,11,2002-02-04,TI1050,0,PTO,0,Y
10120361,1,2002-04-12,IEXX,0,,0,
10120361,7,2002-04-12,A.PE,0,,0,
10120361,8,2002-04-12,A.PE,0,,0,
10120361,9,2002-04-12,M844,0,,0,
10120361,2,2002-04-24,SCAN,0,,0,
10120361,4,2002-05-09,COMP,0,,0,
10120361,5,2002-05-10,OIPE,0,,0,
10120361,6,2002-05-17,DOCK,0,,0,
10120361,10,2003-06-25,CTNF,0,,0,
10120361,11,2003-06-26,MCTNF,14,PTO,-1,
10120361,12,2003-09-16,RQPR,0,,0,
10120361,13,2003-09-16,A...,0,,0,
10120361,14,2003-09-29,FWDX,0,,0,
10120361,15,2003-10-28,CTFR,0,,0,
10120361,16,2003-10-29,MCTFR,0,,0,
10120361,17,2004-03-01,XT/G,0,,0,
10120361,18,2004-03-01,A.NE,0,,0,
10120361,19,2004-03-22,FWDX,0,,0,
10120361,20,2004-03-22,TSSCOMP,0,,0,
10120361,21,2004-03-23,CTAV,0,,0,
10120361,22,2004-03-24,MCTAV,0,,0,
10120361,23,2004-03-29,BRCE,0,,0,
10120361,25,2004-03-29,RCEX,60,APPL,16,
10120361,27,2004-03-29,WAMD,0,,0,
10120361,24,2004-04-02,ABN9,0,,0,
10120361,26,2004-04-02,FWDX,0,,0,
10120361,28,2004-05-13,CTNF,0,,0,
10120361,29,2004-05-14,MCTNF,0,,0,
10120361,30,2004-08-05,WAMD,0,,0,
10120361,31,2004-08-05,A...,0,,0,
10120361,32,2004-08-18,FWDX,0,,0,
10120361,33,2004-09-27,CTFR,0,,0,
10120361,34,2004-09-28,MCTFR,0,,0,
10120361,35,2004-12-28,WAMD,0,,0,
10120361,36,2004-12-28,A.NE,0,,0,
10120361,37,2005-01-06,FWDX,0,,0,
10120361,39,2005-01-24,DOCK,0,,0,
10120361,40,2005-01-24,N/=.,0,,0,
10120361,42,2005-01-25,MN/=.,0,,0,
10207668,1,2002-07-25,IEXX,0,,0,
10207668,2,2002-08-18,SCAN,0,,0,
10207668,3,2002-08-27,SCAN,0,,0,
10207668,4,2002-08-29,INCD,0,,0,
10207668,12,2002-10-09,M844,0,,0,
10207668,5,2002-12-17,OATHDECL,0,,0,
10207668,6,2002-12-17,FLFEE,18,APPL,4,
10207668,7,2003-01-06,COMP,0,,0,
10207668,8,2003-01-06,OIPE,0,,0,
10207668,9,2003-02-06,DOCK,0,,0,
10207668,10,2003-03-04,M844,0,,0,
10207668,11,2003-03-04,A.PE,0,,0,
10207668,13,2003-03-04,M844,0,,0,
10207668,15,2003-08-22,PC/I,0,,0,
10207668,14,2003-11-17,TSSCOMP,0,,0,
10207668,16,2004-06-27,CTNF,0,,0,
10207668,17,2004-06-29,MCTNF,278,PTO,-1,
10207668,18,2004-11-12,WAMD,0,,0,
10207668,19,2004-11-12,XT/G,0,,0,
10207668,20,2004-11-12,A...,44,APPL,17,
10207668,22,2004-11-12,M844,0,APPL,20,
10207668,23,2004-11-12,RCAP,0,,0,
10207668,21,2004-11-30,FWDX,0,,0,
10207668,25,2005-01-24,EX.A,0,,0,
10207668,26,2005-01-24,N/=.,0,,0,
10207668,28,2005-01-25,MEX.A,0,,0,
10207668,29,2005-01-25,MN/=.,0,,0,
10130746,1,2002-05-23,IEXX,0,,0,
10130746,5,2002-05-23,M844,0,,0,
10130746,6,2002-05-23,A.PE,0,,0,
10130746,2,2003-03-28,M903,0,,0,
10130746,3,2003-04-09,SCAN,0,,0,
10130746,4,2003-04-15,OIPE,0,,0,
10130746,7,2003-07-22,DOCK,0,,0,
10130746,24,2003-07-28,RCAP,0,,0,
10130746,8,2003-09-22,CTRS,0,,0,
10130746,9,2003-09-23,MCTRS,62,PTO,-1,
10130746,10,2003-10-14,ELC.,0,,0,
10130746,12,2003-10-14,M844,0,APPL,10,
10130746,11,2003-10-22,FWDX,0,,0,
10130746,13,2003-12-01,CTNF,0,,0,
10130746,14,2003-12-08,MCTNF,0,,0,
10130746,15,2004-03-08,A...,0,,0,
10130746,16,2004-03-15,FWDX,0,,0,
10130746,17,2004-03-15,TSSA,0,,0,
10130746,18,2004-05-12,CTNF,0,,0,
10130746,19,2004-05-17,MCTNF,0,,0,
10130746,20,2004-07-22,WAMD,0,,0,
10130746,21,2004-07-22,A...,0,,0,
10138277,8,2003-05-08,DOCK,0,,0,
10138277,9,2003-10-29,TSSCOMP,0,,0,
10138277,10,2004-09-29,CTNF,0,,0,
10138277,11,2004-09-30,MCTNF,455,PTO,-1,
10138277,12,2004-12-30,A...,0,,0,
10138277,13,2005-01-13,FWDX,0,,0,
10138277,14,2005-01-18,EXIN,0,,0,
10138277,16,2005-01-19,EX.A,0,,0,
10138277,18,2005-01-24,DOCK,0,,0,
10138277,19,2005-01-24,N/=.,0,,0,
10138277,21,2005-01-25,MEX.A,0,,0,
10138277,22,2005-01-25,MN/=.,0,,0,
09882823,1,2001-06-15,IEXX,0,,0,
09882823,2,2001-06-27,SCAN,0,,0,
09882823,3,2001-08-10,C.AD,0,,0,
09882823,5,2001-08-15,INCD,0,,0,
09882823,6,2001-10-15,COMP,0,,0,
09882823,7,2001-10-18,OIPE,0,,0,
09882823,8,2001-11-13,DOCK,0,,0,
09882823,9,2001-11-14,C614,0,,0,
09882823,10,2002-01-15,M844,0,,0,
09882823,11,2002-02-05,DOCK,0,,0,
09882823,12,2002-02-26,M844,0,,0,
09882823,13,2002-03-07,DOCK,0,,0,
09882823,14,2003-06-18,DOCK,0,,0,
09882823,15,2003-07-31,DOCK,0,,0,
09882823,16,2004-02-09,DOCK,0,,0,
09882823,17,2004-02-23,RCAP,0,,0,
09882823,18,2004-02-23,TSSCOMP,0,,0,
09882823,19,2004-04-29,CTRS,0,,0,
09882823,20,2004-04-29,MCTRS,623,PTO,-1,
09882823,21,2004-05-28,WAMD,0,,0,
09882823,22,2004-05-28,XT/G,0,,0,
09882823,23,2004-05-28,ELC.,0,,0,
09882823,24,2004-06-02,FWDX,0,,0,
09882823,25,2004-07-12,CTNF,0,,0,
09882823,26,2004-07-22,MCTNF,0,,0,
09882823,27,2004-10-26,WAMD,0,,0,
09882823,28,2004-10-26,A...,4,APPL,26,
09882823,29,2004-11-19,FWDX,0,,0,
09882823,30,2005-01-18,DOCK,0,,0,
09882823,32,2005-01-25,N/=.,0,,0,
09882823,34,2005-01-25,MN/=.,0,,0,
10310711,12,2003-04-22,COMP,0,,0,
10310711,13,2003-04-23,OIPE,0,,0,
10310711,16,2003-07-17,M844,0,,0,
10310711,15,2003-08-16,DOCK,0,,0,
10310711,17,2003-11-17,TSSCOMP,0,,0,
10310711,18,2004-02-02,CTNF,0,,0,
10310711,19,2004-02-04,MCTNF,0,,0,
10310711,20,2004-05-07,A...,3,APPL,19,
10310711,22,2004-05-07,M844,0,APPL,20,
10310711,21,2004-07-29,FWDX,0,,0,
10310711,23,2004-09-20,CTFR,0,,0,
10310711,24,2004-09-22,MCTFR,15,PTO,20,
10310711,25,2004-12-23,WAMD,0,,0,
10310711,26,2004-12-23,A.NE,1,APPL,24,
10310711,28,2004-12-23,M844,0,APPL,26,
10310711,27,2005-01-05,FWDX,0,,0,
10310711,30,2005-01-24,DOCK,0,,0,
10310711,31,2005-01-24,N/=.,0,,0,
10310711,33,2005-01-26,MN/=.,0,,0,
09436882,25,2004-04-19,CTFR,0,PTO,0,Y
09436882,26,2004-04-20,MCTFR,0,PTO,0,Y
09436882,27,2004-06-21,BRCE,0,PTO,0,Y
09436882,28,2004-06-21,WAMD,0,PTO,0,Y
09436882,30,2004-06-21,RCEX,0,PTO,0,Y
09436882,33,2004-07-12,FWDX,0,PTO,0,Y
09436882,29,2004-07-12,ABN9,0,PTO,0,Y
09436882,31,2004-07-12,FWDX,0,PTO,0,Y
09436882,34,2004-09-20,CTNF,0,PTO,0,Y
09436882,35,2004-09-22,MCTNF,0,PTO,0,Y
09436882,36,2004-12-22,A...,0,PTO,0,Y
09436882,37,2005-01-03,FWDX,0,PTO,0,Y
09436882,39,2005-01-24,DOCK,0,PTO,0,Y
09436882,40,2005-01-24,N/=.,0,PTO,0,Y
09436882,42,2005-01-26,MN/=.,0,PTO,0,Y
10650133,1,2003-08-26,IEXX,0,,0,
10650133,2,2003-10-07,SCAN,0,,0,
10650133,3,2003-11-07,L194,0,,0,
10650133,16,2003-11-10,M844,0,,0,
10650133,17,2003-11-10,RCAP,0,,0,
10650133,6,2003-11-17,INCD,0,,0,
10650133,7,2004-01-20,CORRDRW,0,,0,
10650133,8,2004-01-20,OATHDECL,0,,0,
