application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
10707923,13,2004-04-22,TSSCOMP,0,,0,
10707923,14,2005-03-02,CTNF,0,,0,
10707923,15,2005-03-04,MCTNF,0,,0,
10707923,16,2005-04-05,A...,0,,0,
10446240,1,2003-05-29,IEXX,0,,0,
10446240,2,2003-06-10,SCAN,0,,0,
10446240,3,2003-06-12,L194,0,,0,
10446240,4,2003-07-28,COMP,0,,0,
10446240,5,2003-07-28,OIPE,0,,0,
10446240,6,2003-08-19,DOCK,0,,0,
10446240,7,2003-08-26,TSSCOMP,0,,0,
10446240,8,2004-10-18,CTNF,0,,0,
10446240,9,2004-10-20,MCTNF,83,PTO,-1,
10446240,10,2005-01-20,A...,0,,0,
10446240,10.1,2005-01-20,A.I.,0,,0,
10446240,11,2005-02-01,FWDX,0,,0,
10446240,12,2005-02-01,NINA,0,,0,
10446240,13,2005-03-03,XT/G,0,,0,
10446240,14,2005-03-03,A...,42,APPL,10,
10446240,15,2005-03-21,FWDX,0,,0,
10446240,17,2005-05-02,EX.A,0,,0,
10446240,18,2005-05-03,DOCK,0,,0,
10446240,19,2005-05-03,N/=.,0,,0,
10446240,21,2005-05-05,MEX.A,0,,0,
10446240,22,2005-05-05,MN/=.,0,,0,
10381840,3,2003-11-12,TRNIA,0,,0,
10381840,4,2003-11-12,OATHDECL,0,,0,
10381840,5,2003-11-12,PREAMND,0,,0,
10381840,6,2003-11-12,ADDFLFEE,0,,0,
10381840,9,2003-11-12,371COMP,0,,0,
10381840,12,2003-11-12,M844,0,,0,
10381840,13,2003-11-12,RCAP,0,,0,
10381840,7,2003-12-15,M903,0,,0,
10381840,8,2003-12-15,OIPE,0,,0,
10381840,10,2004-01-08,L194,0,,0,
10381840,11,2004-03-26,DOCK,0,,0,
10422977,1,2003-04-25,IEXX,0,,0,
10422977,10,2003-04-25,A.PE,0,,0,
10422977,2,2003-05-10,SCAN,0,,0,
10422977,3,2003-06-25,INCD,0,,0,
10422977,4,2003-08-20,OATHDECL,0,,0,
10422977,5,2003-08-20,SES,0,,0,
10422977,6,2003-08-20,ADDFLFEE,0,,0,
10422977,11,2003-08-20,M844,0,,0,
10422977,12,2003-08-20,RCAP,0,,0,
10422977,13,2003-08-20,RQPR,0,,0,
10422977,7,2003-11-03,COMP,0,,0,
10422977,8,2003-11-03,OIPE,0,,0,
10422977,9,2004-02-03,DOCK,0,,0,
10422977,14,2004-05-26,TSSCOMP,0,,0,
10422977,15,2004-06-25,CTNF,0,,0,
10422977,16,2004-06-28,MCTNF,3,PTO,-1,
10422977,17,2004-09-28,WAMD,0,,0,
10422977,18,2004-09-28,A...,0,,0,
10422977,19,2004-10-05,FWDX,0,,0,
10422977,20,2004-12-03,CTFR,0,,0,
10422977,21,2004-12-07,MCTFR,0,,0,
10422977,22,2005-03-07,BRCE,0,,0,
10422977,24,2005-03-07,RCEX,0,,0,
10422977,23,2005-03-11,ABN9,0,,0,
10422977,25,2005-03-11,FWDX,0,,0,
10422977,27,2005-03-11,FWDX,0,,0,
10422977,28,2005-05-02,DOCK,0,,0,
10422977,30,2005-05-04,N/=.,0,,0,
10422977,32,2005-05-05,MN/=.,0,,0,
10428692,1,2003-05-01,IEXX,0,,0,
10428692,2,2003-05-16,SCAN,0,,0,
10428692,3,2003-05-23,SCAN,0,,0,
10428692,4,2003-06-03,L128,0,,0,
10428692,6,2003-07-14,OATHDECL,0,,0,
10428692,7,2003-07-14,SES,0,,0,
10428692,8,2003-07-14,ADDFLFEE,0,,0,
10147874,1,2002-05-20,IEXX,0,,0,
10147874,11,2002-05-20,SPECIFIC,0,,0,
10147874,26,2002-05-20,RQPR,0,,0,
10322238,1,2002-12-18,IEXX,0,,0,
10322238,2,2002-12-31,SCAN,0,,0,
10322238,4,2003-02-04,INCD,0,,0,
10322238,5,2003-04-08,CORRDRW,0,,0,
10322238,6,2003-04-08,OATHDECL,0,,0,
10322238,8,2003-04-08,ADDFLFEE,0,,0,
10322238,9,2003-04-29,COMP,0,,0,
10322238,10,2003-05-06,OIPE,0,,0,
10322238,11,2003-06-23,DOCK,0,,0,
10322238,12,2003-08-05,TSSCOMP,0,,0,
10322238,13,2004-08-23,CTNF,0,,0,
10322238,14,2004-08-24,MCTNF,188,PTO,-1,
10322238,15,2004-12-27,WAMD,0,,0,
10322238,16,2004-12-27,XT/G,0,,0,
10322238,17,2004-12-27,A...,33,APPL,14,
10322238,17.1,2004-12-27,A.I.,0,,0,
10322238,18,2005-01-18,FWDX,0,,0,
10322238,19,2005-01-21,NINA,0,,0,
10322238,20,2005-02-14,WAMD,0,,0,
10322238,21,2005-02-14,A...,49,APPL,17,
10322238,22,2005-03-02,FWDX,0,,0,
10322238,24,2005-05-02,N/=.,0,,0,
10322238,26,2005-05-05,MN/=.,0,,0,
10109684,30,2003-12-01,BRCE,0,,0,
10109684,31,2003-12-01,XT/G,0,,0,
10109684,33,2003-12-01,RCEX,52,APPL,25,
10109684,32,2003-12-12,ABN9,0,,0,
10109684,34,2003-12-12,FWDX,0,,0,
10109684,36,2004-02-23,N/=.,0,,0,
10109684,38,2004-02-26,MN/=.,0,,0,
10109684,42,2004-03-08,M844,0,,0,
10109684,43,2004-03-08,RCAP,0,,0,
10109684,39,2004-03-18,SENT,0,,0,
10109684,40,2004-03-19,R1021,0,,0,
10109684,61,2004-04-01,C614,0,,0,
10109684,41,2004-04-30,R1021,0,,0,
10109684,44,2004-05-24,IFEE,0,,0,
10109684,45,2004-09-17,DOCK,0,,0,
10109684,46,2004-09-28,M327,0,,0,
10109684,47,2004-09-28,MM327,0,,0,
10109684,48,2004-09-28,W/N=,0,,0,
10109684,49,2004-09-30,FWDX,0,,0,
10109684,50,2004-10-07,DOCK,0,,0,
10109684,51,2004-10-12,CTNF,0,,0,
10109684,52,2004-10-13,MCTNF,0,,0,
10109684,53,2005-01-11,NRES,0,,0,
10109684,54,2005-01-13,MNRES,0,,0,
10109684,56,2005-03-30,M844,0,,0,
10109684,57,2005-03-30,RCAP,0,,0,
10109684,55,2005-04-01,EXIN,0,,0,
10109684,59,2005-04-12,A...,89,APPL,52,
10109684,58,2005-04-13,TSSCOMP,0,,0,
10109684,60,2005-04-18,FWDX,0,,0,
10109684,63,2005-05-04,N/=.,0,,0,
10109684,65,2005-05-05,MN/=.,0,,0,
10758011,1,2004-01-16,IEXX,0,,0,
10758011,10,2004-01-16,A.PE,0,,0,
10758011,14,2004-01-16,A.PE,0,,0,
10758011,2,2004-01-28,SCAN,0,,0,
10758011,4,2004-03-05,L194,0,,0,
10758011,11,2004-04-16,M844,0,,0,
10758011,12,2004-04-16,RCAP,0,,0,
10758011,6,2004-04-22,OIPE,0,,0,
10758011,7,2004-04-22,ROIPE,0,,0,
10758011,8,2004-04-22,WROIPE,0,,0,
10758011,5,2004-04-23,COMP,0,,0,
10758011,9,2004-05-25,TSSCOMP,0,,0,
09652431,7,2002-01-15,DOCK,0,,0,
09652431,8,2003-12-02,DOCK,0,,0,
09652431,9,2004-03-16,DOCK,0,,0,
09652431,10,2004-04-07,DOCK,0,,0,
09652431,11,2004-06-01,CTNF,0,,0,
09652431,12,2004-06-07,MCTNF,950,PTO,-1,
09652431,13,2004-08-12,WAMD,0,,0,
09652431,14,2004-08-12,A...,0,,0,
09652431,15,2004-11-12,FWDX,0,,0,
09652431,16,2005-01-24,TSSCOMP,0,,0,
09652431,17,2005-01-24,CTFR,0,,0,
09652431,18,2005-01-26,MCTFR,45,PTO,14,
09652431,19,2005-02-25,A.NE,0,,0,
09652431,20,2005-03-09,FWDX,0,,0,
09652431,21,2005-03-20,CTAV,0,,0,
09652431,22,2005-03-23,MCTAV,0,,0,
09652431,23,2005-04-14,A.NE,0,,0,
09652431,24,2005-04-20,FWDX,0,,0,
09652431,26,2005-05-03,N/=.,0,,0,
09652431,28,2005-05-05,MN/=.,0,,0,
10231162,1,2002-08-30,IEXX,0,,0,
10231162,9,2002-08-30,M844,0,,0,
10231162,12,2002-08-30,RQPR,0,,0,
10231162,2,2002-09-06,SCAN,0,,0,
10231162,3,2002-10-09,INCD,0,,0,
10231162,4,2002-12-03,OATHDECL,0,,0,
10231162,5,2002-12-03,ADDFLFEE,0,,0,
10231162,6,2002-12-24,COMP,0,,0,
10231162,7,2002-12-26,OIPE,0,,0,
10231162,10,2002-12-30,M844,0,,0,
10231162,8,2003-02-10,DOCK,0,,0,
10231162,11,2003-04-03,M844,0,,0,
10231162,13,2004-04-07,TSSCOMP,0,,0,
10231162,15,2004-04-28,C.AD,0,,0,
10231162,14,2004-04-29,PA..,0,,0,
10231162,16,2004-10-01,CTRS,0,,0,
10231162,17,2004-10-06,MCTRS,342,PTO,-1,
10231162,18,2005-02-01,XT/G,0,,0,
10231162,19,2005-02-01,ELC.,26,APPL,17,
10231162,20,2005-02-09,FWDX,0,,0,
10231162,22,2005-04-18,EX.A,0,,0,
10231162,23,2005-04-18,DOCK,0,,0,
10231162,24,2005-04-18,N/=.,0,,0,
09324308,12,2002-11-20,DOCK,0,PTO,0,Y
09324308,13,2002-12-01,CTNF,0,PTO,0,Y
09324308,14,2002-12-03,MCTNF,0,PTO,0,Y
09324308,15,2003-03-05,A...,0,PTO,0,Y
09324308,17,2003-03-05,M844,0,PTO,0,Y
09324308,16,2003-03-11,FWDX,0,PTO,0,Y
09324308,18,2003-04-16,CTNF,0,PTO,0,Y
09324308,19,2003-04-23,MCTNF,0,PTO,0,Y
09324308,20,2003-07-21,A...,0,PTO,0,Y
09324308,21,2003-07-28,FWDX,0,PTO,0,Y
09324308,22,2003-07-31,CTNF,0,PTO,0,Y
09324308,23,2003-07-31,MCTNF,0,PTO,0,Y
09324308,24,2003-09-08,M844,0,PTO,0,Y
09324308,25,2003-09-08,A...,0,PTO,0,Y
09324308,26,2004-03-29,FWDX,0,PTO,0,Y
09324308,27,2004-03-29,CTFR,0,PTO,0,Y
09324308,28,2004-03-30,MCTFR,0,PTO,0,Y
09324308,29,2004-05-21,WAMD,0,PTO,0,Y
09324308,30,2004-05-21,A.NE,0,PTO,0,Y
09324308,31,2004-07-13,FWDX,0,PTO,0,Y
09324308,33,2004-08-05,EX.A,0,PTO,0,Y
09324308,34,2004-08-05,N/=.,0,PTO,0,Y
