application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
09917976,1,2001-07-30,IEXX,0,,0,
09917976,10,2001-07-30,RQPR,0,,0,
09917976,2,2001-08-06,SCAN,0,,0,
10480571,14,2005-02-03,MCTRS,0,,0,
10480571,15,2005-02-25,ELC.,0,,0,
10480571,16,2005-03-08,FWDX,0,,0,
10480571,17,2005-04-13,CTNF,0,,0,
10480571,18,2005-04-14,MCTNF,0,,0,
10480571,19,2005-07-06,A...,0,,0,
10480571,20,2005-07-14,FWDX,0,,0,
10480571,21,2005-08-04,EXIN,0,,0,
10480571,22,2005-08-09,MEXIN,0,,0,
10480571,24,2005-08-10,EX.A,0,,0,
10480571,25,2005-08-10,N/=.,0,,0,
10480571,27,2005-08-11,MEX.A,0,,0,
10480571,28,2005-08-11,MN/=.,0,,0,
09970300,1,2001-10-03,IEXX,0,,0,
09970300,2,2001-10-15,SCAN,0,,0,
09970300,3,2001-11-06,C.AD,0,,0,
09970300,4,2001-11-07,INCD,0,,0,
09970300,13,2002-01-23,M844,0,,0,
09970300,5,2002-01-29,TRNSPEC,0,,0,
09970300,6,2002-01-29,OATHDECL,0,,0,
09970300,7,2002-01-29,ADDFLFEE,0,,0,
09970300,12,2002-01-29,RQPR,0,,0,
09970300,10,2002-03-28,COMP,0,,0,
10092927,1,2002-03-06,IEXX,0,,0,
10092927,2,2002-03-21,SCAN,0,,0,
10092927,3,2002-04-08,COMP,0,,0,
10092927,4,2002-04-10,OIPE,0,,0,
10092927,5,2002-05-31,TI1050,0,,0,
10092927,7,2002-06-20,LET.,0,,0,
10092927,8,2002-06-27,M844,0,,0,
10092927,12,2002-06-27,RCAP,0,,0,
10232353,4,2002-12-02,CORRDRW,0,,0,
10232353,5,2002-12-02,ADDFLFEE,0,,0,
10232353,9,2002-12-02,C614,0,,0,
10232353,11,2002-12-16,A.PE,0,,0,
10232353,7,2002-12-20,COMP,0,,0,
10232353,8,2002-12-31,OIPE,0,,0,
10232353,12,2003-01-31,DOCK,0,,0,
10232353,13,2003-04-25,CTNF,0,,0,
10232353,14,2003-04-29,MCTNF,0,,0,
10232353,15,2003-07-03,A...,0,,0,
10232353,16,2003-07-11,FWDX,0,,0,
10232353,17,2003-09-22,CTFR,0,,0,
10232353,18,2003-09-23,MCTFR,0,,0,
10232353,19,2003-11-20,A.NE,0,,0,
10232353,20,2003-12-08,FWDX,0,,0,
10232353,21,2003-12-08,TSSA,0,,0,
10232353,22,2003-12-12,CTAV,0,,0,
