application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
10856261,1,2004-05-27,IEXX,0,,0,
10856261,2,2004-06-17,SCAN,0,,0,
10856261,4,2004-06-30,L194,0,,0,
10856261,6,2004-07-24,OIPE,0,,0,
10856261,5,2004-07-26,COMP,0,,0,
10856261,7,2004-07-26,ROIPE,0,,0,
10856261,8,2004-07-26,WROIPE,0,,0,
10856261,9,2004-08-23,DOCK,0,,0,
10856261,10,2004-08-23,TSSCOMP,0,,0,
10856261,11,2005-08-26,DOCK,0,,0,
10856261,12,2005-09-08,CTNF,0,,0,
10856261,13,2005-09-12,MCTNF,47,PTO,-1,
10856261,14,2005-10-13,M844,0,,0,
10856261,15,2005-10-13,RCAP,0,,0,
10350739,16.1,2004-07-19,A.I.,0,,0,
10350739,17,2004-07-27,FWDX,0,,0,
10350739,18,2004-07-29,NINA,0,,0,
10350739,19,2004-08-06,WAMD,0,,0,
10350739,20,2004-08-06,ELC.,18,APPL,16,
10350739,20.1,2004-08-06,A.I.,0,,0,
10350739,21,2004-08-12,FWDX,0,,0,
10350739,22,2004-08-30,DOCK,0,,0,
10350739,23,2004-10-07,NINA,0,,0,
10350739,24,2004-11-02,ELC.,88,APPL,20,
10350739,25,2004-11-06,FWDX,0,,0,
10350739,26,2005-01-08,CTNF,0,,0,
10350739,27,2005-01-10,MCTNF,0,,0,
10350739,28,2005-01-24,M844,0,,0,
10350739,29,2005-01-24,RCAP,0,,0,
10350739,30,2005-05-10,XT/G,0,,0,
10350739,31,2005-05-10,A...,30,APPL,27,
10350739,33,2005-05-10,C614,0,,0,
10350739,32,2005-05-17,FWDX,0,,0,
10350739,35,2005-05-31,DOCK,0,,0,
10350739,36,2005-05-31,N/=.,0,,0,
10350739,38,2005-08-31,C.ADB,0,,0,
10350739,39,2005-10-21,MN/=.,41,PTO,31,
10350739,40,2005-10-25,C/NW,0,,0,
10350739,41,2005-10-25,MC/NW,0,,0,
10887726,1,2004-07-09,IEXX,0,,0,
10887726,11,2004-07-09,C602,0,,0,
10887726,12,2004-07-09,M844,0,,0,
10887726,13,2004-07-09,RCAP,0,,0,
10887726,16,2004-07-09,IDSC,0,,0,
10887726,2,2004-08-02,SCAN,0,,0,
10887726,4,2004-08-25,L198,0,,0,
10887726,5,2004-09-08,L128,0,,0,
10887726,7,2004-09-20,OIPE,0,,0,
10887726,8,2004-09-20,ROIPE,0,,0,
10436069,14,2004-10-12,DOCK,0,,0,
10436069,15,2004-10-24,C.ADB,0,,0,
10436069,16,2005-01-24,CTRS,0,,0,
10436069,17,2005-01-27,MCTRS,198,PTO,-1,
10436069,18,2005-02-10,WAMD,0,,0,
10436069,19,2005-02-10,ELC.,0,,0,
10436069,20,2005-02-22,FWDX,0,,0,
10436069,21,2005-03-15,CTNF,0,,0,
10436069,22,2005-03-21,MCTNF,0,,0,
10436069,23,2005-09-21,XT/G,0,,0,
10436069,24,2005-09-21,A...,92,APPL,22,
10436069,25,2005-09-28,FWDX,0,,0,
10436069,27,2005-10-20,EX.A,0,,0,
10436069,29,2005-10-24,DOCK,0,,0,
10436069,30,2005-10-24,N/=.,0,,0,
10436069,31,2005-10-25,MEX.A,0,,0,
10436069,32,2005-10-25,MN/=.,0,,0,
10501490,1,2004-07-14,IEXX,0,,0,
10501490,6,2004-07-14,A.PE,0,,0,
10507620,16,2005-09-14,RCAP,0,,0,
10507620,18,2005-09-22,DOCK,0,,0,
10507620,19,2005-09-22,TSSCOMP,0,,0,
10507620,21,2005-09-27,DOCK,0,,0,
10507620,22,2005-09-27,N/=.,0,,0,
10507620,24,2005-10-26,MN/=.,0,,0,
10448166,23,2005-08-03,X/DR,0,,0,
10448166,22,2005-09-27,C.AD,0,,0,
10448166,25,2005-10-08,PILS,0,,0,
10448166,26,2005-10-08,D1935,0,,0,
10448166,29,2005-11-15,PTAC,0,,0,
10408380,1,2003-04-07,IEXX,0,,0,
10408380,12,2003-04-07,DRAWING,0,,0,
10408380,2,2003-04-29,SCAN,0,,0,
10408380,3,2003-06-09,COMP,0,,0,
10408380,4,2003-06-09,OIPE,0,,0,
10408380,5,2003-06-09,ROIPE,0,,0,
10408380,6,2003-06-09,W/OA,0,,0,
10408380,7,2003-06-11,OMIT,0,,0,
10408380,10,2003-06-11,W/OA,0,,0,
10408380,8,2003-08-14,PET.,0,,0,
10408380,11,2003-08-14,ADDFLFEE,0,,0,
10408380,9,2003-09-02,MP010,0,,0,
10408380,13,2003-10-01,COMP,0,,0,
10408380,14,2003-10-01,WROIPE,0,,0,
10408380,15,2003-12-11,DOCK,0,,0,
10408380,16,2004-10-22,DOCK,0,,0,
