application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
10831035,35,2005-12-19,D1935,0,,0,
10831035,38,2006-01-17,PTAC,0,,0,
10077095,45,2005-11-03,N084,0,,0,
10077095,44,2005-11-03,IFEE,0,,0,
10077095,46,2005-11-11,PILS,0,,0,
10077095,47,2005-11-11,D1935,0,,0,
10077095,49,2006-01-17,PTAC,0,,0,
09795193,27,2005-03-30,SENT,0,,0,
09795193,30,2005-04-13,M844,120,APPL,33,
09795193,28,2005-05-09,R1021,0,,0,
09795193,29,2005-05-17,IFEE,0,,0,
09795193,35,2005-05-17,N084,0,,0,
09795193,31,2005-11-17,PUBTC,0,,0,
09795193,32,2005-11-23,EX.A,0,,0,
09795193,33,2005-11-28,MEX.A,0,,0,
09795193,34,2005-11-30,R1021,0,,0,
09795193,38,2005-12-05,R1021,0,,0,
09795193,37,2005-12-05,D1935,0,,0,
09795193,36,2005-12-05,PILS,0,,0,
09795193,39,2006-01-17,PTAC,122,PTO,35,
09795193,39.5,2005-12-28,PTA36M,0,PTO,0,
09632868,46,2005-10-14,LET.,96,APPL,0,
09632868,44,2005-10-14,N084,0,,0,
09632868,43,2005-10-14,IFEE,0,,0,
09632868,45,2005-10-25,PILS,0,,0,
09632868,49,2006-01-17,PTAC,0,,0,
09632868,49.5,2005-12-28,PTA36M,0,PTO,0,
10404057,27,2005-07-07,IFEE,0,,0,
10404057,28,2005-07-07,N084,0,,0,
10404057,29,2005-11-01,PILS,0,,0,
10404057,30,2005-12-16,D1935,0,,0,
10404057,33,2006-01-17,PTAC,71,PTO,28,
10617833,30,2005-10-04,M844,60,APPL,34,
10617833,32,2005-10-04,IDSC,0,,0,
10617833,31,2005-10-04,RCAP,0,,0,
10617833,28,2005-10-12,N084,0,,0,
10617833,26,2005-10-12,IFEE,0,,0,
10617833,27,2005-11-21,C.AD,0,,0,
10617833,29,2005-11-22,PILS,0,,0,
10617833,33,2005-11-30,M327,0,,0,
10617833,34,2005-12-02,MM327,0,,0,
10617833,35,2005-12-13,D1935,0,,0,
10617833,38,2006-01-17,PTAC,0,,0,
10430259,24,2005-09-29,N084,0,,0,
10430259,23,2005-09-29,IFEE,0,,0,
10430259,25,2005-11-22,PILS,0,,0,
10430259,26,2005-12-09,D1935,0,,0,
