application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
10673107,27,2004-11-18,XT/G,0,,0,
10673107,28,2004-11-18,A...,47,APPL,24,
10673107,32,2004-11-18,EXIN,0,,0,
10673107,30,2004-11-19,SA..,1,APPL,28,
10673107,29,2004-11-23,FWDX,0,,0,
10673107,31,2004-11-23,FWDX,0,,0,
10673107,33,2004-12-03,CTNF,0,,0,
10673107,34,2004-12-07,MCTNF,0,,0,
10673107,35,2004-12-07,MEXIN,0,,0,
10673107,39,2005-05-18,EXIN,0,,0,
10673107,36,2005-06-06,XT/G,0,,0,
10673107,37,2005-06-06,A...,91,APPL,34,
10673107,38,2005-06-10,FWDX,0,,0,
10673107,40,2005-06-16,MEXIN,0,,0,
10673107,41,2005-06-22,DOCK,0,,0,
10673107,42,2005-06-22,CTNF,0,,0,
10673107,43,2005-06-24,MCTNF,0,,0,
10673107,44,2005-09-22,A...,0,,0,
10673107,45,2005-09-30,FWDX,0,,0,
10673107,46,2005-10-26,DOCK,0,,0,
10673107,47,2006-01-13,DOCK,0,,0,
10720906,27,2005-06-24,A...,0,,0,
10720906,28,2005-06-28,FWDX,0,,0,
10720906,29,2005-06-28,TSSCOMP,0,,0,
10720906,30,2005-06-30,CTFR,0,,0,
10720906,32,2005-07-06,MCTFR,0,,0,
10720906,33,2005-09-23,M844,0,,0,
10720906,34,2005-09-23,RCAP,0,,0,
10720906,38,2005-09-23,IDSC,0,,0,
10720906,35,2006-01-06,XT/G,0,,0,
10720906,36,2006-01-06,A.NE,92,APPL,32,
10720906,37,2006-01-11,FWDX,0,,0,
10720906,40,2006-01-19,EX.A,0,,0,
10720906,41,2006-01-19,DOCK,0,,0,
10720906,42,2006-01-19,N/=.,0,,0,
10720906,44,2006-01-27,MEX.A,0,,0,
10720906,45,2006-01-27,MN/=.,0,,0,
10757358,1,2004-01-14,IEXX,0,,0,
10757358,13,2004-01-14,M844,0,,0,
10757358,14,2004-01-14,RQPR,0,,0,
10757358,21,2004-01-14,IDSC,0,,0,
10757358,2,2004-01-27,SCAN,0,,0,
10757358,4,2004-03-04,L194,0,,0,
10757358,6,2004-05-21,OATHDECL,0,,0,
10757358,7,2004-05-21,FLFEE,0,,0,
10757358,8,2004-06-07,COMP,0,,0,
10757358,9,2004-06-07,OIPE,0,,0,
10757358,10,2004-06-07,ROIPE,0,,0,
10757358,11,2004-06-07,WROIPE,0,,0,
10757358,12,2004-06-23,DOCK,0,,0,
10757358,15,2004-06-23,TSSCOMP,0,,0,
10757358,16,2005-10-25,DOCK,0,,0,
10757358,17,2005-11-14,CTNF,0,,0,
10757358,18,2005-11-15,MCTNF,246,PTO,-1,
10757358,19,2006-01-09,A...,0,,0,
10757358,20,2006-01-18,FWDX,0,,0,
10757358,23,2006-01-25,EX.A,0,,0,
10757358,24,2006-01-25,N/=.,0,,0,
10757358,26,2006-01-27,MEX.A,0,,0,
10757358,27,2006-01-27,MN/=.,0,,0,
10207719,1,2002-07-29,IEXX,0,,0,
10207719,7,2002-07-29,RQPR,0,,0,
10207719,2,2002-08-09,SCAN,0,,0,
10207719,4,2002-09-03,COMP,0,,0,
10207719,5,2002-09-06,OIPE,0,,0,
10207719,6,2002-10-24,DOCK,0,,0,
10207719,8,2004-03-26,DOCK,0,,0,
10207719,9,2004-04-05,CTNF,0,,0,
10207719,10,2004-04-06,MCTNF,190,PTO,-1,
10207719,11,2004-07-08,WAMD,0,,0,
10207719,13,2004-07-08,A...,2,APPL,10,
10207719,15,2004-07-08,C605,0,,0,
10207719,12,2004-08-12,C.ADB,0,,0,
10207719,14,2004-08-26,FWDX,0,,0,
10207719,16,2004-08-26,TSSCOMP,0,,0,
10207719,17,2004-09-19,CTNF,0,,0,
10207719,18,2004-09-21,MCTNF,0,,0,
10207719,19,2004-12-23,WAMD,0,,0,
10207719,20,2004-12-23,A...,2,APPL,18,
10207719,21,2005-03-18,FWDX,0,,0,
10207719,22,2005-05-02,CTFR,0,,0,
10207719,23,2005-05-04,MCTFR,11,PTO,20,
10207719,24,2005-05-19,DOCK,0,,0,
