application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
10540093,11,2006-03-15,IDSC,0,,0,
10540093,9,2006-03-28,DOCK,0,,0,
10540093,10,2006-03-28,TSSCOMP,0,,0,
10540093,13,2006-04-17,EX.A,0,,0,
10540093,14,2006-04-17,DOCK,0,,0,
10540093,15,2006-04-17,N/=.,0,,0,
10540093,17,2006-04-18,MEX.A,0,,0,
10540093,18,2006-04-18,MN/=.,0,,0,
10932717,1,2004-09-02,IEXX,0,,0,
10932717,6,2004-09-02,NPRQ,0,,0,
10932717,11,2004-09-02,M844,0,,0,
10932717,12,2004-09-02,RCAP,0,,0,
10932717,16,2004-09-02,IDSC,0,,0,
10932717,2,2004-09-18,SCAN,0,,0,
10932717,4,2004-10-14,L198,0,,0,
10932717,5,2004-10-21,L128,0,,0,
10932717,7,2004-11-02,COMP,0,,0,
10932717,8,2004-11-02,OIPE,0,,0,
10932717,9,2004-11-02,ROIPE,0,,0,
10932717,10,2004-11-02,WROIPE,0,,0,
10932717,13,2005-06-08,DOCK,0,,0,
10932717,14,2005-06-08,TSSCOMP,0,,0,
10932717,15,2005-06-27,DOCK,0,,0,
10932717,17,2005-11-14,CTNF,0,,0,
10932717,18,2005-11-15,MCTNF,13,PTO,-1,
10932717,19,2006-02-15,A...,0,,0,
10932717,21,2006-02-15,C614,0,,0,
10932717,20,2006-02-23,FWDX,0,,0,
10932717,22,2006-03-22,DOCK,0,,0,
10932717,24,2006-04-17,N/=.,0,,0,
10932717,26,2006-04-18,MN/=.,0,,0,
10153519,11,2004-01-12,DOCK,0,,0,
10153519,12,2004-02-09,CTNF,0,,0,
10153519,13,2004-02-11,MCTNF,204,PTO,-1,
10153519,14,2004-06-04,WAMD,0,,0,
10153519,15,2004-06-04,XT/G,0,,0,
10153519,16,2004-06-04,A...,24,APPL,13,
10153519,18,2004-06-04,C614,0,,0,
10153519,17,2004-06-15,FWDX,0,,0,
10153519,19,2004-08-09,CTFR,0,,0,
10153519,20,2004-08-10,MCTFR,0,,0,
10153519,21,2004-12-08,WAMD,0,,0,
10153519,22,2004-12-08,XT/G,0,,0,
10153519,23,2004-12-08,A.NE,0,,0,
10153519,24,2005-01-12,FWDX,0,,0,
10153519,25,2005-01-12,TSSCOMP,0,,0,
10153519,26,2005-02-07,CTAV,0,,0,
10153519,27,2005-02-08,MCTAV,0,,0,
10153519,28,2005-02-09,BRCE,0,,0,
10153519,29,2005-02-09,WAMD,0,,0,
10153519,30,2005-02-09,XT/G,0,,0,
10153519,32,2005-02-09,RCEX,91,APPL,20,
10153519,31,2005-02-14,ABN9,0,,0,
10153519,33,2005-02-14,FWDX,0,,0,
10153519,35,2005-02-14,FWDX,0,,0,
10153519,36,2005-04-04,CTNF,0,,0,
10153519,37,2005-04-07,MCTNF,0,,0,
10153519,38,2005-05-19,DOCK,0,,0,
10153519,39,2005-08-09,XT/G,0,,0,
10153519,40,2005-08-09,A...,33,APPL,37,
10153519,41,2005-08-16,FWDX,0,,0,
10153519,42,2005-09-09,DOCK,0,,0,
10153519,43,2005-10-13,DOCK,0,,0,
10153519,44,2005-10-24,DOCK,0,,0,
10153519,45,2006-01-23,CTFR,0,,0,
10153519,46,2006-01-24,MCTFR,46,PTO,40,
10153519,48,2006-03-08,A.NE,0,,0,
10153519,47,2006-03-21,DOCK,0,,0,
10153519,49,2006-03-22,FWDX,0,,0,
10153519,50,2006-03-28,CTAV,0,,0,
10153519,51,2006-03-29,MCTAV,0,,0,
10153519,53,2006-04-05,RCEX,0,,0,
10153519,52,2006-04-07,ABN9,0,,0,
10153519,54,2006-04-07,FWDX,0,,0,
10153519,56,2006-04-07,FWDX,0,,0,
08836455,1,1997-05-09,IEXX,0,PTO,0,Y
08836455,12,1997-09-23,LET.,0,PTO,0,Y
08836455,14,1997-10-20,MM327,0,PTO,0,Y
08836455,13,1997-10-20,M327,0,PTO,0,Y
08836455,15,1997-10-23,M844,0,PTO,0,Y
08836455,32,1997-10-23,IDSC,0,PTO,0,Y
08836455,17,1997-11-17,PA..,0,PTO,0,Y
08836455,16,1997-11-17,C602,0,PTO,0,Y
08836455,9,1997-11-17,371COMP,0,PTO,0,Y
08836455,18,1997-11-17,LET.,0,PTO,0,Y
08836455,19,1998-04-02,LET.,0,PTO,0,Y
10670289,1,2003-09-26,IEXX,0,,0,
10670289,11,2003-09-26,RQPR,0,,0,
10670289,2,2003-12-06,SCAN,0,,0,
10670289,3,2003-12-09,L194,0,,0,
10670289,6,2003-12-20,OIPE,0,,0,
10670289,7,2003-12-20,ROIPE,0,,0,
10670289,8,2003-12-20,WROIPE,0,,0,
10670289,5,2003-12-22,COMP,0,,0,
10670289,9,2004-05-04,TSSCOMP,0,,0,
10670289,10,2004-05-04,DOCK,0,,0,
10670289,12,2004-07-21,C.AD,0,,0,
10670289,13,2005-02-18,DOCK,0,,0,
10670289,14,2005-10-25,CTNF,0,,0,
10670289,15,2005-10-26,MCTNF,334,PTO,-1,
10670289,16,2006-01-24,A...,0,,0,
10670289,17,2006-02-02,FWDX,0,,0,
10670289,19,2006-04-17,N/=.,0,,0,
10670289,21,2006-04-18,MN/=.,0,,0,
10758270,34,2006-04-11,ABN9,0,,0,
10758270,36,2006-04-11,FWDX,0,,0,
10758270,38,2006-04-11,FWDX,0,,0,
10758270,40,2006-04-17,N/=.,0,,0,
10758270,42,2006-04-18,MN/=.,0,,0,
10785049,29,2006-04-18,MN/=.,0,,0,
11340928,1,2006-01-27,IEXX,0,,0,
11340928,12,2006-01-27,A.PE,0,,0,
11340928,2,2006-02-05,SCAN,0,,0,
11340928,4,2006-02-16,L198,0,,0,
11340928,5,2006-02-16,L128,0,,0,
11340928,6,2006-03-03,COMP,0,,0,
11340928,7,2006-03-03,OIPE,0,,0,
11340928,8,2006-03-03,ROIPE,0,,0,
11340928,10,2006-03-03,WROIPE,0,,0,
11340928,9,2006-03-06,COMP,0,,0,
11340928,11,2006-03-24,DOCK,0,,0,
11340928,13,2006-03-24,TSSCOMP,0,,0,
11340928,15,2006-04-17,N/=.,0,,0,
11340928,17,2006-04-18,MN/=.,0,,0,
10796804,1,2004-03-09,IEXX,0,,0,
10796804,2,2004-03-26,SCAN,0,,0,
10796804,4,2004-04-06,L194,0,,0,
10796804,6,2004-05-28,OIPE,0,,0,
10796804,7,2004-05-28,ROIPE,0,,0,
10796804,8,2004-05-28,WROIPE,0,,0,
10796804,9,2004-05-28,ROIPE,0,,0,
10796804,12,2004-05-28,WROIPE,0,,0,
10796804,5,2004-06-01,COMP,0,,0,
10796804,10,2004-06-01,W/OA,0,,0,
10796804,11,2004-06-01,COMP,0,,0,
10796804,13,2004-06-01,TI1050,0,,0,
10796804,14,2004-06-07,DOCK,0,,0,
10796804,15,2004-06-07,TSSCOMP,0,,0,
10796804,16,2004-09-22,DOCK,0,,0,
10796804,17,2004-11-02,DOCK,0,,0,
10796804,18,2005-07-05,CTRS,0,,0,
10796804,19,2005-07-06,MCTRS,58,PTO,-1,
10796804,20,2005-08-08,ELC.,0,,0,
10796804,21,2005-08-17,FWDX,0,,0,
10796804,22,2005-09-06,CTNF,0,,0,
10796804,31,2005-09-06,W/AC,0,,0,
10796804,32,2005-09-06,MW/AC,0,,0,
10796804,23,2005-09-07,MCTNF,0,,0,
10796804,33,2005-09-22,CTNF,0,,0,
10796804,34,2005-09-26,MCTNF,0,,0,
10796804,35,2006-03-31,XT/G,0,,0,
10796804,36,2006-03-31,A...,95,APPL,34,
10796804,37,2006-04-11,FWDX,0,,0,
10796804,39,2006-04-17,N/=.,0,,0,
10796804,41,2006-04-18,MN/=.,0,,0,
10845349,1,2004-05-14,IEXX,0,,0,
10845349,15,2004-05-14,M844,0,,0,
10845349,16,2004-05-14,RCAP,0,,0,
10845349,21,2004-05-14,IDSC,0,,0,
10845349,2,2004-05-26,SCAN,0,,0,
10845349,4,2004-06-18,L194,0,,0,
10845349,7,2004-07-16,INCD,0,,0,
10845349,8,2004-09-16,OATHDECL,0,,0,
10845349,9,2004-09-16,ADDFLFEE,0,,0,
10775462,9,2004-05-07,COMP,0,,0,
10775462,15,2004-12-14,DOCK,0,,0,
10775462,16,2004-12-14,TSSCOMP,0,,0,
10775462,17,2005-08-23,DOCK,0,,0,
10775462,18,2005-09-01,CTNF,0,,0,
10775462,19,2005-09-07,MCTNF,150,PTO,-1,
10775462,20,2005-11-14,A...,0,,0,
10775462,21,2005-11-17,FWDX,0,,0,
10775462,23,2006-01-23,CTFR,0,,0,
10775462,24,2006-01-25,MCTFR,0,,0,
10775462,25,2006-03-17,A.NE,0,,0,
10775462,27,2006-03-17,C614,0,,0,
10775462,26,2006-03-25,FWDX,0,,0,
10775462,29,2006-04-13,N/=.,0,,0,
10775462,31,2006-04-14,MN/=.,0,,0,
10419017,1,2003-04-18,IEXX,0,,0,
10419017,9,2003-05-06,M844,0,,0,
10419017,15,2003-05-06,RCAP,0,,0,
10419017,2,2003-05-08,SCAN,0,,0,
10419017,3,2003-07-16,COMP,0,,0,
10419017,4,2003-07-16,OIPE,0,,0,
10419017,5,2003-07-16,ROIPE,0,,0,
10419017,6,2003-07-16,W/OA,0,,0,
10419017,7,2003-07-16,COMP,0,,0,
10419017,8,2003-07-16,WROIPE,0,,0,
10419017,10,2003-08-12,DOCK,0,,0,
10419017,11,2003-10-29,TI1050,0,,0,
10419017,12,2003-10-29,DOCK,0,,0,
10419017,13,2004-03-15,DOCK,0,,0,
10419017,14,2004-03-25,TSSCOMP,0,,0,
10419017,16,2004-08-22,DOCK,0,,0,
10419017,17,2004-09-20,CTNF,0,,0,
10419017,18,2004-09-21,MCTNF,95,PTO,-1,
10419017,19,2005-01-21,XT/G,0,,0,
10419017,20,2005-01-21,A...,31,APPL,18,
10419017,21,2005-01-28,FWDX,0,,0,
10419017,22,2005-04-04,CTNF,0,,0,
10419017,23,2005-04-15,MCTNF,0,,0,
10419017,24,2005-08-12,XT/G,0,,0,
10419017,25,2005-08-12,A...,28,APPL,23,
10419017,26,2005-08-19,FWDX,0,,0,
10419017,27,2005-10-20,CTNF,0,,0,
10419017,28,2005-10-24,MCTNF,0,,0,
10419017,29,2006-01-19,A...,0,,0,
10039112,58,2006-04-14,MP026,0,PTO,0,
10133685,44,2005-03-29,ABN9,0,,0,
10133685,46,2005-03-29,FWDX,0,,0,
10133685,50,2005-03-30,EXIN,0,,0,
10133685,49,2005-04-14,CTNF,0,,0,
10133685,51,2005-04-15,MEXIN,0,,0,
10133685,52,2005-04-15,MCTNF,37,PTO,45,
10133685,53,2005-07-18,M844,0,,0,
10133685,54,2005-07-18,RCAP,0,,0,
10133685,55,2005-07-18,A...,3,APPL,52,
10133685,56,2005-07-26,FWDX,0,,0,
10133685,57,2005-11-19,CTNF,0,,0,
10133685,58,2005-11-22,MCTNF,4,PTO,55,
10133685,59,2006-02-16,M844,0,,0,
10133685,60,2006-02-16,RCAP,0,,0,
10133685,61,2006-02-16,A...,0,,0,
10133685,63,2006-02-16,IDSC,0,,0,
10133685,62,2006-03-03,FWDX,0,,0,
