application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
10762717,9,2004-05-13,OIPE,0,,0,
10762717,10,2004-05-13,ROIPE,0,,0,
10762717,11,2004-05-13,WROIPE,0,,0,
10762717,17,2004-05-13,W/OA,0,,0,
10762717,22,2004-05-13,COMP,0,,0,
10762717,25,2004-05-13,W/OA,0,,0,
10762717,12,2004-09-16,DOCK,0,,0,
10762717,13,2004-09-16,TSSCOMP,0,,0,
10762717,14,2005-05-31,CTNF,0,,0,
10762717,15,2005-06-01,MCTNF,71,PTO,-1,
10762717,16,2005-06-28,ROIPE,0,,0,
10762717,18,2005-06-28,ADDFLFEE,0,,0,
10762717,23,2005-06-28,WROIPE,0,,0,
10762717,24,2005-06-28,ROIPE,0,,0,
10762717,29,2005-06-28,CPAP,0,,0,
10762717,30,2005-07-06,CORRSPEC,0,,0,
10762717,32,2005-07-06,ADDFLFEE,0,,0,
10762717,33,2005-07-20,COMP,0,,0,
10762717,34,2005-07-20,WROIPE,0,,0,
10762717,35,2005-10-31,XT/G,0,,0,
10762717,36,2005-10-31,A...,60,APPL,15,
10762717,36.1,2005-10-31,A.I.,0,,0,
10762717,37,2005-11-08,FWDX,0,,0,
10762717,38,2005-11-09,NINA,0,,0,
10762717,39,2005-12-12,A...,42,APPL,36,
10762717,41,2005-12-12,AF/D,0,,0,
10762717,40,2005-12-21,FWDX,0,,0,
10762717,43,2006-02-17,N/=.,0,,0,
10762717,45,2006-05-05,MN/=.,23,PTO,39,
10878953,16,2005-08-31,TSSCOMP,0,,0,
10878953,17,2005-11-21,CTNF,0,,0,
10878953,18,2005-11-22,MCTNF,86,PTO,-1,
10878953,19,2006-02-22,A...,0,,0,
10878953,21,2006-02-22,M844,0,,0,
10878953,22,2006-02-22,LET.,0,,0,
10878953,23,2006-02-22,M844,0,,0,
10878953,24,2006-02-22,RCAP,0,,0,
10878953,25,2006-02-22,DIST,0,APPL,19,
10878953,28,2006-02-22,IDSC,0,,0,
10878953,29,2006-02-22,IDSC,0,,0,
10878953,20,2006-02-25,FWDX,0,,0,
10878953,26,2006-02-27,P574,0,,0,
10878953,31,2006-05-02,N/=.,0,,0,
10878953,33,2006-05-05,MN/=.,0,,0,
10968004,26,2006-05-02,DOCK,0,,0,
10968004,27,2006-05-02,N/=.,0,,0,
10968004,28,2006-05-02,EX.A,0,,0,
10968004,30,2006-05-05,MEX.A,0,,0,
10968004,31,2006-05-05,MN/=.,69,PTO,20,
10715371,1,2003-11-19,IEXX,0,,0,
10715371,16,2003-11-19,M844,0,,0,
10715371,17,2003-11-19,RCAP,0,,0,
10715371,18,2003-11-19,RQPR,0,,0,
10715371,22,2003-11-19,IDSC,0,,0,
10715371,2,2003-12-24,SCAN,0,,0,
10715371,4,2004-02-03,L194,0,,0,
10715371,5,2004-02-17,COMP,0,,0,
10715371,6,2004-02-17,OIPE,0,,0,
10715371,7,2004-02-17,ROIPE,0,,0,
10715371,8,2004-02-17,W/OA,0,,0,
10715371,9,2004-02-17,COMP,0,,0,
10715371,10,2004-02-17,WROIPE,0,,0,
10715371,11,2004-02-17,ROIPE,0,,0,
10715371,12,2004-02-17,WROIPE,0,,0,
10715371,13,2005-12-27,DOCK,0,,0,
10715371,14,2005-12-29,CTNF,0,,0,
10715371,15,2006-01-03,MCTNF,349,PTO,-1,
10715371,19,2006-02-17,TSSCOMP,0,,0,
10715371,20,2006-04-03,A...,0,,0,
10715371,21,2006-04-09,FWDX,0,,0,
10715371,24,2006-05-02,N/=.,0,,0,
10715371,26,2006-05-05,MN/=.,0,,0,
10471294,1,2003-09-22,IEXX,0,,0,
10471294,4,2003-09-22,371COMP,0,,0,
10471294,7,2003-09-22,A.PE,0,,0,
10471294,8,2003-09-22,RQPR,0,,0,
10471294,2,2004-01-20,M903,0,,0,
10471294,3,2004-01-20,OIPE,0,,0,
10471294,5,2004-01-28,L194,0,,0,
10471294,6,2004-05-21,DOCK,0,,0,
10471294,9,2004-05-21,TSSCOMP,0,,0,
10471294,10,2005-01-24,DOCK,0,,0,
10471294,11,2005-02-03,CTNF,0,,0,
10471294,12,2005-02-03,MCTNF,73,PTO,-1,
10471294,13,2005-05-26,M844,0,,0,
10471294,14,2005-05-26,RCAP,0,,0,
10781276,13,2005-06-03,MCTNF,46,PTO,-1,
10781276,14,2005-08-16,A...,0,,0,
10781276,15,2005-08-23,FWDX,0,,0,
10781276,16,2005-10-28,CTNF,0,,0,
10781276,17,2005-11-02,MCTNF,0,,0,
10781276,18,2006-01-18,A...,0,,0,
10781276,19,2006-01-30,FWDX,0,,0,
10781276,20,2006-02-27,CTFR,0,,0,
10781276,21,2006-03-01,MCTFR,0,,0,
10781276,22,2006-04-14,A.NE,0,,0,
10781276,23,2006-04-24,FWDX,0,,0,
10781276,25,2006-05-02,N/=.,0,,0,
10781276,27,2006-05-05,MN/=.,0,,0,
10172399,1,2002-06-14,IEXX,0,,0,
10172399,2,2002-06-14,CRFL,0,,0,
10172399,3,2002-06-14,IEXX,0,,0,
10172399,4,2002-06-27,SCAN,0,,0,
10172399,5,2002-06-29,SCAN,0,,0,
10172399,6,2002-07-11,CRFE,0,,0,
10172399,7,2002-07-26,INCD,0,,0,
10172399,8,2002-07-31,OATHDECL,0,,0,
10172399,9,2002-07-31,ADDFLFEE,0,,0,
10172399,10,2002-08-29,COMP,0,,0,
10172399,11,2002-08-30,OIPE,0,,0,
10172399,13,2002-09-23,M844,0,,0,
10172399,12,2002-11-18,DOCK,0,,0,
10172399,14,2003-07-29,TSSCOMP,0,,0,
10172399,15,2003-07-30,DOCK,0,,0,
10172399,16,2003-12-01,CTRS,0,,0,
10172399,17,2003-12-03,MCTRS,111,PTO,-1,
10172399,18,2003-12-31,ELC.,0,,0,
10172399,19,2004-01-08,FWDX,0,,0,
10172399,20,2004-02-20,CTNF,0,,0,
10172399,21,2004-02-23,MCTNF,0,,0,
10172399,22,2004-05-24,WAMD,0,,0,
10172399,23,2004-05-24,A...,1,APPL,21,
