application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
10972327,4,2004-11-26,L194,0,,0,
10972327,5,2004-12-03,COMP,0,,0,
10972327,6,2004-12-03,OIPE,0,,0,
10972327,7,2004-12-03,ROIPE,0,,0,
10972327,8,2004-12-03,COMP,0,,0,
10972327,9,2004-12-03,WROIPE,0,,0,
10972327,10,2004-12-03,ROIPE,0,,0,
10972327,12,2004-12-03,WROIPE,0,,0,
10972327,11,2004-12-06,COMP,0,,0,
10972327,13,2004-12-21,TI1050,0,,0,
10972327,14,2005-04-21,DOCK,0,,0,
10972327,17,2005-04-21,TSSCOMP,0,,0,
10972327,18,2005-06-15,M844,0,,0,
10972327,19,2005-06-15,RCAP,0,,0,
10972327,25,2005-06-15,IDSC,0,,0,
10972327,20,2006-04-03,CTRS,0,,0,
10972327,21,2006-04-04,MCTRS,99,PTO,-1,
10972327,22,2006-04-26,ELC.,0,,0,
10972327,23,2006-05-02,FWDX,0,,0,
10972327,26,2006-06-05,CTEQ,0,,0,
10972327,27,2006-06-09,MCTEQ,0,,0,
10972327,28,2006-08-09,A.QU,0,,0,
10972327,30,2006-08-09,C614,0,,0,
10972327,29,2006-08-15,FWDX,0,,0,
10518329,3,2005-11-02,OATHDECL,0,,0,
10518329,4,2005-11-02,ADDFLFEE,0,,0,
10518329,7,2005-11-02,371COMP,0,,0,
10518329,9,2005-11-02,M844,0,,0,
10998196,20,2006-01-12,DOCK,0,,0,
10998196,22,2006-02-16,CTNF,0,,0,
10998196,23,2006-02-22,MCTNF,24,PTO,-1,
10998196,24,2006-07-19,XT/G,0,,0,
10998196,25,2006-07-19,A...,58,APPL,23,
10998196,26,2006-07-26,FWDX,0,,0,
10998196,28,2006-08-17,N/=.,0,,0,
10998196,30,2006-08-21,MN/=.,0,,0,
10137130,7,2002-08-14,COMP,0,,0,
10137130,8,2002-08-21,OIPE,0,,0,
10137130,10,2002-09-03,DOCK,0,,0,
10137130,11,2003-08-13,TSSCOMP,0,,0,
10137130,12,2004-04-05,CTNF,0,,0,
10137130,13,2004-04-13,MCTNF,288,PTO,-1,
10137130,14,2004-07-13,WAMD,0,,0,
10137130,15,2004-07-13,A...,0,,0,
10137130,16,2004-08-02,FWDX,0,,0,
10137130,17,2004-08-02,CTFR,0,,0,
10137130,18,2004-08-04,MCTFR,0,,0,
10137130,19,2004-10-21,WAMD,0,,0,
10137130,20,2004-10-21,A.NE,0,,0,
10137130,21,2004-10-29,FWDX,0,,0,
10137130,22,2004-11-01,CTAV,0,,0,
10137130,23,2004-11-02,MCTAV,0,,0,
10137130,24,2004-11-08,N/AP,4,APPL,18,
10137130,25,2005-01-10,AP.B,0,,0,
10137130,25.1,2005-01-10,APBI,0,,0,
10137130,26,2005-02-09,FWDX,0,,0,
10137130,27,2005-04-21,APBD,0,,0,
10137130,28,2005-05-04,AP.B,0,,0,
10137130,29,2005-05-17,FWDX,0,,0,
10137130,30,2005-07-25,APEA,0,,0,
10137130,31,2005-08-08,EXIN,0,,0,
10137130,32,2005-08-12,MEXIN,0,,0,
10137130,33,2005-08-12,MAPEA,0,,0,
10137130,34,2005-10-11,APRB,0,,0,
10137130,35,2005-10-25,FWDX,0,,0,
10137130,36,2005-12-01,RBNE,0,,0,
10137130,37,2005-12-05,MRBNE,0,,0,
10137130,38,2006-01-13,APWD,0,,0,
10137130,39,2006-01-31,APAS,0,,0,
10137130,40,2006-01-31,AP_DK_M,0,,0,
10137130,41,2006-04-27,APDR,0,,0,
10137130,42,2006-04-27,MAPDR,536,PTO,24,
10137130,44,2006-08-18,DOCK,0,,0,
10137130,45,2006-08-18,N/=.,0,,0,
10137130,47,2006-08-21,MN/=.,0,,0,
10811064,1,2004-03-26,IEXX,0,,0,
10811064,2,2004-04-11,SCAN,0,,0,
10811064,4,2004-04-30,L194,0,,0,
10811064,6,2004-06-10,INCD,0,,0,
10811064,13,2004-08-02,M844,0,,0,
10811064,14,2004-08-02,RCAP,0,,0,
10811064,24,2004-08-02,IDSC,0,,0,
10811064,7,2004-08-12,OATHDECL,0,,0,
10811064,8,2004-08-12,FLFEE,0,,0,
10811064,9,2004-09-01,COMP,0,,0,
11021400,1,2004-12-27,IEXX,0,,0,
11021400,9,2004-12-27,M844,0,,0,
11021400,12,2004-12-27,IDSC,0,,0,
11021400,2,2005-01-18,SCAN,0,,0,
11021400,3,2005-01-24,L194,0,,0,
11021400,5,2005-02-05,OIPE,0,,0,
11021400,6,2005-02-05,ROIPE,0,,0,
11021400,7,2005-02-05,WROIPE,0,,0,
11021400,4,2005-02-07,COMP,0,,0,
11021400,8,2006-07-31,TI1050,0,,0,
11021400,10,2006-08-04,TSSCOMP,0,,0,
11021400,11,2006-08-07,DOCK,0,,0,
11021400,14,2006-08-18,DOCK,0,,0,
11021400,15,2006-08-18,N/=.,0,,0,
11021400,17,2006-08-22,MN/=.,176,PTO,-1,
11295207,1,2005-12-05,IEXX,0,,0,
11295207,10,2005-12-05,M844,0,,0,
11295207,11,2005-12-05,RCAP,0,,0,
11295207,14,2005-12-05,IDSC,0,,0,
11295207,2,2005-12-15,SCAN,0,,0,
11295207,3,2005-12-23,L194,0,,0,
11295207,5,2005-12-27,OIPE,0,,0,
11295207,4,2005-12-28,COMP,0,,0,
11295207,6,2005-12-28,ROIPE,0,,0,
11295207,8,2005-12-28,WROIPE,0,,0,
11295207,7,2005-12-29,COMP,0,,0,
11295207,9,2005-12-30,TI1050,0,,0,
11295207,12,2006-02-13,DOCK,0,,0,
11295207,13,2006-02-13,TSSCOMP,0,,0,
11295207,15,2006-04-24,CTNF,0,,0,
11295207,16,2006-04-25,MCTNF,0,,0,
11295207,17,2006-08-02,A...,8,APPL,16,
11295207,18,2006-08-11,FWDX,0,,0,
11295207,20,2006-08-18,DOCK,0,,0,
11295207,21,2006-08-18,N/=.,0,,0,
11295207,23,2006-08-22,MN/=.,0,,0,
10488314,19,2006-04-05,N/=.,0,,0,
10488314,20,2006-04-10,MN/=.,348,PTO,-1,
10488314,23,2006-05-26,PUBTC,0,,0,
10488314,24,2006-07-05,M327,0,,0,
10488314,25,2006-07-07,MM327,0,,0,
10488314,26,2006-07-07,BRCE,0,,0,
10488314,28,2006-07-07,RCEX,0,,0,
10488314,27,2006-07-18,ABN9,0,,0,
10488314,29,2006-07-18,FWDX,0,,0,
10488314,31,2006-07-18,FWDX,0,,0,
10488314,33,2006-08-20,N/=.,0,,0,
10488314,35,2006-08-22,MN/=.,0,,0,
10375286,1,2003-02-27,IEXX,0,,0,
10375286,2,2003-03-14,SCAN,0,,0,
10375286,3,2003-04-28,INCD,0,,0,
10375286,4,2003-05-13,OATHDECL,0,,0,
10375286,6,2003-05-13,ADDFLFEE,0,,0,
10375286,11,2003-05-13,ADDFLFEE,0,,0,
10375286,8,2003-06-23,OIPE,0,,0,
10375286,7,2003-06-24,COMP,0,,0,
10375286,9,2003-06-24,ROIPE,0,,0,
10375286,10,2003-06-24,W/OA,0,,0,
10375286,12,2003-06-24,COMP,0,,0,
10375286,13,2003-06-24,WROIPE,0,,0,
10375286,14,2003-06-30,DOCK,0,,0,
10375286,15,2004-05-06,M844,0,,0,
10375286,19,2004-05-06,IDSC,0,,0,
10375286,16,2005-11-17,DOCK,0,,0,
10375286,17,2006-03-21,DOCK,0,,0,
10375286,18,2006-05-03,DOCK,0,,0,
10516093,16,2005-08-03,TSSCOMP,0,,0,
10516093,18,2006-03-20,CTNF,0,,0,
10516093,19,2006-03-23,MCTNF,58,PTO,-1,
10516093,22,2006-07-05,A...,12,APPL,19,
10516093,23,2006-08-03,FWDX,0,,0,
10516093,25,2006-08-18,EX.A,0,,0,
10516093,26,2006-08-18,N/=.,0,,0,
10516093,27,2006-08-19,DVER,0,,0,
10516093,29,2006-08-22,MEX.A,0,,0,
10516093,30,2006-08-22,MN/=.,0,,0,
10660071,24,2005-02-18,MCTNF,0,,0,
10660071,47,2005-02-18,IDSC,0,,0,
10660071,25,2005-04-25,C.ADB,0,,0,
10660071,26,2005-05-18,A...,0,,0,
10660071,27,2005-05-26,FWDX,0,,0,
10660071,28,2005-06-23,CTNF,0,,0,
10660071,29,2005-06-27,MCTNF,0,,0,
10660071,30,2005-10-26,XT/G,0,,0,
10660071,31,2005-10-26,A...,29,APPL,29,
10660071,32,2005-11-08,FWDX,0,,0,
10660071,34,2005-12-15,DOCK,0,,0,
10660071,35,2005-12-15,N/=.,0,,0,
10660071,37,2005-12-20,MN/=.,0,,0,
10660071,39,2006-03-15,BRCE,0,,0,
10660071,41,2006-03-15,RCEX,0,,0,
10660071,43,2006-03-15,M844,0,,0,
10660071,44,2006-03-15,IDSC,0,,0,
10660071,40,2006-06-13,ABN9,0,,0,
10660071,42,2006-06-13,FWDX,0,,0,
10660071,48,2006-08-21,N/=.,0,,0,
10660071,49,2006-08-22,MN/=.,38,PTO,41,
10510949,1,2004-10-28,IEXX,0,,0,
10510949,6,2004-10-28,RQPR,0,,0,
10510949,7,2004-10-28,A.PE,0,,0,
10510949,4,2004-11-15,371COMP,0,,0,
10510949,8,2005-01-26,M844,0,,0,
10510949,9,2005-01-26,RCAP,0,,0,
10510949,2,2005-05-26,M903,0,,0,
10510949,3,2005-05-26,OIPE,0,,0,
10510949,5,2005-06-28,L194,0,,0,
10510949,10,2005-07-28,DOCK,0,,0,
10510949,11,2005-07-28,TSSCOMP,0,,0,
10510949,12,2005-08-03,CTNF,0,,0,
10510949,13,2005-08-05,MCTNF,0,,0,
10510949,14,2005-12-05,XT/G,0,,0,
10510949,15,2005-12-05,A...,30,APPL,13,
10510949,17,2005-12-05,C614,0,,0,
10510949,16,2005-12-14,FWDX,0,,0,
10510949,18,2006-02-10,CTNF,0,,0,
10510949,19,2006-02-14,MCTNF,0,,0,
10510949,20,2006-06-12,XT/G,0,,0,
10510949,21,2006-06-12,A...,29,APPL,19,
10913243,5,2004-10-05,INCD,0,,0,
10913243,6,2004-10-12,OATHDECL,0,,0,
10913243,7,2004-10-12,ADDFLFEE,0,,0,
10913243,8,2004-10-20,COMP,0,,0,
10913243,9,2004-10-20,OIPE,0,,0,
10913243,10,2004-10-20,ROIPE,0,,0,
10913243,11,2004-10-20,WROIPE,0,,0,
10913243,12,2004-11-12,M844,0,,0,
10913243,13,2004-11-12,RCAP,0,,0,
10913243,24,2004-11-12,IDSC,0,,0,
10913243,14,2004-11-30,M844,0,,0,
10913243,15,2004-11-30,RCAP,0,,0,
10913243,25,2004-11-30,IDSC,0,,0,
10913243,18,2004-12-27,DOCK,0,,0,
10913243,19,2004-12-27,TSSCOMP,0,,0,
10913243,20,2005-10-03,CTRS,0,,0,
10913243,21,2005-10-05,MCTRS,0,,0,
10913243,22,2005-11-07,ELC.,0,,0,
10913243,23,2005-11-15,FWDX,0,,0,
10913243,26,2006-01-23,CTNF,0,,0,
10913243,27,2006-02-13,MCTNF,0,,0,
10913243,28,2006-05-15,A...,2,APPL,27,
10913243,29,2006-05-22,FWDX,0,,0,
10913243,31,2006-08-09,N/=.,0,,0,
10913243,32,2006-08-09,N/DR,0,,0,
10913243,34,2006-08-22,MN/DR,0,,0,
10913243,35,2006-08-22,MN/=.,0,,0,
10888909,1,2004-07-09,IEXX,0,,0,
10888909,15,2004-07-09,M844,0,,0,
10888909,16,2004-07-09,RQPR,0,,0,
10888909,20,2004-07-09,IDSC,0,,0,
10888909,2,2004-07-26,SCAN,0,,0,
10888909,4,2004-08-16,L194,0,,0,
10021922,9,2003-01-16,DOCK,0,,0,
10021922,10,2003-02-20,DOCK,0,,0,
10021922,11,2004-02-25,DOCK,0,,0,
10021922,16,2004-08-31,TSSCOMP,0,,0,
10021922,17,2005-01-03,DOCK,0,,0,
10021922,18,2005-02-03,DOCK,0,,0,
10021922,19,2005-03-07,CTNF,0,,0,
10021922,20,2005-03-07,MCTNF,753,PTO,-1,
10021922,22,2005-06-06,A...,0,,0,
10021922,24,2005-06-06,C614,0,,0,
10021922,23,2005-06-09,FWDX,0,,0,
10021922,25,2005-08-12,CTFR,0,,0,
10021922,26,2005-08-16,MCTFR,0,,0,
10021922,27,2005-11-23,DOCK,0,,0,
10021922,28,2005-12-19,BRCE,0,,0,
10021922,33,2005-12-19,XT/G,0,,0,
10021922,35,2005-12-19,RCEX,33,APPL,26,
10021922,29,2005-12-28,DOCK,0,,0,
10021922,34,2005-12-28,ABN9,0,,0,
10021922,36,2005-12-28,FWDX,0,,0,
10021922,38,2005-12-28,FWDX,0,,0,
10021922,39,2006-03-06,CTNF,0,,0,
10021922,40,2006-03-08,MCTNF,0,,0,
10021922,41,2006-03-21,DOCK,0,,0,
10021922,42,2006-06-09,A...,1,APPL,40,
10021922,43,2006-06-17,FWDX,0,,0,
10021922,44,2006-08-04,SA..,56,APPL,42,
10021922,45,2006-08-04,FWDX,0,,0,
10021922,47,2006-08-21,N/=.,0,,0,
10021922,49,2006-08-22,MN/=.,0,,0,
10271579,29,2006-06-16,M844,11,APPL,27,
10271579,30,2006-06-16,IDSC,0,,0,
10271579,32,2006-08-21,DOCK,0,,0,
10271579,33,2006-08-21,N/=.,0,,0,
10271579,35,2006-08-22,MN/=.,0,,0,
10185014,1,2002-07-01,IEXX,0,,0,
10185014,7,2002-07-01,RQPR,0,,0,
10185014,8,2002-07-01,M844,0,,0,
10185014,2,2002-07-15,SCAN,0,,0,
10615782,19,2005-09-22,MN/DR,0,,0,
10615782,20,2005-09-22,MN/=.,377,PTO,-1,
10615782,22,2005-12-22,BRCE,0,,0,
10615782,24,2005-12-22,M844,0,,0,
10615782,26,2005-12-22,RCEX,0,,0,
10615782,28,2005-12-22,M844,0,,0,
10615782,29,2005-12-22,IDSC,0,,0,
10615782,31,2005-12-22,IDSC,0,,0,
10615782,23,2006-03-21,DOCK,0,,0,
10615782,25,2006-04-15,ABN9,0,,0,
10615782,27,2006-04-15,FWDX,0,,0,
10615782,33,2006-06-21,EXIN,0,,0,
10615782,32,2006-06-26,CTNF,0,,0,
10615782,34,2006-06-29,MCTNF,68,PTO,26,
10615782,35,2006-07-31,A...,0,,0,
10615782,36,2006-08-01,FWDX,0,,0,
10615782,37,2006-08-05,TSSCOMP,0,,0,
10615782,38,2006-08-10,SA..,0,,0,
10615782,39,2006-08-14,FWDX,0,,0,
10615782,40,2006-08-14,SA..,14,APPL,35,
10615782,42,2006-08-14,EXIN,0,,0,
10615782,41,2006-08-15,FWDX,0,,0,
10615782,44,2006-08-21,N/=.,0,,0,
10615782,46,2006-08-22,MEXIN,0,,0,
10615782,47,2006-08-22,MN/=.,0,,0,
10216807,1,2002-08-13,IEXX,0,,0,
10216807,2,2002-08-20,SCAN,0,,0,
10216807,3,2002-08-29,COMP,0,,0,
10216807,4,2002-08-30,OIPE,0,,0,
10216807,5,2002-10-03,DOCK,0,,0,
10216807,6,2004-07-26,TSSCOMP,0,,0,
10216807,7,2004-12-27,CTNF,0,,0,
10216807,8,2004-12-28,MCTNF,442,PTO,-1,
10216807,9,2005-01-13,LET.,0,,0,
10443910,28,2006-03-07,CTNF,0,,0,
10443910,29,2006-03-08,MCTNF,0,,0,
10443910,30,2006-04-25,DOCK,0,,0,
10443910,31,2006-06-07,A...,0,,0,
10443910,32,2006-06-12,FWDX,0,,0,
10443910,34,2006-08-18,EX.A,0,,0,
10443910,35,2006-08-18,N/=.,0,,0,
10443910,36,2006-08-18,EX.A,0,,0,
10443910,38,2006-08-22,MEX.A,0,,0,
10443910,39,2006-08-22,MEX.A,0,,0,
10443910,40,2006-08-22,MN/=.,0,,0,
10072159,30,2005-04-13,FWDX,0,,0,
10072159,33,2005-04-27,DOCK,0,,0,
10072159,35,2005-06-13,CTFR,0,,0,
10072159,36,2005-06-15,MCTFR,0,,0,
10072159,37,2005-09-09,A.NE,0,,0,
10072159,39,2005-09-09,M844,0,,0,
10072159,40,2005-09-09,IDSC,0,,0,
10072159,38,2005-09-19,FWDX,0,,0,
10072159,41,2005-10-28,CTAV,0,,0,
10072159,42,2005-10-31,MCTAV,0,,0,
10072159,43,2005-12-19,BRCE,0,,0,
10072159,44,2005-12-19,XT/G,0,,0,
10072159,46,2005-12-19,RCEX,95,APPL,36,
10072159,50,2005-12-19,M844,0,,0,
