application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
10913560,40,2006-05-15,IFEE,0,,0,
10913560,42,2006-05-15,N084,0,,0,
10913560,41,2006-05-22,C.AD,0,,0,
10913560,43,2006-05-23,PILS,0,,0,
10913560,44,2006-06-19,D1935,0,,0,
10913560,47,2006-10-17,PTAC,32,PTO,42,
10136660,54,2006-07-25,A.NA,30,APPL,58,
10136660,55,2006-08-11,IFEE,0,,0,
10136660,56,2006-08-11,N084,3,APPL,52,
10136660,57,2006-08-19,N271,0,,0,
10136660,59,2006-08-22,PILS,0,,0,
10136660,58,2006-08-23,MN271,0,,0,
10136660,60,2006-09-13,D1935,0,,0,
10136660,63,2006-10-17,PTAC,0,,0,
10329693,29,2006-08-04,M844,18,APPL,32,
10329693,30,2006-08-04,IDSC,0,,0,
10329693,31,2006-08-17,M327,0,,0,
10329693,32,2006-08-21,MM327,0,,0,
10329693,33,2006-09-06,IFEE,0,,0,
10329693,34,2006-09-06,N084,0,,0,
10329693,35,2006-09-11,PILS,0,,0,
10329693,36,2006-09-13,D1935,0,,0,
10329693,39,2006-10-17,PTAC,0,,0,
10329693,39.5,2006-09-27,PTA36M,0,PTO,0,
09916866,48,2006-08-22,IFEE,0,,0,
09916866,49,2006-08-22,N084,0,,0,
09916866,50,2006-08-23,PILS,0,,0,
09916866,51,2006-09-20,D1935,0,,0,
09916866,54,2006-10-17,PTAC,0,,0,
09916866,54.5,2006-09-27,PTA36M,0,PTO,0,
11204969,1,2005-08-17,IEXX,0,,0,
11204969,10,2005-08-17,A.PE,0,,0,
11204969,11,2005-08-17,M844,0,,0,
11204969,12,2005-08-17,RCAP,0,,0,
11204969,19,2005-08-17,IDSC,0,,0,
11204969,2,2005-08-20,SCAN,0,,0,
11204969,3,2005-08-25,L194,0,,0,
11204969,5,2005-09-02,CPAP,0,,0,
11204969,6,2005-11-02,CORRSPEC,0,,0,
11204969,7,2005-11-02,ADDFLFEE,0,,0,
11204969,8,2005-11-08,COMP,0,,0,
11204969,9,2005-11-08,OIPE,0,,0,
11204969,13,2006-01-20,DOCK,0,,0,
11204969,14,2006-01-20,TSSCOMP,0,,0,
11204969,15,2006-01-27,CTMS,0,,0,
11204969,16,2006-02-01,MCTMS,0,,0,
11204969,17,2006-02-22,A...,0,,0,
11204969,18,2006-03-02,FWDX,0,,0,
10952927,1,2004-09-30,IEXX,0,,0,
10952927,16,2004-09-30,RQPR,0,,0,
10952927,2,2004-10-16,SCAN,0,,0,
10952927,4,2004-11-02,L194,0,,0,
10952927,5,2004-11-10,COMP,0,,0,
10952927,6,2004-11-10,OIPE,0,,0,
10952927,7,2004-11-10,ROIPE,0,,0,
10952927,9,2004-11-10,WROIPE,0,,0,
10952927,10,2004-11-10,ROIPE,0,,0,
10952927,12,2004-11-10,WROIPE,0,,0,
10952927,13,2004-11-10,ROIPE,0,,0,
10952927,14,2004-11-10,WROIPE,0,,0,
10952927,8,2004-11-12,COMP,0,,0,
10952927,11,2004-11-12,COMP,0,,0,
10952927,15,2006-04-13,DOCK,0,,0,
10952927,17,2006-04-13,TSSCOMP,0,,0,
10952927,18,2006-04-27,CTNF,0,,0,
10952927,19,2006-04-28,MCTNF,149,PTO,-1,
11023495,1,2004-12-29,IEXX,0,,0,
11023495,9,2004-12-29,M844,0,,0,
11023495,14,2004-12-29,IDSC,0,,0,
11023495,2,2005-01-21,SCAN,0,,0,
11023495,3,2005-01-28,L194,0,,0,
11023495,4,2005-02-11,COMP,0,,0,
11023495,5,2005-02-11,OIPE,0,,0,
11023495,6,2005-02-11,ROIPE,0,,0,
11023495,7,2005-02-11,WROIPE,0,,0,
11023495,8,2005-06-06,DOCK,0,,0,
11023495,10,2005-06-06,TSSCOMP,0,,0,
11023495,11,2005-06-20,DOCK,0,,0,
11023495,12,2006-01-26,DOCK,0,,0,
11023495,13,2006-02-22,DOCK,0,,0,
11023495,15,2006-05-15,CTNF,0,,0,
11023495,16,2006-05-30,MCTNF,91,PTO,-1,
11023495,17,2006-08-30,A...,0,,0,
11023495,18,2006-09-11,FWDX,0,,0,
11023495,20,2006-09-25,N/=.,0,,0,
11023495,22,2006-09-27,MN/=.,0,,0,
10777651,1,2004-02-13,IEXX,0,,0,
10777651,2,2004-03-03,SCAN,0,,0,
10777651,4,2004-03-22,L194,0,,0,
10777651,6,2004-05-10,OIPE,0,,0,
10777651,5,2004-05-11,COMP,0,,0,
10777651,7,2004-05-11,ROIPE,0,,0,
10777651,8,2004-05-11,WROIPE,0,,0,
10777651,9,2004-06-01,TI1050,0,,0,
10777651,10,2004-07-21,DOCK,0,,0,
10777651,11,2005-07-08,DOCK,0,,0,
10777651,12,2005-09-29,TSSCOMP,0,,0,
10777651,13,2006-05-03,DOCK,0,,0,
10777651,14,2006-05-15,CTNF,0,,0,
