application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
11230688,30,2006-07-31,N084,0,,0,
11230688,29,2006-07-31,IFEE,0,,0,
11230688,31,2006-08-04,PILS,0,,0,
11230688,33,2006-09-13,M327,0,,0,
11230688,34,2006-09-14,MM327,0,,0,
11230688,35,2006-10-13,A.NA,0,APPL,37,
11230688,38,2006-10-13,A.NA,5,APPL,37,
11230688,36,2006-10-17,N271,0,,0,
11230688,37,2006-10-17,MN271,0,,0,
11230688,39,2006-10-19,N271,0,,0,
11230688,40,2006-10-19,MN271,0,,0,
11230688,41,2006-10-26,D1935,0,,0,
11230688,43,2006-11-28,PTAC,0,,0,
11127269,30,2006-10-24,N084,0,,0,
10544860,21,2006-10-24,N084,0,,0,
10544860,20,2006-10-24,IFEE,0,,0,
10544860,22,2006-10-28,PILS,0,,0,
10544860,23,2006-10-30,D1935,0,,0,
10544860,25,2006-11-28,PTAC,0,,0,
11033301,25,2006-10-23,N084,0,,0,
11033301,24,2006-10-23,IFEE,0,,0,
11033301,26,2006-10-23,SMAL,0,,0,
11033301,27,2006-10-27,PILS,0,,0,
11033301,28,2006-10-27,D1935,0,,0,
11033301,30,2006-11-28,PTAC,0,,0,
10699322,35,2006-10-18,IFEE,0,,0,
10699322,36,2006-10-18,DRWF,42,APPL,0,
10699322,37,2006-10-18,N084,1,APPL,32,
10699322,38,2006-10-23,PILS,0,,0,
10699322,39,2006-10-24,D1935,0,,0,
10699322,41,2006-11-28,PTAC,0,,0,
10699322,41.5,2006-11-08,PTA36M,0,PTO,0,
10788598,56,2006-10-23,N084,2,APPL,52,
10788598,55,2006-10-23,IFEE,0,,0,
10788598,57,2006-10-30,PILS,0,,0,
10788598,58,2006-10-30,D1935,0,,0,
10788598,60,2006-11-28,PTAC,0,,0,
10975659,24,2006-10-04,IFEE,0,,0,
10975659,25,2006-10-04,N084,0,,0,
10975659,26,2006-10-10,PILS,0,,0,
10975659,28,2006-10-31,D1935,0,,0,
10975659,30,2006-11-28,PTAC,0,,0,
11023270,32,2006-10-19,X/DR,0,,0,
11023270,33,2006-10-19,N084,0,,0,
11023270,31,2006-10-23,IFEE,0,,0,
11023270,35,2006-10-27,D1935,0,,0,
11023270,34,2006-10-27,PILS,0,,0,
11023270,37,2006-11-28,PTAC,0,,0,
10609884,76,2006-10-23,N084,9,APPL,72,
10609884,75,2006-10-23,IFEE,0,,0,
10609884,77,2006-10-31,PILS,0,,0,
10609884,78,2006-11-01,D1935,0,,0,
10609884,80,2006-11-28,PTAC,0,,0,
10786895,36,2006-08-04,M844,28,APPL,40,
10786895,37,2006-08-04,RCAP,0,,0,
10786895,38,2006-08-04,IDSC,0,,0,
10786895,39,2006-08-30,M327,0,,0,
10786895,40,2006-08-31,MM327,0,,0,
10786895,41,2006-09-25,DRWF,0,APPL,40,
10786895,43,2006-09-25,DRWF,7,APPL,40,
10786895,42,2006-10-02,IFEE,0,,0,
10786895,46,2006-10-02,LET.,58,APPL,40,
10786895,44,2006-10-02,N084,0,,0,
10786895,45,2006-10-05,PILS,0,,0,
10786895,47,2006-10-31,D1935,0,,0,
10786895,50,2006-11-28,PTAC,0,,0,
10902518,34,2006-10-18,N084,1,APPL,30,
10902518,33,2006-10-18,IFEE,0,,0,
10902518,35,2006-10-23,PILS,0,,0,
10902518,36,2006-10-23,D1935,0,,0,
10902518,38,2006-11-28,PTAC,0,,0,
10641311,59,2006-10-25,DRWF,35,APPL,0,
10641311,57,2006-10-25,IFEE,0,,0,
10641311,58,2006-10-25,N084,0,,0,
10641311,61,2006-10-27,D1935,0,,0,
10641311,60,2006-10-27,PILS,0,,0,
10641311,63,2006-11-28,PTAC,0,,0,
10649931,1,2003-08-28,IEXX,0,,0,
10649931,2,2003-10-07,SCAN,0,,0,
10649931,3,2003-11-12,L194,0,,0,
10649931,15,2003-11-12,RCAP,0,,0,
10649931,5,2003-12-01,CPAP,0,,0,
10649931,6,2003-12-11,CORRSPEC,0,,0,
10649931,7,2003-12-11,ADDFLFEE,0,,0,
10649931,14,2003-12-11,M844,0,,0,
10649931,18,2003-12-11,RQPR,0,,0,
10649931,25,2003-12-11,IDSC,0,,0,
10649931,8,2004-01-13,COMP,0,,0,
10649931,9,2004-01-13,OIPE,0,,0,
10649931,10,2004-01-14,COMP,0,,0,
10649931,11,2004-01-14,ROIPE,0,,0,
10649931,12,2004-01-14,WROIPE,0,,0,
10649931,13,2004-06-23,DOCK,0,,0,
10649931,16,2004-06-23,TSSCOMP,0,,0,
10649931,19,2004-10-22,LET.,0,,0,
10649931,17,2004-11-22,M844,0,,0,
10649931,24,2004-11-22,IDSC,0,,0,
10649931,20,2005-05-31,LET.,0,,0,
10649931,21,2006-03-21,DOCK,0,,0,
10649931,22,2006-03-23,DOCK,0,,0,
10649931,23,2006-09-15,DOCK,0,,0,
10649931,27,2006-10-30,N/=.,0,,0,
10649931,29,2006-11-06,MN/=.,739,PTO,-1,
09559159,40,2005-10-31,CTFR,0,PTO,0,Y
09559159,41,2005-11-01,MCTFR,0,PTO,0,Y
09559159,43,2006-01-09,A.NE,0,PTO,0,Y
09559159,42,2006-01-10,EXIN,0,PTO,0,Y
09559159,44,2006-01-12,FWDX,0,PTO,0,Y
09559159,45,2006-01-30,A.NE,0,PTO,0,Y
09559159,46,2006-02-02,FWDX,0,PTO,0,Y
09559159,47,2006-03-21,DOCK,0,PTO,0,Y
09559159,48,2006-06-12,EXIN,0,PTO,0,Y
09559159,49,2006-06-14,MEXIN,0,PTO,0,Y
09559159,51,2006-11-03,N/=.,0,PTO,0,Y
09559159,54,2006-11-06,MN/=.,0,PTO,0,Y
11139630,1,2005-05-31,IEXX,0,,0,
11139630,10,2005-05-31,M844,0,,0,
11139630,11,2005-05-31,RCAP,0,,0,
11139630,15,2005-05-31,IDSC,0,,0,
11139630,2,2005-06-09,SCAN,0,,0,
11139630,3,2005-06-13,L198,0,,0,
11139630,4,2005-08-10,COMP,0,,0,
11139630,5,2005-08-10,OIPE,0,,0,
11139630,6,2005-08-10,ROIPE,0,,0,
11007340,14,2005-12-07,DOCK,0,,0,
11007340,15,2005-12-13,DOCK,0,,0,
11007340,16,2005-12-22,CTRS,0,,0,
11007340,17,2005-12-23,MCTRS,0,,0,
11007340,18,2006-01-18,ELC.,0,,0,
11007340,19,2006-01-24,FWDX,0,,0,
11007340,20,2006-03-20,DOCK,0,,0,
11007340,22,2006-04-03,CTNF,0,,0,
11007340,23,2006-04-05,MCTNF,0,,0,
11007340,24,2006-10-05,XT/G,0,,0,
11007340,25,2006-10-05,A...,92,APPL,23,
11007340,26,2006-10-13,FWDX,0,,0,
11007340,28,2006-10-31,DOCK,0,,0,
11007340,29,2006-10-31,N/=.,0,,0,
11007340,31,2006-11-06,MN/=.,0,,0,
10989671,1,2004-11-15,IEXX,0,,0,
10989671,2,2004-12-01,SCAN,0,,0,
10989671,3,2004-12-11,L194,0,,0,
10989671,4,2004-12-15,COMP,0,,0,
10989671,5,2004-12-15,OIPE,0,,0,
10989671,6,2004-12-15,ROIPE,0,,0,
10989671,7,2004-12-15,WROIPE,0,,0,
10989671,8,2005-02-18,DOCK,0,,0,
10989671,9,2005-02-18,TSSCOMP,0,,0,
10989671,10,2006-03-01,DOCK,0,,0,
10989671,11,2006-05-30,CTNF,0,,0,
10989671,12,2006-06-01,MCTNF,137,PTO,-1,
10989671,13,2006-09-06,A...,5,APPL,12,
10989671,14,2006-09-13,FWDX,0,,0,
10989671,16,2006-10-31,N/=.,0,,0,
10989671,18,2006-11-06,MN/=.,0,,0,
10873587,1,2004-06-21,IEXX,0,,0,
10873587,5,2004-06-21,NPRQ,0,,0,
10873587,2,2004-07-15,SCAN,0,,0,
10873587,4,2004-07-29,L194,0,,0,
10873587,7,2004-08-09,CPAP,0,,0,
10873587,9,2004-08-30,CORRDRW,0,,0,
10873587,10,2004-08-30,ADDFLFEE,0,,0,
10873587,8,2004-09-10,C.ADB,0,,0,
10873587,11,2004-09-21,COMP,0,,0,
10873587,12,2004-09-21,OIPE,0,,0,
10873587,13,2004-09-21,ROIPE,0,,0,
10873587,14,2004-09-21,WROIPE,0,,0,
10873587,15,2004-09-27,M844,0,,0,
10873587,16,2004-09-27,RCAP,0,,0,
10873587,23,2004-09-27,IDSC,0,,0,
10873587,17,2005-09-07,DOCK,0,,0,
10873587,18,2005-09-07,TSSCOMP,0,,0,
10873587,19,2005-10-27,CTNF,0,,0,
10873587,20,2005-10-31,MCTNF,71,PTO,-1,
10873587,21,2006-01-09,A...,0,,0,
10873587,22,2006-01-18,FWDX,0,,0,
11123324,13,2005-12-20,M844,0,,0,
11123324,15,2005-12-20,IDSC,0,,0,
11123324,16,2006-02-13,EXIN,0,,0,
11123324,17,2006-03-03,CTNF,0,,0,
11123324,18,2006-03-06,MCTNF,0,,0,
11123324,19,2006-03-06,MEXIN,0,,0,
11123324,20,2006-09-11,XT/G,0,,0,
11123324,21,2006-09-11,A...,97,APPL,18,
11123324,22,2006-09-22,FWDX,0,,0,
11123324,24,2006-11-02,EX.A,0,,0,
11123324,25,2006-11-02,DOCK,0,,0,
11123324,26,2006-11-02,N/=.,0,,0,
11123324,28,2006-11-06,MEX.A,0,,0,
11123324,29,2006-11-06,MN/=.,0,,0,
10150936,22,2004-11-23,TSSCOMP,0,,0,
10150936,23,2005-03-18,CTNF,0,,0,
10150936,24,2005-03-21,MCTNF,609,PTO,-1,
10150936,25,2005-09-21,M844,0,,0,
10150936,26,2005-09-21,RCAP,0,,0,
10150936,27,2005-09-21,XT/G,0,,0,
10150936,28,2005-09-21,A...,92,APPL,24,
10150936,30,2005-09-21,C614,0,,0,
10150936,39,2005-09-21,IDSC,0,,0,
10150936,29,2005-09-28,FWDX,0,,0,
10150936,31,2005-12-07,CTNF,0,,0,
10150936,32,2005-12-08,MCTNF,0,,0,
10150936,33,2006-03-21,DOCK,0,,0,
10150936,34,2006-06-08,XT/G,0,,0,
10150936,35,2006-06-08,A...,92,APPL,32,
10150936,37,2006-06-08,SA..,0,APPL,35,
10150936,36,2006-06-14,FWDX,0,,0,
10150936,38,2006-06-14,FWDX,0,,0,
10150936,40,2006-07-31,CTFR,0,,0,
10150936,41,2006-08-03,MCTFR,0,,0,
10150936,42,2006-10-19,A.NE,0,,0,
10150936,43,2006-10-26,FWDX,0,,0,
10150936,45,2006-11-03,N/=.,0,,0,
10150936,47,2006-11-06,MN/=.,0,,0,
10407654,1,2003-04-04,IEXX,0,,0,
10407654,9,2003-04-04,M844,0,,0,
10407654,12,2003-04-04,RCAP,0,,0,
10407654,21,2003-04-04,IDSC,0,,0,
10407654,2,2003-04-27,SCAN,0,,0,
10407654,3,2003-06-04,COMP,0,,0,
10407654,4,2003-06-06,OIPE,0,,0,
10407654,5,2003-06-11,TI1050,0,,0,
10407654,6,2003-06-11,TI1050,0,,0,
10407654,7,2003-09-16,TI1050,0,,0,
10407654,8,2004-02-22,DOCK,0,,0,
10407654,10,2004-06-01,DOCK,0,,0,
10407654,11,2004-08-19,DOCK,0,,0,
10407654,13,2004-11-16,TSSCOMP,0,,0,
10407654,14,2005-01-25,DOCK,0,,0,
10407654,15,2005-02-14,DOCK,0,,0,
10407654,16,2005-02-14,DOCK,0,,0,
10407654,17,2005-03-02,M844,0,,0,
10407654,18,2005-03-02,RCAP,0,,0,
10407654,20,2005-03-02,IDSC,0,,0,
10744711,29,2006-08-15,FWDX,0,,0,
10744711,31,2006-11-03,N/=.,0,,0,
10744711,33,2006-11-06,MN/=.,0,,0,
10414821,1,2003-04-16,IEXX,0,,0,
10414821,2,2003-05-04,SCAN,0,,0,
