application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
11017399,38,2006-11-03,N084,0,,0,
11017399,39,2006-11-09,PILS,0,,0,
11017399,40,2006-11-09,D1935,0,,0,
11017399,42,2006-12-19,PTAC,0,,0,
10936645,25,2006-11-07,REAS,0,,0,
10936645,26,2006-11-08,IFEE,0,,0,
10936645,27,2006-11-08,N084,0,,0,
10936645,28,2006-11-14,PILS,0,,0,
10936645,29,2006-11-14,D1935,0,,0,
10936645,31,2006-12-19,PTAC,0,,0,
10769753,30,2006-11-03,IFEE,0,,0,
10769753,31,2006-11-03,N084,0,,0,
10769753,32,2006-11-09,PILS,0,,0,
10769753,33,2006-11-16,D1935,0,,0,
10769753,36,2006-12-19,PTAC,0,,0,
11142535,29,2006-11-02,IFEE,0,,0,
11142535,30,2006-11-02,N084,0,,0,
11142535,31,2006-11-07,PILS,0,,0,
11142535,32,2006-11-21,D1935,0,,0,
11142535,35,2006-12-19,PTAC,0,,0,
11196749,26,2006-08-22,IFEE,0,,0,
11196749,29,2006-08-22,REAS,0,,0,
11196749,27,2006-08-22,N084,0,,0,
11196749,28,2006-11-15,PILS,0,,0,
11196749,30,2006-11-17,D1935,0,,0,
11196749,32,2006-12-19,PTAC,0,,0,
10529761,21,2006-08-25,EX.A,0,,0,
10529761,22,2006-08-28,MEX.A,0,,0,
10529761,25,2006-11-09,N084,0,,0,
10529761,24,2006-11-09,IFEE,0,,0,
10529761,26,2006-11-10,PILS,0,,0,
10529761,27,2006-11-17,D1935,0,,0,
10529761,29,2006-12-19,PTAC,0,,0,
11111918,23,2006-11-13,IFEE,0,,0,
11111918,24,2006-11-13,N084,0,,0,
11111918,25,2006-11-17,PILS,0,,0,
11111918,26,2006-11-17,D1935,0,,0,
11111918,28,2006-12-19,PTAC,0,,0,
10669185,48,2006-11-08,IFEE,0,,0,
10669185,52,2006-11-08,REAS,0,,0,
10669185,49,2006-11-08,N084,0,,0,
10669185,50,2006-11-15,PILS,0,,0,
10669185,53,2006-11-21,D1935,0,,0,
10669185,55,2006-12-19,PTAC,0,,0,
10669185,55.5,2006-11-29,PTA36M,0,PTO,0,
10065295,31,2006-12-19,PTAC,0,,0,
10065295,31.5,2006-11-29,PTA36M,0,PTO,0,
10024779,35,2006-11-08,IFEE,0,,0,
10024779,36,2006-11-08,N084,0,,0,
10024779,37,2006-11-09,PILS,0,,0,
10024779,38,2006-11-10,D1935,0,,0,
10024779,40,2006-12-19,PTAC,0,,0,
10024779,40.5,2006-11-29,PTA36M,0,PTO,0,
10132991,34,2006-10-27,IFEE,0,,0,
10132991,35,2006-10-27,N084,0,,0,
10132991,36,2006-11-02,PILS,0,,0,
10132991,37,2006-11-02,D1935,0,,0,
10132991,39,2006-12-19,PTAC,0,,0,
10132991,39.5,2006-11-29,PTA36M,0,PTO,0,
10478430,42,2006-11-01,IFEE,0,,0,
10478430,43,2006-11-01,N084,0,,0,
10478430,44,2006-11-06,PILS,0,,0,
10478430,45,2006-11-08,D1935,0,,0,
10478430,47,2006-12-19,PTAC,0,,0,
10682231,48,2006-11-08,PILS,0,,0,
10682231,49,2006-11-22,D1935,0,,0,
10682231,52,2006-12-19,PTAC,0,,0,
10682231,52.5,2006-11-29,PTA36M,32,PTO,0,
10383455,42,2006-11-03,N084,0,,0,
10383455,41,2006-11-03,IFEE,0,,0,
10383455,43,2006-11-08,PILS,0,,0,
10383455,44,2006-11-08,D1935,0,,0,
10383455,46,2006-12-19,PTAC,0,,0,
10383455,46.5,2006-11-29,PTA36M,0,PTO,0,
10717323,23,2006-11-03,IFEE,0,,0,
10717323,26,2006-11-03,REAS,0,,0,
10717323,24,2006-11-03,N084,0,,0,
10717323,25,2006-11-08,PILS,0,,0,
10717323,27,2006-11-16,D1935,0,,0,
10717323,29,2006-12-19,PTAC,0,,0,
10717323,29.5,2006-11-29,PTA36M,0,PTO,0,
10761286,30,2006-11-08,IFEE,0,,0,
10761286,32,2006-11-08,N084,0,,0,
10761286,33,2006-11-14,PILS,0,,0,
10761286,34,2006-11-15,D1935,0,,0,
10761286,36,2006-12-19,PTAC,0,,0,
10736967,46,2006-12-19,PTAC,0,,0,
10736967,46.5,2006-11-29,PTA36M,0,PTO,0,
10828895,26,2006-10-24,N084,0,,0,
10828895,25,2006-10-24,IFEE,0,,0,
10828895,27,2006-10-31,PILS,0,,0,
10828895,28,2006-11-09,D1935,0,,0,
10828895,31,2006-12-19,PTAC,0,,0,
10920103,24,2005-11-14,IFEE,0,,0,
10920103,31,2005-11-14,VFEE,0,,0,
10920103,32,2005-11-14,IFEE,0,,0,
10920103,36,2005-11-14,IFEE,0,,0,
10920103,40,2005-11-14,N084,0,,0,
10920103,35,2005-11-14,VFEE,0,,0,
10920103,25,2005-11-21,R1021,0,,0,
10920103,26,2005-11-30,SENT,0,,0,
10920103,27,2006-03-15,R1021,0,,0,
10920103,28,2006-03-15,R1021,0,,0,
